T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	7.14629	7.88778	0.0	28.08075	31.91434	1.81041	0.55236	0.0	111.5004	0.0	0.49897	6.78974	6.78974	1.27461	1.27461	1630.00729	64755.622	 	0.0
1495.0	0.0	1.0	7.15025	7.88341	-0.0553909	28.03505	31.83964	1.80954	0.55263	0.0	111.68829	0.0	0.49897	6.85122	6.85122	1.25962	1.25962	1630.69194	64537.778	43.5688	0.0
1490.0	0.0	1.0	7.1542	7.87905	-0.11063	27.98943	31.76492	1.80867	0.55289	0.0	111.87618	0.0	0.49897	6.91361	6.91361	1.24472	1.24472	1631.36349	64320.325	43.4906	0.0
1485.0	0.0	1.0	7.15815	7.87471	-0.16571	27.9439	31.69018	1.80779	0.55316	0.0	112.06407	0.0	0.49897	6.97692	6.97692	1.22993	1.22993	1632.02182	64103.26	43.413	0.0
1480.0	0.0	1.0	7.16209	7.87037	-0.22064	27.89845	31.61544	1.80691	0.55343	0.0	112.25196	0.0	0.49897	7.04119	7.04119	1.21523	1.21523	1632.66681	63886.583	43.3354	0.0
1475.0	0.0	1.0	7.16602	7.86605	-0.27541	27.85309	31.54067	1.80603	0.5537	0.0	112.43985	0.0	0.49897	7.10641	7.10641	1.20065	1.20065	1633.29832	63670.29	43.2586	0.0
1470.0	0.0	1.0	7.16995	7.86174	-0.33003	27.80781	31.4659	1.80515	0.55397	0.0	112.62774	0.0	0.49897	7.17262	7.17262	1.18616	1.18616	1633.91624	63454.38	43.182	0.0
1465.0	0.0	1.0	7.17387	7.85745	-0.3845	27.76262	31.39111	1.80426	0.55424	0.0	112.81563	0.0	0.49897	7.23984	7.23984	1.17178	1.17178	1634.52042	63238.849	43.1062	0.0
1460.0	0.0	1.0	7.17778	7.85316	-0.43881	27.71752	31.3163	1.80336	0.55452	0.0	113.00352	0.0	0.49897	7.30807	7.30807	1.1575	1.1575	1635.11073	63023.698	43.0302	0.0
1455.0	0.0	1.0	7.18169	7.84889	-0.49297	27.6725	31.24148	1.80247	0.55479	0.0	113.19141	0.0	0.49897	7.37735	7.37735	1.14332	1.14332	1635.68706	62808.922	42.9552	0.0
1450.0	0.0	1.0	7.18559	7.84463	-0.54698	27.62757	31.16664	1.80157	0.55507	0.0	113.3793	0.0	0.49897	7.4477	7.4477	1.12924	1.12924	1636.24926	62594.581	42.8682	0.0
1445.0	0.0	1.0	7.18948	7.84038	-0.60083	27.58274	31.0918	1.80067	0.55535	0.0	113.56719	0.0	0.49897	7.51913	7.51913	1.11527	1.11527	1636.79721	62380.775	42.7612	0.0
1440.0	0.0	1.0	7.19337	7.83615	-0.65452	27.53799	31.01693	1.79976	0.55563	0.0	113.75508	0.0	0.49897	7.59167	7.59167	1.1014	1.1014	1637.33077	62167.489	42.6572	0.0
1435.0	0.0	1.0	7.19725	7.83193	-0.70806	27.49334	30.94205	1.79885	0.55591	0.0	113.94297	0.0	0.49897	7.66534	7.66534	1.08763	1.08763	1637.84981	61954.72	42.5538	0.0
1430.0	0.0	1.0	7.20112	7.82771	-0.76145	27.44878	30.86716	1.79793	0.55619	0.0	114.13086	0.0	0.49897	7.74016	7.74016	1.07396	1.07396	1638.3542	61742.465	42.451	0.0
1425.0	0.0	1.0	7.20498	7.82352	-0.81469	27.40432	30.79225	1.79702	0.55648	0.0	114.31875	0.0	0.49897	7.81616	7.81616	1.0604	1.0604	1638.8438	61530.721	42.3488	0.0
1420.0	0.0	1.0	7.20884	7.81933	-0.86777	27.35994	30.71733	1.7961	0.55676	0.0	114.50664	0.0	0.49897	7.89337	7.89337	1.04694	1.04694	1639.31848	61319.484	42.2474	0.0
1415.0	0.0	1.0	7.21269	7.81515	-0.92069	27.31567	30.64239	1.79517	0.55705	0.0	114.69453	0.0	0.49897	7.97179	7.97179	1.03357	1.03357	1639.7781	61108.751	42.1466	0.0
1410.0	0.0	1.0	7.21654	7.81099	-0.97346	27.27149	30.56744	1.79424	0.55734	0.0	114.88242	0.0	0.49897	8.05148	8.05148	1.02031	1.02031	1640.22254	60898.519	42.0464	0.0
1405.0	0.0	1.0	7.22037	7.80684	-1.02608	27.22741	30.49248	1.79331	0.55763	0.0	115.07031	0.0	0.49897	8.13244	8.13244	1.00716	1.00716	1640.65166	60688.784	41.947	0.0
1400.0	0.0	1.0	7.2242	7.8027	-1.07855	27.18343	30.4175	1.79238	0.55792	0.0	115.2582	0.0	0.49897	8.2147	8.2147	0.9941	0.9941	1641.06531	60479.543	41.8482	0.0
1395.0	0.0	1.0	7.22803	7.79858	-1.13086	27.13956	30.3425	1.79144	0.55821	0.0	115.44609	0.0	0.49897	8.2983	8.2983	0.98114	0.98114	1641.46338	60270.792	41.7502	0.0
1390.0	0.0	1.0	7.23184	7.79446	-1.18301	27.09578	30.26749	1.79049	0.55851	0.0	115.63398	0.0	0.49897	8.38326	8.38326	0.96829	0.96829	1641.84572	60062.529	41.6526	0.0
1385.0	0.0	1.0	7.23565	7.79036	-1.23501	27.0521	30.19247	1.78955	0.5588	0.0	115.82187	0.0	0.49897	8.46961	8.46961	0.95554	0.95554	1642.2122	59854.751	41.5556	0.0
1381.41	0.0	1.0	7.23838	7.78743	-1.27224	27.02082	30.13861	1.78886	0.55901	0.0	115.95672	0.0	0.49897	8.53245	8.53245	0.94645	0.94645	1642.46537	59705.954	41.4653	0.0
1380.0	0.04147	0.95853	7.24488	7.78033	-1.36214	26.80033	30.23175	1.78183	0.56122	2.58367E-4	115.78536	8.65152E-5	0.49318	8.55733	9.1026	0.94289	0.88641	1640.57874	59160.792	386.221	486.657
1375.0	0.17472	0.82528	7.26603	7.75779	-1.64793	26.10624	30.53271	1.75893	0.56853	0.0825843	115.24716	0.0280047	0.47447	8.64627	31.07866	0.93037	0.25883	1634.01877	57395.139	353.131	2045.493
1370.0	0.2834	0.7166	7.28383	7.73887	-1.88785	25.53483	30.77416	1.73984	0.57477	0.57901	114.84845	0.19842	0.45906	8.73605	160.90587	0.91801	0.0498416	1627.66337	55922.468	294.534	3311.821
1365.0	0.37309	0.62691	7.29902	7.72276	-2.09201	25.05912	30.96822	1.72367	0.58016	1.75871	114.56063	0.60804	0.44622	8.82672	486.70643	0.90582	0.0164276	1621.49893	54676.444	249.205	4351.978
1360.0	0.44787	0.55213	7.31217	7.70878	-2.26925	24.65546	31.12355	1.70984	0.58485	3.68919	114.36115	1.28507	0.43541	8.91824	1056.80083	0.89379	0.00754257	1615.51614	53608.127	213.663	5214.895
1355.0	0.51081	0.48919	7.32365	7.69667	-2.42281	24.31546	31.24742	1.69785	0.58898	6.29878	114.23531	2.20818	0.42624	9.01109	1886.85209	0.88187	0.00421156	1609.6993	52680.845	185.456	5937.246
1350.0	0.56421	0.43579	7.33383	7.68594	-2.5588	24.0226	31.34472	1.68738	0.59264	9.45397	114.16924	3.33264	0.41839	9.10484	2973.82166	0.87011	0.00266398	1604.04236	51866.769	162.815	6546.858
1345.0	0.60988	0.39012	7.34292	7.67644	-2.67929	23.77151	31.42005	1.67815	0.5959	13.00681	114.15372	4.60703	0.41163	9.19995	4306.32514	0.85846	0.001834	1598.53309	51144.407	144.472	7065.216
1340.0	0.64919	0.35081	7.35115	7.66778	-2.78909	23.54899	31.47635	1.66997	0.59881	16.82023	114.17796	5.98267	0.40575	9.296	5870.24041	0.84696	0.00134124	1593.169	50497.072	129.467	7509.006
1335.0	0.68327	0.31673	7.35867	7.65989	-2.8891	23.35278	31.51676	1.66266	0.60145	20.78009	114.23689	7.41824	0.40061	9.39306	7653.7923	0.83562	0.0010255	1587.93975	49911.446	117.125	7891.544
1330.0	0.713	0.287	7.36559	7.65264	-2.98099	23.17838	31.54366	1.65607	0.60384	24.79859	114.32528	8.88148	0.39608	9.4911	9649.03987	0.82441	8.10918E-4	1582.83828	49377.061	106.877	8223.295
1325.0	0.73905	0.26095	7.37201	7.64595	-3.0658	23.02304	31.55893	1.65011	0.60602	28.8039	114.43847	10.34561	0.39208	9.59065	11849.87324	0.81331	6.5825E-4	1577.8571	48885.587	98.2948	8512.586
1320.0	0.76203	0.23797	7.37801	7.63968	-3.14529	22.88189	31.56418	1.64467	0.60802	32.74876	114.57242	11.79269	0.38852	9.69127	14255.64741	0.80235	5.45452E-4	1572.99298	48430.217	91.074	8766.222
1315.0	0.78237	0.21763	7.38365	7.6338	-3.21993	22.75373	31.56075	1.63969	0.60987	36.59431	114.72462	13.20774	0.38534	9.79298	16867.2014	0.79152	4.59553E-4	1568.23917	48005.571	84.9292	8989.58
1310.0	0.80046	0.19954	7.38899	7.62824	-3.29033	22.63696	31.54982	1.63509	0.61159	40.31935	114.8923	14.58232	0.38247	9.89632	19691.06602	0.78079	3.9241E-4	1563.58941	47607.159	79.6824	9187.148
1305.0	0.81661	0.18339	7.39407	7.62294	-3.3576	22.52845	31.53225	1.63084	0.61318	43.90651	115.07302	15.90943	0.37989	10.00078	22733.98649	0.7702	3.38812E-4	1559.04244	47231.279	75.176	9362.628
1300.0	0.8311	0.1689	7.39893	7.61787	-3.42183	22.428	31.50896	1.62687	0.61468	47.3504	115.26543	17.18649	0.37755	10.10648	26008.90335	0.75973	2.95213E-4	1554.59138	46874.855	71.2848	9519.088
1295.0	0.84413	0.15587	7.4036	7.61301	-3.48345	22.33448	31.48062	1.62316	0.61608	50.64549	115.46802	18.41097	0.37542	10.21337	29528.57832	0.74939	2.59198E-4	1550.23254	46535.32	67.907	9659.095
1290.0	0.85589	0.14411	7.4081	7.60834	-3.54264	22.2474	31.44786	1.61967	0.61741	53.79277	115.67942	19.58281	0.37347	10.32206	33310.24901	0.73913	2.29039E-4	1545.96084	46210.566	64.9508	9784.755
1285.0	0.86653	0.13347	7.41245	7.60384	-3.59971	22.16596	31.41117	1.61638	0.61867	56.79355	115.89855	20.70211	0.37168	10.43251	37371.82014	0.72897	2.03494E-4	1541.7728	45898.716	62.37	9897.942
1280.0	0.87621	0.12379	7.41669	7.59945	-3.65536	22.08809	31.37094	1.61326	0.61986	59.65676	116.12429	21.77189	0.37004	10.54388	41737.97452	0.71895	1.81622E-4	1537.6684	45598.226	60.098	10000.197
1278.95	0.87812	0.12188	7.41756	7.59855	-3.66678	22.07249	31.36204	1.61262	0.62011	60.2382	116.17288	21.98933	0.36971	10.56776	42695.39271	0.71684	1.77429E-4	1536.81141	45536.45	 	10020.295
1275.0	0.88618	0.11382	7.42148	7.59449	-3.71829	21.98777	31.33047	1.61014	0.62106	62.74678	116.35267	22.92789	0.36835	10.67211	46675.69962	0.70803	1.61886E-4	1533.61346	45290.797	61.4858	10109.819
1270.0	0.89554	0.10446	7.42626	7.58954	-3.78102	21.88727	31.28739	1.60715	0.62222	65.78415	116.5851	24.06597	0.36675	10.80572	52052.63188	0.69701	1.44695E-4	1529.64281	44990.115	60.1364	10213.117
1265.0	0.904	0.0960017	7.43083	7.58481	-3.84099	21.79426	31.24109	1.60432	0.62332	68.65275	116.82271	25.14248	0.36527	10.94161	57817.55048	0.68613	1.29845E-4	1525.75517	44700.392	57.9446	10305.878
1260.0	0.91167	0.0883331	7.43522	7.58028	-3.89846	21.70813	31.19196	1.60162	0.62437	71.36378	117.06511	26.1613	0.36392	11.07977	64006.19322	0.67537	1.16909E-4	1521.94479	44420.279	56.0226	10389.449
1255.61	0.91782	0.0821834	7.43896	7.57641	-3.94744	21.63645	31.14666	1.59935	0.62525	73.62161	117.28135	27.0109	0.36281	11.20243	69819.23965	0.66606	1.06869E-4	1518.66166	44181.32	 	10456.07
1255.0	0.91892	0.0810815	7.43957	7.5758	-3.95525	21.62334	31.13963	1.59908	0.62536	74.02496	117.31581	27.1627	0.36262	11.21127	70737.11792	0.66527	1.0544E-4	1517.85394	44144.591	55.1376	10469.009
1250.0	0.92755	0.0724455	7.44446	7.5708	-4.01855	21.51795	31.08058	1.59688	0.62622	77.26231	117.59943	28.38222	0.3611	11.28549	78629.0622	0.65873	9.45467E-5	1511.38884	43847.793	59.3596	10570.097
1245.44	0.93454	0.0654603	7.44872	7.56647	-4.07347	21.42972	31.02485	1.59495	0.62698	79.99466	117.85896	29.41296	0.35985	11.35492	86280.40039	0.65274	8.59043E-5	1505.72826	43588.314	 	10651.425
1245.44	0.93454	0.0654603	7.44872	7.56647	-4.07347	21.42972	31.02485	1.59495	0.62698	79.99466	117.85896	29.41296	0.35985	11.35492	86280.40039	0.65274	8.59043E-5	1505.72826	43588.314	 	10651.425
1245.0	0.93517	0.0648264	7.44912	7.56606	-4.0787	21.42138	31.01931	1.59478	0.62705	80.24834	117.88415	29.50872	0.35974	11.36145	87042.26924	0.65218	8.51278E-5	1505.18989	43563.704	56.8178	10658.889
1240.0	0.94206	0.0579382	7.45362	7.56149	-4.13656	21.33107	30.95566	1.59279	0.62783	83.05957	118.17086	30.57068	0.35848	11.44078	96083.62742	0.64552	7.68633E-5	1499.21345	43288.024	55.136	10739.69
1235.0	0.94815	0.0518486	7.45793	7.55713	-4.19187	21.24792	30.89051	1.59088	0.62858	85.64827	118.45812	31.54982	0.35735	11.52201	105743.9166	0.63886	6.96107E-5	1493.47951	43022.664	53.072	10810.589
1230.0	0.95356	0.0464379	7.46208	7.55293	-4.24509	21.17056	30.82409	1.58902	0.62932	88.03963	118.74561	32.45538	0.35632	11.60458	116087.5822	0.63221	6.3198E-5	1487.9729	42766.162	51.3004	10873.047
