T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	7.09096	7.81461	0.0	26.85919	30.62798	1.88645	0.5301	0.0	111.05045	0.0	0.4971	6.84329	6.84329	1.26464	1.26464	1765.18627	65472.722	 	0.0
1495.0	0.0	1.0	7.09488	7.8103	-0.0551949	26.81051	30.55633	1.88554	0.53035	0.0	111.2377	0.0	0.4971	6.90502	6.90502	1.2498	1.2498	1766.97232	65252.271	44.0902	0.0
1490.0	0.0	1.0	7.09879	7.80599	-0.11023	26.7619	30.48467	1.88463	0.53061	0.0	111.42495	0.0	0.4971	6.96766	6.96766	1.23506	1.23506	1768.75627	65032.245	44.0052	0.0
1485.0	0.0	1.0	7.10269	7.80171	-0.16512	26.71336	30.41302	1.88371	0.53087	0.0	111.61221	0.0	0.4971	7.03123	7.03123	1.22043	1.22043	1770.53809	64812.643	43.9204	0.0
1480.0	0.0	1.0	7.10658	7.79743	-0.21984	26.66488	30.34136	1.88279	0.53113	0.0	111.79946	0.0	0.4971	7.09575	7.09575	1.20589	1.20589	1772.31777	64593.462	43.8362	0.0
1475.0	0.0	1.0	7.11047	7.79316	-0.27441	26.61647	30.26971	1.88186	0.53139	0.0	111.98671	0.0	0.4971	7.16123	7.16123	1.19146	1.19146	1774.09528	64374.699	43.7526	0.0
1470.0	0.0	1.0	7.11435	7.78891	-0.32883	26.56812	30.19805	1.88093	0.53165	0.0	112.17396	0.0	0.4971	7.2277	7.2277	1.17712	1.17712	1775.8706	64156.354	43.669	0.0
1465.0	0.0	1.0	7.11823	7.78467	-0.38309	26.51985	30.1264	1.88	0.53192	0.0	112.36121	0.0	0.4971	7.29517	7.29517	1.16289	1.16289	1777.6437	63938.422	43.5864	0.0
1460.0	0.0	1.0	7.1221	7.78044	-0.43719	26.47164	30.05474	1.87906	0.53218	0.0	112.54846	0.0	0.4971	7.36367	7.36367	1.14876	1.14876	1779.41456	63720.904	43.5036	0.0
1455.0	0.0	1.0	7.12596	7.77623	-0.49113	26.42351	29.98309	1.87812	0.53245	0.0	112.73571	0.0	0.4971	7.43322	7.43322	1.13473	1.13473	1781.18315	63503.795	43.4218	0.0
1450.0	0.0	1.0	7.12981	7.77202	-0.54492	26.37545	29.91143	1.87717	0.53272	0.0	112.92296	0.0	0.4971	7.50383	7.50383	1.1208	1.1208	1782.94945	63287.145	43.33	0.0
1445.0	0.0	1.0	7.13366	7.76783	-0.59856	26.32745	29.83978	1.87622	0.53299	0.0	113.11021	0.0	0.4971	7.57553	7.57553	1.10697	1.10697	1784.71343	63071.04	43.221	0.0
1440.0	0.0	1.0	7.1375	7.76365	-0.65203	26.27953	29.76812	1.87526	0.53326	0.0	113.29747	0.0	0.4971	7.64833	7.64833	1.09324	1.09324	1786.47506	62855.466	43.1148	0.0
1435.0	0.0	1.0	7.14133	7.75949	-0.70536	26.23169	29.69647	1.8743	0.53353	0.0	113.48472	0.0	0.4971	7.72227	7.72227	1.07961	1.07961	1788.23432	62640.421	43.009	0.0
1430.0	0.0	1.0	7.14516	7.75533	-0.75852	26.18391	29.62481	1.87333	0.53381	0.0	113.67197	0.0	0.4971	7.79737	7.79737	1.06608	1.06608	1789.99118	62425.9	42.9042	0.0
1425.0	0.0	1.0	7.14898	7.75119	-0.81153	26.13621	29.55316	1.87236	0.53408	0.0	113.85922	0.0	0.4971	7.87364	7.87364	1.05266	1.05266	1791.74561	62211.902	42.7996	0.0
1420.0	0.0	1.0	7.15279	7.74706	-0.86438	26.08859	29.4815	1.87139	0.53436	0.0	114.04647	0.0	0.4971	7.95112	7.95112	1.03933	1.03933	1793.49759	61998.423	42.6958	0.0
1415.0	0.0	1.0	7.15659	7.74294	-0.91708	26.04104	29.40985	1.87041	0.53464	0.0	114.23372	0.0	0.4971	8.02982	8.02982	1.0261	1.0261	1795.24708	61785.46	42.5926	0.0
1410.0	0.0	1.0	7.16039	7.73884	-0.96962	25.99357	29.33819	1.86942	0.53492	0.0	114.42097	0.0	0.4971	8.10978	8.10978	1.01298	1.01298	1796.99405	61573.01	42.49	0.0
1405.0	0.0	1.0	7.16418	7.73474	-1.022	25.94618	29.26654	1.86843	0.53521	0.0	114.60822	0.0	0.4971	8.19102	8.19102	0.99995	0.99995	1798.73848	61361.069	42.3882	0.0
1400.0	0.0	1.0	7.16796	7.73066	-1.07423	25.89887	29.19488	1.86744	0.53549	0.0	114.79548	0.0	0.4971	8.27357	8.27357	0.98703	0.98703	1800.48034	61149.634	42.287	0.0
1399.21	0.0	1.0	7.16856	7.73002	-1.08246	25.89142	29.18358	1.86728	0.53554	0.0	114.82501	0.0	0.4971	8.28671	8.28671	0.985	0.985	1800.75482	61116.339	42.2209	0.0
1395.0	0.16519	0.83481	7.19062	7.70631	-1.38583	25.14514	29.54974	1.8395	0.54363	0.0647299	113.75097	0.0219586	0.47391	8.35772	21.50132	0.97417	0.37867	1799.16757	59051.192	490.369	1887.508
1390.0	0.31894	0.68106	7.21167	7.68383	-1.67348	24.45132	29.89063	1.81307	0.55155	0.91368	112.76588	0.31461	0.45207	8.44312	176.19891	0.96142	0.0460696	1797.3912	57085.365	393.165	3642.904
1385.0	0.43737	0.56263	7.22846	7.66597	-1.90212	23.91422	30.15035	1.79205	0.55802	3.2739	112.03972	1.14069	0.43505	8.52969	626.16829	0.94881	0.0129247	1795.71882	55523.12	312.449	4995.215
1380.0	0.53026	0.46974	7.2422	7.65148	-2.08742	23.49244	30.34904	1.77495	0.5634	7.15382	111.5096	2.51619	0.42156	8.61747	1414.22246	0.93631	0.00570534	1794.14465	54252.095	254.205	6056.8
1375.0	0.6043	0.3957	7.25369	7.63936	-2.24253	23.15094	30.50003	1.76082	0.56792	12.18747	111.1274	4.31968	0.41069	8.70648	2513.75668	0.92393	0.00320008	1792.66721	53195.451	211.329	6904.497
1370.0	0.66416	0.33584	7.2635	7.62916	-2.37307	22.87503	30.61383	1.74895	0.57177	17.9409	110.86263	6.39913	0.40182	8.79714	3876.11524	0.91164	0.00206903	1791.27796	52299.564	179.177	7591.926
1365.0	0.71317	0.28683	7.27208	7.62021	-2.48761	22.64159	30.69745	1.73888	0.57508	24.04631	110.68793	8.62196	0.39448	8.88869	5453.71736	0.8995	0.00146605	1789.98009	51526.199	154.673	8157.319
1364.7	0.71568	0.28432	7.27255	7.61975	-2.49357	22.63015	30.70123	1.73834	0.57526	24.3974	110.6823	8.75021	0.3941	8.8942	5550.23472	0.89878	0.00144029	1789.90018	51484.391	 	8186.526
1360.0	0.77245	0.22755	7.28263	7.6093	-2.6272	22.33643	30.88821	1.72286	0.58043	30.66875	110.3246	11.06749	0.38553	8.94308	7835.93004	0.8913	0.00101724	1787.80124	50661.616	172.917	8814.413
1355.0	0.81915	0.18085	7.29183	7.59989	-2.74762	22.08274	31.02395	1.71007	0.58477	37.00912	110.1157	13.42452	0.37842	8.99548	10402.70864	0.8834	7.63897E-4	1785.74013	49922.784	147.766	9346.236
1350.0	0.85579	0.14421	7.29996	7.59167	-2.85281	21.86997	31.11273	1.69996	0.58825	43.16259	110.03024	15.72097	0.37277	9.0487	13060.93593	0.87551	6.06556E-4	1783.83465	49284.847	127.587	9777.642
