T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.37896	0.62104	7.18303	7.75919	0.0	18.8057	32.92351	1.75492	0.56983	1.2708	94.7344	0.43997	0.4442	7.53983	53.73805	1.14781	0.16105	1853.09925	64760.733	 	0.0
1495.0	0.60837	0.39163	7.21981	7.72007	-0.50421	17.63119	34.01283	1.69392	0.59035	8.63793	86.96661	3.06265	0.41021	7.55511	303.57312	1.14226	0.0284278	1853.78443	62568.803	438.386	1969.636
1490.0	0.74695	0.25305	7.24316	7.6959	-0.81575	16.92351	34.68771	1.65627	0.60377	19.95605	82.36641	7.18134	0.38944	7.57026	700.51711	1.13675	0.0122845	1854.48317	61173.383	279.084	3143.314
1485.0	0.83685	0.16315	7.25921	7.67983	-1.02284	16.46933	35.11785	1.63134	0.61299	31.84683	79.50086	11.57362	0.37584	7.58541	1142.1791	1.13126	0.00751291	1855.20759	60203.77	193.923	3891.737
1480.0	0.89848	0.10152	7.271	7.6685	-1.16889	16.16349	35.39819	1.61382	0.61965	42.77393	77.65822	15.65174	0.36643	7.60061	1578.95797	1.12579	0.0054192	1855.96246	59480.299	144.694	4394.566
1475.0	0.94262	0.0573794	7.28013	7.66012	-1.27691	15.95023	35.58314	1.60086	0.62467	52.3158	76.45603	19.23911	0.35962	7.61592	1994.76852	1.12032	0.00427733	1856.74954	58908.293	114.401	4746.475
1470.0	0.97524	0.0247605	7.2875	7.65367	-1.35998	15.79786	35.70415	1.59087	0.62859	60.46684	75.68011	22.32012	0.35454	7.63137	2386.47688	1.11486	0.00356504	1857.56834	58435.545	94.5496	4999.667
1465.0	1.0	0.0	7.29367	7.64855	-1.42593	15.68734	35.7811	1.58289	0.63176	67.39439	75.19781	24.94927	0.35063	 	2757.08643	 	0.00307697	 	58030.134	81.0822	5186.06
1460.0	1.0	0.0	7.29577	7.64635	-1.45438	15.6704	35.72209	1.58095	0.63253	67.83182	75.58724	25.11483	0.35043	 	2883.7034	 	0.00293341	 	57759.658	54.0952	 
1455.0	1.0	0.0	7.29788	7.64414	-1.48279	15.65347	35.66309	1.57899	0.63331	68.27333	75.98019	25.28195	0.35024	 	3016.91891	 	0.00279579	 	57550.544	41.8228	 
1450.0	1.0	0.0	7.29998	7.64194	-1.51115	15.63653	35.60408	1.57703	0.6341	68.71888	76.37663	25.45061	0.35004	 	3157.11576	 	0.00266391	 	57341.772	41.7544	 
1445.0	1.0	0.0	7.30208	7.63974	-1.53947	15.61958	35.54507	1.57507	0.63489	69.16845	76.77648	25.62081	0.34985	 	3304.70114	 	0.00253756	 	57133.331	41.6882	 
1440.0	1.0	0.0	7.30418	7.63755	-1.56774	15.60263	35.48606	1.5731	0.63569	69.62199	77.1797	25.79253	0.34965	 	3460.10831	 	0.00241653	 	56925.222	41.6218	 
1435.0	1.0	0.0	7.30627	7.63536	-1.59597	15.58568	35.42705	1.57112	0.63649	70.07946	77.58624	25.96576	0.34946	 	3623.79844	 	0.00230064	 	56717.443	41.5558	 
1430.0	1.0	0.0	7.30836	7.63317	-1.62415	15.56872	35.36804	1.56913	0.63729	70.54084	77.99604	26.14049	0.34926	 	3796.26255	 	0.00218969	 	56509.993	41.49	 
1425.0	1.0	0.0	7.31046	7.63099	-1.65228	15.55177	35.30903	1.56714	0.6381	71.00608	78.40904	26.31669	0.34907	 	3978.02359	 	0.00208351	 	56302.871	41.4244	 
1420.0	1.0	0.0	7.31254	7.62881	-1.68037	15.5348	35.25002	1.56514	0.63892	71.47515	78.8252	26.49437	0.34887	 	4169.63873	 	0.00198191	 	56096.075	41.3592	 
1415.0	1.0	0.0	7.31463	7.62663	-1.70842	15.51784	35.19101	1.56314	0.63974	71.948	79.24447	26.6735	0.34868	 	4371.70178	 	0.00188472	 	55889.605	41.294	 
1410.0	1.0	0.0	7.31671	7.62446	-1.73641	15.50087	35.132	1.56112	0.64056	72.42461	79.66678	26.85408	0.34848	 	4584.8458	 	0.00179178	 	55683.459	41.2292	 
1405.0	1.0	0.0	7.3188	7.62229	-1.76437	15.48389	35.07299	1.55911	0.64139	72.90494	80.09209	27.03609	0.34829	 	4809.74593	 	0.00170292	 	55477.635	41.1648	 
1400.0	1.0	0.0	7.32088	7.62013	-1.79227	15.46691	35.01398	1.55708	0.64223	73.38895	80.52035	27.21951	0.34809	 	5047.12241	 	0.001618	 	55272.134	41.1002	 
1395.0	1.0	0.0	7.32295	7.61797	-1.82013	15.44993	34.95497	1.55505	0.64307	73.8766	80.95151	27.40435	0.3479	 	5297.74389	 	0.00153685	 	55066.953	41.0362	 
1390.0	1.0	0.0	7.32503	7.61581	-1.84795	15.43295	34.89596	1.55301	0.64391	74.36787	81.38551	27.59057	0.3477	 	5562.43092	 	0.00145933	 	54862.091	40.9724	 
1385.0	1.0	0.0	7.3271	7.61365	-1.87572	15.41596	34.83695	1.55096	0.64476	74.8627	81.8223	27.77817	0.34751	 	5842.05977	 	0.0013853	 	54657.547	40.9088	 
1380.0	1.0	0.0	7.32917	7.6115	-1.90344	15.39897	34.77794	1.54891	0.64562	75.36106	82.26183	27.96714	0.34731	 	6137.56655	 	0.00131463	 	54453.319	40.8456	 
1375.0	1.0	0.0	7.33124	7.60935	-1.93112	15.38197	34.71893	1.54685	0.64648	75.86293	82.70406	28.15746	0.34712	 	6449.95165	 	0.00124717	 	54249.407	40.7824	 
1370.0	1.0	0.0	7.33331	7.60721	-1.95876	15.36497	34.65993	1.54478	0.64734	76.36825	83.14893	28.34912	0.34692	 	6780.28449	 	0.00118281	 	54045.808	40.7198	 
1365.0	1.0	0.0	7.33537	7.60507	-1.98634	15.34797	34.60092	1.54271	0.64821	76.877	83.59639	28.5421	0.34673	 	7129.70874	 	0.00112142	 	53842.521	40.6574	 
1360.0	1.0	0.0	7.33743	7.60293	-2.01388	15.33096	34.54191	1.54063	0.64909	77.38914	84.0464	28.7364	0.34653	 	7499.44788	 	0.00106288	 	53639.545	40.5952	 
1355.0	1.0	0.0	7.33949	7.6008	-2.04138	15.31395	34.4829	1.53854	0.64997	77.90463	84.4989	28.93201	0.34634	 	7890.81125	 	0.00100707	 	53436.879	40.5332	 
