T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.83462	7.91378	0.0	28.28421	30.79208	1.87639	0.53294	0.0	104.42038	0.0	0.49974	6.42015	6.42015	1.34799	1.34799	1728.16131	61910.697	 	0.0
1495.0	0.0	1.0	6.8385	7.9093	-0.0566399	28.23591	30.71885	1.87556	0.53317	0.0	104.60254	0.0	0.49974	6.4756	6.4756	1.33268	1.33268	1730.0169	61690.81	43.9774	0.0
1490.0	0.0	1.0	6.84237	7.90483	-0.11313	28.18767	30.64562	1.87473	0.53341	0.0	104.78471	0.0	0.49974	6.53186	6.53186	1.31747	1.31747	1731.87488	61471.417	43.8786	0.0
1485.0	0.0	1.0	6.84623	7.90037	-0.16946	28.13948	30.57239	1.87389	0.53365	0.0	104.96687	0.0	0.49974	6.58893	6.58893	1.30235	1.30235	1733.73516	61252.517	43.78	0.0
1480.0	0.0	1.0	6.85008	7.89592	-0.22564	28.09136	30.49916	1.87305	0.53389	0.0	105.14903	0.0	0.49974	6.64682	6.64682	1.28734	1.28734	1735.59766	61034.105	43.6824	0.0
1475.0	0.0	1.0	6.85393	7.89149	-0.28167	28.04331	30.42593	1.8722	0.53413	0.0	105.33119	0.0	0.49974	6.70556	6.70556	1.27242	1.27242	1737.4623	60816.178	43.5854	0.0
1470.0	0.0	1.0	6.85777	7.88707	-0.33755	27.99531	30.3527	1.87135	0.53437	0.0	105.51335	0.0	0.49974	6.76517	6.76517	1.2576	1.2576	1739.32899	60598.734	43.4888	0.0
1465.0	0.0	1.0	6.86161	7.88266	-0.39327	27.94738	30.27947	1.8705	0.53462	0.0	105.69551	0.0	0.49974	6.82564	6.82564	1.24288	1.24288	1741.19766	60381.769	43.393	0.0
1460.0	0.0	1.0	6.86544	7.87826	-0.44885	27.89952	30.20624	1.86964	0.53486	0.0	105.87767	0.0	0.49974	6.88702	6.88702	1.22826	1.22826	1743.0682	60165.281	43.2976	0.0
1455.0	0.0	1.0	6.86926	7.87387	-0.50426	27.85172	30.13301	1.86877	0.53511	0.0	106.05983	0.0	0.49974	6.9493	6.9493	1.21374	1.21374	1744.94054	59949.265	43.2032	0.0
1450.0	0.0	1.0	6.87308	7.8695	-0.55953	27.80399	30.05978	1.86791	0.53536	0.0	106.24199	0.0	0.49974	7.01252	7.01252	1.19932	1.19932	1746.81459	59733.746	43.1038	0.0
