T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.96693	7.87261	0.0	28.61382	31.16384	1.85401	0.53937	0.0	106.12679	0.0	0.49974	6.69785	6.69785	1.2921	1.2921	1764.6281	64464.754	 	0.0
1495.0	0.0	1.0	6.97083	7.86821	-0.0559487	28.56821	31.08795	1.8533	0.53958	0.0	106.3112	0.0	0.49974	6.75646	6.75646	1.27728	1.27728	1766.43187	64243.57	44.2368	0.0
1490.0	0.0	1.0	6.97473	7.86382	-0.11174	28.52269	31.01207	1.85258	0.53979	0.0	106.49561	0.0	0.49974	6.81592	6.81592	1.26256	1.26256	1768.23267	64022.885	44.137	0.0
1485.0	0.0	1.0	6.97861	7.85944	-0.16738	28.47726	30.93619	1.85185	0.54	0.0	106.68002	0.0	0.49974	6.87624	6.87624	1.24793	1.24793	1770.03048	63802.695	44.038	0.0
1480.0	0.0	1.0	6.98249	7.85507	-0.22286	28.43192	30.8603	1.85113	0.54021	0.0	106.86444	0.0	0.49974	6.93745	6.93745	1.23341	1.23341	1771.82525	63582.998	43.9394	0.0
1475.0	0.0	1.0	6.98637	7.85071	-0.27819	28.38667	30.78442	1.8504	0.54042	0.0	107.04885	0.0	0.49974	6.99956	6.99956	1.21897	1.21897	1773.61695	63363.79	43.8416	0.0
1470.0	0.0	1.0	6.99024	7.84637	-0.33336	28.34151	30.70854	1.84967	0.54064	0.0	107.23326	0.0	0.49974	7.06258	7.06258	1.20464	1.20464	1775.40556	63145.067	43.7446	0.0
1465.0	0.0	1.0	6.9941	7.84204	-0.38838	28.29644	30.63265	1.84893	0.54085	0.0	107.41767	0.0	0.49974	7.12654	7.12654	1.19041	1.19041	1777.19103	62926.828	43.6478	0.0
1460.0	0.0	1.0	6.99795	7.83772	-0.44324	28.25146	30.55677	1.84819	0.54107	0.0	107.60209	0.0	0.49974	7.19146	7.19146	1.17627	1.17627	1778.97332	62709.067	43.5522	0.0
1455.0	0.0	1.0	7.0018	7.83341	-0.49794	28.20658	30.48089	1.84745	0.54129	0.0	107.7865	0.0	0.49974	7.25734	7.25734	1.16223	1.16223	1780.7524	62491.783	43.4568	0.0
1450.0	0.0	1.0	7.00564	7.82912	-0.55249	28.16179	30.40501	1.8467	0.54151	0.0	107.97091	0.0	0.49974	7.32422	7.32422	1.14828	1.14828	1782.52824	62275.002	43.3562	0.0
1445.0	0.0	1.0	7.00947	7.82483	-0.60689	28.1171	30.32912	1.84595	0.54173	0.0	108.15532	0.0	0.49974	7.39211	7.39211	1.13443	1.13443	1784.30079	62058.77	43.2464	0.0
1440.0	0.0	1.0	7.0133	7.82056	-0.66113	28.07251	30.25324	1.84519	0.54195	0.0	108.33974	0.0	0.49974	7.46103	7.46103	1.12068	1.12068	1786.07001	61843.079	43.1382	0.0
1435.0	0.0	1.0	7.01712	7.81631	-0.71521	28.02801	30.17736	1.84443	0.54217	0.0	108.52415	0.0	0.49974	7.531	7.531	1.10703	1.10703	1787.83587	61627.924	43.031	0.0
1430.0	0.0	1.0	7.02093	7.81206	-0.76914	27.98361	30.10147	1.84367	0.5424	0.0	108.70856	0.0	0.49974	7.60204	7.60204	1.09348	1.09348	1789.59833	61413.302	42.9244	0.0
1425.0	0.0	1.0	7.02474	7.80783	-0.82291	27.93931	30.02559	1.8429	0.54262	0.0	108.89297	0.0	0.49974	7.67418	7.67418	1.08002	1.08002	1791.35734	61199.211	42.8182	0.0
1420.7	0.0	1.0	7.02801	7.8042	-0.86901	27.90131	29.96036	1.84224	0.54282	0.0	109.05149	0.0	0.49974	7.73708	7.73708	1.06853	1.06853	1792.86656	61015.604	42.7206	0.0010
1420.0	0.02311	0.97689	7.03197	7.79975	-0.92546	27.76337	29.99471	1.83937	0.54367	2.09554E-5	108.84498	7.0008E-6	0.49664	7.7456	7.98839	1.06691	1.03448	1792.63468	60725.605	413.022	260.037
1415.0	0.16977	0.83023	7.05702	7.77207	-1.27715	26.91308	30.21347	1.82066	0.54925	0.0623689	107.55966	0.0211163	0.4768	7.80909	18.26577	1.05511	0.45109	1791.16257	58870.412	371.039	1902.187
1412.22	0.23545	0.76455	7.06853	7.75942	-1.43776	26.53219	30.30727	1.81204	0.55187	0.23285	107.01692	0.0793188	0.46783	7.84498	43.17005	1.04855	0.19055	1790.40684	58020.532	 	2633.93
1410.0	0.2893	0.7107	7.07804	7.74898	-1.57038	26.21516	30.42277	1.80278	0.5547	0.42514	106.09452	0.14557	0.46024	7.87022	85.04233	1.04381	0.0965994	1789.66491	57367.159	300.651	3192.915
1405.0	0.39108	0.60892	7.09642	7.72896	-1.82474	25.61795	30.63452	1.785	0.56023	1.11084	104.46153	0.38416	0.44581	7.92823	263.93256	1.0331	0.0310331	1788.19624	56101.482	253.135	4246.583
1400.0	0.47059	0.52941	7.11137	7.71272	-2.03106	25.14761	30.78981	1.7707	0.56475	2.10236	103.29955	0.73282	0.43443	7.98756	561.72684	1.02237	0.0145377	1786.91493	55071.447	206.007	5065.118
1395.0	0.53413	0.46587	7.12382	7.69922	-2.20246	24.76956	30.90382	1.7589	0.56854	3.34749	102.46977	1.17435	0.42525	8.04843	968.05342	1.0116	0.00841051	1785.79544	54210.392	172.211	5715.183
1390.0	0.58586	0.41414	7.13445	7.6878	-2.34749	24.46127	30.98864	1.74883	0.57181	4.80235	101.8828	1.6937	0.41771	8.1109	1468.05247	1.0008	0.00552938	1784.81622	53474.199	147.239	6240.889
1385.0	0.62867	0.37133	7.14371	7.67779	-2.47466	24.20006	31.04643	1.74032	0.57461	6.43597	101.47437	2.27998	0.41141	8.17449	2048.12775	0.99003	0.00395142	1783.9656	52832.44	128.352	6672.662
1380.0	0.66459	0.33541	7.15191	7.66904	-2.58578	23.98139	31.0856	1.73289	0.57707	8.22774	101.20454	2.92577	0.40608	8.23958	2698.49432	0.97925	0.00299004	1783.22255	52263.572	113.774	7032.042
1375.0	0.6951	0.3049	7.15927	7.66118	-2.68573	23.79217	31.10965	1.72631	0.57927	10.16237	101.03956	3.6255	0.40151	8.30618	3412.17585	0.96846	0.0023575	1782.57933	51751.977	102.319	7334.644
1370.0	0.72128	0.27872	7.16599	7.65402	-2.77663	23.6268	31.12167	1.72041	0.58126	12.22729	100.95811	4.37455	0.39755	8.37382	4185.31326	0.95772	0.00191618	1782.02488	51286.106	93.1742	7592.014
1365.0	0.74396	0.25604	7.17216	7.64743	-2.86033	23.48041	31.12385	1.71506	0.58307	14.40931	100.94223	5.16804	0.39408	8.44294	5016.3135	0.94699	0.00159388	1781.55072	50857.256	85.77	7812.852
1360.0	0.76377	0.23623	7.1779	7.64134	-2.93765	23.35083	31.11795	1.71014	0.58475	16.69212	100.98031	5.99997	0.39102	8.51353	5904.96656	0.93627	0.00134988	1781.14677	50458.761	79.699	8003.821
1355.0	0.78121	0.21879	7.18329	7.6356	-3.01064	23.23253	31.10522	1.70561	0.5863	19.06063	101.06131	6.8648	0.38829	8.58515	6852.96601	0.92562	0.00115958	1780.81077	50085.443	74.6636	8170.095
1350.0	0.79665	0.20335	7.18836	7.63022	-3.07891	23.12669	31.08701	1.70136	0.58776	21.4973	101.17808	7.75605	0.38584	8.65858	7863.37766	0.91495	0.00100748	1780.53042	49733.223	70.444	8315.751
