T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.96987	7.87994	0.0	28.81481	32.11649	1.79902	0.55586	0.0	105.65288	0.0	0.49974	6.64643	6.64643	1.3021	1.3021	1648.76754	64655.721	 	0.0
1495.0	0.0	1.0	6.97376	7.87554	-0.055808	28.77014	32.04165	1.79813	0.55613	0.0	105.84044	0.0	0.49974	6.70457	6.70457	1.28717	1.28717	1649.49837	64435.239	44.0964	0.0
1490.0	0.0	1.0	6.97764	7.87115	-0.11146	28.72556	31.96679	1.79725	0.55641	0.0	106.028	0.0	0.49974	6.76354	6.76354	1.27234	1.27234	1650.21434	64215.247	43.9984	0.0
1485.0	0.0	1.0	6.98152	7.86678	-0.16696	28.68107	31.89193	1.79636	0.55668	0.0	106.21557	0.0	0.49974	6.82338	6.82338	1.2576	1.2576	1650.91529	63995.741	43.9012	0.0
1480.0	0.0	1.0	6.98539	7.86242	-0.2223	28.63668	31.81705	1.79546	0.55696	0.0	106.40313	0.0	0.49974	6.88409	6.88409	1.24297	1.24297	1651.60105	63776.719	43.8044	0.0
1475.0	0.0	1.0	6.98926	7.85807	-0.27749	28.59238	31.74217	1.79457	0.55724	0.0	106.59069	0.0	0.49974	6.94569	6.94569	1.22843	1.22843	1652.27145	63558.177	43.7084	0.0
1470.0	0.0	1.0	6.99312	7.85373	-0.33252	28.54818	31.66729	1.79367	0.55752	0.0	106.77825	0.0	0.49974	7.00821	7.00821	1.21399	1.21399	1652.92632	63340.113	43.6128	0.0
1465.0	0.0	1.0	6.99697	7.84941	-0.3874	28.50408	31.59239	1.79276	0.5578	0.0	106.96581	0.0	0.49974	7.07165	7.07165	1.19965	1.19965	1653.5655	63122.522	43.5182	0.0
1460.0	0.0	1.0	7.00082	7.8451	-0.44212	28.46007	31.51749	1.79185	0.55808	0.0	107.15338	0.0	0.49974	7.13603	7.13603	1.1854	1.1854	1654.18881	62905.403	43.4238	0.0
1455.0	0.0	1.0	7.00466	7.8408	-0.49669	28.41617	31.44258	1.79094	0.55837	0.0	107.34094	0.0	0.49974	7.20138	7.20138	1.17126	1.17126	1654.79607	62688.752	43.3302	0.0
1450.0	0.0	1.0	7.00849	7.83651	-0.5511	28.37237	31.36766	1.79002	0.55865	0.0	107.5285	0.0	0.49974	7.26771	7.26771	1.15721	1.15721	1655.38712	62472.596	43.2312	0.0
1445.0	0.0	1.0	7.01232	7.83223	-0.60536	28.32867	31.29273	1.7891	0.55894	0.0	107.71606	0.0	0.49974	7.33504	7.33504	1.14326	1.14326	1655.96178	62256.981	43.123	0.0
1440.0	0.0	1.0	7.01613	7.82797	-0.65946	28.28507	31.2178	1.78818	0.55923	0.0	107.90362	0.0	0.49974	7.4034	7.4034	1.12941	1.12941	1656.51988	62041.899	43.0164	0.0
1435.0	0.0	1.0	7.01995	7.82372	-0.71341	28.24158	31.14285	1.78725	0.55952	0.0	108.09118	0.0	0.49974	7.4728	7.4728	1.11565	1.11565	1657.06123	61827.346	42.9106	0.0
1430.0	0.0	1.0	7.02375	7.81948	-0.7672	28.19819	31.0679	1.78632	0.55981	0.0	108.27875	0.0	0.49974	7.54326	7.54326	1.102	1.102	1657.58567	61613.319	42.8054	0.0
1425.0	0.0	1.0	7.02755	7.81525	-0.82083	28.15491	30.99294	1.78538	0.5601	0.0	108.46631	0.0	0.49974	7.61481	7.61481	1.08844	1.08844	1658.093	61399.815	42.7008	0.0
1420.0	0.0	1.0	7.03134	7.81104	-0.87432	28.11173	30.91798	1.78444	0.5604	0.0	108.65387	0.0	0.49974	7.68747	7.68747	1.07498	1.07498	1658.58306	61186.829	42.5972	0.0
1415.0	0.0	1.0	7.03513	7.80684	-0.92764	28.06867	30.843	1.7835	0.5607	0.0	108.84143	0.0	0.49974	7.76125	7.76125	1.06161	1.06161	1659.05566	60974.359	42.494	0.0
1410.0	0.0	1.0	7.0389	7.80265	-0.98081	28.02571	30.76802	1.78255	0.561	0.0	109.02899	0.0	0.49974	7.83619	7.83619	1.04835	1.04835	1659.51063	60762.4	42.3918	0.0
1405.0	0.0	1.0	7.04268	7.79847	-1.03383	27.98287	30.69303	1.78159	0.5613	0.0	109.21656	0.0	0.49974	7.9123	7.9123	1.03518	1.03518	1659.94777	60550.949	42.2902	0.0
1404.69	0.0	1.0	7.04291	7.79821	-1.03708	27.98024	30.68842	1.78154	0.56131	0.0	109.22808	0.0	0.49974	7.91702	7.91702	1.03437	1.03437	1659.97405	60537.971	42.2433	0.0030
1400.0	0.11515	0.88485	7.06269	7.77641	-1.31383	27.31929	30.86914	1.76615	0.5662	0.0133551	108.29129	0.00449944	0.48409	7.97991	11.44157	1.02335	0.71373	1654.90047	59062.046	314.51	1277.952
1395.0	0.21621	0.78379	7.08053	7.75675	-1.56326	26.73471	31.02159	1.75222	0.5707	0.16845	107.51791	0.0572868	0.4702	8.04829	39.11033	1.01162	0.20818	1649.73635	57737.039	265.001	2392.515
1390.0	0.29988	0.70012	7.09567	7.74024	-1.77279	26.25575	31.14169	1.74023	0.57464	0.63153	106.92995	0.21649	0.45859	8.1186	123.47508	0.99985	0.0657414	1644.7856	56610.68	225.272	3308.925
