T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.61736	8.11405	0.0	34.66283	32.85667	1.75849	0.56867	0.0	96.70468	0.0	0.49208	5.60835	5.60835	1.54311	1.54311	1512.86513	64165.337	 	0.0
1495.0	0.0	1.0	6.62141	8.10908	-0.0611745	34.62074	32.77578	1.75786	0.56887	0.0	96.90279	0.0	0.49208	5.65455	5.65455	1.52619	1.52619	1513.88258	63943.265	44.4144	0.0
1490.0	0.0	1.0	6.62545	8.10413	-0.12219	34.57878	32.6949	1.75722	0.56908	0.0	97.1009	0.0	0.49208	5.70139	5.70139	1.50937	1.50937	1514.89469	63721.663	44.3204	0.0
1485.0	0.0	1.0	6.62949	8.09919	-0.18304	34.53696	32.61401	1.75659	0.56929	0.0	97.29901	0.0	0.49208	5.74889	5.74889	1.49265	1.49265	1515.90143	63500.528	44.227	0.0
1480.0	0.0	1.0	6.63352	8.09427	-0.24373	34.49527	32.53312	1.75595	0.56949	0.0	97.49712	0.0	0.49208	5.79707	5.79707	1.47604	1.47604	1516.90276	63279.856	44.1344	0.0
1475.0	0.0	1.0	6.63755	8.08936	-0.30426	34.45373	32.45224	1.7553	0.5697	0.0	97.69523	0.0	0.49208	5.84592	5.84592	1.45953	1.45953	1517.89865	63059.645	44.0422	0.0
1470.0	0.0	1.0	6.64157	8.08446	-0.36463	34.41233	32.37135	1.75465	0.56991	0.0	97.89334	0.0	0.49208	5.89547	5.89547	1.44312	1.44312	1518.88907	62839.892	43.9506	0.0
1465.0	0.0	1.0	6.64559	8.07957	-0.42484	34.37107	32.29046	1.754	0.57012	0.0	98.09145	0.0	0.49208	5.94573	5.94573	1.42682	1.42682	1519.87398	62620.593	43.8598	0.0
1460.0	0.0	1.0	6.6496	8.0747	-0.48488	34.32995	32.20958	1.75335	0.57034	0.0	98.28956	0.0	0.49208	5.99671	5.99671	1.41062	1.41062	1520.85336	62401.747	43.7692	0.0
1455.0	0.0	1.0	6.6536	8.06984	-0.54477	34.28899	32.12869	1.75269	0.57055	0.0	98.48767	0.0	0.49208	6.04842	6.04842	1.39452	1.39452	1521.82715	62183.349	43.6796	0.0
1450.0	0.0	1.0	6.6576	8.065	-0.60449	34.24816	32.0478	1.75203	0.57077	0.0	98.68578	0.0	0.49208	6.10089	6.10089	1.37853	1.37853	1522.79534	61965.406	43.5886	0.0
1445.0	0.0	1.0	6.66159	8.06016	-0.66406	34.20749	31.96691	1.75137	0.57098	0.0	98.88389	0.0	0.49208	6.15412	6.15412	1.36264	1.36264	1523.75788	61747.928	43.4956	0.0
