T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.9514	7.86085	0.0	27.0812	31.39144	1.84057	0.54331	0.0	105.69678	0.0	0.49974	6.69177	6.69177	1.29328	1.29328	1764.97792	64824.641	 	0.0
1495.0	0.0	1.0	6.9553	7.85644	-0.0560075	27.03109	31.31596	1.8398	0.54354	0.0	105.88226	0.0	0.49974	6.75005	6.75005	1.27849	1.27849	1766.76733	64602.935	44.3412	0.0
1490.0	0.0	1.0	6.95919	7.85205	-0.11186	26.98104	31.24048	1.83903	0.54376	0.0	106.06774	0.0	0.49974	6.80918	6.80918	1.26381	1.26381	1768.55352	64381.744	44.2382	0.0
1485.0	0.0	1.0	6.96307	7.84768	-0.16756	26.93105	31.165	1.83826	0.54399	0.0	106.25322	0.0	0.49974	6.86917	6.86917	1.24922	1.24922	1770.33646	64161.062	44.1364	0.0
1480.0	0.0	1.0	6.96695	7.84331	-0.2231	26.8811	31.08952	1.83748	0.54422	0.0	106.4387	0.0	0.49974	6.93003	6.93003	1.23473	1.23473	1772.11613	63940.888	44.0348	0.0
1475.0	0.0	1.0	6.97082	7.83896	-0.27848	26.83122	31.01404	1.8367	0.54445	0.0	106.62419	0.0	0.49974	6.99178	6.99178	1.22033	1.22033	1773.89248	63721.218	43.934	0.0
1470.0	0.0	1.0	6.97468	7.83461	-0.33371	26.78139	30.93856	1.83591	0.54469	0.0	106.80967	0.0	0.49974	7.05444	7.05444	1.20603	1.20603	1775.66548	63502.049	43.8338	0.0
1465.0	0.0	1.0	6.97854	7.83029	-0.38878	26.73162	30.86308	1.83513	0.54492	0.0	106.99515	0.0	0.49974	7.11803	7.11803	1.19183	1.19183	1777.43507	63283.376	43.7346	0.0
1460.0	0.0	1.0	6.98238	7.82597	-0.4437	26.68191	30.7876	1.83433	0.54516	0.0	107.18063	0.0	0.49974	7.18256	7.18256	1.17772	1.17772	1779.20124	63065.197	43.6358	0.0
1455.0	0.0	1.0	6.98623	7.82166	-0.49846	26.63226	30.71212	1.83354	0.54539	0.0	107.36611	0.0	0.49974	7.24806	7.24806	1.16371	1.16371	1780.96392	62847.509	43.5376	0.0
1450.0	0.0	1.0	6.99006	7.81737	-0.55306	26.58267	30.63664	1.83273	0.54563	0.0	107.55159	0.0	0.49974	7.31454	7.31454	1.1498	1.1498	1782.72309	62630.334	43.435	0.0
1445.0	0.0	1.0	6.99389	7.81309	-0.60751	26.53314	30.56117	1.83193	0.54587	0.0	107.73707	0.0	0.49974	7.38203	7.38203	1.13598	1.13598	1784.47871	62413.709	43.325	0.0
1440.19	0.0	1.0	6.99757	7.80898	-0.65981	26.48548	30.48848	1.83115	0.5461	0.0	107.91568	0.0	0.49974	7.44797	7.44797	1.12277	1.12277	1786.16586	62205.613	43.221	0.013
1440.0	0.00708	0.99292	6.99889	7.80745	-0.67922	26.43773	30.5122	1.82953	0.54659	1.37031E-7	107.64248	4.57167E-8	0.4987	7.44895	7.51883	1.1225	1.11207	1786.10164	62134.415	384.231	63.209
1435.0	0.17845	0.82155	7.02997	7.77309	-1.11637	25.37418	31.10267	1.78956	0.5588	0.0566527	101.09599	0.0192233	0.47355	7.48131	13.09029	1.11438	0.63689	1784.44555	60392.883	348.306	1589.199
1430.0	0.30785	0.69215	7.05434	7.74628	-1.45744	24.55833	31.55406	1.7588	0.56857	0.51219	96.23949	0.17609	0.45435	7.51367	45.08706	1.10634	0.18437	1782.94959	59031.43	272.291	2735.645
1427.78	0.35438	0.64562	7.06333	7.73639	-1.5832	24.26249	31.71631	1.74752	0.57224	0.90669	94.52342	0.31321	0.4474	7.52831	72.65776	1.10275	0.11426	1782.32766	58525.785	 	3146.173
1425.0	0.43927	0.56073	7.07837	7.72002	-1.79145	23.7555	31.91229	1.73395	0.57672	1.80914	92.77783	0.63016	0.43547	7.54367	185.54244	1.0987	0.0446704	1780.3486	57515.665	303.153	4036.933
1420.0	0.55702	0.44298	7.0999	7.69667	-2.08853	23.0457	32.17625	1.71466	0.58321	4.51755	90.60044	1.59208	0.41876	7.57112	545.80354	1.0915	0.0151407	1777.13955	56072.38	288.657	5266.271
1415.0	0.64089	0.35911	7.11608	7.67932	-2.30931	22.53569	32.35001	1.70041	0.58809	8.45626	89.24445	3.00566	0.40672	7.5987	1053.81603	1.08432	0.00781867	1774.25426	54991.261	216.224	6133.968
1410.0	0.70272	0.29728	7.12869	7.66591	-2.47989	22.15732	32.46408	1.68942	0.59192	13.1972	88.39508	4.72089	0.39775	7.62734	1651.07449	1.07705	0.00497557	1771.6464	54145.277	169.197	6767.052
1405.0	0.74961	0.25039	7.13896	7.65505	-2.61801	21.86398	32.53675	1.68064	0.59501	18.26375	87.87674	6.56565	0.39086	7.65614	2297.46587	1.06981	0.00356507	1769.28478	53458.205	137.414	7241.739
1400.0	0.78597	0.21403	7.14753	7.64605	-2.73255	21.63257	32.57994	1.67341	0.59758	23.28793	87.58531	8.40448	0.38545	7.68568	2969.74421	1.06253	0.00274981	1767.13488	52882.565	115.128	7605.507
1395.0	0.81473	0.18527	7.15486	7.63837	-2.83018	21.44548	32.60144	1.66731	0.59977	28.04824	87.45426	10.15424	0.38111	7.716	3656.19688	1.05519	0.00222686	1765.17159	52387.248	99.0634	7889.463
1390.0	0.83799	0.16201	7.16133	7.63166	-2.9155	21.29074	32.60715	1.66202	0.60168	32.46513	87.43824	11.78362	0.37755	7.74709	4355.21037	1.0478	0.00186384	1763.37119	51949.936	87.4624	8115.92
1385.0	0.85719	0.14281	7.16719	7.62562	-2.99243	21.15784	32.60094	1.65734	0.60338	36.53073	87.50623	13.28805	0.37457	7.77854	5069.5772	1.04043	0.00159639	1761.71941	51555.437	78.8998	8300.067
1380.0	0.87327	0.12673	7.17257	7.62011	-3.06247	21.04298	32.58552	1.65312	0.60492	40.25047	87.63847	14.66818	0.37203	7.81102	5801.35198	1.03298	0.00139082	1760.1961	51193.895	72.3084	8451.758
1375.0	0.88689	0.11311	7.17759	7.61499	-3.12755	20.94097	32.56286	1.64927	0.60633	43.65193	87.82002	15.93316	0.36985	7.8439	6554.18888	1.02554	0.00122734	1758.79167	50858.19	67.141	8578.107
1370.0	0.89856	0.10144	7.18231	7.61022	-3.18828	20.85028	32.53439	1.64571	0.60764	46.76296	88.04117	17.09251	0.36794	7.87773	7331.71863	1.01804	0.00109385	1757.48961	50543.075	63.023	8684.362
1365.0	0.90866	0.0913442	7.18682	7.6057	-3.24581	20.76781	32.50124	1.64237	0.60888	49.62055	88.29328	18.15935	0.36625	7.91224	8138.64143	1.01051	9.824E-4	1756.28256	50244.606	59.6938	8774.46
1361.26	0.91521	0.0847905	7.19001	7.6025	-3.28656	20.71209	32.47367	1.64001	0.60975	51.56967	88.49844	18.88809	0.36514	7.93851	8757.09774	1.00487	9.10936E-4	1755.42967	50031.893	 	8831.68
1360.0	0.91807	0.0819298	7.19143	7.60107	-3.30473	20.68086	32.46666	1.6391	0.61009	52.42256	88.5516	19.2072	0.36466	7.94961	9000.62922	1.00269	8.85605E-4	1755.47448	49952.654	58.3904	8858.53
1355.0	0.92846	0.0715376	7.19683	7.59571	-3.37282	20.5675	32.43583	1.63564	0.61138	55.62739	88.78679	20.40766	0.3629	7.99485	9991.26777	0.99396	7.95354E-4	1755.68454	49649.206	60.6896	8954.58
1350.0	0.93727	0.0627254	7.20183	7.59079	-3.43543	20.46873	32.40003	1.63242	0.61259	58.49846	89.05549	21.48497	0.36138	8.04086	11011.85596	0.98524	7.19424E-4	1755.93912	49363.274	57.1864	9033.595
1345.0	0.94483	0.0551653	7.20654	7.58621	-3.49374	20.38138	32.36026	1.62939	0.61373	61.0929	89.35077	22.45997	0.36004	8.08737	12070.24027	0.97656	6.54319E-4	1756.23388	49091.188	54.4172	9099.244
1340.0	0.95138	0.0486166	7.211	7.58189	-3.54865	20.30299	32.31724	1.62652	0.61481	63.45535	89.66714	23.34899	0.35885	8.1347	13173.54792	0.96788	5.97666E-4	1756.56612	48830.277	52.1822	9154.192
1335.0	0.9571	0.0428978	7.21527	7.57779	-3.60078	20.23194	32.27155	1.62377	0.61585	65.62094	90.00067	24.1649	0.35777	8.18259	14328.65038	0.95923	5.47782E-4	1756.93258	48578.51	50.3534	9200.469
1330.0	0.96213	0.0378668	7.21937	7.57388	-3.65057	20.16704	32.22364	1.62113	0.61685	67.61911	90.34837	24.91855	0.3568	8.23136	15542.45318	0.95058	5.03433E-4	1757.32815	48334.317	48.8386	9239.643
1325.0	0.96659	0.033412	7.22333	7.57012	-3.69843	20.10718	32.17386	1.61857	0.61783	69.47348	90.70776	25.61865	0.35592	8.2811	16821.91331	0.94192	4.63691E-4	1757.75048	48096.463	47.5708	9272.943
1320.0	0.97056	0.0294445	7.22719	7.56648	-3.74467	20.05153	32.12247	1.61609	0.61878	71.20413	91.07706	26.27262	0.3551	8.33147	18174.38995	0.9333	4.27842E-4	1758.19693	47863.97	46.4986	9301.347
