T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.94413	7.83188	0.0	24.05325	31.9663	1.80747	0.55326	0.0	103.34155	0.0	0.49974	6.77334	6.77334	1.2777	1.2777	1806.12586	65960.674	 	0.0
1495.0	0.0	1.0	6.94795	7.82757	-0.0550329	23.99699	31.89261	1.80654	0.55355	0.0	103.52848	0.0	0.49974	6.83162	6.83162	1.26323	1.26323	1808.07338	65738.545	44.4258	0.0
1490.0	0.0	1.0	6.95177	7.82327	-0.10991	23.94074	31.81893	1.8056	0.55383	0.0	103.7154	0.0	0.49974	6.89074	6.89074	1.24885	1.24885	1810.01815	65516.991	44.3108	0.0
1485.0	0.0	1.0	6.95558	7.81898	-0.16463	23.88449	31.74524	1.80466	0.55412	0.0	103.90233	0.0	0.49974	6.95071	6.95071	1.23456	1.23456	1811.96016	65296.009	44.1964	0.0
1480.0	0.0	1.0	6.95938	7.81471	-0.2192	23.82825	31.67155	1.80371	0.55441	0.0	104.08926	0.0	0.49974	7.01155	7.01155	1.22037	1.22037	1813.89936	65075.595	44.0828	0.0
1478.02	0.0	1.0	6.96089	7.81302	-0.24076	23.80599	31.64239	1.80334	0.55453	0.0	104.16325	0.0	0.49974	7.03588	7.03588	1.21478	1.21478	1814.66619	64988.495	44.0077	0.0080
1475.0	0.13219	0.86781	6.98365	7.78752	-0.56643	23.02722	31.92327	1.78439	0.56042	0.0143175	98.15347	0.00483578	0.48037	7.04002	9.10379	1.21197	0.93722	1813.7123	63609.047	456.65	1246.694
1470.0	0.29608	0.70392	7.01274	7.7554	-0.97649	22.0603	32.26651	1.76036	0.56807	0.36922	90.76527	0.12678	0.45612	7.04785	30.01834	1.20716	0.28342	1812.3832	61854.297	350.95	2782.156
1465.0	0.41436	0.58564	7.03469	7.73154	-1.28115	21.35661	32.50585	1.74238	0.57393	1.44508	85.5218	0.50231	0.43843	7.05646	91.01457	1.20223	0.0932101	1811.27324	60539.117	263.036	3878.603
1460.0	0.50327	0.49673	7.05201	7.71301	-1.51774	20.82295	32.67644	1.7283	0.5786	3.20007	81.67195	1.12282	0.42501	7.06544	193.29551	1.19725	0.0437624	1810.34157	59506.814	206.461	4692.724
