T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.95848	7.84627	0.0	29.10099	31.40085	1.84002	0.54347	0.0	106.05592	0.0	0.49974	6.60666	6.60666	1.30994	1.30994	1763.73146	64623.775	 	0.0
1495.0	0.0	1.0	6.9624	7.84187	-0.0561804	29.05617	31.32479	1.83928	0.54369	0.0	106.2401	0.0	0.49974	6.66422	6.66422	1.29496	1.29496	1765.54887	64402.465	44.262	0.0
1490.0	0.0	1.0	6.9663	7.83747	-0.1122	29.01145	31.24873	1.83855	0.54391	0.0	106.42427	0.0	0.49974	6.72261	6.72261	1.28008	1.28008	1767.36339	64181.655	44.162	0.0
1485.0	0.0	1.0	6.9702	7.83309	-0.16807	28.96683	31.17266	1.83781	0.54413	0.0	106.60845	0.0	0.49974	6.78185	6.78185	1.2653	1.2653	1769.17501	63961.343	44.0624	0.0
1480.0	0.0	1.0	6.97409	7.82871	-0.22379	28.9223	31.0966	1.83706	0.54435	0.0	106.79263	0.0	0.49974	6.84196	6.84196	1.25062	1.25062	1770.98368	63741.524	43.9638	0.0
1475.0	0.0	1.0	6.97798	7.82436	-0.27934	28.87787	31.02054	1.83631	0.54457	0.0	106.97681	0.0	0.49974	6.90294	6.90294	1.23604	1.23604	1772.78938	63522.197	43.8654	0.0
1470.0	0.0	1.0	6.98185	7.82001	-0.33474	28.83354	30.94448	1.83556	0.54479	0.0	107.16098	0.0	0.49974	6.96482	6.96482	1.22155	1.22155	1774.59207	63303.357	43.768	0.0
1465.0	0.0	1.0	6.98573	7.81567	-0.38999	28.78931	30.86842	1.83481	0.54502	0.0	107.34516	0.0	0.49974	7.02762	7.02762	1.20716	1.20716	1776.39171	63085.001	43.6712	0.0
1460.0	0.0	1.0	6.98959	7.81135	-0.44507	28.74518	30.79236	1.83405	0.54524	0.0	107.52934	0.0	0.49974	7.09135	7.09135	1.19287	1.19287	1778.18828	62867.127	43.5748	0.0
1455.0	0.0	1.0	6.99345	7.80704	-0.5	28.70116	30.7163	1.83329	0.54547	0.0	107.71352	0.0	0.49974	7.15604	7.15604	1.17868	1.17868	1779.98173	62649.731	43.4792	0.0
1450.0	0.0	1.0	6.9973	7.80274	-0.55478	28.65723	30.64024	1.83252	0.5457	0.0	107.89769	0.0	0.49974	7.22169	7.22169	1.16458	1.16458	1781.77203	62432.839	43.3784	0.0
1445.0	0.0	1.0	7.00115	7.79846	-0.6094	28.61341	30.56418	1.83175	0.54593	0.0	108.08187	0.0	0.49974	7.28834	7.28834	1.15059	1.15059	1783.55913	62216.497	43.2684	0.0
1440.0	0.0	1.0	7.00499	7.79418	-0.66386	28.5697	30.48812	1.83098	0.54616	0.0	108.26605	0.0	0.49974	7.35599	7.35599	1.13669	1.13669	1785.34301	62000.698	43.1598	0.0
1435.0	0.0	1.0	7.00882	7.78992	-0.71817	28.52609	30.41205	1.8302	0.54639	0.0	108.45023	0.0	0.49974	7.42467	7.42467	1.12289	1.12289	1787.12363	61785.436	43.0524	0.0
1430.0	0.0	1.0	7.01264	7.78567	-0.77232	28.48259	30.33599	1.82942	0.54662	0.0	108.6344	0.0	0.49974	7.49441	7.49441	1.10918	1.10918	1788.90094	61570.709	42.9454	0.0
1428.55	0.0	1.0	7.01375	7.78445	-0.78799	28.47	30.31395	1.82919	0.54669	0.0	108.68778	0.0	0.49974	7.51481	7.51481	1.10523	1.10523	1789.41537	61508.574	42.8819	0.0070
1425.0	0.14454	0.85546	7.03785	7.75784	-1.1271	27.63083	30.54258	1.81171	0.55197	0.0322014	107.35834	0.0108764	0.48033	7.54169	12.99989	1.09899	0.63756	1787.49798	59731.841	500.344	1624.669
1420.0	0.30415	0.69585	7.06506	7.72811	-1.50602	26.70784	30.79258	1.79171	0.55813	0.64504	105.94834	0.22112	0.4586	7.5795	91.91441	1.09029	0.089908	1785.03265	57738.193	398.73	3404.647
1415.0	0.42456	0.57544	7.08643	7.70499	-1.80062	26.00647	30.97453	1.77592	0.56309	2.4933	104.95914	0.86455	0.44197	7.61689	336.92442	1.08173	0.0244549	1782.79665	56195.238	308.591	4734.457
1412.6	0.4697	0.5303	7.09466	7.69613	-1.91351	25.74535	31.03832	1.76975	0.56505	3.76198	104.62214	1.31018	0.43568	7.63508	512.13557	1.07762	0.0160655	1781.77927	55597.578	 	5229.985
1410.0	0.5186	0.4814	7.10367	7.6864	-2.03758	25.45661	31.13669	1.76144	0.56772	5.12497	103.90864	1.7936	0.42868	7.64858	767.01506	1.07406	0.0107104	1780.49565	54982.397	242.568	5734.674
