T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.88404	7.74222	0.0	27.24729	32.47719	1.77904	0.5621	0.0	100.04019	0.0	0.49975	6.10903	6.10903	1.41664	1.41664	1784.20373	65182.233	 	0.0
1495.0	0.0	1.0	6.88787	7.7379	-0.0557039	27.19842	32.40418	1.77802	0.56242	0.0	100.22332	0.0	0.49975	6.16014	6.16014	1.40093	1.40093	1786.18271	64963.061	43.8344	0.0
1490.0	0.0	1.0	6.8917	7.7336	-0.11125	27.14962	32.33118	1.77699	0.56275	0.0	100.40644	0.0	0.49975	6.21196	6.21196	1.38531	1.38531	1788.15911	64744.457	43.7208	0.0
1485.0	0.0	1.0	6.89553	7.72932	-0.16665	27.10088	32.25817	1.77596	0.56307	0.0	100.58957	0.0	0.49975	6.26453	6.26453	1.36979	1.36979	1790.13292	64526.417	43.608	0.0
1480.0	0.0	1.0	6.89935	7.72504	-0.22188	27.0522	32.18516	1.77493	0.5634	0.0	100.7727	0.0	0.49975	6.31784	6.31784	1.35437	1.35437	1792.10409	64308.937	43.496	0.0
1475.0	0.0	1.0	6.90316	7.72077	-0.27697	27.00359	32.11215	1.77389	0.56373	0.0	100.95583	0.0	0.49975	6.37191	6.37191	1.33905	1.33905	1794.07259	64092.013	43.3848	0.0
1470.0	0.0	1.0	6.90696	7.71652	-0.3319	26.95505	32.03914	1.77285	0.56406	0.0	101.13895	0.0	0.49975	6.42676	6.42676	1.32382	1.32382	1796.03838	63875.642	43.2742	0.0
1465.0	0.0	1.0	6.91076	7.71228	-0.38667	26.90656	31.96613	1.7718	0.5644	0.0	101.32208	0.0	0.49975	6.48241	6.48241	1.30869	1.30869	1798.00142	63659.818	43.1648	0.0
1460.0	0.0	1.0	6.91455	7.70805	-0.44129	26.85815	31.89312	1.77075	0.56473	0.0	101.50521	0.0	0.49975	6.53886	6.53886	1.29366	1.29366	1799.96168	63444.54	43.0556	0.0
1455.0	0.0	1.0	6.91833	7.70384	-0.49575	26.8098	31.82011	1.76969	0.56507	0.0	101.68834	0.0	0.49975	6.59613	6.59613	1.27873	1.27873	1801.91912	63229.802	42.9476	0.0
