T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.87595	7.7082	0.0	27.73119	32.60137	1.77226	0.56425	0.0	99.41117	0.0	0.49975	5.9413	5.9413	1.45663	1.45663	1780.18132	64935.027	 	0.0
1495.0	0.0	1.0	6.87978	7.7039	-0.0556959	27.68372	32.52917	1.77118	0.56459	0.0	99.59366	0.0	0.49975	5.99074	5.99074	1.44054	1.44054	1782.17298	64716.938	43.6178	0.0
1490.0	0.0	1.0	6.88361	7.69962	-0.11124	27.63633	32.45696	1.77011	0.56494	0.0	99.77614	0.0	0.49975	6.04088	6.04088	1.42454	1.42454	1784.16223	64499.408	43.506	0.0
1485.0	0.0	1.0	6.88743	7.69535	-0.16662	27.589	32.38476	1.76902	0.56528	0.0	99.95863	0.0	0.49975	6.09173	6.09173	1.40865	1.40865	1786.14904	64282.432	43.3952	0.0
1480.0	0.0	1.0	6.89124	7.69109	-0.22185	27.54175	32.31255	1.76793	0.56563	0.0	100.14112	0.0	0.49975	6.1433	6.1433	1.39285	1.39285	1788.13338	64066.009	43.2846	0.0
1475.0	0.0	1.0	6.89505	7.68685	-0.27693	27.49458	32.24035	1.76684	0.56598	0.0	100.3236	0.0	0.49975	6.1956	6.1956	1.37715	1.37715	1790.11521	63850.133	43.1752	0.0
1470.0	0.0	1.0	6.89884	7.68262	-0.33185	27.44748	32.16815	1.76574	0.56634	0.0	100.50609	0.0	0.49975	6.24866	6.24866	1.36155	1.36155	1792.0945	63634.801	43.0664	0.0
1465.0	0.0	1.0	6.90264	7.67839	-0.38662	27.40045	32.09594	1.76463	0.56669	0.0	100.68858	0.0	0.49975	6.30248	6.30248	1.34605	1.34605	1794.07122	63420.01	42.9582	0.0
1460.0	0.0	1.0	6.90642	7.67418	-0.44123	27.3535	32.02374	1.76353	0.56705	0.0	100.87106	0.0	0.49975	6.35707	6.35707	1.33066	1.33066	1796.04533	63205.756	42.8508	0.0
1455.0	0.0	1.0	6.9102	7.66999	-0.49568	27.30663	31.95154	1.76241	0.5674	0.0	101.05355	0.0	0.49975	6.41246	6.41246	1.31536	1.31536	1798.01679	62992.034	42.7444	0.0
1450.0	0.0	1.0	6.91398	7.6658	-0.54998	27.25984	31.87933	1.76129	0.56776	0.0	101.23604	0.0	0.49975	6.46866	6.46866	1.30016	1.30016	1799.98556	62778.844	42.638	0.0
1445.0	0.0	1.0	6.91774	7.66163	-0.60413	27.21313	31.80713	1.76017	0.56813	0.0	101.41852	0.0	0.49975	6.52568	6.52568	1.28506	1.28506	1801.95162	62566.183	42.5322	0.0
1440.0	0.0	1.0	6.9215	7.65747	-0.65812	27.16649	31.73492	1.75904	0.56849	0.0	101.60101	0.0	0.49975	6.58354	6.58354	1.27006	1.27006	1803.91491	62354.048	42.427	0.0
1435.0	0.0	1.0	6.92526	7.65332	-0.71195	27.11994	31.66272	1.75791	0.56886	0.0	101.7835	0.0	0.49975	6.64225	6.64225	1.25515	1.25515	1805.87541	62142.435	42.3226	0.0
1430.0	0.0	1.0	6.929	7.64918	-0.76563	27.07347	31.59052	1.75677	0.56923	0.0	101.96598	0.0	0.49975	6.70184	6.70184	1.24035	1.24035	1807.83308	61931.341	42.2188	0.0
1425.0	0.0	1.0	6.93274	7.64505	-0.81916	27.02708	31.51831	1.75562	0.5696	0.0	102.14847	0.0	0.49975	6.76232	6.76232	1.22565	1.22565	1809.78786	61720.763	42.1156	0.0
1420.0	0.0	1.0	6.93647	7.64094	-0.87253	26.98078	31.44611	1.75447	0.56997	0.0	102.33096	0.0	0.49975	6.82371	6.82371	1.21105	1.21105	1811.73973	61510.696	42.0134	0.0
1415.0	0.0	1.0	6.9402	7.63684	-0.92574	26.93455	31.37391	1.75332	0.57035	0.0	102.51344	0.0	0.49975	6.88602	6.88602	1.19655	1.19655	1813.68864	61301.139	41.9114	0.0
1410.0	0.0	1.0	6.94392	7.63275	-0.9788	26.88842	31.3017	1.75216	0.57073	0.0	102.69593	0.0	0.49975	6.94928	6.94928	1.18214	1.18214	1815.63454	61092.086	41.8106	0.0
1405.0	0.0	1.0	6.94763	7.62867	-1.03171	26.84237	31.2295	1.75099	0.57111	0.0	102.87842	0.0	0.49975	7.0135	7.0135	1.16784	1.16784	1817.57741	60883.535	41.7102	0.0
1403.19	0.0	1.0	6.94897	7.6272	-1.05077	26.82576	31.20343	1.75057	0.57124	0.0	102.9443	0.0	0.49975	7.03693	7.03693	1.1627	1.1627	1818.27809	60808.363	41.6428	0.0010
1400.0	0.03607	0.96393	6.95634	7.61918	-1.15484	26.60486	31.25149	1.74454	0.57322	8.64594E-5	101.50018	2.89289E-5	0.49434	7.04049	7.38107	1.1599	1.10637	1818.41869	60348.652	143.892	326.826
1395.0	0.0881106	0.91189	6.96727	7.60722	-1.30997	26.27819	31.31662	1.73571	0.57613	0.00312076	99.44676	0.0010497	0.4865	7.04574	8.16196	1.15557	0.99753	1818.67742	59670.467	135.637	797.45
1390.0	0.13537	0.86463	6.97744	7.59618	-1.45323	25.98166	31.37131	1.72749	0.57887	0.017616	97.62046	0.00595397	0.47935	7.05104	10.00222	1.15124	0.81156	1818.97182	59037.074	126.679	1223.775
1385.0	0.17846	0.82154	6.98694	7.58586	-1.5871	25.70882	31.41652	1.71982	0.58146	0.0538958	95.99205	0.0182973	0.47278	7.05643	14.01075	1.1469	0.57763	1819.30113	58442.748	118.865	1611.522
1380.0	0.21787	0.78213	6.99585	7.57636	-1.71027	25.46351	31.45409	1.71259	0.58391	0.12122	94.54193	0.0413234	0.46675	7.06194	21.3534	1.14255	0.37786	1819.65869	57882.687	112.012	1965.486
1375.0	0.25406	0.74594	7.00423	7.56737	-1.8269	25.23449	31.48407	1.70578	0.58624	0.22684	93.24576	0.077623	0.46118	7.06744	33.15506	1.13821	0.24262	1820.04808	57352.844	105.969	2289.715
1370.0	0.28738	0.71262	7.01214	7.55894	-1.93633	25.02384	31.50761	1.69934	0.58846	0.37569	92.08915	0.12901	0.45603	7.07303	50.45021	1.13386	0.15896	1820.46505	56849.784	100.612	2587.643
1365.0	0.31813	0.68187	7.01958	7.55102	-2.03907	24.83028	31.52524	1.69322	0.59059	0.57068	91.05646	0.19662	0.45125	7.07894	74.18892	1.12946	0.10777	1820.90727	56370.569	95.843	2862.199
1360.0	0.3466	0.6534	7.02669	7.54353	-2.13617	24.65105	31.53793	1.68737	0.59264	0.81313	90.13628	0.28101	0.4468	7.08467	105.24813	1.12511	0.0757353	1821.37405	55912.682	91.5774	3115.901
1355.0	0.37301	0.62699	7.03346	7.53636	-2.22929	24.48173	31.54554	1.6818	0.5946	1.1027	89.3163	0.38218	0.44265	7.09047	144.40192	1.12074	0.0550311	1821.86679	55473.952	87.746	3350.915
1350.0	0.39755	0.60245	7.03991	7.52955	-2.31759	24.32471	31.54894	1.67645	0.5965	1.43829	88.58799	0.49983	0.43878	7.09632	192.41257	1.11638	0.0411729	1822.38098	55052.496	84.2912	3569.123
1345.64	0.41779	0.58221	7.04538	7.52391	-2.39079	24.19748	31.54904	1.67195	0.5981	1.77069	88.01354	0.61672	0.43557	7.10141	242.54773	1.11259	0.0325748	1822.84545	54696.273	 	3748.681
1345.64	0.41779	0.58221	7.04538	7.52391	-2.39079	24.19748	31.54904	1.67195	0.5981	1.77069	88.01354	0.61672	0.43557	7.10141	242.54771	1.11259	0.0325748	1822.84545	54696.274	 	3748.681
1345.0	0.42244	0.57756	7.04648	7.52274	-2.40589	24.16649	31.55231	1.67111	0.5984	1.83015	87.98495	0.63772	0.43491	7.10091	255.96932	1.11222	0.0308544	1822.87846	54621.892	86.1208	3796.944
1340.0	0.45696	0.54304	7.05501	7.51367	-2.52367	23.92319	31.57337	1.66484	0.60066	2.33398	87.81469	0.81611	0.42994	7.09515	376.6626	1.10968	0.020903	1823.17977	54063.518	111.675	4152.996
1335.0	0.48851	0.51149	7.06298	7.50531	-2.6321	23.70476	31.58773	1.65892	0.6028	2.91176	87.72677	1.0214	0.42537	7.08958	527.79803	1.10711	0.0148712	1823.51418	53538.242	105.055	4476.411
1330.0	0.51739	0.48261	7.07047	7.49755	-2.73271	23.50705	31.59597	1.65333	0.60484	3.56727	87.70466	1.25506	0.42115	7.08397	711.24583	1.10455	0.0110012	1823.88145	53042.579	99.1326	4770.667
1325.0	0.54387	0.45613	7.07753	7.49035	-2.82613	23.32854	31.59878	1.64803	0.60679	4.30293	87.73737	1.51805	0.41725	7.07843	928.67222	1.10196	0.00839927	1824.2789	52573.516	93.8126	5038.776
1320.0	0.56819	0.43181	7.08425	7.48354	-2.91453	23.16313	31.59621	1.64301	0.60864	5.11882	87.8152	1.81051	0.41364	7.07277	1181.34018	1.09939	0.00658216	1824.71085	52128.431	89.017	5283.358
1315.0	0.59055	0.40945	7.09058	7.47722	-2.99654	23.015	31.58913	1.63822	0.61042	6.01337	87.93253	2.13196	0.41029	7.0677	1470.81245	1.09673	0.00527013	1825.16751	51705.027	84.6808	5506.708
1310.0	0.61112	0.38888	7.09663	7.47123	-3.07418	22.87845	31.57775	1.63365	0.61213	6.9831	88.08351	2.48124	0.40718	7.06277	1798.30856	1.09404	0.00429679	1825.65395	51301.281	80.7492	5710.844
1305.0	0.63006	0.36994	7.10235	7.46563	-3.14683	22.75539	31.5624	1.62928	0.61377	8.02178	88.26407	2.85616	0.40429	7.05873	2165.05553	1.09121	0.00355767	1826.16364	50915.405	77.1752	5897.554
1300.0	0.64752	0.35248	7.10785	7.46031	-3.21591	22.64187	31.54343	1.6251	0.61535	9.12366	88.4703	3.25472	0.40161	7.05514	2572.59079	1.08831	0.0029846	1826.70019	50545.802	73.9206	6068.43
1295.0	0.66363	0.33637	7.11309	7.45535	-3.28022	22.5415	31.52138	1.62106	0.61688	10.28018	88.69989	3.67383	0.39911	7.0528	3022.56864	1.08521	0.0025322	1827.25393	50191.038	70.9528	6224.905
1290.0	0.67851	0.32149	7.1181	7.4506	-3.34185	22.44827	31.49614	1.61719	0.61836	11.48341	88.94875	4.11067	0.39678	7.05149	3516.47679	1.08195	0.0021696	1827.83319	49849.819	68.2438	6368.269
1285.0	0.69224	0.30776	7.12294	7.44607	-3.4006	22.36286	31.46816	1.61345	0.61979	12.72574	89.2154	4.56249	0.39461	7.05112	4056.60608	1.07854	0.00187471	1828.43439	49520.973	65.7692	6499.694
