T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	7.03349	7.8759	0.0	29.10399	31.04698	1.86099	0.53735	0.0	107.34398	0.0	0.49776	6.78238	6.78238	1.276	1.276	1767.81731	65193.477	 	0.0
1495.0	0.0	1.0	7.0374	7.87153	-0.0555095	29.0609	30.96965	1.86038	0.53753	0.0	107.52878	0.0	0.49776	6.84212	6.84212	1.26129	1.26129	1769.61936	64973.218	44.0518	0.0
1490.0	0.0	1.0	7.0413	7.86717	-0.11086	29.01792	30.89232	1.85976	0.5377	0.0	107.71358	0.0	0.49776	6.90274	6.90274	1.24668	1.24668	1771.41844	64753.448	43.954	0.0
1485.0	0.0	1.0	7.04519	7.86282	-0.16606	28.97504	30.81499	1.85914	0.53788	0.0	107.89838	0.0	0.49776	6.96425	6.96425	1.23216	1.23216	1773.21453	64534.164	43.8568	0.0
1480.0	0.0	1.0	7.04908	7.85849	-0.22111	28.93226	30.73766	1.85851	0.53806	0.0	108.08319	0.0	0.49776	7.02666	7.02666	1.21775	1.21775	1775.00759	64315.361	43.7606	0.0
1475.0	0.0	1.0	7.05296	7.85416	-0.276	28.88959	30.66034	1.85789	0.53825	0.0	108.26799	0.0	0.49776	7.08999	7.08999	1.20343	1.20343	1776.79757	64097.037	43.6648	0.0
1470.0	0.0	1.0	7.05683	7.84985	-0.33073	28.84704	30.58301	1.85726	0.53843	0.0	108.45279	0.0	0.49776	7.15426	7.15426	1.18921	1.18921	1778.58445	63879.19	43.5694	0.0
1465.0	0.0	1.0	7.0607	7.84555	-0.38531	28.80459	30.50568	1.85663	0.53861	0.0	108.63759	0.0	0.49776	7.21948	7.21948	1.17508	1.17508	1780.36819	63661.814	43.4752	0.0
1460.0	0.0	1.0	7.06456	7.84127	-0.43974	28.76225	30.42835	1.85599	0.5388	0.0	108.82239	0.0	0.49776	7.28569	7.28569	1.16105	1.16105	1782.14874	63444.909	43.381	0.0
1455.0	0.0	1.0	7.06841	7.83699	-0.49401	28.72002	30.35102	1.85535	0.53898	0.0	109.00719	0.0	0.49776	7.35288	7.35288	1.14712	1.14712	1783.92607	63228.469	43.288	0.0
1450.0	0.0	1.0	7.07226	7.83273	-0.54812	28.67791	30.27369	1.85471	0.53917	0.0	109.192	0.0	0.49776	7.4211	7.4211	1.13329	1.13329	1785.70013	63012.526	43.1886	0.0
