T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	7.0372	7.88594	0.0	28.79269	30.97447	1.86535	0.53609	0.0	107.58858	0.0	0.49775	6.84713	6.84713	1.26393	1.26393	1769.96948	65244.524	 	0.0
1495.0	0.0	1.0	7.0411	7.88156	-0.0554517	28.74886	30.89718	1.86474	0.53627	0.0	107.7738	0.0	0.49775	6.90758	6.90758	1.24934	1.24934	1771.76112	65024.039	44.097	0.0
1490.0	0.0	1.0	7.045	7.8772	-0.11075	28.70514	30.81989	1.86413	0.53644	0.0	107.95902	0.0	0.49775	6.96892	6.96892	1.23484	1.23484	1773.54973	64804.043	43.9992	0.0
1485.0	0.0	1.0	7.04889	7.87286	-0.16589	28.66151	30.7426	1.86352	0.53662	0.0	108.14425	0.0	0.49775	7.03116	7.03116	1.22044	1.22044	1775.33527	64584.534	43.9018	0.0
1480.0	0.0	1.0	7.05278	7.86852	-0.22088	28.61798	30.66531	1.8629	0.5368	0.0	108.32947	0.0	0.49775	7.09432	7.09432	1.20613	1.20613	1777.11772	64365.508	43.8052	0.0
1475.0	0.0	1.0	7.05665	7.8642	-0.27571	28.57455	30.58803	1.86228	0.53698	0.0	108.51469	0.0	0.49775	7.1584	7.1584	1.19193	1.19193	1778.89703	64146.962	43.7092	0.0
1470.0	0.0	1.0	7.06052	7.85988	-0.33039	28.53122	30.51074	1.86166	0.53716	0.0	108.69991	0.0	0.49775	7.22344	7.22344	1.17782	1.17782	1780.67316	63928.892	43.614	0.0
1465.0	0.0	1.0	7.06439	7.85558	-0.38491	28.488	30.43345	1.86103	0.53734	0.0	108.88514	0.0	0.49775	7.28945	7.28945	1.1638	1.1638	1782.44608	63711.296	43.5192	0.0
1460.0	0.0	1.0	7.06825	7.8513	-0.43928	28.44488	30.35616	1.8604	0.53752	0.0	109.07036	0.0	0.49775	7.35645	7.35645	1.14989	1.14989	1784.21575	63494.171	43.425	0.0
1455.0	0.0	1.0	7.0721	7.84702	-0.49349	28.40187	30.27887	1.85977	0.5377	0.0	109.25558	0.0	0.49775	7.42446	7.42446	1.13607	1.13607	1785.98212	63277.514	43.3314	0.0
1450.0	0.0	1.0	7.07594	7.84276	-0.54755	28.35896	30.20159	1.85914	0.53788	0.0	109.4408	0.0	0.49775	7.49349	7.49349	1.12234	1.12234	1787.74515	63061.353	43.2322	0.0
1445.0	0.0	1.0	7.07978	7.83851	-0.60145	28.31616	30.1243	1.8585	0.53807	0.0	109.62602	0.0	0.49775	7.56358	7.56358	1.10872	1.10872	1789.50481	62845.739	43.1228	0.0
1440.0	0.0	1.0	7.08361	7.83427	-0.6552	28.27347	30.04701	1.85786	0.53826	0.0	109.81125	0.0	0.49775	7.63473	7.63473	1.09519	1.09519	1791.26105	62630.664	43.015	0.0
1435.0	0.0	1.0	7.08743	7.83004	-0.70879	28.23089	29.96972	1.85721	0.53844	0.0	109.99647	0.0	0.49775	7.70698	7.70698	1.08175	1.08175	1793.01383	62416.124	42.908	0.0
1430.0	0.0	1.0	7.09125	7.82583	-0.76223	28.18843	29.89244	1.85656	0.53863	0.0	110.18169	0.0	0.49775	7.78034	7.78034	1.06842	1.06842	1794.7631	62202.114	42.802	0.0
1425.0	0.0	1.0	7.09506	7.82163	-0.81551	28.14607	29.81515	1.85591	0.53882	0.0	110.36691	0.0	0.49775	7.85484	7.85484	1.05518	1.05518	1796.50883	61988.632	42.6964	0.0
1420.33	0.0	1.0	7.09861	7.81772	-0.8651	28.10665	29.74303	1.8553	0.539	0.0	110.53976	0.0	0.49775	7.9254	7.9254	1.04291	1.04291	1798.13463	61789.911	42.5908	0.0
1420.0	0.01434	0.98566	7.10101	7.81522	-0.89673	28.02816	29.76561	1.85352	0.53951	3.23222E-6	110.43627	1.0804E-6	0.49585	7.93038	8.08303	1.04205	1.02237	1797.99166	61610.113	538.027	165.558
1415.0	0.20991	0.79009	7.13367	7.77934	-1.35175	26.89877	30.07272	1.82918	0.54669	0.15225	109.00792	0.0518049	0.46949	8.00646	30.13576	1.0291	0.27341	1796.01883	59149.915	492.04	2413.319
1412.08	0.29781	0.70219	7.14875	7.76299	-1.55905	26.39369	30.20803	1.81784	0.5501	0.62383	108.4087	0.214	0.45753	8.05135	93.84974	1.02159	0.0876423	1794.92014	58019.039	 	3420.563
1410.0	0.36656	0.63344	7.16075	7.74992	-1.72481	25.98364	30.39041	1.8047	0.55411	1.13888	107.34932	0.3933	0.44785	8.07366	199.02458	1.01751	0.0412765	1793.75636	57202.279	389.527	4149.034
1405.0	0.50284	0.49716	7.18511	7.72367	-2.05766	25.17135	30.74963	1.77831	0.56233	3.12702	105.40403	1.0945	0.42852	8.1277	684.04315	1.00774	0.0119739	1791.15574	55546.497	331.156	5593.406
1400.0	0.6027	0.3973	7.2039	7.70358	-2.31239	24.5667	31.00494	1.75842	0.56869	5.98535	104.14589	2.11614	0.41421	8.18227	1451.04928	0.99804	0.00562781	1788.75454	54276.562	253.987	6652.442
1395.0	0.67804	0.32196	7.21896	7.68755	-2.51574	24.09853	31.18178	1.74322	0.57365	9.64911	103.33664	3.43797	0.40331	8.23785	2425.5395	0.98834	0.00335671	1786.53416	53266.685	201.975	7451.925
1390.0	0.73631	0.26369	7.23148	7.67427	-2.68415	23.72315	31.30487	1.73116	0.57765	14.16077	102.83171	5.07627	0.3948	8.2941	3542.28445	0.9787	0.00229158	1784.47804	52438.105	165.716	8070.614
1385.0	0.78236	0.21764	7.24221	7.66298	-2.82731	23.41478	31.38902	1.72133	0.58095	19.57105	102.53959	7.05007	0.388	8.35143	4757.12841	0.96906	0.00170124	1782.56726	51739.64	139.693	8559.689
1380.0	0.81944	0.18056	7.25165	7.65311	-2.95242	23.15421	31.44439	1.71312	0.58373	25.83377	102.39877	9.3433	0.38248	8.40989	6044.0991	0.95942	0.00133496	1780.78588	51137.001	120.528	8953.432
1375.0	0.84977	0.15023	7.26016	7.64425	-3.06484	22.927	31.4779	1.70612	0.58613	32.75834	102.36757	11.88709	0.3779	8.46943	7390.13588	0.94979	0.00108851	1779.12348	50606.579	106.084	9275.45
1370.0	0.87495	0.12505	7.26799	7.63615	-3.16756	22.72525	31.49459	1.70004	0.58822	40.02475	102.4181	14.56454	0.37405	8.5301	8789.42818	0.94018	9.12438E-4	1777.56583	50131.713	94.9732	9542.403
1365.0	0.89612	0.10388	7.2753	7.6286	-3.26327	22.54161	31.49808	1.69468	0.59008	47.28606	102.52985	17.24804	0.37077	8.59186	10243.00084	0.93058	7.80572E-4	1776.10518	49700.378	86.267	9766.312
1360.0	0.91412	0.0858839	7.28222	7.62151	-3.35313	22.37308	31.49107	1.68988	0.59176	54.22889	102.68922	19.82139	0.36794	8.6551	11753.65485	0.92096	6.78172E-4	1774.72603	49303.714	79.3328	9956.032
1355.0	0.92957	0.0704344	7.28884	7.61475	-3.43884	22.21501	31.47552	1.68554	0.59328	60.6538	102.88488	22.20985	0.36547	8.7198	13327.6633	0.91133	5.96248E-4	1773.42322	48935.078	73.7272	10118.206
1352.2	0.93729	0.0627067	7.29246	7.61107	-3.48554	22.12968	31.46373	1.68327	0.59408	63.98694	103.00718	23.45183	0.36422	8.75636	14239.70017	0.90596	5.57099E-4	1772.71492	48738.775	 	10199.04
1350.0	0.94566	0.054338	7.29634	7.60714	-3.53542	22.02491	31.46296	1.68104	0.59487	67.61684	103.07921	24.80637	0.36289	8.79426	15140.3487	0.90084	5.2325E-4	1772.80621	48556.365	75.7426	10290.933
1345.0	0.96274	0.0372603	7.30473	7.59867	-3.64274	21.80282	31.45407	1.67633	0.59654	75.04862	103.27272	27.58834	0.36015	8.88227	17253.37055	0.88916	4.57753E-4	1773.02052	48165.118	78.2494	10476.67
1340.0	0.97712	0.0228766	7.31253	7.59084	-3.74205	21.60191	31.43506	1.67216	0.59803	81.26477	103.50274	29.92528	0.35779	8.97204	19434.07486	0.87755	4.05133E-4	1773.24477	47805.24	71.9756	10631.509
1335.0	0.9894	0.0106011	7.31988	7.5835	-3.83515	21.41727	31.40795	1.66842	0.59937	86.55092	103.76016	31.92019	0.35574	9.06411	21698.29384	0.86594	3.61733E-4	1773.47103	47470.092	67.0296	10762.087
1330.0	1.0	0.0	7.32689	7.57652	-3.92364	21.24452	31.37429	1.66501	0.6006	91.18509	104.03803	33.67439	0.35392	 	24062.0774	 	3.25183E-4	 	47154.755	63.0674	10873.319
1325.0	1.0	0.0	7.32949	7.57384	-3.95769	21.22777	31.30781	1.66335	0.6012	91.62877	104.39203	33.84356	0.35371	 	25586.06617	 	3.0486E-4	 	46906.669	49.6172	 
1320.0	1.0	0.0	7.33208	7.57115	-3.9917	21.21104	31.24133	1.66167	0.6018	92.07264	104.74521	34.01286	0.3535	 	27217.22032	 	2.85693E-4	 	46713.534	38.627	 
1315.0	1.0	0.0	7.33468	7.56848	-4.02566	21.19432	31.17485	1.65999	0.60241	92.51669	105.09758	34.18228	0.35328	 	28963.79583	 	2.67623E-4	 	46520.714	38.564	 
1310.0	1.0	0.0	7.33727	7.5658	-4.05957	21.17762	31.10837	1.6583	0.60303	92.96091	105.44913	34.35181	0.35307	 	30834.73867	 	2.50593E-4	 	46328.191	38.5046	 
1305.0	1.0	0.0	7.33986	7.56313	-4.09343	21.16094	31.04188	1.6566	0.60365	93.40531	105.79985	34.52146	0.35286	 	32839.74689	 	2.3455E-4	 	46135.963	38.4456	 
1300.0	1.0	0.0	7.34245	7.56047	-4.12724	21.14427	30.9754	1.6549	0.60427	93.84986	106.14973	34.69123	0.35265	 	34989.33867	 	2.19443E-4	 	45944.025	38.3876	 
