T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.9412	7.86149	0.0	26.49645	31.36767	1.84196	0.5429	0.0	105.57854	0.0	0.49975	6.69848	6.69848	1.29198	1.29198	1763.15568	64777.611	 	0.0
1495.0	0.0	1.0	6.94508	7.8571	-0.0558695	26.44503	31.29333	1.84113	0.54314	0.0	105.76485	0.0	0.49975	6.75684	6.75684	1.27721	1.27721	1764.93086	64555.926	44.337	0.0
1490.0	0.0	1.0	6.94896	7.85272	-0.11158	26.39366	31.21899	1.8403	0.54339	0.0	105.95116	0.0	0.49975	6.81605	6.81605	1.26253	1.26253	1766.70275	64334.754	44.2344	0.0
1485.0	0.0	1.0	6.95283	7.84835	-0.16714	26.34233	31.14465	1.83946	0.54364	0.0	106.13747	0.0	0.49975	6.87612	6.87612	1.24796	1.24796	1768.47131	64114.094	44.132	0.0
1480.0	0.0	1.0	6.95669	7.844	-0.22254	26.29105	31.07031	1.83862	0.54389	0.0	106.32379	0.0	0.49975	6.93707	6.93707	1.23347	1.23347	1770.23651	63893.942	44.0304	0.0
1475.0	0.0	1.0	6.96054	7.83965	-0.27779	26.23981	30.99596	1.83777	0.54414	0.0	106.5101	0.0	0.49975	6.99891	6.99891	1.21909	1.21909	1771.99831	63674.294	43.9296	0.0
1470.0	0.0	1.0	6.96439	7.83532	-0.33288	26.18862	30.92162	1.83692	0.54439	0.0	106.69641	0.0	0.49975	7.06166	7.06166	1.2048	1.2048	1773.75667	63455.147	43.8294	0.0
1465.0	0.0	1.0	6.96823	7.831	-0.38782	26.13747	30.84728	1.83607	0.54464	0.0	106.88272	0.0	0.49975	7.12533	7.12533	1.19061	1.19061	1775.51155	63236.499	43.7296	0.0
1460.0	0.0	1.0	6.97206	7.8267	-0.4426	26.08638	30.77294	1.83521	0.5449	0.0	107.06903	0.0	0.49975	7.18996	7.18996	1.17651	1.17651	1777.2629	63018.345	43.6308	0.0
1455.0	0.0	1.0	6.97589	7.8224	-0.49723	26.03533	30.69859	1.83434	0.54515	0.0	107.25535	0.0	0.49975	7.25555	7.25555	1.16251	1.16251	1779.0107	62800.682	43.5326	0.0
