T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1800.0	0.0	1.0	6.74461	8.12557	0.0	25.57414	36.69037	1.84118	0.54313	0.0	92.27501	0.0	0.5	4.59396	4.59396	2.20257	2.20257	1618.8103	82029.134	 	0.0
1795.0	0.0	1.0	6.74877	8.12056	-0.0616913	25.51438	36.6199	1.84027	0.5434	0.0	92.47397	0.0	0.5	4.62334	4.62334	2.1833	2.1833	1620.47734	81794.696	46.8876	0.0
1790.0	0.0	1.0	6.75293	8.11556	-0.12323	25.45461	36.54942	1.83937	0.54367	0.0	92.67294	0.0	0.5	4.65304	4.65304	2.16412	2.16412	1622.14137	81560.325	46.8742	0.0
1785.0	0.0	1.0	6.75709	8.11057	-0.18462	25.39482	36.47894	1.83845	0.54394	0.0	92.87191	0.0	0.5	4.68308	4.68308	2.14503	2.14503	1623.80236	81326.024	46.8602	0.0
1780.0	0.0	1.0	6.76123	8.1056	-0.24585	25.33503	36.40846	1.83754	0.54421	0.0	93.07087	0.0	0.5	4.71346	4.71346	2.12602	2.12602	1625.46027	81091.793	46.8462	0.0
1775.0	0.0	1.0	6.76538	8.10063	-0.30694	25.27522	36.33798	1.83662	0.54448	0.0	93.26984	0.0	0.5	4.74418	4.74418	2.10711	2.10711	1627.11508	80857.633	46.832	0.0
1770.0	0.0	1.0	6.76951	8.09568	-0.36787	25.2154	36.26751	1.83569	0.54475	0.0	93.46881	0.0	0.5	4.77526	4.77526	2.08828	2.08828	1628.76676	80623.545	46.8176	0.0
1765.0	0.0	1.0	6.77365	8.09074	-0.42865	25.15556	36.19703	1.83477	0.54503	0.0	93.66777	0.0	0.5	4.8067	4.8067	2.06955	2.06955	1630.41527	80389.531	46.8028	0.0
1760.0	0.0	1.0	6.77777	8.08582	-0.48928	25.09571	36.12655	1.83384	0.5453	0.0	93.86674	0.0	0.5	4.8385	4.8385	2.0509	2.0509	1632.06059	80155.592	46.7878	0.0
1755.0	0.0	1.0	6.7819	8.0809	-0.54976	25.03585	36.05607	1.8329	0.54558	0.0	94.06571	0.0	0.5	4.87067	4.87067	2.03235	2.03235	1633.70267	79921.729	46.7726	0.0
1750.0	0.0	1.0	6.78601	8.076	-0.61008	24.97597	35.9856	1.83196	0.54586	0.0	94.26467	0.0	0.5	4.90321	4.90321	2.01388	2.01388	1635.3415	79687.942	46.7574	0.0
1745.0	0.0	1.0	6.79012	8.07111	-0.67025	24.91608	35.91512	1.83102	0.54614	0.0	94.46364	0.0	0.5	4.93614	4.93614	1.99551	1.99551	1636.97703	79454.234	46.7416	0.0
1740.0	0.0	1.0	6.79423	8.06624	-0.73028	24.85617	35.84464	1.83008	0.54642	0.0	94.66261	0.0	0.5	4.96945	4.96945	1.97722	1.97722	1638.60924	79220.605	46.7258	0.0
