T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.75153	0.24847	7.173	7.7347	0.0	17.32434	34.89687	1.65568	0.60398	21.30126	84.92389	7.66674	0.3892	7.49675	660.11582	1.15441	0.0131103	1766.96773	61071.498	 	0.0
1495.0	0.80017	0.19983	7.18288	7.72425	-0.13506	17.05355	35.09799	1.64155	0.60918	27.64719	83.74971	10.0041	0.38179	7.52912	880.136	1.1462	0.00980519	1761.62949	60449.941	124.311	399.722
1490.0	0.83783	0.16217	7.19125	7.71551	-0.24803	16.835	35.24141	1.63025	0.6134	33.53185	82.91532	12.18454	0.376	7.56219	1100.54864	1.13796	0.00781928	1756.33123	59923.158	105.357	705.221
1485.0	0.86748	0.13252	7.19853	7.70797	-0.34558	16.65287	35.34193	1.621	0.6169	38.85959	82.33297	14.168	0.37139	7.59589	1317.79606	1.1297	0.0065117	1751.10452	59465.635	91.5046	942.003
1480.0	0.89115	0.10885	7.20499	7.70133	-0.43136	16.4985	35.41038	1.61327	0.61986	43.62361	81.94168	15.94831	0.36766	7.63049	1530.74621	1.12138	0.00558988	1745.96361	59059.415	81.244	1128.025
1475.0	0.91034	0.0896606	7.21086	7.69534	-0.50885	16.3636	35.4545	1.60666	0.62241	47.86868	81.69584	17.5396	0.36459	7.66561	1739.87056	1.11306	0.00490398	1740.92141	58691.913	73.5004	1275.865
1470.0	0.92608	0.0739212	7.21625	7.68988	-0.5794	16.24501	35.48007	1.60091	0.62464	51.64941	81.56401	18.96041	0.36203	7.70154	1946.11454	1.1047	0.00437173	1735.97558	58354.03	67.5766	1394.621
1465.0	0.93914	0.0608604	7.2213	7.68481	-0.645	16.1379	35.49111	1.59583	0.62663	55.02657	81.52162	20.23223	0.35987	7.73788	2150.7508	1.09636	0.00394443	1731.13025	58039.19	62.968	1490.867
1460.0	0.95009	0.0499103	7.22605	7.68006	-0.70645	16.04047	35.49076	1.59125	0.62844	58.05517	81.55106	21.37479	0.35803	7.77525	2355.10005	1.08795	0.00359181	1726.37906	57742.529	59.3322	1569.461
1455.0	0.95934	0.040655	7.23057	7.67556	-0.76453	15.95077	35.48129	1.58708	0.63009	60.78222	81.63915	22.40511	0.35644	7.8133	2560.37124	1.07953	0.00329432	1721.71784	57460.472	56.4114	1633.979
1450.0	0.96724	0.0327586	7.2349	7.67128	-0.81996	15.86713	35.46448	1.58324	0.63162	63.25331	81.77503	23.33991	0.35505	7.85231	2767.90224	1.07106	0.0030385	1717.14248	57190.156	54.0632	1687.285
1445.0	0.97403	0.0259708	7.23908	7.66716	-0.87322	15.78841	35.44174	1.57966	0.63305	65.50618	81.95057	24.19307	0.35382	7.89196	2978.91874	1.06258	0.00281507	1712.64672	56929.434	52.1444	1731.534
1440.0	0.9799	0.0200968	7.24313	7.66318	-0.92466	15.71372	35.41409	1.57629	0.6344	67.57104	82.15948	24.97576	0.35273	7.93219	3194.50003	1.05412	0.00261745	1708.22693	56676.649	50.557	1768.38
1435.0	0.98502	0.0149831	7.24707	7.65932	-0.97458	15.64239	35.38239	1.5731	0.63569	69.47467	82.39668	25.69791	0.35176	7.973	3415.73534	1.04566	0.00244078	1703.87808	56430.489	49.232	1799.132
1430.0	0.98949	0.0105063	7.25092	7.65556	-1.02311	15.5741	35.34729	1.57005	0.63692	71.23835	82.65824	26.36744	0.35088	8.01504	3643.61079	1.03713	0.00228143	1699.59103	56189.907	48.1164	1824.835
1425.0	0.99343	0.00656779	7.25468	7.6519	-1.07052	15.50819	35.30933	1.56713	0.63811	72.88155	82.94073	26.99161	0.35008	8.05766	3879.14356	1.02862	0.00213662	1695.36546	55954.062	47.169	1846.325
1420.0	0.99691	0.00308832	7.25837	7.64831	-1.11693	15.44437	35.26895	1.5643	0.63926	74.42008	83.24148	27.57634	0.34935	8.1008	4123.30771	1.02013	0.00200418	1691.19825	55722.269	46.3586	1864.285
