T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.85585	7.97622	0.0	24.72234	31.86885	1.813	0.55157	0.0	104.67376	0.0	0.49627	7.16795	7.16795	1.20736	1.20736	1775.82874	66293.456	 	0.0
1495.0	0.0	1.0	6.85945	7.97204	-0.0523678	24.67469	31.80439	1.81155	0.55201	0.0	104.87051	0.0	0.49627	7.23097	7.23097	1.19346	1.19346	1777.09955	66070.592	44.5728	0.0
1492.84	0.0	1.0	6.861	7.97024	-0.075029	24.65397	31.77649	1.81092	0.55221	0.0	104.95564	0.0	0.49627	7.25852	7.25852	1.18748	1.18748	1777.64549	65974.366	44.4743	0.0
1490.0	0.0920504	0.90795	6.87411	7.95504	-0.26556	24.22075	32.02247	1.79412	0.55738	0.00378213	101.81109	0.00127507	0.48311	7.26976	8.35087	1.18374	1.03049	1775.31527	65054.228	324.407	794.068
1485.0	0.22311	0.77689	6.89341	7.93279	-0.54444	23.59734	32.36635	1.77003	0.56496	0.13242	97.36147	0.0452169	0.46424	7.28883	15.37918	1.17729	0.55797	1771.35149	63702.601	270.325	1923.978
1480.0	0.32441	0.67559	6.90892	7.91499	-0.7677	23.111	32.62435	1.75104	0.57109	0.59968	93.97436	0.20685	0.44954	7.3077	37.49522	1.17091	0.22821	1767.49157	62609.874	218.545	2795.555
1475.0	0.40476	0.59524	6.92176	7.90033	-0.95148	22.722	32.82126	1.73557	0.57618	1.47032	91.34564	0.51131	0.4378	7.32624	79.1456	1.16462	0.1078	1763.71261	61699.768	182.021	3485.074
1470.0	0.46988	0.53012	6.93274	7.88782	-1.10828	22.39933	32.97281	1.72265	0.5805	2.69956	89.27319	0.94509	0.42821	7.34405	140.2385	1.15847	0.0606672	1759.99756	60922.706	155.412	4042.113
1465.0	0.52362	0.47638	6.94219	7.87717	-1.24181	22.1342	33.0904	1.7116	0.58425	4.20557	87.62229	1.48059	0.42024	7.36192	218.85012	1.15235	0.0387639	1756.32406	60245.203	135.501	4500.15
1460.0	0.56866	0.43134	6.95059	7.86769	-1.36072	21.9049	33.18098	1.70202	0.58754	5.90679	86.29513	2.08941	0.41351	7.37889	312.66369	1.14639	0.0270549	1752.68374	59643.997	120.241	4882.445
1455.0	0.6069	0.3931	6.9581	7.85925	-1.46655	21.7078	33.25052	1.69356	0.59047	7.73508	85.22351	2.74732	0.40775	7.39551	419.66993	1.14051	0.0200983	1749.06017	59102.393	108.321	5205.688
1450.0	0.63975	0.36025	6.96492	7.85163	-1.56198	21.53633	33.30321	1.68599	0.59312	9.63695	84.35717	3.43497	0.40277	7.41173	538.24209	1.13472	0.0156254	1745.44199	58608.166	98.8454	5482.105
1445.0	0.66825	0.33175	6.97122	7.84462	-1.64992	21.38313	33.34203	1.67914	0.59554	11.57389	83.65684	4.13822	0.39841	7.42717	667.2244	1.12908	0.0125683	1741.82192	58152.187	91.1958	5720.822
1444.51	0.67098	0.32902	6.97192	7.8438	-1.66017	21.36377	33.34543	1.67849	0.59577	11.77476	83.59019	4.21131	0.39799	7.42847	680.89774	1.12856	0.0123124	1741.46784	58108.597	 	5743.342
1440.0	0.77395	0.22605	7.01789	7.79328	-2.29355	19.77662	33.65395	1.65874	0.60287	21.61168	80.30126	7.81325	0.38302	7.48034	1249.08346	1.11779	0.00669408	1732.64945	56895.516	251.334	6760.773
1435.0	0.84447	0.15553	7.05165	7.75687	-2.75006	18.64947	33.84808	1.64441	0.60812	31.57554	78.1687	11.50308	0.37248	7.53996	1850.30102	1.10572	0.00450578	1722.9693	56001.861	178.731	7438.248
1430.0	0.8899	0.1101	7.07507	7.73205	-3.06119	17.89695	33.9542	1.63447	0.61182	39.84725	76.93219	14.59033	0.36554	7.60205	2388.32085	1.09348	0.00348054	1713.55509	55364.278	127.517	7860.189
1425.0	0.92096	0.0790393	7.09235	7.71402	-3.28732	17.36356	34.00874	1.62706	0.61461	46.5545	76.21982	17.10706	0.36068	7.66617	2869.4754	1.08115	0.00288842	1704.47413	54871.495	98.5566	8137.867
1420.0	0.94314	0.0568618	7.10569	7.70025	-3.45992	16.96826	34.03105	1.6212	0.61683	51.99169	75.83581	19.15495	0.35713	7.73175	3307.21513	1.06882	0.00249873	1695.75096	54466.831	80.9328	8327.954
1415.0	0.95949	0.0405075	7.11639	7.68933	-3.59679	16.66514	34.03208	1.61637	0.61867	56.43242	75.66958	20.8322	0.35445	7.7984	3713.80019	1.05656	0.0022186	1687.39154	54118.983	69.5696	8461.755
1410.0	0.97189	0.0281073	7.12521	7.68041	-3.70869	16.42655	34.0187	1.61221	0.62026	60.10815	75.65312	22.22342	0.35236	7.86671	4099.85617	1.04428	0.00200374	1679.37558	53809.163	61.964	8558.053
1405.0	0.9815	0.0185038	7.1327	7.6729	-3.80287	16.23368	33.99511	1.60854	0.62168	63.19188	75.74342	23.39246	0.35069	7.93586	4473.34617	1.0321	0.00183099	1671.69382	53525.812	56.6702	8628.403
1400.0	0.98906	0.0109365	7.13918	7.66643	-3.88389	16.07481	33.96414	1.60521	0.62297	65.81373	75.91241	24.38766	0.34932	8.00601	4840.51852	1.02001	0.00168706	1664.32427	53261.425	52.8774	8680.309
1395.0	0.99511	0.00488998	7.14489	7.66077	-3.95494	15.94171	33.9277	1.60213	0.62417	68.07227	76.14078	25.2458	0.34819	8.07727	5206.33355	1.00799	0.00156383	1657.24279	53010.95	50.095	8718.817
1390.0	1.0	0.0	7.15	7.65571	-4.01833	15.82837	33.8871	1.59924	0.6253	70.04303	76.41489	25.99518	0.34723	 	5574.8627	 	0.00145608	 	52770.895	48.011	8747.421
1385.0	1.0	0.0	7.15209	7.65348	-4.04632	15.81044	33.83141	1.59706	0.62615	70.53684	76.85503	26.18226	0.34703	 	5855.15365	 	0.0013822	 	52528.877	48.4036	 
1380.0	1.0	0.0	7.15417	7.65125	-4.07427	15.79252	33.77571	1.59487	0.62701	71.03432	77.29803	26.37076	0.34684	 	6151.362	 	0.00131168	 	52323.41	41.0934	 
1375.0	1.0	0.0	7.15625	7.64902	-4.10216	15.77459	33.72001	1.59267	0.62788	71.53543	77.74385	26.56065	0.34664	 	6464.49074	 	0.00124437	 	52118.269	41.0282	 
1370.0	1.0	0.0	7.15833	7.6468	-4.13001	15.75666	33.6643	1.59047	0.62875	72.04013	78.19242	26.75194	0.34645	 	6795.61209	 	0.00118014	 	51913.452	40.9634	 
1365.0	1.0	0.0	7.16041	7.64458	-4.15782	15.73873	33.6086	1.58826	0.62962	72.54838	78.64371	26.9446	0.34625	 	7145.87268	 	0.00111888	 	51708.959	40.8986	 
1360.0	1.0	0.0	7.16248	7.64237	-4.18557	15.7208	33.55289	1.58604	0.6305	73.06015	79.09765	27.13862	0.34605	 	7516.4992	 	0.00106047	 	51504.787	40.8344	 
1355.0	1.0	0.0	7.16455	7.64016	-4.21328	15.70286	33.49718	1.58381	0.63139	73.5754	79.5542	27.33399	0.34586	 	7908.80442	 	0.00100478	 	51300.936	40.7702	 
1350.0	1.0	0.0	7.16662	7.63795	-4.24093	15.68492	33.44146	1.58158	0.63228	74.09409	80.01331	27.5307	0.34566	 	8324.19379	 	9.51707E-4	 	51097.404	40.7064	 
1345.0	1.0	0.0	7.16869	7.63575	-4.26855	15.66698	33.38574	1.57934	0.63318	74.61619	80.47493	27.72873	0.34547	 	8764.17247	 	9.01145E-4	 	50894.189	40.643	 
1340.0	1.0	0.0	7.17076	7.63355	-4.29611	15.64904	33.33002	1.57709	0.63408	75.14165	80.939	27.92807	0.34527	 	9230.35309	 	8.52988E-4	 	50691.29	40.5798	 
1335.0	1.0	0.0	7.17282	7.63136	-4.32362	15.6311	33.2743	1.57484	0.63499	75.67045	81.40548	28.12871	0.34508	 	9724.46396	 	8.07138E-4	 	50488.706	40.5168	 
1330.0	1.0	0.0	7.17488	7.62917	-4.35109	15.61315	33.21858	1.57257	0.6359	76.20253	81.87432	28.33063	0.34488	 	10248.35819	 	7.63496E-4	 	50286.435	40.4542	 
1325.0	1.0	0.0	7.17693	7.62698	-4.37851	15.5952	33.16285	1.5703	0.63682	76.73787	82.34546	28.53381	0.34468	 	10804.02336	 	7.21969E-4	 	50084.477	40.3916	 
1320.0	1.0	0.0	7.17899	7.6248	-4.40588	15.57726	33.10712	1.56803	0.63774	77.27642	82.81887	28.73825	0.34449	 	11393.59215	 	6.82469E-4	 	49882.828	40.3298	 
1315.0	1.0	0.0	7.18104	7.62262	-4.43321	15.5593	33.05138	1.56574	0.63868	77.81815	83.29448	28.94394	0.34429	 	12019.35382	 	6.44907E-4	 	49681.489	40.2678	 
1310.0	1.0	0.0	7.18309	7.62044	-4.46048	15.54135	32.99565	1.56345	0.63961	78.36303	83.77226	29.15085	0.3441	 	12683.76663	 	6.09201E-4	 	49480.456	40.2066	 
1305.0	1.0	0.0	7.18514	7.61827	-4.48771	15.5234	32.93991	1.56115	0.64055	78.911	84.25215	29.35898	0.3439	 	13389.47142	 	5.7527E-4	 	49279.73	40.1452	 
1300.0	1.0	0.0	7.18719	7.6161	-4.51489	15.50544	32.88417	1.55884	0.6415	79.46205	84.73411	29.5683	0.3437	 	14139.30623	 	5.43036E-4	 	49079.308	40.0844	 
1295.0	1.0	0.0	7.18923	7.61394	-4.54202	15.48748	32.82842	1.55652	0.64246	80.01612	85.21809	29.77882	0.34351	 	14936.32232	 	5.12425E-4	 	48879.189	40.0238	 
1290.0	1.0	0.0	7.19127	7.61178	-4.56911	15.46952	32.77267	1.5542	0.64342	80.57318	85.70404	29.99051	0.34331	 	15783.80146	 	4.83366E-4	 	48679.37	39.9638	 
1285.0	1.0	0.0	7.19331	7.60962	-4.59614	15.45156	32.71692	1.55187	0.64439	81.1332	86.19191	30.20337	0.34312	 	16685.27485	 	4.55788E-4	 	48479.852	39.9036	 
1280.0	1.0	0.0	7.19534	7.60747	-4.62313	15.43359	32.66117	1.54953	0.64536	81.69613	86.68166	30.41737	0.34292	 	17644.5436	 	4.29625E-4	 	48280.631	39.8442	 
1275.0	1.0	0.0	7.19738	7.60532	-4.65007	15.41562	32.60542	1.54718	0.64634	82.26195	87.17324	30.6325	0.34272	 	18665.70109	 	4.04814E-4	 	48081.706	39.785	 
1270.0	1.0	0.0	7.19941	7.60318	-4.67697	15.39765	32.54966	1.54483	0.64732	82.8306	87.6666	30.84876	0.34253	 	19753.15729	 	3.81293E-4	 	47883.076	39.726	 
1265.0	1.0	0.0	7.20143	7.60103	-4.70381	15.37968	32.4939	1.54246	0.64831	83.40206	88.1617	31.06612	0.34233	 	20911.66529	 	3.59002E-4	 	47684.739	39.6674	 
1260.0	1.0	0.0	7.20346	7.5989	-4.73061	15.36171	32.43813	1.54009	0.64931	83.97628	88.65849	31.28458	0.34214	 	22146.35014	 	3.37885E-4	 	47486.693	39.6092	 
1255.0	1.0	0.0	7.20548	7.59676	-4.75736	15.34374	32.38237	1.53771	0.65032	84.55323	89.15693	31.50412	0.34194	 	23462.74041	 	3.17888E-4	 	47288.937	39.5512	 
1250.0	1.0	0.0	7.2075	7.59463	-4.78406	15.32576	32.3266	1.53533	0.65133	85.13288	89.65696	31.72472	0.34174	 	24866.80254	 	2.98957E-4	 	47091.468	39.4938	 
1245.0	1.0	0.0	7.20952	7.59251	-4.81071	15.30778	32.27083	1.53293	0.65235	85.71517	90.15855	31.94638	0.34155	 	26364.97833	 	2.81044E-4	 	46894.285	39.4366	 
1240.0	1.0	0.0	7.21154	7.59039	-4.83732	15.2898	32.21505	1.53053	0.65337	86.30009	90.66165	32.16908	0.34135	 	27964.22597	 	2.64098E-4	 	46697.386	39.3798	 
1235.0	1.0	0.0	7.21355	7.58827	-4.86387	15.27182	32.15928	1.52811	0.6544	86.88758	91.16622	32.39281	0.34116	 	29672.06475	 	2.48075E-4	 	46500.77	39.3232	 
1230.0	1.0	0.0	7.21556	7.58615	-4.89038	15.25383	32.1035	1.5257	0.65544	87.47761	91.6722	32.61755	0.34096	 	31496.62406	 	2.3293E-4	 	46304.434	39.2672	 
1225.0	1.0	0.0	7.21757	7.58404	-4.91685	15.23584	32.04771	1.52327	0.65648	88.07015	92.17956	32.84329	0.34076	 	33446.69684	 	2.18619E-4	 	46108.377	39.2114	 
1220.0	1.0	0.0	7.21957	7.58194	-4.94326	15.21786	31.99193	1.52083	0.65754	88.66516	92.68825	33.07001	0.34057	 	35531.7982	 	2.05103E-4	 	45912.596	39.1562	 
1215.0	1.0	0.0	7.22158	7.57983	-4.96962	15.19987	31.93614	1.51839	0.65859	89.26259	93.19823	33.29771	0.34037	 	37762.22949	 	1.92343E-4	 	45717.09	39.1012	 
1210.0	1.0	0.0	7.22358	7.57773	-4.99594	15.18187	31.88035	1.51593	0.65966	89.86242	93.70945	33.52636	0.34018	 	40149.14857	 	1.803E-4	 	45521.857	39.0466	 
1205.0	1.0	0.0	7.22558	7.57564	-5.02221	15.16388	31.82455	1.51347	0.66073	90.4646	94.22187	33.75596	0.33998	 	42704.64673	 	1.68939E-4	 	45326.894	38.9926	 
1200.0	1.0	0.0	7.22757	7.57355	-5.04843	15.14588	31.76876	1.511	0.66181	91.06909	94.73545	33.9865	0.33978	 	45441.8331	 	1.58226E-4	 	45132.2	38.9388	 
1195.0	1.0	0.0	7.22956	7.57146	-5.0746	15.12788	31.71296	1.50852	0.6629	91.67587	95.25014	34.21795	0.33959	 	48374.9272	 	1.48128E-4	 	44937.772	38.8856	 
1190.0	1.0	0.0	7.23155	7.56938	-5.10073	15.10988	31.65715	1.50603	0.664	92.28489	95.7659	34.4503	0.33939	 	51519.36058	 	1.38613E-4	 	44743.608	38.8328	 
1185.0	1.0	0.0	7.23354	7.5673	-5.12681	15.09188	31.60135	1.50354	0.6651	92.89612	96.28269	34.68355	0.3392	 	54891.88836	 	1.29652E-4	 	44549.706	38.7804	 
1180.0	1.0	0.0	7.23553	7.56522	-5.15283	15.07388	31.54554	1.50103	0.66621	93.50951	96.80047	34.91768	0.339	 	58510.71189	 	1.21217E-4	 	44356.063	38.7286	 
1175.0	1.0	0.0	7.23751	7.56315	-5.17882	15.05587	31.48973	1.49852	0.66733	94.12503	97.31919	35.15267	0.3388	 	62395.6135	 	1.13278E-4	 	44162.678	38.677	 
1170.0	1.0	0.0	7.23949	7.56108	-5.20475	15.03786	31.43392	1.496	0.66845	94.74264	97.83881	35.38851	0.33861	 	66568.10483	 	1.05811E-4	 	43969.548	38.626	 
1165.0	1.0	0.0	7.24147	7.55901	-5.23063	15.01985	31.3781	1.49347	0.66958	95.36231	98.35929	35.62518	0.33841	 	71051.58996	 	9.87909E-5	 	43776.67	38.5756	 
1160.0	1.0	0.0	7.24344	7.55695	-5.25647	15.00184	31.32228	1.49093	0.67072	95.984	98.88059	35.86268	0.33822	 	75871.54519	 	9.21933E-5	 	43584.043	38.5254	 
1155.0	1.0	0.0	7.24541	7.5549	-5.28226	14.98383	31.26646	1.48838	0.67187	96.60767	99.40267	36.10099	0.33802	 	81055.71701	 	8.59957E-5	 	43391.663	38.476	 
1150.0	1.0	0.0	7.24738	7.55284	-5.308	14.96581	31.21063	1.48582	0.67303	97.23328	99.92548	36.3401	0.33782	 	86634.34041	 	8.01765E-5	 	43199.529	38.4268	 
1145.0	1.0	0.0	7.24935	7.55079	-5.33369	14.94779	31.1548	1.48325	0.67419	97.8608	100.44898	36.57999	0.33763	 	92640.37974	 	7.47151E-5	 	43007.637	38.3784	 
1140.0	1.0	0.0	7.25131	7.54875	-5.35933	14.92977	31.09897	1.48068	0.67537	98.49019	100.97314	36.82064	0.33743	 	99109.79444	 	6.95919E-5	 	42815.986	38.3302	 
1135.0	1.0	0.0	7.25328	7.54671	-5.38493	14.91175	31.04314	1.47809	0.67655	99.12141	101.49791	37.06206	0.33724	 	106081.8327	 	6.4788E-5	 	42624.572	38.2828	 
1130.0	1.0	0.0	7.25523	7.54467	-5.41048	14.89372	30.9873	1.4755	0.67774	99.75442	102.02326	37.30421	0.33704	 	113599.3557	 	6.02858E-5	 	42433.392	38.236	 
1125.0	1.0	0.0	7.25719	7.54264	-5.43598	14.8757	30.93146	1.47289	0.67894	100.38919	102.54914	37.54709	0.33684	 	121709.1964	 	5.60683E-5	 	42242.445	38.1894	 
1120.0	1.0	0.0	7.25914	7.54061	-5.46143	14.85767	30.87562	1.47028	0.68014	101.02568	103.07551	37.79069	0.33665	 	130462.5565	 	5.21193E-5	 	42051.727	38.1436	 
1115.0	1.0	0.0	7.2611	7.53858	-5.48683	14.83964	30.81978	1.46766	0.68136	101.66386	103.60233	38.03499	0.33645	 	139915.4455	 	4.84236E-5	 	41861.235	38.0984	 
1110.0	1.0	0.0	7.26304	7.53656	-5.51219	14.82161	30.76393	1.46503	0.68258	102.30367	104.12957	38.27997	0.33626	 	150129.1676	 	4.49667E-5	 	41670.966	38.0538	 
1105.0	1.0	0.0	7.26499	7.53454	-5.53749	14.80358	30.70808	1.46238	0.68381	102.9451	104.65718	38.52563	0.33606	 	161170.8611	 	4.17346E-5	 	41480.918	38.0096	 
1100.0	1.0	0.0	7.26693	7.53252	-5.56275	14.78554	30.65222	1.45973	0.68506	103.5881	105.18513	38.77195	0.33586	 	173114.0966	 	3.87144E-5	 	41291.087	37.9662	 
1095.0	1.0	0.0	7.26887	7.53051	-5.58796	14.7675	30.59637	1.45707	0.68631	104.23263	105.71337	39.01892	0.33567	 	186039.5414	 	3.58934E-5	 	41101.47	37.9234	 
1090.0	1.0	0.0	7.27081	7.52851	-5.61313	14.74946	30.54051	1.4544	0.68757	104.87865	106.24187	39.26652	0.33547	 	200035.6965	 	3.326E-5	 	40912.065	37.881	 
1085.0	1.0	0.0	7.27275	7.5265	-5.63824	14.73142	30.48464	1.45172	0.68884	105.52614	106.77059	39.51473	0.33528	 	215199.7164	 	3.0803E-5	 	40722.867	37.8396	 
1080.0	1.0	0.0	7.27468	7.5245	-5.66331	14.71338	30.42878	1.44904	0.69011	106.17505	107.29949	39.76356	0.33508	 	231638.3206	 	2.85116E-5	 	40533.873	37.7988	 
1075.0	1.0	0.0	7.27661	7.52251	-5.68832	14.69533	30.37291	1.44634	0.6914	106.82534	107.82853	40.01297	0.33488	 	249468.8073	 	2.6376E-5	 	40345.08	37.7586	 
1070.0	1.0	0.0	7.27854	7.52052	-5.71329	14.67728	30.31704	1.44363	0.6927	107.47698	108.35767	40.26296	0.33469	 	268820.1829	 	2.43865E-5	 	40156.485	37.719	 
1065.0	1.0	0.0	7.28046	7.51853	-5.73821	14.65923	30.26117	1.44091	0.69401	108.12993	108.88689	40.51352	0.33449	 	289834.4201	 	2.25342E-5	 	39968.083	37.6804	 
1060.0	1.0	0.0	7.28238	7.51654	-5.76309	14.64118	30.20529	1.43818	0.69532	108.78416	109.41613	40.76463	0.3343	 	312667.8608	 	2.08105E-5	 	39779.871	37.6424	 
1055.0	1.0	0.0	7.2843	7.51456	-5.78791	14.62313	30.14941	1.43544	0.69665	109.43962	109.94536	41.01627	0.3341	 	337492.7813	 	1.92074E-5	 	39591.845	37.6052	 
