T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.47759	7.98468	0.0	32.63553	29.97064	1.36774	0.73113	0.0	122.23217	0.0	0.5	7.23102	7.23102	1.12933	1.12933	1776.89572	40674.199	 	0.0
1395.0	0.0	1.0	7.48172	7.98027	-0.0552239	32.60218	29.88739	1.36746	0.73129	0.0	122.36904	0.0	0.5	7.3098	7.3098	1.11382	1.11382	1780.13349	40472.568	40.3262	0.0
1390.0	0.0	1.0	7.48584	7.97587	-0.11029	32.56903	29.80414	1.36716	0.73144	0.0	122.5059	0.0	0.5	7.38992	7.38992	1.09845	1.09845	1783.42013	40271.393	40.235	0.0
1385.0	0.0	1.0	7.48996	7.97149	-0.1652	32.53606	29.7209	1.36687	0.7316	0.0	122.64277	0.0	0.5	7.47141	7.47141	1.0832	1.0832	1786.75623	40070.671	40.1444	0.0
1380.0	0.0	1.0	7.49407	7.96711	-0.21996	32.50329	29.63765	1.36658	0.73175	0.0	122.77964	0.0	0.5	7.55429	7.55429	1.06808	1.06808	1790.14235	39870.402	40.0538	0.0
1375.0	0.0	1.0	7.49817	7.96275	-0.27456	32.47071	29.5544	1.36628	0.73191	0.0	122.9165	0.0	0.5	7.63861	7.63861	1.0531	1.0531	1793.57901	39670.581	39.9642	0.0
1370.0	0.0	1.0	7.50227	7.95841	-0.329	32.43833	29.47115	1.36599	0.73207	0.0	123.05337	0.0	0.5	7.72439	7.72439	1.03824	1.03824	1797.0667	39471.206	39.875	0.0
1365.0	0.0	1.0	7.50636	7.95407	-0.38328	32.40615	29.38791	1.36569	0.73223	0.0	123.19024	0.0	0.5	7.81167	7.81167	1.02352	1.02352	1800.60589	39272.275	39.7862	0.0
1360.0	0.0	1.0	7.51044	7.94975	-0.43741	32.37417	29.30466	1.36539	0.73239	0.0	123.3271	0.0	0.5	7.90048	7.90048	1.00893	1.00893	1804.197	39073.785	39.698	0.0
1355.0	0.0	1.0	7.51451	7.94544	-0.49139	32.3424	29.22141	1.36508	0.73256	0.0	123.46397	0.0	0.5	7.99085	7.99085	0.99446	0.99446	1807.84043	38875.733	39.6104	0.0
1350.0	0.0	1.0	7.51858	7.94114	-0.5452	32.31083	29.13816	1.36478	0.73272	0.0	123.60084	0.0	0.5	8.08282	8.08282	0.98013	0.98013	1811.53653	38678.117	39.5232	0.0
1345.0	0.0	1.0	7.52264	7.93686	-0.59886	32.27947	29.05491	1.36447	0.73288	0.0	123.7377	0.0	0.5	8.17643	8.17643	0.96592	0.96592	1815.28563	38480.935	39.4364	0.0
1340.0	0.0	1.0	7.52669	7.93259	-0.65237	32.24832	28.97167	1.36417	0.73305	0.0	123.87457	0.0	0.5	8.27171	8.27171	0.95184	0.95184	1819.08799	38284.184	39.3502	0.0
1335.0	0.0	1.0	7.53073	7.92833	-0.70572	32.21739	28.88842	1.36386	0.73321	0.0	124.01143	0.0	0.5	8.36871	8.36871	0.9379	0.9379	1822.94385	38087.862	39.2644	0.0
1330.0	0.0	1.0	7.53477	7.92408	-0.75891	32.18667	28.80517	1.36355	0.73338	0.0	124.1483	0.0	0.5	8.46745	8.46745	0.92408	0.92408	1826.85341	37891.965	39.1794	0.0
1325.82	0.0	1.0	7.53814	7.92054	-0.80325	32.16116	28.73558	1.36328	0.73352	0.0	124.26271	0.0	0.5	8.55138	8.55138	0.91262	0.91262	1830.16281	37728.546	39.0991	0.0
1325.0	0.02035	0.97965	7.54459	7.91376	-0.88815	31.93447	28.78983	1.36002	0.73528	1.6775E-5	124.73201	5.60122E-6	0.49745	8.56799	8.80724	0.91039	0.88565	1829.91747	37407.756	391.02134	288.733
1320.0	0.13803	0.86197	7.58201	7.87463	-1.37822	30.6265	29.10743	1.34097	0.74573	0.0363105	127.40376	0.0122461	0.48254	8.67218	20.72812	0.89663	0.37513	1828.48052	35553.749	370.8014	1947.688
1315.0	0.23799	0.76201	7.61431	7.84124	-1.79639	29.51921	29.37517	1.32458	0.75496	0.3273	129.67759	0.11135	0.46971	8.78039	108.67972	0.8828	0.071323	1827.10509	33961.797	318.3904	3345.009
1310.0	0.32346	0.67654	7.64239	7.81246	-2.1568	28.57329	29.60213	1.31028	0.76319	1.13599	131.62817	0.38941	0.4586	8.89266	363.11277	0.86891	0.0212798	1825.79181	32583.985	275.5624	4528.605
1305.0	0.39699	0.60301	7.66691	7.78749	-2.46961	27.76063	29.79462	1.29771	0.77059	2.61623	133.31621	0.90281	0.44893	9.00902	855.81286	0.85498	0.00900028	1824.54014	31382.287	240.3396	5536.502
1300.0	0.46063	0.53937	7.68849	7.76561	-2.74365	27.05661	29.95801	1.28654	0.77728	4.8048	134.78945	1.66778	0.44048	9.12948	1632.67584	0.84103	0.0047028	1823.34973	30326.312	211.195	6399.086
1295.0	0.51597	0.48403	7.70757	7.74633	-2.98507	26.44417	30.09578	1.27658	0.78334	7.65478	136.08599	2.67081	0.43304	9.25412	2718.24678	0.82706	0.00281569	1822.21926	29391.613	186.9398	7140.806
1290.0	0.56435	0.43565	7.72455	7.72924	-3.19912	25.90872	30.21119	1.26765	0.78886	11.07199	137.23627	3.88087	0.42648	9.38305	4122.70028	0.8131	0.00185057	1821.14747	28558.401	166.6424	7781.445
1285.0	0.60682	0.39318	7.73974	7.71403	-3.38953	25.44	30.30677	1.25961	0.7939	14.94385	138.26541	5.25943	0.42067	9.51633	5848.52174	0.79915	0.00130032	1820.13199	27810.558	149.5686	8337.119
1280.0	0.64427	0.35573	7.75338	7.70038	-3.56048	25.0262	30.38462	1.25235	0.7985	19.15561	139.19215	6.76637	0.4155	9.65406	7894.00215	0.78522	9.60291E-4	1819.17234	27134.89	135.1336	8821.023
1275.0	0.6774	0.3226	7.7657	7.68806	-3.71485	24.65922	30.44684	1.24577	0.80272	23.6008	140.03265	8.36387	0.41088	9.79624	10256.69229	0.77133	7.36703E-4	1818.26715	26520.529	122.8722	9244.019
