T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
800.0	0.28921	0.71079	7.86421	8.9542	0.0	49.72768	150.10801	0.17516	5.70923	0.37588	88.87353	0.12776	0.47098	6.2538	6.2538	0.83753	0.83753	1080.04457	26646.609	 	0.0
795.0	0.30888	0.69112	7.87484	8.94211	-0.13511	49.39809	151.04329	0.17326	5.77169	0.49453	89.57661	0.16833	0.46889	6.3097	6.3097	0.82625	0.82625	1072.34725	26271.418	75.0382	229.8
790.0	0.32822	0.67178	7.88534	8.9302	-0.26814	49.07429	151.9406	0.17143	5.83329	0.63751	90.26934	0.21731	0.46682	6.36595	6.36595	0.81511	0.81511	1064.52758	25901.459	73.9918	454.492
785.0	0.34725	0.65275	7.89573	8.91846	-0.39919	48.7559	152.80008	0.16966	5.894	0.80744	90.95203	0.27562	0.46476	6.42254	6.42254	0.80413	0.80413	1056.58835	25536.448	73.0022	674.36
780.0	0.366	0.634	7.90601	8.90688	-0.52854	48.44164	153.62241	0.16796	5.95386	1.00705	91.62504	0.34424	0.46271	6.47948	6.47948	0.7933	0.7933	1048.53243	25176.12	72.0656	889.668
775.0	0.38447	0.61553	7.9162	8.89541	-0.65662	48.12954	154.40891	0.16631	6.01288	1.23933	92.28907	0.42423	0.46067	6.53676	6.53676	0.78261	0.78261	1040.36278	24820.23	71.178	1100.661
770.0	0.40269	0.59731	7.9263	8.88406	-0.78338	47.81984	155.15869	0.16472	6.07104	1.507	92.94418	0.51657	0.45865	6.59436	6.59436	0.77208	0.77208	1032.08243	24468.55	70.336	1307.565
765.0	0.42067	0.57933	7.93631	8.87284	-0.90862	47.51357	155.87173	0.16318	6.12832	1.81326	93.59016	0.62242	0.45663	6.65215	6.65215	0.7617	0.7617	1023.69183	24120.869	69.5362	1510.591
760.0	0.43842	0.56158	7.94623	8.86181	-1.03191	47.213	156.54657	0.16169	6.18464	2.16112	94.22658	0.74285	0.45462	6.70999	6.70999	0.7515	0.7515	1015.19155	23776.99	68.7758	1709.934
755.0	0.45596	0.54404	7.95608	8.85081	-1.15469	46.91091	157.18507	0.16025	6.24006	2.55385	94.85524	0.87905	0.45261	6.76811	6.76811	0.74144	0.74144	1006.59006	23436.732	68.0516	1905.776
750.0	0.4733	0.5267	7.96585	8.83996	-1.27593	46.61257	157.78459	0.15887	6.29447	2.99458	95.47496	1.03218	0.45061	6.82624	6.82624	0.73155	0.73155	997.88542	23099.928	67.3608	2098.283
745.0	0.49045	0.50955	7.97556	8.82919	-1.39618	46.31522	158.34605	0.15753	6.34789	3.48726	96.08648	1.20365	0.44862	6.88436	6.88436	0.72183	0.72183	989.08101	22766.423	66.701	2287.609
740.0	0.50741	0.49259	7.9852	8.81853	-1.51521	46.02	158.86708	0.15624	6.40021	4.03455	96.68954	1.39447	0.44663	6.94243	6.94243	0.71228	0.71228	980.18024	22436.077	66.0692	2473.893
735.0	0.52421	0.47579	7.99477	8.80797	-1.63319	45.72613	159.34818	0.155	6.45143	4.64099	97.28452	1.60628	0.44463	7.0003	7.0003	0.7029	0.7029	971.18407	22108.762	65.463	2657.264
730.0	0.54084	0.45916	8.00428	8.79751	-1.74997	45.43444	159.78713	0.15381	6.50144	5.3093	97.87117	1.84013	0.44265	7.05791	7.05791	0.69371	0.69371	962.09608	21784.361	64.8802	2837.837
725.0	0.55732	0.44268	8.01374	8.78712	-1.86598	45.14271	160.18428	0.15267	6.55025	6.04375	98.45011	2.09756	0.44066	7.11525	7.11525	0.68469	0.68469	952.91987	21462.771	64.318	3015.714
721.13	0.56991	0.43009	8.021	8.77916	-1.9549	44.91885	160.46387	0.15181	6.58724	6.65761	98.8931	2.31307	0.43913	7.15936	7.15936	0.67783	0.67783	945.75202	21216.24	63.6524	3151.002
705.0	1.0	0.0	8.41611	8.36702	-6.55769	20.81284	119.41781	0.20068	4.98308	67.85271	99.36252	24.47459	0.38619	 	0.0	 	NaN	 	15209.584	372.461	8695.197
700.0	1.0	0.0	8.41905	8.3641	-6.59029	20.78739	119.20671	0.20001	4.99983	68.37546	99.9021	24.66773	0.38593	 	0.0	 	NaN	 	15067.339	28.449	 
695.0	1.0	0.0	8.42198	8.36118	-6.62282	20.76196	118.99529	0.19933	5.01673	68.89597	100.43599	24.86013	0.38567	 	0.0	 	NaN	 	14925.183	28.4312	 
690.0	1.0	0.0	8.42491	8.35828	-6.65528	20.73656	118.78354	0.19866	5.0338	69.41427	100.96426	25.05181	0.38541	 	0.0	 	NaN	 	14783.115	28.4136	 
685.0	1.0	0.0	8.42784	8.35538	-6.68767	20.71117	118.57147	0.19798	5.05104	69.93034	101.48693	25.24275	0.38516	 	0.0	 	NaN	 	14641.136	28.3958	 
680.0	1.0	0.0	8.43076	8.35248	-6.71998	20.68581	118.35907	0.1973	5.06844	70.44421	102.00408	25.43297	0.3849	 	0.0	 	NaN	 	14499.246	28.378	 
675.0	1.0	0.0	8.43367	8.3496	-6.75222	20.66046	118.14635	0.19662	5.08601	70.95588	102.51573	25.62246	0.38464	 	0.0	 	NaN	 	14357.445	28.3602	 
670.0	1.0	0.0	8.43658	8.34672	-6.78439	20.63514	117.9333	0.19593	5.10375	71.46535	103.02194	25.81123	0.38438	 	0.0	 	NaN	 	14215.733	28.3424	 
665.0	1.0	0.0	8.43949	8.34384	-6.81649	20.60984	117.71992	0.19525	5.12167	71.97264	103.52276	25.99928	0.38413	 	0.0	 	NaN	 	14074.111	28.3244	 
660.0	1.0	0.0	8.44239	8.34097	-6.84852	20.58456	117.50622	0.19456	5.13977	72.47775	104.01823	26.18661	0.38387	 	0.0	 	NaN	 	13932.579	28.3064	 
655.0	1.0	0.0	8.44529	8.33811	-6.88048	20.5593	117.29219	0.19387	5.15804	72.98068	104.50839	26.37323	0.38361	 	0.0	 	NaN	 	13791.137	28.2884	 
650.0	1.0	0.0	8.44818	8.33526	-6.91236	20.53406	117.07782	0.19318	5.1765	73.48144	104.99329	26.55913	0.38336	 	0.0	 	NaN	 	13649.786	28.2702	 
645.0	1.0	0.0	8.45107	8.33241	-6.94418	20.50884	116.86313	0.19249	5.19515	73.98004	105.47297	26.74432	0.3831	 	0.0	 	NaN	 	13508.526	28.252	 
640.0	1.0	0.0	8.45395	8.32957	-6.97592	20.48365	116.64811	0.19179	5.21398	74.47648	105.94748	26.9288	0.38284	 	0.0	 	NaN	 	13367.356	28.234	 
635.0	1.0	0.0	8.45683	8.32673	-7.00759	20.45847	116.43276	0.19109	5.23301	74.97077	106.41684	27.11257	0.38258	 	0.0	 	NaN	 	13226.278	28.2156	 
630.0	1.0	0.0	8.45971	8.3239	-7.03919	20.43332	116.21707	0.1904	5.25223	75.46292	106.88112	27.29563	0.38233	 	0.0	 	NaN	 	13085.291	28.1974	 
625.0	1.0	0.0	8.46258	8.32108	-7.07072	20.40818	116.00105	0.18969	5.27165	75.95292	107.34033	27.47799	0.38207	 	0.0	 	NaN	 	12944.396	28.179	 
620.0	1.0	0.0	8.46544	8.31826	-7.10218	20.38307	115.7847	0.18899	5.29128	76.44078	107.79454	27.65964	0.38181	 	0.0	 	NaN	 	12803.593	28.1606	 
615.0	1.0	0.0	8.4683	8.31545	-7.13356	20.35798	115.56801	0.18828	5.31111	76.92651	108.24377	27.84058	0.38155	 	0.0	 	NaN	 	12662.882	28.1422	 
610.0	1.0	0.0	8.47116	8.31265	-7.16488	20.33291	115.35098	0.18758	5.33115	77.41011	108.68806	28.02082	0.3813	 	0.0	 	NaN	 	12522.264	28.1236	 
605.0	1.0	0.0	8.47401	8.30985	-7.19612	20.30786	115.13362	0.18687	5.3514	77.89159	109.12745	28.20036	0.38104	 	0.0	 	NaN	 	12381.739	28.105	 
600.0	1.0	0.0	8.47686	8.30706	-7.2273	20.28283	114.91592	0.18616	5.37187	78.37095	109.56198	28.3792	0.38078	 	0.0	 	NaN	 	12241.306	28.0866	 
595.0	1.0	0.0	8.4797	8.30427	-7.2584	20.25782	114.69788	0.18544	5.39255	78.84819	109.99168	28.55734	0.38052	 	0.0	 	NaN	 	12100.968	28.0676	 
590.0	1.0	0.0	8.48254	8.30149	-7.28944	20.23284	114.4795	0.18472	5.41347	79.32332	110.4166	28.73478	0.38027	 	0.0	 	NaN	 	11960.723	28.049	 
585.0	1.0	0.0	8.48537	8.29872	-7.3204	20.20787	114.26078	0.18401	5.4346	79.79634	110.83676	28.91152	0.38001	 	0.0	 	NaN	 	11820.571	28.0304	 
580.0	1.0	0.0	8.4882	8.29595	-7.35129	20.18293	114.04171	0.18329	5.45597	80.26726	111.25221	29.08757	0.37975	 	0.0	 	NaN	 	11680.515	28.0112	 
575.0	1.0	0.0	8.49103	8.29319	-7.38212	20.158	113.82231	0.18256	5.47758	80.73607	111.66297	29.26292	0.37949	 	0.0	 	NaN	 	11540.552	27.9926	 
