T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Poisson's ratio-TOTAL	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
400.0	0.0	1.0	9.50895	0.0	53.28078	20.49628	1.24279	0.0	0.5	17790.696	 	0.0
395.0	0.0	1.0	9.5144	-0.0572744	53.45388	20.42419	1.24768	0.0	0.5	17641.642	29.8108	0.0
390.0	0.0	1.0	9.51983	-0.11429	53.63426	20.3521	1.25265	0.0	0.5	17492.532	29.822	0.0
385.0	0.0	1.0	9.52524	-0.17103	53.82224	20.28001	1.2577	0.0	0.5	17343.364	29.8336	0.0
380.0	0.0	1.0	9.53063	-0.22752	54.01813	20.20792	1.26282	0.0	0.5	17194.136	29.8456	0.0
375.0	0.0	1.0	9.53601	-0.28374	54.22227	20.13583	1.26803	0.0	0.5	17044.848	29.8576	0.0
370.0	0.0	1.0	9.54136	-0.3397	54.43502	20.06374	1.27331	0.0	0.5	16895.497	29.8702	0.0
365.0	0.0	1.0	9.5467	-0.3954	54.65676	19.99164	1.27867	0.0	0.5	16746.082	29.883	0.0
360.0	0.0	1.0	9.55201	-0.45083	54.88789	19.91955	1.28412	0.0	0.5	16596.602	29.896	0.0
355.0	0.0	1.0	9.55731	-0.506	55.12885	19.84746	1.28966	0.0	0.5	16447.054	29.9096	0.0
350.0	0.0	1.0	9.56259	-0.56091	55.38008	19.77537	1.29529	0.0	0.5	16297.436	29.9236	0.0
345.0	0.0	1.0	9.56785	-0.61555	55.64206	19.70328	1.301	0.0	0.5	16147.748	29.9376	0.0
340.0	0.0	1.0	9.57308	-0.66993	55.91531	19.63119	1.30681	0.0	0.5	15997.985	29.9526	0.0
335.0	0.0	1.0	9.5783	-0.72405	56.20037	19.5591	1.31272	0.0	0.5	15848.148	29.9674	0.0
330.0	0.0	1.0	9.5835	-0.77791	56.49782	19.48701	1.31872	0.0	0.5	15698.232	29.9832	0.0
325.0	0.0	1.0	9.58868	-0.8315	56.80829	19.41492	1.32483	0.0	0.5	15548.285	29.9894	0.0
320.0	0.0	1.0	9.59384	-0.88483	57.13243	19.34283	1.33103	0.0	0.5	15398.614	29.9342	0.0
315.0	0.0	1.0	9.59898	-0.9379	57.47095	19.27074	1.33735	0.0	0.5	15249.259	29.871	0.0
310.0	0.0	1.0	9.6041	-0.9907	57.82461	19.19865	1.34377	0.0	0.5	15100.21	29.8098	0.0
305.0	0.0	1.0	9.6092	-1.04324	58.19422	19.12656	1.3503	0.0	0.5	14951.456	29.7508	0.0
300.0	0.0	1.0	9.61428	-1.09552	58.58065	19.05446	1.35695	0.0	0.5	14802.986	29.694	0.0
295.0	0.0	1.0	9.61934	-1.14753	58.98483	18.98237	1.36371	0.0	0.5	14654.79	29.6392	0.0
290.0	0.0	1.0	9.62437	-1.19928	59.40777	18.91028	1.37059	0.0	0.5	14506.857	29.5866	0.0
285.0	0.0	1.0	9.62939	-1.25077	59.85055	18.83819	1.3776	0.0	0.5	14359.177	29.536	0.0
280.0	0.0	1.0	9.63439	-1.302	60.31434	18.7661	1.38473	0.0	0.5	14211.74	29.4874	0.0
275.0	0.0	1.0	9.63937	-1.35296	60.8004	18.69401	1.39199	0.0	0.5	14064.536	29.4408	0.0
270.0	0.0	1.0	9.64432	-1.40366	61.31009	18.62192	1.39939	0.0	0.5	13917.554	29.3964	0.0
265.0	0.0	1.0	9.64926	-1.4541	61.84489	18.54983	1.40692	0.0	0.5	13770.785	29.3538	0.0
260.0	0.0	1.0	9.65418	-1.50427	62.4064	18.47774	1.4146	0.0	0.5	13624.217	29.3136	0.0
259.78	0.0	1.0	9.6544	-1.50651	62.43226	18.4745	1.41495	0.0	0.5	13617.644	29.2888	0.0
255.0	0.12379	0.87621	9.68707	-1.83835	58.63106	19.62664	1.51678	0.00224843	0.49184	12968.506	135.929	509.337
