T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Poisson's ratio-TOTAL	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
400.0	0.0	1.0	10.23873	0.0	59.95558	24.47113	1.4838	0.0	0.5	17032.161	 	0.0
395.0	0.0	1.0	10.24478	-0.0589743	60.19865	24.40007	1.49057	0.0	0.5	16880.351	30.362	0.0
390.0	0.0	1.0	10.2508	-0.11767	60.45108	24.32902	1.49743	0.0	0.5	16728.479	30.3744	0.0
385.0	0.0	1.0	10.2568	-0.17609	60.71326	24.25797	1.5044	0.0	0.5	16576.544	30.387	0.0
380.0	0.0	1.0	10.26277	-0.23424	60.98559	24.18691	1.51148	0.0	0.5	16424.547	30.3994	0.0
375.0	0.0	1.0	10.26873	-0.29211	61.26851	24.11586	1.51866	0.0	0.5	16272.486	30.4122	0.0
370.0	0.0	1.0	10.27466	-0.3497	61.56248	24.04481	1.52596	0.0	0.5	16120.362	30.4248	0.0
367.85	0.0	1.0	10.27721	-0.37434	61.69218	24.01431	1.52913	0.0	0.5	16055.042	30.4341	0.0
365.0	0.00102	0.99898	10.28145	-0.41606	61.77329	23.80972	1.52288	7.28035E-11	0.49986	15930.927	43.4924	37.246
360.0	0.00275	0.99725	10.28882	-0.48711	61.9407	23.46033	1.51238	3.83958E-9	0.49962	15715.691	43.0472	100.228
355.0	0.0044	0.9956	10.2961	-0.55694	62.12628	23.12143	1.5024	2.53376E-8	0.4994	15503.187	42.5008	160.413
350.0	0.00598	0.99402	10.30329	-0.62707	62.31427	22.79266	1.49292	8.68182E-8	0.49918	15293.285	41.9804	217.929
345.0	0.00748	0.99252	10.3104	-0.69472	62.53571	22.47411	1.48396	2.14786E-7	0.49898	15085.866	41.4838	272.896
340.0	0.00892	0.99108	10.31743	-0.76248	62.76288	22.16493	1.47548	4.37061E-7	0.49878	14880.817	41.0098	325.425
335.0	0.0103	0.9897	10.32438	-0.82961	63.00469	21.86509	1.46749	7.80671E-7	0.49859	14678.031	40.5572	375.621
330.0	0.01161	0.98839	10.33126	-0.89556	63.26811	21.57411	1.45996	1.27067E-6	0.49841	14477.41	40.1242	423.585
325.0	0.01287	0.98713	10.33806	-0.96048	63.5526	21.29198	1.45291	1.92912E-6	0.49824	14278.919	39.6982	469.409
320.0	0.01407	0.98593	10.34479	-1.02583	63.8416	21.01813	1.44632	2.77447E-6	0.49807	14082.853	39.2132	513.18
315.0	0.01522	0.98478	10.35146	-1.08881	64.16954	20.75268	1.44019	3.82088E-6	0.49791	13889.182	38.7342	554.982
310.0	0.01631	0.98369	10.35805	-1.15177	64.50933	20.49496	1.4345	5.0798E-6	0.49776	13697.817	38.273	594.894
305.0	0.01736	0.98264	10.36458	-1.21393	64.87136	20.24502	1.42926	6.55757E-6	0.49761	13508.67	37.8294	632.991
300.0	0.01836	0.98164	10.37104	-1.27552	65.25395	20.00252	1.42446	8.25795E-6	0.49748	13321.662	37.4016	669.342
297.17	0.01891	0.98109	10.37467	-1.3108	65.47159	19.8683	1.42193	9.32011E-6	0.4974	13216.687	 	689.176
295.31	0.28546	0.71454	10.45806	-2.09766	55.56486	22.39495	1.608	0.0524033	0.48034	11846.446	 	2003.474
295.31	0.28546	0.71454	10.45806	-2.09766	55.56486	22.39495	1.608	0.0524033	0.48034	11846.446	 	2003.474
295.0	0.32005	0.67995	10.46913	-2.20138	54.26102	22.75561	1.63478	0.0861606	0.4781	11665.08	331.316	2175.651
290.0	0.7064	0.2936	10.59361	-3.34933	39.87115	27.66349	2.00501	2.65845	0.45212	9614.171	410.182	4076.661
285.0	0.83803	0.16197	10.63987	-3.76269	34.98097	29.77389	2.1773	5.61481	0.44292	8829.505	156.933	4711.789
280.0	0.89896	0.10104	10.66436	-3.97401	32.71823	30.85133	2.27649	7.69989	0.43855	8391.441	87.6128	5000.671
275.0	0.93219	0.0678092	10.68036	-4.10664	31.48499	31.49731	2.34535	9.13029	0.43611	8087.809	60.7264	5155.465
270.0	0.95231	0.0476946	10.69239	-4.20233	30.7378	31.93374	2.39974	10.15216	0.43461	7847.396	48.0826	5247.374
265.0	0.9654	0.0345967	10.70231	-4.27844	30.24974	32.2504	2.44605	10.91883	0.43361	7640.685	41.3422	5305.909
260.0	0.9744	0.0255984	10.71103	-4.3432	29.91276	32.48888	2.48725	11.52091	0.43292	7453.619	37.4132	5345.116
255.0	0.98084	0.0191583	10.71899	-4.40083	29.67161	32.61187	2.5203	12.01257	0.43241	7278.811	34.9616	5372.375
250.0	0.9856	0.0144011	10.72648	-4.4538	29.49327	32.76109	2.55603	12.42752	0.43204	7112.079	33.3464	5391.859
245.0	0.9892	0.0108002	10.73364	-4.50354	29.35905	32.88749	2.59065	12.78732	0.43175	6950.91	32.2338	5406.071
240.0	0.99198	0.00802177	10.74056	-4.55107	29.25521	32.99732	2.62463	13.10615	0.43152	6793.725	31.437	5416.585
235.0	0.99415	0.00584778	10.74728	-4.59697	29.17415	33.09502	2.6583	13.39382	0.43134	6639.483	30.8484	5424.432
230.0	0.99587	0.00412601	10.75386	-4.6417	29.10929	33.18395	2.69193	13.6572	0.4312	6487.484	30.3998	5430.309
225.0	0.99725	0.00274943	10.76029	-4.68559	29.05617	33.26659	2.72573	13.90152	0.43109	6337.316	30.0336	5434.658
220.0	0.99836	0.00164094	10.7666	-4.72892	29.0105	33.3449	2.75984	14.13056	0.43099	6188.64	29.7352	5437.822
215.0	0.99926	7.39431E-4	10.77279	-4.7718	28.97091	33.42025	2.79441	14.34724	0.43092	6041.186	29.4908	5440.069
210.0	1.0	0.0	10.77886	-4.81441	28.93449	33.49369	2.82953	14.55409	0.43085	5894.747	29.2878	5441.6
