T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Poisson's ratio-TOTAL	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
400.0	0.0	1.0	8.95548	0.0	51.54844	23.16029	1.40432	0.0	0.5	18256.007	 	0.0
395.0	0.0	1.0	8.96052	-0.0561885	51.70949	23.08091	1.40998	0.0	0.5	18108.378	29.5258	0.0
390.0	0.0	1.0	8.96554	-0.11213	51.8773	23.00152	1.41572	0.0	0.5	17960.694	29.5368	0.0
385.0	0.0	1.0	8.97054	-0.16783	52.05217	22.92214	1.42156	0.0	0.5	17812.954	29.548	0.0
380.0	0.0	1.0	8.97552	-0.22329	52.2344	22.84276	1.42748	0.0	0.5	17665.156	29.5596	0.0
375.0	0.0	1.0	8.98049	-0.2785	52.4243	22.76338	1.43349	0.0	0.5	17517.298	29.5716	0.0
370.0	0.0	1.0	8.98545	-0.33346	52.62219	22.68399	1.4396	0.0	0.5	17369.376	29.5844	0.0
365.0	0.0	1.0	8.99038	-0.38819	52.82845	22.60461	1.4458	0.0	0.5	17221.389	29.5974	0.0
360.0	0.0	1.0	8.9953	-0.44266	53.04343	22.52523	1.4521	0.0	0.5	17073.335	29.6108	0.0
355.0	0.0	1.0	9.00021	-0.4969	53.26754	22.44585	1.4585	0.0	0.5	16925.209	29.6252	0.0
350.0	0.0	1.0	9.00509	-0.55089	53.5012	22.36646	1.465	0.0	0.5	16777.01	29.6398	0.0
345.0	0.0	1.0	9.00996	-0.60463	53.74486	22.28708	1.47161	0.0	0.5	16628.735	29.655	0.0
340.0	0.0	1.0	9.01481	-0.65813	53.99898	22.2077	1.47833	0.0	0.5	16480.379	29.6712	0.0
335.0	0.0	1.0	9.01965	-0.71139	54.26409	22.12832	1.48515	0.0	0.5	16331.941	29.6876	0.0
330.0	0.0	1.0	9.02447	-0.7644	54.54071	22.04893	1.49209	0.0	0.5	16183.416	29.705	0.0
325.0	0.0	1.0	9.02927	-0.81716	54.82943	21.96955	1.49915	0.0	0.5	16034.839	29.7154	0.0
320.0	0.0	1.0	9.03405	-0.86968	55.13085	21.89017	1.50632	0.0	0.5	15886.446	29.6786	0.0
315.0	0.0	1.0	9.03882	-0.92196	55.44564	21.81079	1.51362	0.0	0.5	15738.268	29.6356	0.0
310.0	0.0	1.0	9.04357	-0.974	55.7745	21.7314	1.52104	0.0	0.5	15590.292	29.5952	0.0
305.0	0.0	1.0	9.0483	-1.02578	56.11819	21.65202	1.52859	0.0	0.5	15442.51	29.5564	0.0
300.0	0.0	1.0	9.05301	-1.07733	56.47751	21.57264	1.53627	0.0	0.5	15294.909	29.5202	0.0
295.0	0.0	1.0	9.05771	-1.12863	56.85333	21.49326	1.54409	0.0	0.5	15147.481	29.4856	0.0
290.0	0.0	1.0	9.06239	-1.17968	57.24658	21.41387	1.55205	0.0	0.5	15000.214	29.4534	0.0
285.0	0.0	1.0	9.06705	-1.2305	57.65827	21.33449	1.56015	0.0	0.5	14853.097	29.4234	0.0
280.0	0.0	1.0	9.0717	-1.28106	58.08949	21.25511	1.56839	0.0	0.5	14706.12	29.3954	0.0
275.0	0.0	1.0	9.07632	-1.33138	58.54141	21.17572	1.57679	0.0	0.5	14559.272	29.3696	0.0
270.0	0.0	1.0	9.08093	-1.38146	59.01529	21.09634	1.58534	0.0	0.5	14412.542	29.346	0.0
265.0	0.0	1.0	9.08552	-1.4313	59.5125	21.01696	1.59404	0.0	0.5	14265.919	29.3246	0.0
260.0	0.0	1.0	9.0901	-1.48089	60.03454	20.93758	1.60292	0.0	0.5	14119.391	29.3056	0.0
255.0	0.0	1.0	9.09465	-1.53023	60.58303	20.85819	1.61196	0.0	0.5	13972.949	29.2884	0.0
250.0	0.0	1.0	9.09919	-1.57933	61.15973	20.77881	1.62117	0.0	0.5	13826.579	29.274	0.0
245.0	0.0	1.0	9.10371	-1.62819	61.76656	20.69943	1.63056	0.0	0.5	13680.27	29.2618	0.0
240.0	0.0	1.0	9.10821	-1.6768	62.40562	20.62005	1.64013	0.0	0.5	13534.012	29.2516	0.0
235.0	0.0	1.0	9.11269	-1.72516	63.07921	20.54066	1.6499	0.0	0.5	13387.79	29.2444	0.0
234.05	0.0	1.0	9.11355	-1.73436	63.21185	20.52552	1.65178	0.0	0.5	13359.897	29.241	0.0
230.0	0.07943	0.92057	9.1314	-1.92576	61.16689	21.27035	1.72548	3.76689E-4	0.49464	12923.442	107.871	318.167
225.0	0.16264	0.83736	9.15068	-2.13287	59.04407	22.08165	1.80928	0.00680106	0.48896	12440.426	96.6032	655.205
221.48	0.21281	0.78719	9.16271	-2.26119	57.7975	22.58935	1.86403	0.0202791	0.48552	12132.19	 	860.923
220.0	0.24866	0.75134	9.17002	-2.33854	56.83832	22.99545	1.90325	0.0373994	0.48264	11869.868	114.112	1080.029
215.0	0.35146	0.64854	9.19127	-2.56437	54.14243	24.2272	2.02574	0.15376	0.47428	11096.884	154.597	1707.531
210.0	0.43081	0.56919	9.20841	-2.74628	52.13799	25.25832	2.13381	0.36576	0.46773	10465.598	126.257	2193.589
205.0	0.49303	0.50697	9.2226	-2.89594	50.65405	26.1225	2.2299	0.66076	0.46253	9937.794	105.561	2576.423
200.0	0.54249	0.45751	9.23459	-3.022	49.56083	26.84656	2.31592	1.01456	0.45836	9487.528	90.0532	2881.981
195.0	0.58226	0.41774	9.24493	-3.13057	48.76627	27.44328	2.39268	1.40239	0.45496	9096.471	78.2114	3128.595
190.0	0.6146	0.3854	9.25402	-3.22558	48.21335	27.95167	2.46332	1.80414	0.45218	8751.266	69.041	3329.626
185.0	0.64119	0.35881	9.26216	-3.31039	47.85076	28.38149	2.52849	2.20542	0.44988	8441.965	61.8602	3495.025
180.66	0.66057	0.33943	9.2686	-3.37774	47.65963	28.70212	2.58152	2.54572	0.44819	8196.618	 	3615.618
180.66	1.0	0.0	9.36125	-4.33416	25.99063	36.64049	3.29552	22.74969	0.4031	5696.956	 	6115.279
175.0	1.0	0.0	9.36556	-4.37821	25.93539	36.72305	3.34464	23.05946	0.4031	5533.989	290.798	 
170.0	1.0	0.0	9.36936	-4.41697	25.8868	36.79663	3.38915	23.33072	0.4031	5390.309	28.736	 
165.0	1.0	0.0	9.37314	-4.4556	25.83843	36.8708	3.43474	23.59962	0.4031	5246.955	28.6708	 
160.0	1.0	0.0	9.37692	-4.49407	25.79028	36.94559	3.48143	23.86618	0.40309	5103.928	28.6054	 
155.0	1.0	0.0	9.38069	-4.53241	25.74235	37.02103	3.52928	24.13039	0.40309	4961.228	28.54	 
150.0	1.0	0.0	9.38444	-4.57059	25.69463	37.09714	3.57833	24.39225	0.40309	4818.855	28.4746	 
145.0	1.0	0.0	9.38818	-4.60864	25.64713	37.17395	3.62861	24.65179	0.40309	4676.808	28.4094	 
140.0	1.0	0.0	9.39191	-4.64654	25.59985	37.25148	3.68019	24.90899	0.40309	4535.088	28.344	 
135.0	1.0	0.0	9.39564	-4.68431	25.55278	37.32976	3.7331	25.16385	0.40309	4393.696	28.2784	 
130.0	1.0	0.0	9.39935	-4.72193	25.50593	37.40883	3.7874	25.41639	0.40309	4252.63	28.2132	 
125.0	1.0	0.0	9.40304	-4.75941	25.4593	37.48871	3.84315	25.66661	0.40309	4111.891	28.1478	 
120.0	1.0	0.0	9.40673	-4.79676	25.41288	37.56945	3.90041	25.9145	0.40308	3971.479	28.0824	 
115.0	1.0	0.0	9.41041	-4.83397	25.36669	37.65107	3.95924	26.16007	0.40308	3831.394	28.017	 
