T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Poisson's ratio-TOTAL	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
400.0	0.0	1.0	10.07325	0.0	58.23016	23.78236	1.44204	0.0	0.5	17180.227	 	0.0
395.0	0.0	1.0	10.07916	-0.0586619	58.45395	23.71061	1.44845	0.0	0.5	17029.07	30.2314	0.0
390.0	0.0	1.0	10.08506	-0.11705	58.68652	23.63886	1.45495	0.0	0.5	16877.849	30.2442	0.0
385.0	0.0	1.0	10.09093	-0.17517	58.92824	23.56711	1.46156	0.0	0.5	16726.565	30.2568	0.0
380.0	0.0	1.0	10.09678	-0.23301	59.17949	23.49536	1.46826	0.0	0.5	16575.216	30.2698	0.0
375.0	0.0	1.0	10.10261	-0.29058	59.44069	23.42362	1.47507	0.0	0.5	16423.802	30.2828	0.0
370.0	0.0	1.0	10.10842	-0.34788	59.71226	23.35187	1.48198	0.0	0.5	16272.321	30.2962	0.0
365.0	0.0	1.0	10.1142	-0.40491	59.99467	23.28012	1.48901	0.0	0.5	16120.774	30.3094	0.0
360.0	0.0	1.0	10.11997	-0.46167	60.28839	23.20837	1.49614	0.0	0.5	15969.159	30.323	0.0
355.0	0.0	1.0	10.12572	-0.51815	60.59395	23.13662	1.50339	0.0	0.5	15817.475	30.3368	0.0
350.0	0.0	1.0	10.13144	-0.57436	60.91189	23.06488	1.51075	0.0	0.5	15665.722	30.3506	0.0
345.0	0.0	1.0	10.13714	-0.6303	61.24279	22.99313	1.51823	0.0	0.5	15513.897	30.365	0.0
340.0	0.0	1.0	10.14283	-0.68596	61.58727	22.92138	1.52584	0.0	0.5	15362.001	30.3792	0.0
335.0	0.0	1.0	10.14849	-0.74135	61.94598	22.84963	1.53357	0.0	0.5	15210.033	30.3936	0.0
330.0	0.0	1.0	10.15413	-0.79647	62.31962	22.77788	1.54142	0.0	0.5	15057.99	30.4086	0.0
329.43	0.0	1.0	10.15476	-0.80271	62.36304	22.76974	1.54232	0.0	0.5	15040.717	30.4172	0.0
327.16	6.9E-4	0.99931	10.15792	-0.83428	62.46102	22.63115	1.53874	1.45423E-11	0.4999	14948.166	 	23.416
327.16	6.9E-4	0.99931	10.15792	-0.83428	62.46102	22.63115	1.53874	1.45423E-11	0.4999	14948.166	 	23.416
325.0	0.00142	0.99858	10.16104	-0.86462	62.55145	22.48744	1.53449	3.44016E-11	0.4998	14857.226	41.4002	48.704
320.0	0.00307	0.99693	10.16821	-0.93438	62.77177	22.16322	1.52511	2.17858E-9	0.49958	14649.173	41.6106	105.044
315.0	0.00462	0.99538	10.17528	-1.00329	63.01016	21.85101	1.51641	1.63098E-8	0.49936	14444.466	40.9414	158.436
310.0	0.00609	0.99391	10.18223	-1.07089	63.27316	21.55068	1.50839	5.85848E-8	0.49916	14242.93	40.3072	209.043
305.0	0.00749	0.99251	10.18909	-1.13766	63.55604	21.2612	1.501	1.47826E-7	0.49896	14044.404	39.7052	257.016
