T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Poisson's ratio-TOTAL	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
400.0	0.0	1.0	6.96369	0.0	57.54689	35.94166	2.17932	0.0	0.5	18251.726	 	0.0
395.0	0.0	1.0	6.96733	-0.0522376	57.82347	35.83551	2.18914	0.0	0.5	18109.215	28.5022	0.0
390.0	0.0	1.0	6.97096	-0.1043	58.10931	35.72936	2.19911	0.0	0.5	17966.666	28.5098	0.0
385.0	0.0	1.0	6.97459	-0.1562	58.40477	35.62322	2.20924	0.0	0.5	17824.076	28.518	0.0
380.0	0.0	1.0	6.9782	-0.20792	58.71028	35.51707	2.21952	0.0	0.5	17681.439	28.5274	0.0
375.0	0.0	1.0	6.98181	-0.25947	59.02627	35.41092	2.22995	0.0	0.5	17538.751	28.5376	0.0
370.0	0.0	1.0	6.98541	-0.31085	59.35317	35.30478	2.24055	0.0	0.5	17396.007	28.5488	0.0
365.0	0.0	1.0	6.989	-0.36205	59.69149	35.19863	2.25132	0.0	0.5	17253.201	28.5612	0.0
360.0	0.0	1.0	6.99258	-0.41309	60.04173	35.09248	2.26225	0.0	0.5	17110.329	28.5744	0.0
355.0	0.0	1.0	6.99615	-0.46395	60.40443	34.98634	2.27336	0.0	0.5	16967.383	28.5892	0.0
350.0	0.0	1.0	6.99972	-0.51464	60.78016	34.88019	2.28465	0.0	0.5	16824.358	28.605	0.0
345.0	0.0	1.0	7.00327	-0.56516	61.16955	34.77404	2.29612	0.0	0.5	16681.247	28.6222	0.0
340.0	0.0	1.0	7.00682	-0.61551	61.57323	34.66789	2.30778	0.0	0.5	16538.044	28.6406	0.0
335.0	0.0	1.0	7.01036	-0.66568	61.9919	34.56175	2.31963	0.0	0.5	16394.741	28.6606	0.0
330.0	0.0	1.0	7.01389	-0.71568	62.4263	34.4556	2.33168	0.0	0.5	16251.33	28.6822	0.0
325.0	0.0	1.0	7.01741	-0.76552	62.87721	34.34945	2.34392	0.0	0.5	16107.803	28.7054	0.0
320.0	0.0	1.0	7.02093	-0.81518	63.34548	34.24331	2.35638	0.0	0.5	15964.153	28.73	0.0
315.0	0.0	1.0	7.02443	-0.86466	63.83199	34.13716	2.36904	0.0	0.5	15820.37	28.7566	0.0
310.0	0.0	1.0	7.02793	-0.91398	64.33772	34.03101	2.38193	0.0	0.5	15676.445	28.785	0.0
305.0	0.0	1.0	7.03141	-0.96312	64.86369	33.92487	2.39503	0.0	0.5	15532.369	28.8152	0.0
300.0	0.0	1.0	7.03489	-1.01209	65.411	33.81872	2.40837	0.0	0.5	15388.13	28.8478	0.0
295.0	0.0	1.0	7.03836	-1.06089	65.98084	33.71257	2.42194	0.0	0.5	15243.719	28.8822	0.0
290.0	0.0	1.0	7.04182	-1.10952	66.57449	33.60643	2.43575	0.0	0.5	15099.125	28.9188	0.0
285.0	0.0	1.0	7.04528	-1.15798	67.19332	33.50028	2.4498	0.0	0.5	14954.335	28.958	0.0
280.0	0.0	1.0	7.04872	-1.20626	67.8388	33.39413	2.46412	0.0	0.5	14809.338	28.9994	0.0
275.0	0.0	1.0	7.05215	-1.25438	68.51255	33.28798	2.47869	0.0	0.5	14664.12	29.0436	0.0
270.0	0.0	1.0	7.05558	-1.30232	69.21628	33.18184	2.49353	0.0	0.5	14518.669	29.0902	0.0
265.0	0.0	1.0	7.059	-1.35008	69.95188	33.07569	2.50865	0.0	0.5	14372.984	29.137	0.0
260.0	0.0	1.0	7.0624	-1.39768	70.72138	32.96954	2.52405	0.0	0.5	14227.056	29.1856	0.0
255.0	0.0	1.0	7.0658	-1.44511	71.52699	32.8634	2.53974	0.0	0.5	14080.87	29.2372	0.0
250.0	0.0	1.0	7.06919	-1.49236	72.37111	32.75725	2.55573	0.0	0.5	13934.409	29.2922	0.0
245.0	0.0	1.0	7.07257	-1.53944	73.25637	32.6511	2.57203	0.0	0.5	13787.658	29.3502	0.0
240.0	0.0	1.0	7.07594	-1.58635	74.18565	32.54496	2.58865	0.0	0.5	13640.598	29.412	0.0
235.0	0.0	1.0	7.0793	-1.63309	75.16208	32.43881	2.60559	0.0	0.5	13493.212	29.4772	0.0
230.0	0.0	1.0	7.08266	-1.67965	76.18912	32.33266	2.62288	0.0	0.5	13345.515	29.5394	0.0
225.0	0.0	1.0	7.086	-1.72605	77.27056	32.22652	2.64051	0.0	0.5	13197.863	29.5304	0.0
224.51	0.0	1.0	7.08633	-1.73059	77.37976	32.2161	2.64225	0.0	0.5	13183.383	29.5143	0.0
220.65	0.24145	0.75855	7.14226	-2.5001	64.94581	37.12717	3.06882	0.10679	0.46634	11528.864	 	1540.782
220.0	0.34558	0.65442	7.16707	-2.83761	59.02058	39.01162	3.22886	0.44071	0.45187	10787.395	531.333	2262.966
215.0	0.80192	0.19808	7.27652	-4.30658	33.13402	50.30612	4.20631	13.72862	0.38766	7442.349	669.009	5460.676
210.0	0.90333	0.0966696	7.30176	-4.65166	27.40933	53.64709	4.53209	22.72485	0.37322	6590.62	170.346	6165.251
205.0	0.94317	0.0568258	7.31225	-4.80505	25.14612	55.09716	4.70326	27.53157	0.36754	6166.955	84.733	6441.957
200.0	0.96335	0.0366498	7.31805	-4.89827	23.97403	55.90976	4.82306	30.47437	0.36467	5879.605	57.47	6582.558
195.0	0.97518	0.0248221	7.32187	-4.96637	23.25745	56.44935	4.92162	32.50883	0.36299	5650.188	45.8834	6665.451
190.0	0.9828	0.0171975	7.3247	-5.02211	22.76332	56.85221	5.01025	34.04955	0.3619	5450.073	40.023	6719.278
185.0	0.98805	0.0119459	7.32697	-5.07097	22.39082	57.17818	5.09397	35.29647	0.36116	5266.648	36.685	6756.664
180.0	0.99185	0.00815202	7.32891	-5.11568	22.08931	57.45688	5.17528	36.35577	0.36062	5093.594	34.6108	6783.94
