T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Poisson's ratio-TOTAL	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
400.0	0.0	1.0	7.71828	0.0	56.96394	32.44641	1.96738	0.0	0.5	18544.328	 	0.0
395.0	0.0	1.0	7.72243	-0.0536656	57.21927	32.34878	1.97614	0.0	0.5	18399.822	28.9012	0.0
390.0	0.0	1.0	7.72656	-0.10713	57.48353	32.25114	1.98503	0.0	0.5	18255.273	28.9098	0.0
385.0	0.0	1.0	7.73068	-0.1604	57.7571	32.15351	1.99406	0.0	0.5	18110.678	28.919	0.0
380.0	0.0	1.0	7.73479	-0.21346	58.04037	32.05587	2.00322	0.0	0.5	17966.035	28.9286	0.0
375.0	0.0	1.0	7.73889	-0.26633	58.33376	31.95824	2.01252	0.0	0.5	17821.339	28.9392	0.0
370.0	0.0	1.0	7.74298	-0.319	58.63771	31.86061	2.02197	0.0	0.5	17676.586	28.9506	0.0
365.0	0.0	1.0	7.74706	-0.37146	58.95268	31.76297	2.03157	0.0	0.5	17531.772	28.9628	0.0
360.0	0.0	1.0	7.75113	-0.42373	59.27917	31.66534	2.04132	0.0	0.5	17386.893	28.9758	0.0
355.0	0.0	1.0	7.75518	-0.4758	59.6177	31.5677	2.05123	0.0	0.5	17241.944	28.9898	0.0
350.0	0.0	1.0	7.75922	-0.52767	59.96882	31.47007	2.06129	0.0	0.5	17096.92	29.0048	0.0
345.0	0.0	1.0	7.76326	-0.57934	60.33313	31.37243	2.07152	0.0	0.5	16951.816	29.0208	0.0
340.0	0.0	1.0	7.76728	-0.63081	60.71125	31.2748	2.08191	0.0	0.5	16806.626	29.038	0.0
335.0	0.0	1.0	7.77129	-0.68207	61.10386	31.17716	2.09247	0.0	0.5	16661.346	29.056	0.0
