T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Poisson's ratio-TOTAL	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
400.0	0.0	1.0	7.94346	0.0	56.72437	32.45127	1.96768	0.0	0.5	18489.041	 	0.0
395.0	0.0	1.0	7.94777	-0.0542952	56.97055	32.35511	1.97653	0.0	0.5	18343.914	29.0254	0.0
390.0	0.0	1.0	7.95208	-0.10839	57.22547	32.25894	1.98551	0.0	0.5	18198.738	29.0352	0.0
385.0	0.0	1.0	7.95637	-0.16227	57.48949	32.16278	1.99463	0.0	0.5	18053.51	29.0456	0.0
380.0	0.0	1.0	7.96065	-0.21595	57.76299	32.06662	2.00389	0.0	0.5	17908.226	29.0568	0.0
375.0	0.0	1.0	7.96492	-0.26943	58.04638	31.97046	2.01329	0.0	0.5	17762.883	29.0686	0.0
370.0	0.0	1.0	7.96917	-0.3227	58.34009	31.87429	2.02284	0.0	0.5	17617.478	29.081	0.0
365.0	0.0	1.0	7.97342	-0.37577	58.64457	31.77813	2.03254	0.0	0.5	17472.006	29.0944	0.0
360.0	0.0	1.0	7.97765	-0.42863	58.96031	31.68197	2.04239	0.0	0.5	17326.463	29.1086	0.0
355.0	0.0	1.0	7.98187	-0.48128	59.28783	31.58581	2.0524	0.0	0.5	17180.845	29.1236	0.0
350.0	0.0	1.0	7.98608	-0.53374	59.62765	31.48964	2.06257	0.0	0.5	17035.147	29.1396	0.0
345.0	0.0	1.0	7.99028	-0.58598	59.98036	31.39348	2.07291	0.0	0.5	16889.365	29.1564	0.0
340.0	0.0	1.0	7.99446	-0.63802	60.34657	31.29732	2.08341	0.0	0.5	16743.493	29.1744	0.0
335.0	0.0	1.0	7.99864	-0.68986	60.72694	31.20115	2.09408	0.0	0.5	16597.527	29.1932	0.0
330.0	0.0	1.0	8.0028	-0.74149	61.12217	31.10499	2.10493	0.0	0.5	16451.459	29.2136	0.0
325.0	0.0	1.0	8.00695	-0.79292	61.53299	31.00883	2.11597	0.0	0.5	16305.304	29.231	0.0
320.0	0.0	1.0	8.01108	-0.84415	61.96019	30.91267	2.12719	0.0	0.5	16159.165	29.2278	0.0
315.0	0.0	1.0	8.01521	-0.89516	62.40463	30.8165	2.1386	0.0	0.5	16013.054	29.2222	0.0
310.0	0.0	1.0	8.01932	-0.94598	62.86722	30.72034	2.1502	0.0	0.5	15866.96	29.2188	0.0
305.0	0.0	1.0	8.02342	-0.99658	63.34892	30.62418	2.16201	0.0	0.5	15720.874	29.2172	0.0
300.0	0.0	1.0	8.0275	-1.04699	63.85078	30.52802	2.17402	0.0	0.5	15574.784	29.218	0.0
295.0	0.0	1.0	8.03158	-1.09719	64.37391	30.43185	2.18625	0.0	0.5	15428.681	29.2206	0.0
290.0	0.0	1.0	8.03564	-1.14718	64.91953	30.33569	2.19869	0.0	0.5	15282.553	29.2256	0.0
285.0	0.0	1.0	8.03969	-1.19697	65.48893	30.23953	2.21135	0.0	0.5	15136.39	29.2326	0.0
280.0	0.0	1.0	8.04373	-1.24655	66.0835	30.14337	2.22425	0.0	0.5	14990.18	29.242	0.0
