T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Poisson's ratio-TOTAL	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
400.0	0.0499	0.9501	8.38534	0.0	13.56719	35.12467	2.12978	4.25886E-4	0.49378	18574.687	 	0.0
395.0	0.05156	0.94844	8.39227	-0.0829986	12.99138	34.8313	2.12779	4.88954E-4	0.49356	18359.08	43.1214	72.796
390.0	0.05314	0.94686	8.39911	-0.16538	12.4055	34.54674	2.12632	5.55738E-4	0.49334	18146.723	42.4714	142.271
385.0	0.05465	0.94535	8.40583	-0.24463	11.83283	34.27129	2.12539	6.25867E-4	0.49314	17937.462	41.8522	208.577
380.0	0.05608	0.94392	8.41249	-0.3227	11.25525	34.00382	2.12495	6.98977E-4	0.49295	17731.15	41.2624	271.854
375.0	0.05745	0.94255	8.41903	-0.40063	10.66249	33.7442	2.12499	7.75044E-4	0.49276	17527.647	40.7006	332.235
370.0	0.05875	0.94125	8.42548	-0.47691	10.06878	33.4926	2.12555	8.53831E-4	0.49258	17326.824	40.1646	389.845
365.0	0.05999	0.94001	8.43184	-0.55196	9.46987	33.24812	2.12656	9.34564E-4	0.49241	17128.557	39.6534	444.8
360.0	0.06117	0.93883	8.43813	-0.62631	8.86012	33.01053	2.12804	0.00101708	0.49224	16932.726	39.1662	497.211
355.0	0.0623	0.9377	8.44434	-0.69864	8.25259	32.7799	2.12999	0.00110121	0.49208	16739.221	38.701	547.183
350.0	0.06337	0.93663	8.45048	-0.77136	7.62235	32.55576	2.1324	0.00118701	0.49193	16547.934	38.2574	594.814
345.0	0.06439	0.93561	8.45653	-0.84323	6.98132	32.33764	2.13525	0.00127356	0.49178	16358.761	37.8346	640.197
340.0	0.06537	0.93463	8.46251	-0.91281	6.34467	32.12605	2.13858	0.00136074	0.49164	16171.604	37.4314	683.423
335.0	0.06629	0.93371	8.46843	-0.98248	5.68643	31.91992	2.14232	0.0014487	0.4915	15986.368	37.0472	724.576
330.0	0.06717	0.93283	8.47429	-1.05134	5.01559	31.71949	2.14652	0.001537	0.49137	15802.961	36.6814	763.736
325.0	0.06801	0.93199	8.48008	-1.11815	4.34543	31.52436	2.15115	0.00162462	0.49125	15621.295	36.3332	800.98
320.0	0.06881	0.93119	8.48581	-1.1853	3.64875	31.33458	2.15622	0.00171287	0.49113	15441.284	36.0022	836.383
316.52	0.06934	0.93066	8.48978	-1.23023	3.17069	31.20549	2.15999	0.00177319	0.49105	15317.089	35.7346	859.943
316.52	0.06934	0.93066	8.48978	-1.23023	3.17069	31.20549	2.15999	0.00177319	0.49105	15317.089	 	859.943
315.0	0.06975	0.93025	8.49145	-1.2502	2.95431	31.1466	2.16151	0.00177638	0.49098	15259.649	37.6774	873.209
310.0	0.07103	0.92897	8.49688	-1.31307	2.25959	30.95807	2.16684	0.00178668	0.49078	15072.866	37.3566	914.967
305.0	0.07223	0.92777	8.50225	-1.37625	1.53638	30.77541	2.17269	0.00179701	0.49058	14888.442	36.8848	954.14
300.0	0.07336	0.92664	8.50756	-1.4382	0.8019	30.59852	2.17904	0.00180723	0.4904	14706.221	36.4442	990.864
295.0	0.07442	0.92558	8.51285	-1.49825	0.0640691	30.42723	2.18592	0.00181733	0.49023	14526.058	36.0326	1025.269
290.0	0.07542	0.92458	8.51806	-1.55874	-0.70724	30.2611	2.19328	0.00182751	0.49006	14347.814	35.6488	1057.477
285.0	0.07635	0.92365	8.52322	-1.61897	-1.50475	30.09974	2.20113	0.00183771	0.48991	14171.356	35.2916	1087.603
280.0	0.07723	0.92277	8.52835	-1.67824	-2.32084	29.94307	2.20947	0.00184789	0.48976	13996.557	34.9598	1115.754
275.0	0.07804	0.92196	8.53344	-1.73591	-3.14792	29.79093	2.21829	0.00185792	0.48962	13823.294	34.6526	1142.034
270.0	0.07881	0.92119	8.53847	-1.79417	-4.01699	29.64283	2.22758	0.00186815	0.48949	13651.468	34.3652	1166.541
265.0	0.07952	0.92048	8.54349	-1.85118	-4.90456	29.49862	2.23734	0.00187824	0.48937	13481.326	34.0284	1189.403
260.0	0.08019	0.91981	8.54845	-1.90844	-5.83341	29.35808	2.24756	0.00188844	0.48925	13312.896	33.686	1210.721
255.0	0.08081	0.91919	8.55339	-1.96502	-6.79282	29.22104	2.25825	0.00189871	0.48914	13146.079	33.3634	1230.58
250.0	0.08139	0.91861	8.55829	-2.02121	-7.7889	29.08726	2.2694	0.00190888	0.48903	12980.777	33.0604	1249.057
245.0	0.08194	0.91806	8.56315	-2.07723	-8.82772	28.95665	2.28101	0.0019191	0.48893	12816.898	32.7758	1266.231
240.0	0.08244	0.91756	8.56798	-2.13233	-9.90024	28.8291	2.29309	0.00192925	0.48883	12654.353	32.509	1282.174
238.68	0.08257	0.91743	8.56924	-2.14692	-10.19245	28.79605	2.29636	0.00193194	0.48881	12611.711	 	1286.18
235.0	0.08439	0.91561	8.57399	-2.20117	-11.24541	28.53172	2.29176	0.00194063	0.48857	12458.413	39.188	1331.594
230.0	0.08672	0.91328	8.58031	-2.27284	-12.70272	28.18587	2.28648	0.00195226	0.48826	12253.674	40.9478	1389.901
225.0	0.08891	0.91109	8.58652	-2.34402	-14.22474	27.85404	2.28224	0.00196389	0.48797	12052.913	40.1522	1444.528
220.0	0.09096	0.90904	8.59261	-2.41289	-15.78469	27.5358	2.27904	0.00197538	0.4877	11855.976	39.3874	1495.687
215.0	0.09288	0.90712	8.5986	-2.48083	-17.41021	27.23048	2.27686	0.00198693	0.48744	11662.667	38.6618	1543.576
210.0	0.09467	0.90533	8.60448	-2.54766	-19.10344	26.93756	2.27568	0.00199842	0.4872	11472.803	37.9728	1588.382
205.0	0.09635	0.90365	8.61027	-2.61289	-20.86036	26.65633	2.27546	0.00200988	0.48697	11286.213	37.318	1630.28
200.0	0.09792	0.90208	8.61596	-2.67713	-22.69864	26.38634	2.27622	0.00202134	0.48676	11102.737	36.6952	1669.43
195.0	0.09939	0.90061	8.62157	-2.74091	-24.636	26.12699	2.27792	0.00203296	0.48655	10922.225	36.1024	1705.988
190.0	0.10076	0.89924	8.62711	-2.80293	-26.65452	25.87806	2.28057	0.00204457	0.48636	10744.535	35.538	1740.095
185.0	0.10204	0.89796	8.63254	-2.86456	-28.79112	25.63886	2.28415	0.00205619	0.48619	10569.534	35.0002	1771.889
