T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Poisson's ratio-TOTAL	Enthalpy (J/g)-TOTAL	Specific heat (J/(g K))-TOTAL	Latent heat (J/g)-TOTAL
400.0	0.0	1.0	7.1222	0.0	50.86791	36.70125	2.22537	0.0	0.5	150.415	 	0.0
395.0	0.0	1.0	7.12597	-0.0529025	51.05144	36.59358	2.23545	0.0	0.5	149.247	0.2336	0.0
390.0	0.0	1.0	7.12973	-0.10564	51.24161	36.48589	2.24568	0.0	0.5	148.078	0.2338	0.0
385.0	0.0	1.0	7.13349	-0.15821	51.43871	36.37818	2.25606	0.0	0.5	146.909	0.2338	0.0
380.0	0.0	1.0	7.13723	-0.21061	51.64301	36.27045	2.2666	0.0	0.5	145.739	0.234	0.0
375.0	0.0	1.0	7.14097	-0.26284	51.85483	36.1627	2.2773	0.0	0.5	144.569	0.234	0.0
370.0	0.0	1.0	7.1447	-0.31491	52.0745	36.05494	2.28816	0.0	0.5	143.399	0.234	0.0
365.0	0.0	1.0	7.14842	-0.36681	52.30237	35.94715	2.29919	0.0	0.5	142.227	0.2344	0.0
360.0	0.0	1.0	7.15214	-0.41854	52.53879	35.83934	2.3104	0.0	0.5	141.056	0.2342	0.0
355.0	0.0	1.0	7.15584	-0.47011	52.78416	35.7315	2.32178	0.0	0.5	139.883	0.2346	0.0
350.0	0.0	1.0	7.15954	-0.5215	53.0389	35.62365	2.33335	0.0	0.5	138.71	0.2346	0.0
345.0	0.0	1.0	7.16323	-0.57273	53.30343	35.51578	2.3451	0.0	0.5	137.536	0.2348	0.0
340.0	0.0	1.0	7.16691	-0.6238	53.57824	35.40788	2.35704	0.0	0.5	136.361	0.235	0.0
335.0	0.0	1.0	7.17058	-0.6747	53.86381	35.29996	2.36918	0.0	0.5	135.186	0.235	0.0
330.0	0.0	1.0	7.17425	-0.72543	54.16067	35.19202	2.38151	0.0	0.5	134.009	0.2354	0.0
325.0	0.0	1.0	7.1779	-0.77599	54.46939	35.08405	2.39405	0.0	0.5	132.832	0.2354	0.0
320.0	0.0	1.0	7.18155	-0.82638	54.79058	34.97606	2.4068	0.0	0.5	131.653	0.2358	0.0
315.0	0.0	1.0	7.18519	-0.87661	55.12487	34.86805	2.41977	0.0	0.5	130.473	0.236	0.0
310.0	0.0	1.0	7.18882	-0.92667	55.47295	34.76001	2.43295	0.0	0.5	129.292	0.2362	0.0
305.0	0.0	1.0	7.19244	-0.97657	55.83557	34.65195	2.44636	0.0	0.5	128.109	0.2366	0.0
300.0	0.0	1.0	7.19605	-1.02629	56.21352	34.54387	2.46001	0.0	0.5	126.925	0.2368	0.0
295.0	0.0	1.0	7.19966	-1.07585	56.60765	34.43575	2.47389	0.0	0.5	125.74	0.237	0.0
290.0	0.0	1.0	7.20326	-1.12525	57.01888	34.32762	2.48802	0.0	0.5	124.553	0.2374	0.0
285.0	0.0	1.0	7.20684	-1.17447	57.44819	34.21946	2.5024	0.0	0.5	123.364	0.2378	0.0
280.0	0.0	1.0	7.21042	-1.22353	57.89664	34.11127	2.51703	0.0	0.5	122.173	0.2382	0.0
275.0	0.0	1.0	7.21399	-1.27242	58.36538	34.00305	2.53193	0.0	0.5	120.981	0.2384	0.0
270.0	0.0	1.0	7.21756	-1.32114	58.85567	33.89481	2.54711	0.0	0.5	119.786	0.239	0.0
265.0	0.0	1.0	7.22111	-1.3697	59.36883	33.78654	2.56256	0.0	0.5	118.59	0.2392	0.0
260.0	0.0	1.0	7.22465	-1.41809	59.90634	33.67824	2.5783	0.0	0.5	117.392	0.2396	0.0
255.0	0.0	1.0	7.22819	-1.46631	60.46978	33.56991	2.59434	0.0	0.5	116.192	0.24	0.0
250.0	0.0	1.0	7.23172	-1.51437	61.06088	33.46155	2.61068	0.0	0.5	114.99	0.2404	0.0
245.0	0.0	1.0	7.23524	-1.56226	61.68153	33.35316	2.62733	0.0	0.5	113.786	0.2408	0.0
240.0	0.0	1.0	7.23874	-1.60998	62.33378	33.24474	2.64431	0.0	0.5	112.58	0.2412	0.0
235.0	0.0	1.0	7.24224	-1.65753	63.01989	33.13629	2.66162	0.0	0.5	111.371	0.2418	0.0
230.0	0.0	1.0	7.24574	-1.70492	63.74235	33.02781	2.67927	0.0	0.5	110.161	0.242	0.0
225.0	0.0	1.0	7.24922	-1.75214	64.50388	32.9193	2.69727	0.0	0.5	108.95	0.2422	0.0
220.0	0.0	1.0	7.25269	-1.79919	65.30748	32.81075	2.71563	0.0	0.5	107.742	0.2416	0.0
215.0	0.0	1.0	7.25616	-1.84608	66.15648	32.70217	2.73437	0.0	0.5	106.534	0.2416	0.0
210.59	0.0	1.0	7.25921	-1.88731	66.94635	32.60631	2.75122	0.0	0.5	105.47	0.24113	0.0
210.0	1.5E-4	0.99985	7.25967	-1.89314	67.04789	32.58676	2.75292	3.18409E-14	0.49998	105.305	0.28085	0.03
209.83	2.0E-4	0.9998	7.2598	-1.89568	67.05946	32.58097	2.75337	8.54832E-14	0.49997	105.258	 	0.039
205.0	0.25398	0.74602	7.31979	-2.69894	53.13424	37.60447	3.21003	0.13805	0.46417	89.438	3.1734	15.334
204.98	0.25479	0.74521	7.31999	-2.7022	53.07667	37.62231	3.21169	0.13987	0.46405	89.386	 	15.382
200.0	0.55492	0.44508	7.39209	-3.6506	35.48818	43.50144	3.75266	3.31492	0.42162	69.871	3.9134	34.396
195.0	0.69142	0.30858	7.42507	-4.07844	27.66283	46.96761	4.09494	8.37144	0.4021	60.376	1.899	42.92
190.0	0.76729	0.23271	7.44358	-4.31739	23.39749	49.16764	4.33303	13.0608	0.3912	54.585	1.1582	47.588
185.0	0.81479	0.18521	7.45543	-4.46933	20.78213	50.66312	4.51355	16.95475	0.38437	50.523	0.8124	50.467
180.0	0.84695	0.15305	7.46373	-4.57558	19.03697	51.74026	4.66037	20.13374	0.37975	47.396	0.6254	52.387
175.0	0.86993	0.13007	7.46995	-4.65505	17.80441	52.55357	4.78644	22.75015	0.37646	44.827	0.5138	53.737
170.0	0.88704	0.11296	7.47488	-4.71792	16.89041	53.19193	4.89924	24.9368	0.37401	42.615	0.4424	54.726
165.0	0.90018	0.099825	7.47896	-4.76997	16.18326	53.70979	5.00339	26.79529	0.37213	40.645	0.394	55.474
160.0	0.91051	0.089489	7.48246	-4.8145	15.62036	54.1416	5.10184	28.39995	0.37066	38.846	0.3598	56.052
155.0	0.91881	0.081192	7.48556	-4.854	15.15037	54.51053	5.19659	29.80637	0.36948	37.172	0.3348	56.509
150.0	0.92558	0.074419	7.48837	-4.88968	14.75056	54.83256	5.28905	31.05554	0.36852	35.592	0.316	56.876
145.0	0.93119	0.06881	7.49098	-4.92275	14.39372	55.11887	5.38025	32.17856	0.36773	34.084	0.3016	57.176
140.0	0.93589	0.064108	7.49343	-4.9539	14.06522	55.37778	5.47094	33.19912	0.36706	32.632	0.2904	57.423
137.99	0.93756	0.062441	7.49439	-4.96604	13.93721	55.47507	5.5074	33.58373	0.36683	32.061	 	57.51
137.99	1.0	0.0	7.48251	-4.81517	18.64299	54.73096	5.43352	41.5359	0.35858	27.519	 	60.688
130.0	1.0	0.0	7.48597	-4.85915	18.58472	54.9306	5.56137	42.28263	0.35858	25.637	0.6995	 
125.0	1.0	0.0	7.48812	-4.88655	18.54823	55.05911	5.64438	42.74322	0.35857	24.464	0.2346	 
120.0	1.0	0.0	7.49027	-4.91385	18.51175	55.19044	5.7298	43.19846	0.35857	23.295	0.2338	 
115.0	1.0	0.0	7.49242	-4.94105	18.47527	55.3247	5.81773	43.64837	0.35857	22.129	0.2332	 
110.0	1.0	0.0	7.49455	-4.96814	18.43879	55.46201	5.90827	44.09294	0.35857	20.968	0.2322	 
105.0	1.0	0.0	7.49668	-4.99513	18.40231	55.60248	6.00156	44.53219	0.35856	19.809	0.2318	 
100.0	1.0	0.0	7.4988	-5.02202	18.36583	55.74624	6.0977	44.96612	0.35856	18.655	0.2308	 
95.0	1.0	0.0	7.50092	-5.0488	18.32935	55.89343	6.19683	45.39474	0.35856	17.504	0.2302	 
90.0	1.0	0.0	7.50303	-5.07548	18.29287	56.04418	6.2991	45.81804	0.35856	16.358	0.2292	 
85.0	1.0	0.0	7.50513	-5.10205	18.25639	56.19865	6.40464	46.23604	0.35855	15.214	0.2288	 
80.0	1.0	0.0	7.50722	-5.12852	18.21991	56.35699	6.51362	46.64874	0.35855	14.075	0.2278	 
75.0	1.0	0.0	7.50931	-5.15489	18.18344	56.51937	6.6262	47.05615	0.35855	12.939	0.2272	 
70.0	1.0	0.0	7.51139	-5.18116	18.14696	56.68596	6.74257	47.45826	0.35855	11.807	0.2264	 
65.0	1.0	0.0	7.51346	-5.20732	18.11048	56.85694	6.86291	47.85509	0.35854	10.679	0.2256	 
60.0	1.0	0.0	7.51553	-5.23338	18.07401	57.03252	6.98742	48.24664	0.35854	9.554	0.225	 
55.0	1.0	0.0	7.51759	-5.25933	18.03754	57.21289	7.11632	48.6329	0.35854	8.433	0.2242	 
50.0	1.0	0.0	7.51964	-5.28518	18.00106	57.39829	7.24985	49.01389	0.35854	7.315	0.2236	 
45.0	1.0	0.0	7.52168	-5.31093	17.96459	57.58895	7.38824	49.38961	0.35853	6.201	0.2228	 
40.0	1.0	0.0	7.52372	-5.33657	17.92811	57.78512	7.53178	49.76006	0.35853	5.09	0.2222	 
35.0	1.0	0.0	7.52575	-5.36211	17.89163	57.98706	7.68074	50.12525	0.35853	3.983	0.2214	 
30.0	1.0	0.0	7.52777	-5.38755	17.85516	58.19505	7.83542	50.48517	0.35853	2.88	0.2206	 
25.0	1.0	0.0	7.52979	-5.41288	 	58.4094	7.99617	50.83984	0.35853	1.779	 	 
