T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Poisson's ratio-TOTAL	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
400.0	0.0	1.0	7.90646	0.0	57.09808	33.25919	2.01667	0.0	0.5	18512.753	 	0.0
395.0	0.0	1.0	7.91075	-0.0542053	57.34997	33.16204	2.02582	0.0	0.5	18367.741	29.0024	0.0
390.0	0.0	1.0	7.91503	-0.10821	57.61073	33.06488	2.03512	0.0	0.5	18222.68	29.0122	0.0
385.0	0.0	1.0	7.91929	-0.16201	57.88074	32.96773	2.04455	0.0	0.5	18077.569	29.0222	0.0
380.0	0.0	1.0	7.92355	-0.2156	58.16039	32.87058	2.05413	0.0	0.5	17932.404	29.033	0.0
375.0	0.0	1.0	7.92779	-0.269	58.45007	32.77342	2.06386	0.0	0.5	17787.181	29.0446	0.0
370.0	0.0	1.0	7.93202	-0.32219	58.75025	32.67627	2.07374	0.0	0.5	17641.897	29.0568	0.0
365.0	0.0	1.0	7.93624	-0.37517	59.06137	32.57911	2.08377	0.0	0.5	17496.548	29.0698	0.0
360.0	0.0	1.0	7.94044	-0.42796	59.38392	32.48196	2.09397	0.0	0.5	17351.129	29.0838	0.0
355.0	0.0	1.0	7.94464	-0.48054	59.71844	32.38481	2.10432	0.0	0.5	17205.636	29.0986	0.0
350.0	0.0	1.0	7.94882	-0.53292	60.06546	32.28765	2.11484	0.0	0.5	17060.064	29.1144	0.0
345.0	0.0	1.0	7.95299	-0.58509	60.42557	32.1905	2.12553	0.0	0.5	16914.409	29.131	0.0
340.0	0.0	1.0	7.95715	-0.63707	60.79941	32.09334	2.1364	0.0	0.5	16768.665	29.1488	0.0
335.0	0.0	1.0	7.9613	-0.68884	61.18762	31.99619	2.14744	0.0	0.5	16622.828	29.1674	0.0
330.0	0.0	1.0	7.96544	-0.7404	61.59092	31.89903	2.15867	0.0	0.5	16476.89	29.1876	0.0
325.0	0.0	1.0	7.96956	-0.79177	62.01007	31.80188	2.17008	0.0	0.5	16330.864	29.2052	0.0
320.0	0.0	1.0	7.97367	-0.84293	62.44587	31.70473	2.18169	0.0	0.5	16184.851	29.2026	0.0
315.0	0.0	1.0	7.97777	-0.89389	62.89917	31.60757	2.1935	0.0	0.5	16038.857	29.1988	0.0
310.0	0.0	1.0	7.98186	-0.94464	63.37091	31.51042	2.2055	0.0	0.5	15892.875	29.1964	0.0
305.0	0.0	1.0	7.98594	-0.99519	63.86207	31.41326	2.21772	0.0	0.5	15746.894	29.1962	0.0
300.0	0.0	1.0	7.99	-1.04554	64.37371	31.31611	2.23015	0.0	0.5	15600.904	29.198	0.0
295.0	0.0	1.0	7.99405	-1.09569	64.90696	31.21896	2.24279	0.0	0.5	15454.894	29.202	0.0
290.0	0.0	1.0	7.99809	-1.14563	65.46305	31.1218	2.25566	0.0	0.5	15308.854	29.208	0.0
285.0	0.0	1.0	8.00212	-1.19537	66.0433	31.02465	2.26877	0.0	0.5	15162.772	29.2164	0.0
280.0	0.0	1.0	8.00613	-1.24491	66.64913	30.92749	2.28211	0.0	0.5	15016.637	29.227	0.0
275.0	0.0	1.0	8.01013	-1.29424	67.28207	30.83034	2.29569	0.0	0.5	14870.437	29.24	0.0
270.0	0.0	1.0	8.01412	-1.34337	67.94378	30.73319	2.30952	0.0	0.5	14724.16	29.2554	0.0
265.0	0.0	1.0	8.0181	-1.3923	68.63607	30.63603	2.32361	0.0	0.5	14577.794	29.2732	0.0
260.0	0.0	1.0	8.02206	-1.44103	69.36088	30.53888	2.33796	0.0	0.5	14431.324	29.294	0.0
255.0	0.0	1.0	8.02601	-1.48955	70.12033	30.44172	2.35259	0.0	0.5	14284.739	29.317	0.0
250.0	0.0	1.0	8.02995	-1.53787	70.91673	30.34457	2.36749	0.0	0.5	14138.024	29.343	0.0
245.0	0.0	1.0	8.03388	-1.58599	71.75261	30.24741	2.38269	0.0	0.5	13991.164	29.372	0.0
240.0	0.0	1.0	8.03779	-1.6339	72.63072	30.15026	2.39817	0.0	0.5	13844.144	29.404	0.0
235.0	0.0	1.0	8.04169	-1.68161	73.55407	30.05311	2.41397	0.0	0.5	13696.95	29.4388	0.0
230.0	0.0	1.0	8.04558	-1.72912	74.52597	29.95595	2.43007	0.0	0.5	13549.591	29.4718	0.0
225.0	0.0	1.0	8.04945	-1.77642	75.55007	29.8588	2.4465	0.0	0.5	13402.341	29.45	0.0
220.0	0.0	1.0	8.05332	-1.82352	76.63037	29.76164	2.46327	0.0	0.5	13255.28	29.4122	0.0
215.0	0.0	1.0	8.05717	-1.87042	77.77133	29.66449	2.48038	0.0	0.5	13108.419	29.3722	0.0
210.0	0.0	1.0	8.061	-1.91712	78.97785	29.56734	2.49784	0.0	0.5	12961.768	29.3302	0.0
207.25	0.0	1.0	8.06311	-1.94275	79.67231	29.51383	2.50761	0.0	0.5	12881.092	29.2964	0.0
205.0	0.0010	0.999	8.06539	-1.97088	80.11211	29.37183	2.50727	2.87437E-11	0.49989	12795.837	37.955	19.501
