T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Poisson's ratio-TOTAL	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
400.0	0.0	1.0	7.85231	0.0	55.41945	29.30808	1.77709	0.0	0.5	18295.32	 	0.0
395.0	0.0	1.0	7.85657	-0.0541813	55.64981	29.21405	1.78464	0.0	0.5	18150.327	28.9986	0.0
390.0	0.0	1.0	7.86081	-0.10816	55.88847	29.12002	1.79231	0.0	0.5	18005.279	29.0096	0.0
385.0	0.0	1.0	7.86505	-0.16193	56.13579	29.02599	1.8001	0.0	0.5	17860.173	29.0212	0.0
380.0	0.0	1.0	7.86927	-0.21549	56.39212	28.93195	1.808	0.0	0.5	17715.005	29.0336	0.0
375.0	0.0	1.0	7.87348	-0.26885	56.65785	28.83792	1.81603	0.0	0.5	17569.772	29.0466	0.0
370.0	0.0	1.0	7.87768	-0.32201	56.93339	28.74389	1.82418	0.0	0.5	17424.47	29.0604	0.0
365.0	0.0	1.0	7.88187	-0.37495	57.21918	28.64986	1.83246	0.0	0.5	17279.094	29.0752	0.0
360.0	0.0	1.0	7.88604	-0.4277	57.51567	28.55582	1.84087	0.0	0.5	17133.642	29.0904	0.0
355.0	0.0	1.0	7.8902	-0.48024	57.82335	28.46179	1.84941	0.0	0.5	16988.107	29.107	0.0
350.0	0.0	1.0	7.89435	-0.53257	58.14274	28.36776	1.85809	0.0	0.5	16842.485	29.1244	0.0
345.0	0.0	1.0	7.89849	-0.58469	58.47437	28.27373	1.86691	0.0	0.5	16696.772	29.1426	0.0
340.0	0.0	1.0	7.90262	-0.63662	58.81885	28.17969	1.87587	0.0	0.5	16550.961	29.1622	0.0
335.0	0.0	1.0	7.90674	-0.68833	59.17679	28.08566	1.88498	0.0	0.5	16405.048	29.1826	0.0
330.0	0.0	1.0	7.91084	-0.73984	59.54884	27.99163	1.89425	0.0	0.5	16259.026	29.2044	0.0
325.0	0.0	1.0	7.91493	-0.79115	59.93573	27.8976	1.90367	0.0	0.5	16112.906	29.224	0.0
320.0	0.0	1.0	7.91901	-0.84225	60.33819	27.80356	1.91324	0.0	0.5	15966.792	29.2228	0.0
315.0	0.0	1.0	7.92308	-0.89314	60.75704	27.70953	1.92298	0.0	0.5	15820.692	29.22	0.0
310.0	0.0	1.0	7.92713	-0.94383	61.19315	27.6155	1.93289	0.0	0.5	15674.596	29.2192	0.0
305.0	0.0	1.0	7.93117	-0.99431	61.64742	27.52147	1.94296	0.0	0.5	15528.494	29.2204	0.0
300.0	0.0	1.0	7.9352	-1.04459	62.12086	27.42743	1.95322	0.0	0.5	15382.375	29.2238	0.0
295.0	0.0	1.0	7.93922	-1.09466	62.61453	27.3334	1.96365	0.0	0.5	15236.228	29.2294	0.0
290.0	0.0	1.0	7.94322	-1.14453	63.12957	27.23937	1.97427	0.0	0.5	15090.042	29.2372	0.0
285.0	0.0	1.0	7.94722	-1.19419	63.66722	27.14534	1.98508	0.0	0.5	14943.806	29.2472	0.0
280.0	0.0	1.0	7.9512	-1.24365	64.22881	27.0513	1.99609	0.0	0.5	14797.508	29.2596	0.0
275.0	0.0	1.0	7.95516	-1.2929	64.81577	26.95727	2.00729	0.0	0.5	14651.136	29.2744	0.0
270.0	0.0	1.0	7.95912	-1.34194	65.42966	26.86324	2.0187	0.0	0.5	14504.677	29.2918	0.0
265.0	0.0	1.0	7.96306	-1.39078	66.07216	26.7692	2.03033	0.0	0.5	14358.118	29.3118	0.0
260.0	0.0	1.0	7.96699	-1.43942	66.74509	26.67517	2.04217	0.0	0.5	14211.446	29.3344	0.0
255.0	0.0	1.0	7.97091	-1.48785	67.45045	26.58114	2.05424	0.0	0.5	14064.647	29.3598	0.0
250.0	0.0	1.0	7.97481	-1.53607	68.19038	26.48711	2.06653	0.0	0.5	13917.706	29.3882	0.0
245.0	0.0	1.0	7.9787	-1.58409	68.96726	26.39307	2.07907	0.0	0.5	13770.608	29.4196	0.0
240.0	0.0	1.0	7.98258	-1.6319	69.78366	26.29904	2.09185	0.0	0.5	13623.339	29.4538	0.0
235.0	0.0	1.0	7.98644	-1.67951	70.6424	26.20501	2.10487	0.0	0.5	13475.881	29.4916	0.0
230.0	0.0	1.0	7.9903	-1.72691	71.54657	26.11098	2.11816	0.0	0.5	13328.246	29.527	0.0
225.0	0.0	1.0	7.99414	-1.7741	72.49959	26.01694	2.13172	0.0	0.5	13180.719	29.5054	0.0
220.0	0.0	1.0	7.99796	-1.82109	73.50522	25.92291	2.14555	0.0	0.5	13033.381	29.4676	0.0
215.0	0.0	1.0	8.00178	-1.86788	74.5676	25.82888	2.15966	0.0	0.5	12886.244	29.4274	0.0
