T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Poisson's ratio-TOTAL	Enthalpy (J/g)-TOTAL	Specific heat (J/(g K))-TOTAL	Latent heat (J/g)-TOTAL
400.0	0.0	1.0	6.9625	0.0	58.73116	38.49152	2.33393	0.0	0.5	155.726	 	0.0
395.0	0.0	1.0	6.96611	-0.051866	59.02669	38.37928	2.34454	0.0	0.5	154.518	0.2416	0.0
390.0	0.0	1.0	6.96971	-0.10356	59.33199	38.26701	2.3553	0.0	0.5	153.309	0.2418	0.0
385.0	0.0	1.0	6.97331	-0.15508	59.64747	38.1547	2.36623	0.0	0.5	152.101	0.2416	0.0
380.0	0.0	1.0	6.9769	-0.20643	59.97355	38.04235	2.37732	0.0	0.5	150.892	0.2418	0.0
375.0	0.0	1.0	6.98048	-0.25761	60.3107	37.92997	2.38859	0.0	0.5	149.683	0.2418	0.0
370.0	0.0	1.0	6.98405	-0.30862	60.6594	37.81755	2.40002	0.0	0.5	148.473	0.242	0.0
365.0	0.0	1.0	6.98761	-0.35945	61.02015	37.7051	2.41163	0.0	0.5	147.263	0.242	0.0
360.0	0.0	1.0	6.99117	-0.41011	61.39349	37.59261	2.42343	0.0	0.5	146.052	0.2422	0.0
355.0	0.0	1.0	6.99471	-0.4606	61.77999	37.48008	2.4354	0.0	0.5	144.84	0.2424	0.0
350.0	0.0	1.0	6.99825	-0.51092	62.18027	37.36751	2.44757	0.0	0.5	143.629	0.2422	0.0
345.0	0.0	1.0	7.00178	-0.56107	62.59497	37.25491	2.45993	0.0	0.5	142.416	0.2426	0.0
340.0	0.0	1.0	7.0053	-0.61104	63.02477	37.14226	2.4725	0.0	0.5	141.203	0.2426	0.0
335.0	0.0	1.0	7.00881	-0.66084	63.47041	37.02958	2.48526	0.0	0.5	139.988	0.243	0.0
330.0	0.0	1.0	7.01232	-0.71047	63.93267	36.91685	2.49823	0.0	0.5	138.774	0.2428	0.0
325.0	0.0	1.0	7.01581	-0.75993	64.41237	36.80409	2.51142	0.0	0.5	137.558	0.2432	0.0
