T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Poisson's ratio-TOTAL	Enthalpy (J/g)-TOTAL	Specific heat (J/(g K))-TOTAL	Latent heat (J/g)-TOTAL
400.0	0.0	1.0	8.73163	0.0	52.88956	25.24338	1.53063	0.0	0.5	113.368	 	0.0
395.0	0.0	1.0	8.73652	-0.0559942	53.06982	25.15964	1.53697	0.0	0.5	112.452	0.1832	0.0
390.0	0.0	1.0	8.7414	-0.11175	53.25727	25.07591	1.5434	0.0	0.5	111.535	0.1834	0.0
385.0	0.0	1.0	8.74626	-0.16728	53.45223	24.99218	1.54993	0.0	0.5	110.617	0.1836	0.0
380.0	0.0	1.0	8.75111	-0.22257	53.65501	24.90845	1.55657	0.0	0.5	109.7	0.1834	0.0
375.0	0.0	1.0	8.75594	-0.27763	53.86594	24.82471	1.5633	0.0	0.5	108.781	0.1838	0.0
370.0	0.0	1.0	8.76076	-0.33246	54.08538	24.74098	1.57014	0.0	0.5	107.863	0.1836	0.0
365.0	0.0	1.0	8.76556	-0.38705	54.3137	24.65725	1.57709	0.0	0.5	106.944	0.1838	0.0
360.0	0.0	1.0	8.77034	-0.44141	54.55131	24.57352	1.58414	0.0	0.5	106.024	0.184	0.0
355.0	0.0	1.0	8.77512	-0.49553	54.79861	24.48978	1.59131	0.0	0.5	105.104	0.184	0.0
350.0	0.0	1.0	8.77987	-0.54942	55.05607	24.40605	1.5986	0.0	0.5	104.183	0.1842	0.0
345.0	0.0	1.0	8.78461	-0.60307	55.32415	24.32232	1.606	0.0	0.5	103.262	0.1842	0.0
340.0	0.0	1.0	8.78933	-0.6565	55.60337	24.23859	1.61352	0.0	0.5	102.34	0.1844	0.0
335.0	0.0	1.0	8.79404	-0.70968	55.89426	24.15485	1.62117	0.0	0.5	101.418	0.1844	0.0
330.0	0.0	1.0	8.79873	-0.76264	56.19739	24.07112	1.62894	0.0	0.5	100.495	0.1846	0.0
325.0	0.0	1.0	8.80341	-0.81536	56.51338	23.98739	1.63684	0.0	0.5	99.572	0.1846	0.0
320.0	0.0	1.0	8.80807	-0.86784	56.84288	23.90366	1.64488	0.0	0.5	98.649	0.1846	0.0
315.0	0.0	1.0	8.81272	-0.9201	57.1866	23.81992	1.65305	0.0	0.5	97.728	0.1842	0.0
310.0	0.0	1.0	8.81735	-0.97211	57.54527	23.73619	1.66136	0.0	0.5	96.807	0.1842	0.0
305.0	0.0	1.0	8.82196	-1.0239	57.9197	23.65246	1.66982	0.0	0.5	95.887	0.184	0.0
300.0	0.0	1.0	8.82656	-1.07545	58.31075	23.56873	1.67842	0.0	0.5	94.969	0.1836	0.0
295.0	0.0	1.0	8.83114	-1.12677	58.71934	23.48499	1.68718	0.0	0.5	94.05	0.1838	0.0
290.0	0.0	1.0	8.8357	-1.17785	59.14646	23.40126	1.69609	0.0	0.5	93.133	0.1834	0.0
285.0	0.0	1.0	8.84025	-1.2287	59.5932	23.31753	1.70516	0.0	0.5	92.216	0.1834	0.0
280.0	0.0	1.0	8.84478	-1.27931	60.06068	23.2338	1.7144	0.0	0.5	91.3	0.1832	0.0
275.0	0.0	1.0	8.8493	-1.32969	60.55018	23.15006	1.7238	0.0	0.5	90.384	0.1832	0.0
270.0	0.0	1.0	8.8538	-1.37984	61.06302	23.06633	1.73338	0.0	0.5	89.469	0.183	0.0
265.0	0.0	1.0	8.85828	-1.42976	61.60067	22.9826	1.74313	0.0	0.5	88.553	0.1832	0.0
260.0	0.0	1.0	8.86275	-1.47944	62.16472	22.89886	1.75307	0.0	0.5	87.639	0.1828	0.0
255.0	0.0	1.0	8.8672	-1.52888	62.75688	22.81513	1.76319	0.0	0.5	86.724	0.183	0.0
250.0	0.0	1.0	8.87163	-1.57809	63.37903	22.7314	1.77351	0.0	0.5	85.809	0.183	0.0
245.0	0.0	1.0	8.87605	-1.62707	64.03322	22.64767	1.78403	0.0	0.5	84.895	0.1828	0.0
240.0	0.0	1.0	8.88045	-1.67582	64.72167	22.56393	1.79475	0.0	0.5	83.98	0.183	0.0
235.0	0.0	1.0	8.88484	-1.72433	65.44684	22.4802	1.80569	0.0	0.5	83.065	0.183	0.0
230.38	0.0	1.0	8.88887	-1.7689	66.1511	22.40291	1.81597	0.0	0.5	82.221	0.18288	0.0
