T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.2767	7.99302	0.0	33.26758	29.23763	1.40203	0.71325	0.0	122.13404	0.0	0.5	7.00616	7.00616	1.16558	1.16558	1782.35048	43450.714	 	0.0
1395.0	0.0	1.0	7.28081	7.98852	-0.0563432	33.23309	29.15681	1.40172	0.71341	0.0	122.27592	0.0	0.5	7.08151	7.08151	1.14973	1.14973	1785.63065	43249.89	40.1648	0.0
1390.0	0.0	1.0	7.2849	7.98403	-0.11253	33.1988	29.07598	1.4014	0.71357	0.0	122.41779	0.0	0.5	7.15814	7.15814	1.13401	1.13401	1788.95079	43049.511	40.0758	0.0
1385.0	0.0	1.0	7.28899	7.97955	-0.16855	33.16469	28.99516	1.40108	0.71373	0.0	122.55966	0.0	0.5	7.23607	7.23607	1.11843	1.11843	1792.31107	42849.573	39.9876	0.0
1380.0	0.0	1.0	7.29307	7.97508	-0.22442	33.13078	28.91433	1.40076	0.7139	0.0	122.70154	0.0	0.5	7.31532	7.31532	1.10298	1.10298	1795.71163	42650.075	39.8996	0.0
1375.0	0.0	1.0	7.29714	7.97063	-0.28013	33.09706	28.83351	1.40044	0.71406	0.0	122.84341	0.0	0.5	7.39593	7.39593	1.08765	1.08765	1799.15259	42451.014	39.8122	0.0
1370.0	0.0	1.0	7.30121	7.96619	-0.33567	33.06354	28.75269	1.40012	0.71423	0.0	122.98528	0.0	0.5	7.47792	7.47792	1.07246	1.07246	1802.63405	42252.386	39.7256	0.0
1365.0	0.0	1.0	7.30527	7.96176	-0.39106	33.03022	28.67186	1.39979	0.71439	0.0	123.12716	0.0	0.5	7.56134	7.56134	1.05741	1.05741	1806.15607	42054.19	39.6392	0.0
1360.0	0.0	1.0	7.30932	7.95735	-0.44629	32.9971	28.59104	1.39947	0.71456	0.0	123.26903	0.0	0.5	7.6462	7.6462	1.04248	1.04248	1809.71868	41856.424	39.5532	0.0
1355.0	0.0	1.0	7.31337	7.95295	-0.50137	32.96418	28.51021	1.39914	0.71473	0.0	123.4109	0.0	0.5	7.73255	7.73255	1.02768	1.02768	1813.32189	41659.083	39.4682	0.0
1350.0	0.0	1.0	7.31741	7.94856	-0.55628	32.93147	28.42939	1.39881	0.7149	0.0	123.55278	0.0	0.5	7.82041	7.82041	1.01301	1.01301	1816.96567	41462.168	39.383	0.0
1345.0	0.0	1.0	7.32144	7.94418	-0.61103	32.89897	28.34857	1.39847	0.71507	0.0	123.69465	0.0	0.5	7.90982	7.90982	0.99848	0.99848	1820.64997	41265.673	39.299	0.0
1340.0	0.0	1.0	7.32546	7.93982	-0.66563	32.86668	28.26774	1.39814	0.71524	0.0	123.83652	0.0	0.5	8.00082	8.00082	0.98407	0.98407	1824.37471	41069.598	39.215	0.0
1335.0	0.0	1.0	7.32948	7.93547	-0.72006	32.8346	28.18692	1.3978	0.71541	0.0	123.9784	0.0	0.5	8.09344	8.09344	0.96979	0.96979	1828.13977	40873.94	39.1316	0.0
1334.45	0.0	1.0	7.32992	7.93499	-0.72605	32.83108	28.17801	1.39776	0.71543	0.0	123.99403	0.0	0.5	8.10375	8.10375	0.96823	0.96823	1828.5572	40852.4	39.08759	0.0010
1330.0	0.1254	0.8746	7.36903	7.89291	-1.25251	31.41374	28.56473	1.37502	0.72726	0.0238058	126.25009	0.00802036	0.48409	8.19268	14.44556	0.95507	0.54166	1827.41308	38883.288	442.6035	1795.406
1325.0	0.24329	0.75671	7.40649	7.85296	-1.7523	30.07721	28.9312	1.35337	0.7389	0.3454	128.40961	0.11757	0.4689	8.29537	82.71163	0.9403	0.0943056	1826.16544	37013.304	373.9968	3470.559
1320.0	0.34099	0.65901	7.4381	7.81957	-2.17003	28.97053	29.23695	1.33503	0.74905	1.36035	130.24354	0.46711	0.45614	8.40079	302.97432	0.9256	0.0256648	1824.964	35442.804	314.1	4846.638
1315.0	0.42268	0.57732	7.46508	7.79129	-2.52387	28.04304	29.49319	1.31928	0.75799	3.26834	131.8188	1.13065	0.44534	8.50915	736.25932	0.91094	0.010528	1823.81401	34109.728	266.6152	5985.7
1310.0	0.49151	0.50849	7.48828	7.76716	-2.82575	27.26162	29.70804	1.30561	0.76592	6.06886	133.18814	2.11293	0.43613	8.62049	1408.71994	0.89635	0.00548509	1822.71741	32966.5	228.6456	6935.319
1305.0	0.54995	0.45005	7.50841	7.74633	-3.08632	26.59643	29.88747	1.29368	0.77299	9.64087	134.39013	3.37513	0.42822	8.7349	2322.83915	0.88181	0.00331601	1821.67746	31976.307	198.0386	7732.307
1300.0	0.59987	0.40013	7.52599	7.7282	-3.31319	26.02621	30.03624	1.28319	0.77931	13.81371	135.45634	4.85921	0.42139	8.85242	3468.91378	0.86735	0.00221342	1820.69633	31110.413	173.1788	8405.396
1295.0	0.64279	0.35721	7.5415	7.71223	-3.51299	25.53228	30.15831	1.27393	0.78497	18.41049	136.41027	6.50337	0.41546	8.97331	4832.52372	0.85295	0.0015838	1819.77687	30346.201	152.8424	8977.201
1290.0	0.67989	0.32011	7.55523	7.69814	-3.68927	25.10497	30.25716	1.26572	0.79006	23.26996	137.27227	8.25013	0.41028	9.09743	6399.13996	0.83863	0.00119225	1818.91762	29665.732	136.0938	9465.659
1285.0	0.71211	0.28789	7.56747	7.68564	-3.84568	24.73403	30.33562	1.25841	0.79465	28.2572	138.05794	10.05069	0.40573	9.22496	8156.32349	0.82439	9.32398E-4	1818.11837	29054.674	122.2116	9885.101
1280.0	0.74025	0.25975	7.5785	7.67434	-3.98699	24.40573	30.39649	1.25186	0.79881	33.27095	138.77875	11.86792	0.40172	9.35616	10096.16441	0.81022	7.50834E-4	1817.38479	28501.495	110.6358	10247.054
1275.0	0.76492	0.23508	7.58844	7.66418	-4.11412	24.11782	30.44177	1.24597	0.80258	38.22471	139.44512	13.66964	0.39816	9.49079	12212.22353	0.79615	6.18735E-4	1816.71269	27996.861	100.9268	10560.854
1270.0	0.78664	0.21336	7.59749	7.65494	-4.22969	23.86278	30.4735	1.24066	0.80602	43.06511	140.06585	15.43561	0.39499	9.62927	14504.32251	0.78217	5.19275E-4	1816.10383	27533.163	92.7396	10834.104
1265.0	0.80586	0.19414	7.60577	7.64649	-4.33545	23.63568	30.49336	1.23583	0.80917	47.74894	140.64693	17.14925	0.39216	9.77157	16973.40761	0.76828	4.42299E-4	1815.55907	27104.167	85.7992	11073.037
1260.0	0.82291	0.17709	7.61338	7.63871	-4.43276	23.43271	30.50273	1.23144	0.81206	52.2524	141.19423	18.80109	0.38961	9.91781	19625.23888	0.75449	3.81291E-4	1815.07817	26704.737	79.886	11282.788
1257.15	0.83169	0.16831	7.61744	7.63457	-4.48457	23.32754	30.50331	1.22912	0.81359	54.70801	141.49203	19.70345	0.38828	10.00295	21214.34339	0.74668	3.52073E-4	1814.83402	26489.574	 	11389.892
1255.0	0.8398	0.1602	7.62071	7.63117	-4.52708	23.23725	30.51053	1.22711	0.81493	57.04043	141.75579	20.56157	0.38706	10.07198	22648.55149	0.74052	3.29316E-4	1815.30492	26305.689	79.8096	11492.538
1250.0	0.85721	0.14279	7.62793	7.62369	-4.62063	23.04263	30.52066	1.22269	0.81787	62.33132	142.3414	22.51171	0.38442	10.23526	26170.98541	0.72632	2.84059E-4	1816.41771	25898.33	81.4718	11710.978
1245.0	0.87233	0.12767	7.6345	7.61685	-4.70625	22.87101	30.51963	1.21871	0.82054	67.26381	142.88465	24.33413	0.38209	10.40175	29900.91635	0.71235	2.47809E-4	1817.54331	25522.358	75.1944	11898.41
1240.0	0.88554	0.11446	7.64054	7.61054	-4.7852	22.71883	30.509	1.21512	0.82296	71.84665	143.39255	26.03102	0.38002	10.57157	33851.26282	0.6986	2.18169E-4	1818.6826	25172.476	69.9764	12060.123
1235.0	0.89714	0.10286	7.64612	7.60468	-4.8585	22.58306	30.49018	1.21185	0.82518	76.10016	143.87091	27.60905	0.37817	10.74474	38041.89904	0.68507	1.93495E-4	1819.8355	24844.442	65.6068	12200.363
1230.0	0.90737	0.0926288	7.65132	7.59921	-4.92696	22.4614	30.46435	1.20886	0.82722	80.04873	144.32453	29.07654	0.37652	10.92135	42495.76402	0.67176	1.72641E-4	1821.0014	24534.824	61.9236	12322.557
1225.0	0.91643	0.0835683	7.65618	7.59406	-4.99133	22.35163	30.43234	1.20611	0.82911	83.70922	144.75655	30.43919	0.37502	11.10142	47234.58922	0.65866	1.54804E-4	1822.18125	24240.829	58.799	12429.496
1220.0	0.92449	0.0755059	7.66077	7.5892	-5.05224	22.25193	30.39507	1.20356	0.83087	87.11013	145.17041	31.70711	0.37367	11.28504	52288.84905	0.64578	1.39374E-4	1823.37432	23960.168	56.1322	12523.468
1215.0	0.93169	0.068305	7.66511	7.58456	-5.11019	22.16084	30.35316	1.20118	0.83251	90.27199	145.56847	32.88757	0.37243	11.47231	57688.26784	0.63312	1.25906E-4	1824.58078	23690.949	53.8438	12606.363
1210.79	0.93715	0.0628474	7.6686	7.58083	-5.15692	22.09014	30.31458	1.19931	0.83381	92.75538	145.89256	33.81586	0.37148	11.63284	62521.37232	0.62261	1.15844E-4	1825.60462	23472.236	 	12668.47
1210.0	0.93819	0.0618139	7.66929	7.58013	-5.16568	22.07685	30.30751	1.19895	0.83406	93.22539	145.95466	33.99165	0.3713	11.65467	63471.08109	0.62111	1.1405E-4	1825.4507	23430.464	52.097	12680.886
1205.0	0.94445	0.05555	7.67358	7.57575	-5.22045	21.99443	30.26067	1.19676	0.83559	96.13107	146.34007	35.0792	0.3702	11.79695	69759.54693	0.61156	1.03419E-4	1824.57609	23170.052	52.0824	12755.697
1200.0	0.95003	0.049968	7.67766	7.57156	-5.27291	21.91877	30.20981	1.19472	0.83702	98.81978	146.71139	36.08678	0.3692	11.94498	76491.57693	0.60193	9.39983E-5	1823.79479	22918.982	50.214	12821.524
1195.0	0.95503	0.0449733	7.68157	7.56753	-5.32332	21.84912	30.15572	1.1928	0.83837	101.31509	147.07085	37.02296	0.36827	12.09874	83713.23057	0.59227	8.55979E-5	1823.09916	22675.94	48.6084	12879.679
