T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.61742	7.94899	0.0	34.84069	33.01359	1.24168	0.80536	0.0	125.68343	0.0	0.5	7.10591	7.10591	1.14922	1.14922	1867.29154	41283.038	 	0.0
1395.0	0.0	1.0	7.62187	7.94434	-0.0584666	34.80514	32.9258	1.24127	0.80563	0.0	125.81782	0.0	0.5	7.18363	7.18363	1.13339	1.13339	1870.59454	41083.886	39.8304	0.0
1392.77	0.0	1.0	7.62386	7.94228	-0.084489	34.78935	32.88665	1.24108	0.80575	0.0	125.87776	0.0	0.5	7.21872	7.21872	1.12637	1.12637	1872.07028	40995.209	39.76636	0.0
1390.0	0.0834413	0.91656	7.65638	7.90855	-0.50882	33.67481	33.09383	1.23126	0.81217	0.00460428	128.76036	0.00154466	0.49039	7.25026	8.52391	1.1196	0.95231	1873.3822	39582.634	509.94567	1302.539
1385.0	0.21443	0.78557	7.70831	7.85528	-1.17891	31.92019	33.41916	1.21561	0.82263	0.20756	133.30487	0.0703571	0.47505	7.31097	29.63666	1.10697	0.27307	1875.73011	37349.871	446.5526	3337.032
1380.0	0.3208	0.6792	7.75153	7.81145	-1.73026	30.48672	33.67868	1.20261	0.83153	1.06832	137.0364	0.36527	0.46235	7.37571	116.25136	1.09394	0.0694066	1878.05746	35511.578	367.6586	4977.486
1375.0	0.40817	0.59183	7.78784	7.77501	-2.18866	29.30511	33.88585	1.19164	0.83918	2.86361	140.13578	0.98626	0.45176	7.44421	301.9348	1.0806	0.0266422	1880.36706	33978.753	306.565	6312.909
1370.0	0.48066	0.51934	7.81867	7.74439	-2.57393	28.32201	34.05043	1.18228	0.84582	5.61346	142.73903	1.94528	0.44284	7.51648	598.92696	1.06696	0.0133903	1882.66205	32684.855	258.7796	7409.832
1365.0	0.54137	0.45863	7.84507	7.71825	-2.90274	27.49222	34.17946	1.17423	0.85162	9.18415	144.94718	3.19948	0.43526	7.59228	1005.57408	1.0531	0.00795108	1884.94819	31579.649	221.0412	8318.489
1360.0	0.59265	0.40735	7.86787	7.69581	-3.18503	26.78904	34.279	1.16725	0.85671	13.38098	146.84027	4.68269	0.42877	7.67154	1513.68564	1.03903	0.00526595	1887.2267	30624.841	190.9616	9077.171
1355.0	0.6363	0.3637	7.88771	7.67637	-3.42966	26.18853	34.35364	1.16115	0.86122	18.00606	148.47784	6.32599	0.42318	7.75416	2113.28616	1.02482	0.0037603	1889.50009	29790.97	166.7742	9715.336
1350.0	0.67372	0.32628	7.90514	7.65933	-3.64398	25.67067	34.40733	1.15578	0.86522	22.88619	149.9083	8.06801	0.41833	7.84013	2795.06556	1.01047	0.00283435	1891.77197	29055.165	147.161	10255.853
1345.0	0.706	0.294	7.92054	7.64427	-3.83343	25.22075	34.44309	1.15102	0.86879	27.87853	151.16753	9.85742	0.41409	7.92938	3551.16002	0.99602	0.002224	1894.04508	28399.515	131.13	10716.629
