T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0448201	0.95518	7.82777	8.21615	0.0	35.79088	32.20692	1.27278	0.78568	6.51253E-5	125.40843	2.17582E-5	0.49657	7.41355	7.41355	1.10153	1.10153	1832.36019	33351.775	 	0.0
1395.0	0.0479701	0.95203	7.83324	8.21043	-0.0696843	35.72692	32.12609	1.27216	0.78606	8.57689E-5	125.66813	2.86599E-5	0.49632	7.46848	7.46848	1.09016	1.09016	1835.60097	33080.464	54.2622	76.003
1390.0	0.0510501	0.94895	7.83865	8.20479	-0.13831	35.66547	32.04546	1.27154	0.78645	1.10489E-4	125.92561	3.69261E-5	0.49608	7.52467	7.52467	1.07878	1.07878	1838.84789	32811.075	53.8778	150.494
1385.0	0.0540602	0.94594	7.84397	8.19919	-0.20647	35.60486	31.96503	1.27091	0.78684	1.39631E-4	126.17985	4.66729E-5	0.49584	7.58205	7.58205	1.06739	1.06739	1842.10135	32543.577	53.4996	223.498
1380.0	0.0570102	0.94299	7.84933	8.1936	-0.27444	35.54435	31.8846	1.27027	0.78723	1.73517E-4	126.43209	5.80089E-5	0.49561	7.64093	7.64093	1.05597	1.05597	1845.36139	32277.943	53.1268	295.04
1375.0	0.0599003	0.9401	7.85463	8.18808	-0.34171	35.48537	31.80437	1.26963	0.78763	2.12504E-4	126.68174	7.10536E-5	0.49538	7.70111	7.70111	1.04455	1.04455	1848.62733	32014.143	52.76	365.147
1370.0	0.0627303	0.93727	7.85989	8.18258	-0.40856	35.42714	31.72411	1.26898	0.78804	2.56843E-4	126.9281	8.5892E-5	0.49515	7.76268	7.76268	1.03312	1.03312	1851.89923	31752.149	52.3988	433.843
1365.0	0.0655004	0.9345	7.86515	8.1771	-0.47534	35.36869	31.64405	1.26832	0.78845	3.06836E-4	127.17265	1.02626E-4	0.49493	7.82567	7.82567	1.02169	1.02169	1855.17724	31491.935	52.0428	501.154
1360.0	0.0682205	0.93178	7.87044	8.17161	-0.54208	35.30992	31.56395	1.26765	0.78886	3.62749E-4	127.41514	1.21345E-4	0.49471	7.89023	7.89023	1.01024	1.01024	1858.4612	31233.472	51.6926	567.103
1355.0	0.0708705	0.92913	7.87562	8.16629	-0.60687	35.25631	31.48418	1.26698	0.78928	4.24762E-4	127.65551	1.42109E-4	0.49449	7.95613	7.95613	0.9988	0.9988	1861.74898	30976.735	51.3474	631.715
