T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.49079	8.01601	0.0	34.47202	31.06989	1.31935	0.75795	0.0	123.66156	0.0	0.5	7.11487	7.11487	1.14777	1.14777	1844.37086	41884.901	 	0.0
1395.0	0.0	1.0	7.4951	8.01141	-0.0574804	34.43809	30.98579	1.31898	0.75816	0.0	123.8	0.0	0.5	7.19209	7.19209	1.13205	1.13205	1848.05673	41685.666	39.847	0.0
1390.0	0.0	1.0	7.4994	8.00681	-0.1148	34.40436	30.90169	1.31861	0.75838	0.0	123.93844	0.0	0.5	7.27063	7.27063	1.11647	1.11647	1851.75925	41486.867	39.7598	0.0
1385.0	0.0	1.0	7.50369	8.00223	-0.17196	34.37084	30.8176	1.31823	0.75859	0.0	124.07688	0.0	0.5	7.3505	7.3505	1.10102	1.10102	1855.4782	41288.502	39.673	0.0
1380.0	0.0	1.0	7.50798	7.99766	-0.22895	34.33752	30.7335	1.31785	0.75881	0.0	124.21532	0.0	0.5	7.43175	7.43175	1.0857	1.0857	1859.21338	41090.567	39.587	0.0
1375.0	0.0	1.0	7.51226	7.99311	-0.28578	34.30442	30.6494	1.31747	0.75903	0.0	124.35377	0.0	0.5	7.51439	7.51439	1.07051	1.07051	1862.96459	40893.06	39.5014	0.0
1370.0	0.0	1.0	7.51653	7.98856	-0.34245	34.27152	30.56531	1.31709	0.75925	0.0	124.49221	0.0	0.5	7.59846	7.59846	1.05545	1.05545	1866.73164	40695.978	39.4164	0.0
1365.0	0.0	1.0	7.52079	7.98403	-0.39896	34.23884	30.48121	1.3167	0.75947	0.0	124.63065	0.0	0.5	7.684	7.684	1.04053	1.04053	1870.51434	40499.318	39.332	0.0
1360.0	0.0	1.0	7.52505	7.97952	-0.45531	34.20638	30.39712	1.31631	0.7597	0.0	124.76909	0.0	0.5	7.77103	7.77103	1.02573	1.02573	1874.31249	40303.078	39.248	0.0
1355.0	0.0	1.0	7.5293	7.97501	-0.51149	34.17414	30.31302	1.31593	0.75992	0.0	124.90753	0.0	0.5	7.85959	7.85959	1.01107	1.01107	1878.12591	40107.255	39.1646	0.0
1350.0	0.0	1.0	7.53354	7.97052	-0.56752	34.14212	30.22892	1.31553	0.76015	0.0	125.04597	0.0	0.5	7.94972	7.94972	0.99654	0.99654	1881.9544	39911.846	39.0818	0.0
1349.32	0.0	1.0	7.53412	7.96991	-0.57517	34.13775	30.21742	1.31548	0.76018	0.0	125.06491	0.0	0.5	7.96217	7.96217	0.99456	0.99456	1882.47918	39885.152	39.03545	0.0
1345.0	0.10456	0.89544	7.57168	7.93036	-1.06848	32.8265	30.50937	1.29943	0.76957	0.0121546	127.81301	0.00408685	0.48704	8.05339	11.11273	0.98068	0.7107	1883.86901	38143.338	403.5564	1573.508
1340.0	0.20728	0.79272	7.60932	7.89121	-1.55696	31.53703	30.79407	1.28343	0.77916	0.19185	130.54981	0.0650701	0.47414	8.16204	40.75366	0.96463	0.19319	1885.49624	36413.709	345.9258	3108.549
1335.0	0.29352	0.70648	7.64154	7.85783	-1.97338	30.44711	31.02956	1.26975	0.78756	0.78604	132.88329	0.26861	0.46316	8.27362	138.88922	0.94868	0.0565125	1887.14359	34941.058	294.5302	4387.017
1330.0	0.36662	0.63338	7.66931	7.82938	-2.32826	29.52843	31.22471	1.25789	0.79498	1.94424	134.89919	0.6687	0.45375	8.38806	337.68278	0.93282	0.0231714	1888.80955	33673.584	253.4948	5460.711
1325.0	0.4291	0.5709	7.69349	7.80468	-2.63643	28.73945	31.38606	1.24752	0.80159	3.69986	136.65442	1.27968	0.44562	8.50543	654.65682	0.91708	0.0119149	1890.5003	32571.524	220.412	6369.392
1320.0	0.48293	0.51707	7.7147	7.78314	-2.90514	28.0604	31.51888	1.23837	0.80751	6.00898	138.19918	2.08856	0.43854	8.62575	1096.71469	0.90146	0.00709006	1892.21898	31604.026	193.4996	7143.91
1315.0	0.52962	0.47038	7.73349	7.76405	-3.14329	27.46629	31.6271	1.23026	0.81283	8.78741	139.56847	3.06749	0.43234	8.74924	1664.26462	0.88595	0.00465753	1893.9639	30746.915	171.4222	7808.437
1310.0	0.57039	0.42961	7.75016	7.74716	-3.35397	26.94893	31.71417	1.22302	0.81765	11.93646	140.79342	4.1827	0.42688	8.87547	2354.70169	0.8706	0.0032815	1895.73575	29981.074	153.1682	8382.087
1305.0	0.60618	0.39382	7.7651	7.73201	-3.54299	26.49197	31.78274	1.21653	0.82201	15.36139	141.8972	5.40117	0.42204	9.00488	3164.73362	0.85538	0.00243387	1897.53796	29291.252	137.9644	8880.112
1300.0	0.63778	0.36222	7.77855	7.7184	-3.71272	26.08903	31.83528	1.21067	0.82599	18.97455	142.89935	6.69186	0.41773	9.13727	4091.13657	0.84031	0.00187678	1899.3689	28665.184	125.2136	9314.769
1295.0	0.66582	0.33418	7.79074	7.70604	-3.86696	25.72935	31.87368	1.20537	0.82962	22.70319	143.81453	8.02872	0.41387	9.27289	5131.88998	0.82539	0.00149141	1901.23101	28092.931	114.4506	9695.998
1290.0	0.69081	0.30919	7.80186	7.69475	-4.00777	25.40723	31.89974	1.20055	0.83295	26.48712	144.65575	9.38991	0.4104	9.41175	6286.31291	0.81062	0.00121364	1903.1239	27566.38	105.3102	10031.908
1285.0	0.71317	0.28683	7.81202	7.68439	-4.13698	25.11762	31.91493	1.19614	0.83602	30.27772	145.43283	10.75764	0.40727	9.55366	7555.00632	0.79602	0.00100661	1905.04758	27078.864	97.5032	10329.165
1280.0	0.73328	0.26672	7.82138	7.67482	-4.25635	24.85555	31.92062	1.19209	0.83886	34.04006	146.15512	12.11893	0.40442	9.69884	8940.74471	0.78159	8.47864E-4	1907.00221	26624.871	90.7986	10593.278
1275.0	0.75141	0.24859	7.83002	7.66595	-4.36712	24.61759	31.9177	1.18836	0.8415	37.74484	146.82968	13.46279	0.40182	9.84747	10446.98531	0.76732	7.23284E-4	1908.98755	26199.813	85.0116	10828.833
1270.0	0.76781	0.23219	7.83804	7.65768	-4.47017	24.40132	31.90733	1.18491	0.84395	41.37142	147.46261	14.78133	0.39945	9.9994	12079.05885	0.75322	6.23536E-4	1911.00222	25799.854	79.9918	11039.663
1265.0	0.78271	0.21729	7.84552	7.64996	-4.56656	24.20377	31.89023	1.1817	0.84624	44.90353	148.05854	16.0683	0.39727	10.15481	13843.0345	0.73929	5.42318E-4	1913.04635	25421.765	75.6178	11228.996
1260.0	0.79629	0.20371	7.85251	7.6427	-4.65708	24.02269	31.86717	1.17871	0.84838	48.33236	148.62219	17.32013	0.39527	10.31368	15747.12779	0.72553	4.75193E-4	1915.11923	25062.815	71.79	11399.56
1255.0	0.80869	0.19131	7.85908	7.63585	-4.7426	23.85561	31.83883	1.17591	0.8504	51.6555	149.15753	18.53563	0.39341	10.47621	17801.69226	0.71195	4.18978E-4	1917.22086	24720.687	68.4256	11553.67
1250.0	0.82005	0.17995	7.86527	7.62935	-4.82367	23.70103	31.80566	1.17329	0.85231	54.86597	149.66712	19.71198	0.39169	10.64245	20016.29957	0.69853	3.71403E-4	1919.35089	24393.399	65.4576	11693.304
1245.0	0.83048	0.16952	7.87112	7.62319	-4.90055	23.55824	31.76822	1.17081	0.85411	57.96324	150.15399	20.84869	0.39009	10.81237	22403.41107	0.6853	3.3074E-4	1921.50721	24079.257	62.8284	11820.157
1240.0	0.84009	0.15991	7.87666	7.61731	-4.9738	23.42564	31.72691	1.16848	0.85581	60.94819	150.62037	21.94588	0.3886	10.98608	24976.59291	0.67224	2.95689E-4	1923.68978	23776.798	60.4918	11935.688
1235.0	0.84896	0.15104	7.88194	7.61169	-5.0439	23.30189	31.68215	1.16626	0.85744	63.82391	151.06855	23.00445	0.38721	11.16379	27751.35715	0.65936	2.65245E-4	1925.89824	23484.76	58.4076	12041.157
1230.0	0.85716	0.14284	7.88697	7.60631	-5.11113	23.18614	31.63422	1.16416	0.85899	66.59139	151.49985	24.02459	0.3859	11.34552	30743.78626	0.64664	2.38634E-4	1928.132	23202.048	56.5424	12137.657
1225.0	0.86477	0.13523	7.89179	7.60113	-5.17565	23.07805	31.58346	1.16215	0.86048	69.25485	151.91632	25.00767	0.38467	11.53139	33972.8721	0.6341	2.15233E-4	1930.38897	22927.71	54.8676	12226.138
