T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	6.87515	7.93357	0.0	34.68954	30.31978	1.35199	0.73965	0.0	119.47465	0.0	0.5	6.06456	6.06456	1.34655	1.34655	1746.48819	38718.872	 	0.0
1395.0	0.0	1.0	6.87914	7.92897	-0.0579523	34.65497	30.23572	1.3517	0.73981	0.0	119.60912	0.0	0.5	6.12823	6.12823	1.32858	1.32858	1748.85212	38517.168	40.3408	0.0
1390.0	0.0	1.0	6.88312	7.92439	-0.11574	34.6206	30.15166	1.35141	0.73997	0.0	119.74359	0.0	0.5	6.19297	6.19297	1.31075	1.31075	1751.23167	38315.918	40.25	0.0
1385.0	0.0	1.0	6.88709	7.91981	-0.17337	34.58643	30.06761	1.35111	0.74013	0.0	119.87805	0.0	0.5	6.25878	6.25878	1.29307	1.29307	1753.62683	38115.119	40.1598	0.0
1380.0	0.0	1.0	6.89106	7.91526	-0.23083	34.55247	29.98355	1.35081	0.74029	0.0	120.01252	0.0	0.5	6.3257	6.3257	1.27553	1.27553	1756.03756	37914.768	40.0702	0.0
1375.0	0.0	1.0	6.89502	7.91071	-0.28813	34.51872	29.8995	1.35051	0.74046	0.0	120.14699	0.0	0.5	6.39374	6.39374	1.25814	1.25814	1758.46382	37714.861	39.9814	0.0
1370.0	0.0	1.0	6.89897	7.90618	-0.34526	34.48518	29.81544	1.35021	0.74062	0.0	120.28146	0.0	0.5	6.46294	6.46294	1.24089	1.24089	1760.90552	37515.397	39.8928	0.0
1365.0	0.0	1.0	6.90292	7.90166	-0.40224	34.45185	29.73138	1.34991	0.74079	0.0	120.41592	0.0	0.5	6.53332	6.53332	1.22379	1.22379	1763.36259	37316.373	39.8048	0.0
1360.0	0.0	1.0	6.90686	7.89715	-0.45904	34.41874	29.64733	1.3496	0.74096	0.0	120.55039	0.0	0.5	6.6049	6.6049	1.20683	1.20683	1765.83492	37117.786	39.7174	0.0
1355.0	0.0	1.0	6.91079	7.89266	-0.51569	34.38585	29.56327	1.3493	0.74113	0.0	120.68486	0.0	0.5	6.67771	6.67771	1.19002	1.19002	1768.32238	36919.633	39.6306	0.0
1350.0	0.0	1.0	6.91471	7.88818	-0.57217	34.35318	29.47922	1.34899	0.7413	0.0	120.81933	0.0	0.5	6.75178	6.75178	1.17335	1.17335	1770.82485	36721.913	39.544	0.0
1346.52	0.0	1.0	6.91744	7.88506	-0.6114	34.33057	29.42069	1.34877	0.74141	0.0	120.91295	0.0	0.5	6.80411	6.80411	1.16183	1.16183	1772.57596	36584.504	39.47128	0.0
1345.0	0.0612903	0.93871	6.93687	7.86299	-0.88963	33.56694	29.60006	1.33934	0.74663	0.00113445	121.43249	3.80008E-4	0.49266	6.82831	7.61425	1.15662	1.03724	1772.1569	35714.532	572.8173	810.089
1340.0	0.24525	0.75475	6.9958	7.79676	-1.72442	31.2757	30.15617	1.31058	0.76302	0.30278	123.03535	0.10297	0.4703	6.90903	66.34406	1.13958	0.11868	1770.83399	33107.168	521.4728	3220.589
1335.0	0.38888	0.61112	7.04284	7.74465	-2.3812	29.48472	30.60308	1.28744	0.77673	1.97659	124.38789	0.68042	0.45247	6.99144	389.70358	1.12266	0.0201409	1769.60287	31051.316	411.1704	5080.001
1330.0	0.50226	0.49774	7.08078	7.70317	-2.90404	28.07111	30.96602	1.2684	0.7884	5.64942	125.55167	1.96414	0.43814	7.07557	1122.74619	1.10586	0.00696914	1768.46672	29408.149	328.6334	6527.149
1325.0	0.59266	0.40734	7.11168	7.66975	-3.32539	26.9441	31.26027	1.25254	0.79838	11.2002	126.56922	3.92568	0.42653	7.16148	2284.50838	1.08918	0.00341438	1767.42759	28077.081	266.2136	7662.618
1320.0	0.66533	0.33467	7.13712	7.64242	-3.66983	26.03468	31.49673	1.23925	0.80694	18.13002	127.47212	6.39709	0.41705	7.2494	3823.46412	1.07261	0.0020337	1766.48709	26984.348	218.5466	8560.168
1315.0	0.72414	0.27586	7.15826	7.61984	-3.9544	25.29506	31.68424	1.22805	0.8143	25.86575	128.28399	9.17704	0.40926	7.33933	5666.04833	1.05614	0.00136804	1765.64523	26075.254	181.8188	9274.494
1310.0	0.77204	0.22796	7.17598	7.60105	-4.19133	24.69091	31.83037	1.21856	0.82064	33.9043	129.02405	12.08425	0.40283	7.43145	7741.09571	1.03977	9.98174E-4	1764.90083	25308.832	153.2844	9846.56
1305.0	0.81127	0.18873	7.19097	7.58522	-4.39086	24.19341	31.94162	1.21048	0.82612	41.86949	129.70573	14.98035	0.39748	7.52584	9991.40624	1.02348	7.70918E-4	1764.25264	24654.109	130.9446	10307.337
1300.0	0.84355	0.15645	7.20376	7.57174	-4.5607	23.78072	32.02349	1.20356	0.83087	49.50413	130.33923	17.76879	0.39301	7.62259	12374.88165	1.00729	6.20463E-4	1763.69883	24087.464	113.329	10680.442
1295.0	0.87025	0.12975	7.21477	7.56019	-4.70633	23.43741	32.08071	1.19759	0.83501	56.65276	130.93365	20.3897	0.38925	7.7218	14864.15196	0.99119	5.14913E-4	1763.23646	23590.741	99.3446	10984.03
1290.0	0.89241	0.10759	7.22434	7.55016	-4.8328	23.14912	32.11743	1.19241	0.83864	63.2437	131.49569	22.81404	0.38607	7.82363	17445.54705	0.97517	4.37323E-4	1762.86312	23149.878	88.1726	11232.16
1285.0	0.9109	0.0891034	7.23273	7.54137	-4.94353	22.90613	32.13681	1.18788	0.84184	69.24573	132.03082	25.02796	0.38337	7.92823	20111.84397	0.95922	3.78133E-4	1762.5757	22753.907	79.1942	11435.798
1280.0	0.92637	0.0736283	7.24016	7.5336	-5.04146	22.70005	32.1417	1.18389	0.84467	74.67099	132.54323	27.034	0.38106	8.03563	22865.27104	0.94337	3.31531E-4	1762.37087	22394.22	71.9374	11603.55
1275.0	0.93937	0.0606265	7.2468	7.52666	-5.12895	22.52417	32.13437	1.18035	0.84721	79.54939	133.03644	28.8417	0.37907	8.14606	25712.21335	0.92758	2.93873E-4	1762.24553	22064.018	66.0404	11742.212
1270.0	0.95034	0.0496631	7.25279	7.5204	-5.20782	22.37324	32.11676	1.17718	0.84949	83.92242	133.51328	30.4652	0.37735	8.25956	28663.42588	0.91188	2.62765E-4	1762.19622	21757.901	61.2234	11857.183
1265.0	0.95962	0.040385	7.25823	7.51471	-5.2796	22.24288	32.09046	1.17433	0.85155	87.83768	133.97614	31.9212	0.37585	8.37639	31732.68107	0.89625	2.3658E-4	1762.21971	21471.554	57.2694	11952.774
1260.0	0.96749	0.0325067	7.26322	7.50948	-5.34552	22.12956	32.05679	1.17174	0.85343	91.34265	134.42684	33.22662	0.37454	8.49655	34935.94352	0.8807	2.1419E-4	1762.31285	21201.518	54.0072	12032.443
1255.0	0.9742	0.0257967	7.26783	7.50464	-5.40656	22.03045	32.01688	1.16937	0.85516	94.48349	134.86695	34.39806	0.37338	8.62035	38291.07775	0.86522	1.94785E-4	1762.47244	20944.999	51.3038	12098.98
1250.0	0.97994	0.0200631	7.27212	7.50012	-5.46348	21.94331	31.97164	1.1672	0.85675	97.30261	135.29784	35.45087	0.37236	8.74783	41817.62596	0.84982	1.77775E-4	1762.6949	20699.735	49.0528	12154.648
1247.06	0.98285	0.0171519	7.2745	7.49761	-5.49509	21.89755	31.9424	1.16601	0.85763	98.79761	135.54681	36.00975	0.37182	8.82444	43968.9345	0.84082	1.6875E-4	1762.85257	20560.736	 	12182.321
1245.0	0.98461	0.0153931	7.2761	7.49591	-5.51659	21.86737	31.91752	1.16534	0.85812	99.74713	135.72644	36.365	0.37147	8.88504	45498.92212	0.83395	1.62855E-4	1763.03507	20464.496	47.0478	12200.671
1240.0	0.98858	0.0114188	7.27775	7.4892	-5.60119	21.69205	31.6234	1.1723	0.85302	102.68168	136.58623	37.47064	0.37016	9.03459	49392.59531	0.81745	1.49523E-4	1765.19272	20043.79469	84.14026	12241.453
1235.0	0.99203	0.00796538	7.28671	7.48167	-5.69601	21.48307	31.24833	1.18245	0.8457	105.84292	137.55524	38.67003	0.36854	9.18725	54103.38622	0.80121	1.36053E-4	1767.34226	19602.43421	88.2721	12275.756
1230.0	0.99505	0.00495422	7.2952	7.47421	-5.7901	21.27472	30.89518	1.192	0.83892	108.78411	138.47577	39.78818	0.36704	9.34329	59185.65672	0.78522	1.23957E-4	1769.48475	19177.56967	84.97291	12304.662
1225.0	0.99768	0.00231721	7.30321	7.46684	-5.88297	21.06846	30.56179	1.201	0.83264	111.52716	139.35213	40.83297	0.36565	9.50281	64675.52087	0.76947	1.13058E-4	1771.6204	18767.60846	81.99224	12329.047
1220.0	1.0	0.0	7.31077	7.45959	-5.97431	20.86537	30.24628	1.20948	0.8268	114.09139	140.18786	41.81135	0.36436	 	70611.97156	 	1.03208E-4	 	18371.17547	79.2866	12349.629
1215.0	1.0	0.0	7.31629	7.45397	-6.04524	20.72593	29.93253	1.21806	0.82098	115.43964	140.92442	42.33293	0.36347	 	76371.79947	 	9.51044E-5	 	17986.09109	77.01688	 
1210.0	1.0	0.0	7.32167	7.44849	-6.11424	20.5915	29.63319	1.22623	0.81551	116.73751	141.62674	42.83559	0.36262	 	82656.04276	 	8.75784E-5	 	17634.3124	70.35574	 
1205.0	1.0	0.0	7.32691	7.44316	-6.18144	20.46177	29.34731	1.234	0.81037	117.98845	142.29793	43.32058	0.36181	 	89516.85218	 	8.05936E-5	 	17290.45011	68.77246	 
1200.0	1.0	0.0	7.33203	7.43796	-6.24694	20.33645	29.07398	1.24139	0.80555	119.19552	142.94066	43.78905	0.36102	 	97011.97371	 	7.41154E-5	 	16954.03588	67.28285	 
1195.0	1.0	0.0	7.33703	7.4329	-6.31083	20.21529	28.8124	1.24841	0.80102	120.36148	143.55725	44.24198	0.36026	 	105205.3989	 	6.81113E-5	 	16624.63752	65.87967	 
1190.0	1.0	0.0	7.34192	7.42795	-6.37321	20.09802	28.5618	1.25507	0.79677	121.48881	144.14971	44.68031	0.35953	 	114168.0787	 	6.25505E-5	 	16301.85562	64.55638	 
