T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.38283	7.88206	0.0	30.77805	29.12054	1.40767	0.71039	0.0	125.0964	0.0	0.5	7.19308	7.19308	1.13529	1.13529	1769.20924	50393.679	 	0.0
1395.0	0.0	1.0	7.38683	7.87779	-0.0541618	30.74187	29.0389	1.40741	0.71052	0.0	125.24651	0.0	0.5	7.27063	7.27063	1.11982	1.11982	1771.98805	50190.157	40.7044	0.0
1390.0	0.0	1.0	7.39083	7.87353	-0.10817	30.70585	28.95727	1.40715	0.71066	0.0	125.39663	0.0	0.5	7.34949	7.34949	1.10449	1.10449	1774.79523	49987.101	40.6112	0.0
1385.0	0.0	1.0	7.39481	7.86929	-0.16202	30.67	28.87564	1.40688	0.71079	0.0	125.54675	0.0	0.5	7.42968	7.42968	1.08928	1.08928	1777.63098	49784.509	40.5184	0.0
1380.0	0.0	1.0	7.39879	7.86505	-0.21571	30.63432	28.794	1.40662	0.71092	0.0	125.69686	0.0	0.5	7.51125	7.51125	1.0742	1.0742	1780.49549	49582.377	40.4264	0.0
1375.0	0.0	1.0	7.40276	7.86083	-0.26925	30.5988	28.71237	1.40635	0.71106	0.0	125.84698	0.0	0.5	7.59421	7.59421	1.05926	1.05926	1783.38892	49380.704	40.3346	0.0
1370.0	0.0	1.0	7.40673	7.85663	-0.32263	30.56346	28.63074	1.40608	0.7112	0.0	125.99709	0.0	0.5	7.67861	7.67861	1.04444	1.04444	1786.31143	49179.487	40.2434	0.0
1365.0	0.0	1.0	7.41069	7.85243	-0.37586	30.52829	28.54911	1.40581	0.71133	0.0	126.14721	0.0	0.5	7.76446	7.76446	1.02974	1.02974	1789.26315	48978.723	40.1528	0.0
1360.0	0.0	1.0	7.41464	7.84825	-0.42893	30.49329	28.46747	1.40554	0.71147	0.0	126.29733	0.0	0.5	7.85181	7.85181	1.01518	1.01518	1792.24419	48778.411	40.0624	0.0
1355.0	0.0	1.0	7.41858	7.84408	-0.48184	30.45848	28.38584	1.40527	0.71161	0.0	126.44744	0.0	0.5	7.94069	7.94069	1.00074	1.00074	1795.25463	48578.547	39.9728	0.0
1350.0	0.0	1.0	7.42251	7.83992	-0.5346	30.42384	28.30421	1.40499	0.71175	0.0	126.59756	0.0	0.5	8.03113	8.03113	0.98644	0.98644	1798.29457	48379.129	39.8836	0.0
1345.0	0.0	1.0	7.42644	7.83577	-0.5872	30.38939	28.22258	1.40471	0.71189	0.0	126.74768	0.0	0.5	8.12317	8.12317	0.97225	0.97225	1801.36405	48180.155	39.7948	0.0
1341.91	0.0	1.0	7.42886	7.83322	-0.61958	30.36821	28.1722	1.40454	0.71198	0.0	126.84031	0.0	0.5	8.18078	8.18078	0.96357	0.96357	1803.27305	48057.594	39.72018	0.0
1340.0	0.0560502	0.94395	7.44459	7.81668	-0.82948	29.81283	28.33863	1.39464	0.71703	9.58533E-4	127.44055	3.21102E-4	0.49257	8.22388	9.17458	0.95738	0.85817	1802.79582	47140.931	478.82772	840.691
1335.0	0.18796	0.81204	7.48195	7.77768	-1.32421	28.50794	28.73456	1.37116	0.72931	0.12418	128.85888	0.0420985	0.47488	8.338	53.32612	0.94135	0.14719	1801.63975	44976.769	432.8324	2806.759
