T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	6.90329	7.79193	0.0	31.12564	28.81328	1.42268	0.7029	0.0	122.37786	0.0	0.5	6.64566	6.64566	1.22881	1.22881	1787.01106	51560.334	 	0.0
1395.0	0.0	1.0	6.90727	7.78743	-0.0576744	31.08089	28.75287	1.42141	0.70353	0.0	122.5366	0.0	0.5	6.71584	6.71584	1.21233	1.21233	1789.0183	51354.5	41.1668	0.0
1390.0	0.0	1.0	6.91125	7.78295	-0.11519	31.03627	28.69246	1.42014	0.70416	0.0	122.69534	0.0	0.5	6.78719	6.78719	1.19599	1.19599	1791.02425	51149.137	41.0726	0.0
1385.0	0.0	1.0	6.91522	7.77848	-0.17253	30.99176	28.63205	1.41885	0.70479	0.0	122.85408	0.0	0.5	6.85974	6.85974	1.17979	1.17979	1793.02891	50944.245	40.9784	0.0
1380.0	0.0	1.0	6.91918	7.77403	-0.22972	30.94739	28.57164	1.41757	0.70543	0.0	123.01282	0.0	0.5	6.9335	6.9335	1.16371	1.16371	1795.03227	50739.819	40.8852	0.0
1375.0	0.0	1.0	6.92314	7.76958	-0.28674	30.90313	28.51123	1.41627	0.70608	0.0	123.17156	0.0	0.5	7.00852	7.00852	1.14778	1.14778	1797.03432	50535.857	40.7924	0.0
1370.0	0.0	1.0	6.92709	7.76515	-0.3436	30.85901	28.45082	1.41497	0.70673	0.0	123.3303	0.0	0.5	7.08481	7.08481	1.13197	1.13197	1799.03508	50332.357	40.7	0.0
1365.0	0.0	1.0	6.93103	7.76074	-0.4003	30.81501	28.39041	1.41367	0.70738	0.0	123.48904	0.0	0.5	7.1624	7.1624	1.1163	1.1163	1801.03452	50129.317	40.608	0.0
1360.0	0.0	1.0	6.93497	7.75633	-0.45683	30.77114	28.33	1.41236	0.70803	0.0	123.64778	0.0	0.5	7.24133	7.24133	1.10077	1.10077	1803.03265	49926.733	40.5168	0.0
1359.46	0.0	1.0	6.93539	7.75586	-0.4629	30.76643	28.3235	1.41222	0.70811	0.0	123.66485	0.0	0.5	7.2499	7.2499	1.0991	1.0991	1803.24751	49904.966	40.47039	0.0010
1355.0	0.22231	0.77769	6.9922	7.69282	-1.27187	28.58185	28.96915	1.37697	0.72623	0.19534	120.36959	0.066462	0.46953	7.27176	63.59025	1.0928	0.12497	1801.84299	46396.202	786.33932	3328.403
