T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	8.04928	7.87616	0.0	26.83717	30.23693	1.3557	0.73763	0.0	133.61371	0.0	0.5	9.69367	9.69367	0.84243	0.84243	1881.82017	59701.397	 	0.0
1395.0	0.0	1.0	8.05341	7.87213	-0.0512135	26.79671	30.13376	1.35628	0.73731	0.0	133.77497	0.0	0.5	9.80263	9.80263	0.83058	0.83058	1883.82801	59498.422	40.595	0.0
1390.0	0.0	1.0	8.05752	7.86811	-0.10227	26.75638	30.03059	1.35686	0.737	0.0	133.93623	0.0	0.5	9.91347	9.91347	0.81883	0.81883	1885.83617	59295.945	40.4954	0.0
1385.0	0.0	1.0	8.06163	7.8641	-0.15318	26.71616	29.92742	1.35744	0.73668	0.0	134.09749	0.0	0.5	10.02625	10.02625	0.80718	0.80718	1887.84462	59093.962	40.3966	0.0
1380.0	0.0	1.0	8.06573	7.8601	-0.20393	26.67607	29.82425	1.35803	0.73636	0.0	134.25875	0.0	0.5	10.14101	10.14101	0.79564	0.79564	1889.85339	58892.471	40.2982	0.0
1375.0	0.0	1.0	8.06982	7.85611	-0.25453	26.6361	29.72108	1.35862	0.73604	0.0	134.42001	0.0	0.5	10.25779	10.25779	0.78421	0.78421	1891.86247	58691.466	40.201	0.0
1373.97	0.0	1.0	8.07066	7.8553	-0.26492	26.6279	29.69988	1.35874	0.73597	0.0	134.45316	0.0	0.5	10.28205	10.28205	0.78187	0.78187	1892.27552	58650.204	40.14282	0.0010
1370.27	1.0	4.8367E-9	8.34344	7.59848	-3.52565	17.72724	33.94775	1.18605	0.84313	121.18254	148.03152	44.43602	0.36356	10.63831	37523.15398	0.75399	2.13765E-4	1898.68539	45762.91	 	12738.915
1373.97	1.0	0.0	8.32027	7.55976	-4.01716	16.32963	34.84433	1.15814	0.86346	119.76664	147.55353	43.87958	0.36472	 	0.0	 	NaN	 	58650.1885	 	 
1370.27	1.0	0.0	8.34344	7.59848	-3.52565	17.72723	33.94774	1.18605	0.84313	121.18256	148.03153	44.43602	0.36356	 	37523.237	 	2.13764E-4	 	45762.97447	 	 
