T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	8.27839	7.97932	0.0	28.29801	31.07965	1.31894	0.75818	0.0	140.15528	0.0	0.5	10.35995	10.35995	0.78825	0.78825	1874.77916	58916.027	 	0.0
1395.0	0.0	1.0	8.28247	7.97539	-0.0492546	28.26746	30.98078	1.31919	0.75804	0.0	140.31827	0.0	0.5	10.48155	10.48155	0.77678	0.77678	1876.66589	58717.015	39.8024	0.0
1390.0	0.0	1.0	8.28654	7.97147	-0.0983618	28.23708	30.88192	1.31945	0.75789	0.0	140.48126	0.0	0.5	10.60532	10.60532	0.76541	0.76541	1878.55253	58518.472	39.7086	0.0
1385.0	0.0	1.0	8.2906	7.96757	-0.14732	28.20689	30.78306	1.31971	0.75774	0.0	140.64425	0.0	0.5	10.73132	10.73132	0.75415	0.75415	1880.43908	58320.396	39.6152	0.0
1380.0	0.0	1.0	8.29466	7.96367	-0.19613	28.17688	30.68419	1.31997	0.75759	0.0	140.80724	0.0	0.5	10.85959	10.85959	0.74299	0.74299	1882.32555	58122.783	39.5226	0.0
1375.0	0.0	1.0	8.2987	7.95979	-0.2448	28.14705	30.58533	1.32023	0.75744	0.0	140.97023	0.0	0.5	10.99018	10.99018	0.73195	0.73195	1884.21192	57925.628	39.431	0.0
1372.17	0.0	1.0	8.30099	7.9576	-0.27227	28.13026	30.5294	1.32038	0.75736	0.0	141.06244	0.0	0.5	11.06512	11.06512	0.72574	0.72574	1885.27914	57814.287	39.3591	0.0
1370.0	0.12163	0.87837	8.34381	7.91676	-0.78409	26.75914	30.90072	1.30279	0.76758	0.024995	142.60222	0.00842472	0.48343	11.21585	24.61103	0.71504	0.32586	1887.50949	56265.141	713.51404	1463.789
1365.0	0.35374	0.64626	8.4267	7.83893	-1.75946	24.14947	31.62605	1.26904	0.788	1.8629	145.68957	0.64183	0.45124	11.56615	877.24055	0.69128	0.00911427	1892.5828	53324.77	588.0742	4207.913
1360.0	0.51397	0.48603	8.48529	7.78462	-2.44003	22.34225	32.13668	1.24506	0.80317	8.55006	147.985	2.9926	0.42853	11.92133	4066.68368	0.66863	0.00196007	1897.5874	51275.812	409.7916	6061.072
1355.0	0.6276	0.3724	8.52778	7.74562	-2.92884	21.05817	32.49543	1.22755	0.81463	19.42137	149.74534	6.87646	0.41216	12.28148	9538.63988	0.64704	8.33095E-4	1902.52417	49797.623	295.6378	7343.909
1350.0	0.71004	0.28996	8.55935	7.71673	-3.29085	20.12062	32.74243	1.21455	0.82335	32.34574	151.13338	11.55111	0.40011	12.64644	16541.68073	0.62644	4.78923E-4	1907.39613	48694.664	220.5918	8251.956
1345.0	0.77106	0.22894	8.58334	7.69479	-3.56581	19.42141	32.90668	1.20476	0.83004	45.56456	152.25864	16.37739	0.39108	13.01615	24389.94183	0.60677	3.23813E-4	1912.20634	47844.363	170.0602	8907.785
1340.0	0.81705	0.18295	8.602	7.67772	-3.77981	18.88948	33.0097	1.19729	0.83522	58.04509	153.19463	20.96716	0.38419	13.39082	32642.49455	0.58797	2.412E-4	1916.95819	47167.955	135.2816	9390.155
1335.0	0.85227	0.14773	8.61683	7.66409	-3.95059	18.4763	33.0673	1.1915	0.83928	69.3192	153.99193	25.13672	0.37884	13.7702	41068.79694	0.57	1.91118E-4	1921.6562	46613.674	110.8562	9750.83
1330.0	0.87966	0.12034	8.62887	7.65299	-4.08975	18.15016	33.0909	1.18695	0.8425	79.25333	154.68631	28.82715	0.37463	14.15472	49574.92046	0.55279	1.57833E-4	1926.3041	46146.783	93.3782	10024.545
1325.0	0.90126	0.0987386	8.63884	7.64375	-4.20554	17.88842	33.08891	1.18332	0.84508	87.89572	155.30327	32.04926	0.37126	14.54459	58151.02227	0.53629	1.34136E-4	1930.9061	45743.523	80.652	10235.053
1320.0	0.91851	0.0814866	8.64727	7.63589	-4.30403	17.67436	33.06741	1.18038	0.84718	95.37079	155.8605	34.8444	0.36852	14.93997	66830.31389	0.52047	1.16351E-4	1935.46751	45387.353	71.234	10398.895
1315.0	0.93246	0.067542	8.65452	7.62908	-4.38933	17.49672	33.03092	1.17798	0.84891	101.82896	156.37149	37.26521	0.36627	15.34109	75670.25169	0.50527	1.02436E-4	1939.9927	45066.564	64.1578	10527.774
1310.0	0.94385	0.0561454	8.66087	7.6231	-4.46426	17.34776	32.98281	1.17598	0.85035	107.41713	156.84645	39.36424	0.3644	15.74863	84739.32779	0.49064	9.11851E-5	1944.48457	44772.738	58.7652	10630.107
1305.0	0.95326	0.0467356	8.66652	7.61775	-4.53136	17.22039	32.92559	1.1743	0.85157	112.27189	157.29236	41.19105	0.36282	16.16273	94111.34471	0.47656	8.18452E-5	1948.94942	44499.736	54.6004	10712.029
1300.0	0.96111	0.038892	8.67161	7.61291	-4.59207	17.11067	32.86116	1.17288	0.8526	116.50883	157.71514	42.78786	0.36147	16.58401	103861.511	0.46299	7.39269E-5	1953.38955	44243.019	51.3434	10778.076
1295.0	0.9677	0.032296	8.67626	7.60846	-4.6478	17.01468	32.79098	1.17165	0.85349	120.22811	158.1189	44.19152	0.36031	17.01238	114066.8298	0.44989	6.70988E-5	1957.81015	43999.188	48.7662	10831.644
1290.0	0.9733	0.0267044	8.68056	7.60433	-4.69948	16.92987	32.71618	1.17059	0.85427	123.51262	158.50701	45.43264	0.35929	17.44886	124805.2108	0.43724	6.113E-5	1962.21426	43765.668	46.704	10875.306
1285.0	0.97807	0.0219274	8.68457	7.60047	-4.74787	16.8541	32.63762	1.16965	0.85495	126.43119	158.882	46.53674	0.3584	17.89371	136155.1975	0.42501	5.5855E-5	1966.60641	43540.486	45.0364	10911.031
1283.83	0.97905	0.0209512	8.68546	7.59962	-4.75862	16.83798	32.61866	1.16945	0.8551	127.0448	158.96747	46.76904	0.35821	17.99922	138886.7618	0.4222	5.47153E-5	1967.63395	43489.156	 	10918.059
1280.0	0.98548	0.0145234	8.68979	7.5957	-4.80767	16.74385	32.56795	1.16839	0.85588	130.84114	159.32687	48.20616	0.3571	18.20577	150031.5801	0.41638	5.05263E-5	1969.51796	43287.724	50.5524	10974.735
1275.69	0.99144	0.00856461	8.69418	7.59173	-4.85739	16.65351	32.5058	1.16738	0.85662	134.50076	159.70713	49.5932	0.35604	18.43819	162872.9919	0.40999	4.64136E-5	1971.62545	43073.957	 	11026.021
1275.69	0.99144	0.00856461	8.69418	7.59173	-4.85739	16.65351	32.5058	1.16738	0.85662	134.50076	159.70713	49.5932	0.35604	18.43819	162872.9919	0.40999	4.64136E-5	1971.62546	43073.957	 	11026.021
1275.0	0.99255	0.00744952	8.69497	7.59105	-4.866	16.63714	32.49936	1.16709	0.85683	135.18433	159.7728	49.85239	0.35585	18.46261	165140.4828	0.40927	4.57558E-5	1971.81741	43037.348	50.0752	11036.448
1270.0	1.0	0.0	8.70039	7.58631	-4.92538	16.52641	32.44943	1.16511	0.85829	139.85298	160.23531	51.62403	0.35453	 	182060.6391	 	4.13694E-5	 	42779.632	51.5432	11105.894
1265.0	1.0	0.0	8.7029	7.58411	-4.95292	16.51038	32.35366	1.16477	0.85854	140.2716	160.53346	51.78484	0.35437	 	195275.2634	 	3.84448E-5	 	42607.10127	34.50615	 
1260.0	1.0	0.0	8.7054	7.58193	-4.98027	16.49477	32.25793	1.16443	0.85879	140.6897	160.83101	51.94548	0.35421	 	209544.8644	 	3.57104E-5	 	42428.23555	35.77314	 
1255.0	1.0	0.0	8.7079	7.57975	-5.00758	16.47917	32.1622	1.16409	0.85904	141.10704	161.12704	52.10587	0.35404	 	224961.0073	 	3.31547E-5	 	42249.60127	35.72686	 
1250.0	1.0	0.0	8.7104	7.57757	-5.03486	16.46356	32.06647	1.16374	0.8593	141.52364	161.42156	52.26603	0.35388	 	241623.8974	 	3.07673E-5	 	42071.19815	35.68062	 
1245.0	1.0	0.0	8.7129	7.5754	-5.06209	16.44795	31.97074	1.1634	0.85955	141.93949	161.71455	52.42595	0.35371	 	259643.1883	 	2.85381E-5	 	41893.02592	35.63445	 
1240.0	1.0	0.0	8.7154	7.57323	-5.08928	16.43233	31.875	1.16305	0.85981	142.35458	162.00604	52.58563	0.35355	 	279138.936	 	2.64575E-5	 	41715.08434	35.58832	 
1235.0	1.0	0.0	8.71789	7.57106	-5.11642	16.41672	31.77927	1.1627	0.86007	142.76893	162.29603	52.74508	0.35339	 	300242.6569	 	2.45165E-5	 	41537.37314	35.54224	 
1230.0	1.0	0.0	8.72038	7.5689	-5.14353	16.4011	31.68354	1.16234	0.86033	143.18253	162.58452	52.90428	0.35322	 	323098.4997	 	2.27067E-5	 	41359.89205	35.49622	 
1225.0	1.0	0.0	8.72287	7.56674	-5.1706	16.38547	31.5878	1.16199	0.86059	143.59538	162.87152	53.06325	0.35306	 	347864.5455	 	2.102E-5	 	41182.64084	35.45024	 
1220.0	1.0	0.0	8.72536	7.56459	-5.19762	16.36985	31.49207	1.16163	0.86086	144.00748	163.15703	53.22198	0.35289	 	374714.2502	 	1.94487E-5	 	41005.61922	35.40432	 
1215.0	1.0	0.0	8.72784	7.56243	-5.22461	16.35422	31.39634	1.16127	0.86112	144.41883	163.44105	53.38047	0.35273	 	403838.0466	 	1.79857E-5	 	40828.82693	35.35846	 
1210.0	1.0	0.0	8.73033	7.56028	-5.25155	16.33859	31.3006	1.16091	0.86139	144.82944	163.7236	53.53872	0.35257	 	435445.1233	 	1.66241E-5	 	40652.26373	35.31264	 
1205.0	1.0	0.0	8.73281	7.55814	-5.27845	16.32296	31.20487	1.16055	0.86166	145.23929	164.00467	53.69674	0.3524	 	469765.4034	 	1.53576E-5	 	40475.92936	35.26687	 
1200.0	1.0	0.0	8.73528	7.55599	-5.30531	16.30733	31.10913	1.16018	0.86194	145.64839	164.28428	53.85451	0.35224	 	507051.7451	 	1.41802E-5	 	40299.82357	35.22116	 
1195.0	1.0	0.0	8.73776	7.55385	-5.33213	16.29169	31.0134	1.15981	0.86221	146.05675	164.56242	54.01205	0.35208	 	547582.3903	 	1.3086E-5	 	40123.94607	35.1755	 
1190.0	1.0	0.0	8.74023	7.55172	-5.35891	16.27606	30.91766	1.15944	0.86249	146.46436	164.83911	54.16935	0.35191	 	591663.6932	 	1.20698E-5	 	39948.29664	35.12989	 
1185.0	1.0	0.0	8.7427	7.54958	-5.38564	16.26042	30.82192	1.15907	0.86276	146.87121	165.11434	54.3264	0.35175	 	639633.1601	 	1.11265E-5	 	39772.87501	35.08433	 
1180.0	1.0	0.0	8.74517	7.54745	-5.41233	16.24478	30.72619	1.15869	0.86304	147.27732	165.38812	54.48322	0.35158	 	691862.8392	 	1.02513E-5	 	39597.68093	35.03882	 
1175.0	1.0	0.0	8.74763	7.54533	-5.43899	16.22914	30.63045	1.15831	0.86332	147.68268	165.66046	54.6398	0.35142	 	748763.1042	 	9.43965E-6	 	39422.71413	34.99336	 
1170.0	1.0	0.0	8.75009	7.5432	-5.4656	16.2135	30.53471	1.15793	0.86361	148.08729	165.93136	54.79614	0.35126	 	810786.878	 	8.68743E-6	 	39247.97438	34.94795	 
1165.0	1.0	0.0	8.75255	7.54108	-5.49217	16.19786	30.43898	1.15755	0.86389	148.49115	166.20082	54.95225	0.35109	 	878434.3523	 	7.99064E-6	 	39073.46141	34.90259	 
