T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	8.05146	7.85021	0.0	25.63585	28.82072	1.42232	0.70308	0.0	134.8389	0.0	0.5	9.95136	9.95136	0.82061	0.82061	1889.03178	62123.709	 	0.0
1395.0	0.0	1.0	8.05549	7.84628	-0.0500574	25.59474	28.74291	1.4219	0.70328	0.0	135.01197	0.0	0.5	10.06521	10.06521	0.80891	0.80891	1891.16209	61919.913	40.7592	0.0
1390.0	0.0	1.0	8.05952	7.84236	-0.099965	25.55373	28.6651	1.42149	0.70349	0.0	135.18505	0.0	0.5	10.18107	10.18107	0.79731	0.79731	1893.2961	61716.596	40.6634	0.0
1385.0	0.0	1.0	8.06353	7.83846	-0.14972	25.51282	28.58729	1.42107	0.70369	0.0	135.35812	0.0	0.5	10.29897	10.29897	0.78581	0.78581	1895.43389	61513.757	40.5678	0.0
1380.0	0.0	1.0	8.06754	7.83456	-0.19933	25.47203	28.50948	1.42066	0.7039	0.0	135.5312	0.0	0.5	10.41896	10.41896	0.77442	0.77442	1897.5755	61311.392	40.473	0.0
1375.29	0.0	1.0	8.07131	7.8309	-0.24596	25.43366	28.43612	1.42026	0.7041	0.0	135.69437	0.0	0.5	10.53404	10.53404	0.76377	0.76377	1899.59805	61121.048	40.38042	0.0
1375.0	0.0132	0.9868	8.07457	7.82771	-0.28668	25.32787	28.48055	1.4178	0.70532	3.43076E-6	135.79619	1.14503E-6	0.49811	10.54911	10.73937	0.76255	0.74904	1899.81505	60912.197	729.66146	197.303
1370.0	0.23157	0.76843	8.12847	7.77579	-0.94801	23.60975	29.22908	1.3773	0.72606	0.33418	137.38238	0.11394	0.46646	10.81658	154.62871	0.74144	0.0518649	1903.62573	57476.097	687.22	3431.977
1365.0	0.39345	0.60655	8.16919	7.73694	-1.44285	22.33671	29.79722	1.34693	0.74243	2.84598	138.55542	0.98642	0.44258	11.09089	1255.52912	0.7209	0.00636815	1907.43786	54901.736	514.8722	5805.379
1360.0	0.51546	0.48454	8.20053	7.70741	-1.81905	21.38171	30.23269	1.32347	0.75559	8.52648	139.45629	2.99316	0.42433	11.37214	3889.33678	0.70092	0.00204945	1911.24731	52930.643	394.2186	7575.976
1355.0	0.60881	0.39119	8.2251	7.68439	-2.11232	20.64935	30.56436	1.3051	0.76622	16.81864	140.17161	5.9633	0.41018	11.66063	8016.98692	0.68149	9.9122E-4	1915.05307	51389.971	308.1344	8916.61
1350.0	0.68117	0.31883	8.2447	7.66612	-2.34508	20.07979	30.81341	1.29058	0.77485	26.6522	140.76085	9.52489	0.39908	11.9564	13336.40563	0.66259	5.94028E-4	1918.85324	50161.709	245.6524	9945.293
1345.0	0.73796	0.26204	8.2606	7.65137	-2.53291	19.63139	30.99672	1.279	0.78186	37.05741	141.26395	13.32735	0.39028	12.25953	19522.23371	0.64422	4.04554E-4	1922.64615	49163.754	199.591	10744.122
1340.0	0.78302	0.21698	8.27373	7.63923	-2.68759	19.27247	31.12775	1.26968	0.7876	47.34474	141.70588	17.11403	0.38321	12.57049	26315.22925	0.62634	2.99195E-4	1926.43113	48338.008	165.1492	11371.195
1335.0	0.81913	0.18087	8.28474	7.62908	-2.81683	18.98241	31.21741	1.26211	0.79233	57.09524	142.10541	20.72434	0.37749	12.88917	33539.6789	0.60896	2.34021E-4	1930.20655	47642.709	139.0598	11868.271
1330.01	0.84827	0.15173	8.29411	7.62045	-2.9268	18.74439	31.27397	1.25591	0.79623	66.06651	142.47333	24.0623	0.37282	13.2152	41068.94191	0.59209	1.90524E-4	1933.96487	47048.665	 	12264.961
1330.0	0.84836	0.15164	8.29415	7.62043	-2.92706	18.7438	31.27424	1.2559	0.79624	66.09623	142.47469	24.07337	0.37281	13.21556	41092.03416	0.59207	1.90416E-4	1933.96056	47046.864	119.169	12266.337
1325.0	0.89529	0.10471	8.30872	7.60706	-3.09745	18.3328	31.40624	1.24672	0.80211	82.54939	143.02218	30.22976	0.36537	13.366	54001.42154	0.58358	1.44444E-4	1932.00742	46181.287	173.1154	12934.58
1320.5	0.92567	0.07433	8.31888	7.59778	-3.21566	18.06014	31.46973	1.2407	0.806	94.88407	143.42982	34.87184	0.36047	13.50457	65204.05141	0.57597	1.1929E-4	1930.08818	45572.799	 	13365.833
1320.0	0.93291	0.067088	8.32109	7.59575	-3.24147	17.99367	31.4919	1.23944	0.80682	98.04979	143.53838	36.06617	0.3593	13.51669	67672.33894	0.57527	1.14903E-4	1930.01183	45450.123	146.2328	13468.851
1315.19	1.0	-3.435E-9	8.342	7.57671	-3.48397	17.36796	31.68729	1.22807	0.81428	131.45262	144.58221	48.74145	0.34847	 	94835.68195	 	8.17445E-5	 	44301.743	 	14428.238
1315.0	1.0	0.0	8.3421	7.57663	-3.48503	17.36751	31.68416	1.22805	0.8143	131.46845	144.595	48.7475	0.34846	 	95073.417	 	8.15303E-5	 	44294.73666	231.07727	 
1310.0	1.0	0.0	8.34483	7.57415	-3.51656	17.34464	31.601	1.2274	0.81473	131.87753	144.90733	48.9044	0.34832	 	101564.8945	 	7.60791E-5	 	44110.48378	36.85058	 
1305.0	1.0	0.0	8.34755	7.57168	-3.54803	17.32177	31.51784	1.22676	0.81516	132.28596	145.21837	49.06109	0.34818	 	108545.0196	 	7.09619E-5	 	43926.52963	36.79083	 
1300.0	1.0	0.0	8.35027	7.56922	-3.57944	17.29891	31.43467	1.2261	0.81559	132.69376	145.52813	49.21759	0.34803	 	116053.8825	 	6.61603E-5	 	43742.87365	36.73119	 
1295.0	1.0	0.0	8.35299	7.56676	-3.61078	17.27605	31.3515	1.22545	0.81603	133.10092	145.8366	49.37388	0.34789	 	124135.1278	 	6.16566E-5	 	43559.51532	36.67167	 
1290.0	1.0	0.0	8.3557	7.5643	-3.64206	17.25319	31.26833	1.22479	0.81647	133.50745	146.14379	49.52997	0.34774	 	132836.2918	 	5.74342E-5	 	43376.45406	36.61225	 
1285.0	1.0	0.0	8.35841	7.56185	-3.67328	17.23034	31.18516	1.22413	0.81691	133.91334	146.4497	49.68585	0.3476	 	142209.1754	 	5.34772E-5	 	43193.68934	36.55294	 
1280.0	1.0	0.0	8.36111	7.55941	-3.70443	17.20749	31.10199	1.22346	0.81735	134.31859	146.75435	49.84153	0.34746	 	152310.2543	 	4.97704E-5	 	43011.22061	36.49375	 
1275.0	1.0	0.0	8.36381	7.55696	-3.73552	17.18464	31.01882	1.2228	0.8178	134.72321	147.05772	49.99701	0.34731	 	163201.1317	 	4.62995E-5	 	42829.04732	36.43466	 
1270.0	1.0	0.0	8.36651	7.55453	-3.76655	17.16179	30.93564	1.22212	0.81825	135.12718	147.35983	50.15229	0.34717	 	174949.0376	 	4.3051E-5	 	42647.16895	36.37568	 
1265.0	1.0	0.0	8.3692	7.5521	-3.79752	17.13895	30.85247	1.22145	0.8187	135.53053	147.66067	50.30736	0.34702	 	187627.3797	 	4.00119E-5	 	42465.58492	36.3168	 
1260.0	1.0	0.0	8.37189	7.54967	-3.82842	17.11611	30.76929	1.22077	0.81916	135.93323	147.96026	50.46223	0.34688	 	201316.3529	 	3.717E-5	 	42284.29472	36.25804	 
1255.0	1.0	0.0	8.37458	7.54725	-3.85926	17.09327	30.68611	1.22009	0.81961	136.3353	148.2586	50.6169	0.34674	 	216103.6112	 	3.45136E-5	 	42103.29778	36.19939	 
1250.0	1.0	0.0	8.37726	7.54484	-3.89004	17.07044	30.60292	1.2194	0.82008	136.73674	148.55568	50.77136	0.34659	 	232085.0122	 	3.20319E-5	 	41922.59358	36.14084	 
1245.0	1.0	0.0	8.37994	7.54242	-3.92075	17.04761	30.51974	1.21871	0.82054	137.13753	148.85152	50.92562	0.34645	 	249365.4399	 	2.97143E-5	 	41742.18157	36.0824	 
1240.0	1.0	0.0	8.38261	7.54002	-3.9514	17.02478	30.43655	1.21801	0.82101	137.53769	149.14611	51.07968	0.34631	 	268059.7158	 	2.7551E-5	 	41562.06121	36.02407	 
1235.0	1.0	0.0	8.38528	7.53762	-3.98199	17.00196	30.35337	1.21732	0.82148	137.93722	149.43946	51.23353	0.34616	 	288293.6077	 	2.55327E-5	 	41382.23197	35.96585	 
1230.0	1.0	0.0	8.38795	7.53522	-4.01251	16.97914	30.27018	1.21662	0.82195	138.3361	149.73157	51.38718	0.34602	 	310204.9483	 	2.36505E-5	 	41202.6933	35.90773	 
1225.0	1.0	0.0	8.39061	7.53283	-4.04298	16.95632	30.18698	1.21591	0.82243	138.73435	150.02246	51.54063	0.34587	 	333944.8751	 	2.18961E-5	 	41023.44467	35.84973	 
1220.0	1.0	0.0	8.39327	7.53044	-4.07338	16.9335	30.10379	1.2152	0.82291	139.13197	150.31211	51.69387	0.34573	 	359679.2063	 	2.02617E-5	 	40844.48554	35.79183	 
1215.0	1.0	0.0	8.39592	7.52806	-4.10371	16.91069	30.0206	1.21449	0.82339	139.52895	150.60053	51.84691	0.34559	 	387589.9682	 	1.87396E-5	 	40665.81538	35.73403	 
1210.0	1.0	0.0	8.39858	7.52568	-4.13398	16.88788	29.9374	1.21377	0.82388	139.92529	150.88773	51.99974	0.34544	 	417877.0924	 	1.7323E-5	 	40487.43364	35.67635	 
1205.0	1.0	0.0	8.40122	7.52331	-4.1642	16.86508	29.8542	1.21305	0.82437	140.32099	151.17371	52.15237	0.3453	 	450760.3017	 	1.60051E-5	 	40309.33981	35.61877	 
1200.0	1.0	0.0	8.40387	7.52095	-4.19434	16.84227	29.771	1.21233	0.82486	140.71606	151.45848	52.3048	0.34515	 	486481.2081	 	1.47798E-5	 	40131.53334	35.56129	 
1195.0	1.0	0.0	8.40651	7.51858	-4.22443	16.81947	29.6878	1.2116	0.82536	141.11049	151.74203	52.45702	0.34501	 	525305.6472	 	1.3641E-5	 	39954.01371	35.50393	 
1190.0	1.0	0.0	8.40914	7.51623	-4.25445	16.79668	29.60459	1.21087	0.82586	141.50429	152.02437	52.60904	0.34487	 	567526.2788	 	1.25832E-5	 	39776.78037	35.44667	 
1185.0	1.0	0.0	8.41177	7.51388	-4.28441	16.77388	29.52138	1.21013	0.82636	141.89744	152.30551	52.76085	0.34472	 	613465.4834	 	1.16011E-5	 	39599.83281	35.38951	 
1180.0	1.0	0.0	8.4144	7.51153	-4.31431	16.75109	29.43817	1.20939	0.82686	142.28997	152.58544	52.91246	0.34458	 	663478.5934	 	1.06898E-5	 	39423.17048	35.33246	 
1175.0	1.0	0.0	8.41703	7.50919	-4.34414	16.7283	29.35496	1.20864	0.82737	142.68185	152.86417	53.06387	0.34444	 	717957.4967	 	9.84468E-6	 	39246.79287	35.27552	 
1170.0	1.0	0.0	8.41965	7.50685	-4.37391	16.70552	29.27175	1.20789	0.82789	143.0731	153.14171	53.21507	0.34429	 	777334.6613	 	9.06129E-6	 	39070.69945	35.21869	 
1165.0	1.0	0.0	8.42226	7.50452	-4.40362	16.68274	29.18854	1.20714	0.8284	143.46371	153.41806	53.36607	0.34415	 	842087.6307	 	8.33554E-6	 	38894.88967	35.16196	 
1160.0	1.0	0.0	8.42488	7.50219	-4.43326	16.65996	29.10532	1.20638	0.82892	143.85369	153.69321	53.51686	0.344	 	912744.0501	 	7.66354E-6	 	38719.36303	35.10533	 
1155.0	1.0	0.0	8.42749	7.49987	-4.46285	16.63718	29.0221	1.20562	0.82945	144.24303	153.96718	53.66745	0.34386	 	989887.2887	 	7.04166E-6	 	38544.11899	35.04881	 
1150.0	1.0	0.0	8.43009	7.49755	-4.49237	16.61441	28.93888	1.20486	0.82997	144.63173	154.23996	53.81783	0.34372	 	1074162.733	 	6.46647E-6	 	38369.15704	34.99239	 
1145.0	1.0	0.0	8.43269	7.49524	-4.52182	16.59164	28.85566	1.20409	0.83051	145.0198	154.51157	53.96801	0.34357	 	1166284.84	 	5.93477E-6	 	38194.47664	34.93608	 
1140.0	1.0	0.0	8.43529	7.49293	-4.55122	16.56887	28.77243	1.20331	0.83104	145.40723	154.782	54.11799	0.34343	 	1267045.034	 	5.44356E-6	 	38020.07727	34.87987	 
1135.0	1.0	0.0	8.43788	7.49063	-4.58055	16.54611	28.6892	1.20253	0.83158	145.79402	155.05125	54.26776	0.34328	 	1377320.582	 	4.99E-6	 	37845.95842	34.82377	 
1130.0	1.0	0.0	8.44047	7.48833	-4.60982	16.52335	28.60597	1.20175	0.83212	146.18018	155.31934	54.41732	0.34314	 	1498084.535	 	4.57146E-6	 	37672.11956	34.76777	 
1125.0	1.0	0.0	8.44306	7.48604	-4.63902	16.50059	28.52274	1.20096	0.83267	146.5657	155.58626	54.56668	0.343	 	1630416.916	 	4.18545E-6	 	37498.56016	34.71188	 
1120.0	1.0	0.0	8.44564	7.48375	-4.66817	16.47784	28.43951	1.20017	0.83322	146.95058	155.85201	54.71583	0.34285	 	1775517.282	 	3.82966E-6	 	37325.27972	34.65609	 
1115.0	1.0	0.0	8.44821	7.48147	-4.69725	16.45509	28.35627	1.19937	0.83377	147.33483	156.11661	54.86478	0.34271	 	1934718.862	 	3.50191E-6	 	37152.27771	34.6004	 
1110.0	1.0	0.0	8.45079	7.47919	-4.72627	16.43234	28.27303	1.19857	0.83433	147.71844	156.38004	55.01353	0.34256	 	2109504.476	 	3.20019E-6	 	36979.55361	34.54482	 
1105.0	1.0	0.0	8.45336	7.47692	-4.75522	16.40959	28.18979	1.19776	0.83489	148.10141	156.64232	55.16207	0.34242	 	2301524.459	 	2.92259E-6	 	36807.10691	34.48934	 
1100.0	1.0	0.0	8.45592	7.47465	-4.78412	16.38685	28.10655	1.19695	0.83546	148.48375	156.90345	55.3104	0.34228	 	2512616.882	 	2.66734E-6	 	36634.9371	34.43396	 
1095.0	1.0	0.0	8.45848	7.47238	-4.81295	16.36411	28.02331	1.19614	0.83603	148.86545	157.16344	55.45853	0.34213	 	2744830.359	 	2.43279E-6	 	36463.04364	34.37869	 
1090.0	1.0	0.0	8.46104	7.47013	-4.84172	16.34138	27.94006	1.19532	0.8366	149.24651	157.42228	55.60645	0.34199	 	3000449.801	 	2.2174E-6	 	36291.42604	34.32352	 
1085.0	1.0	0.0	8.46359	7.46787	-4.87042	16.31864	27.85681	1.19449	0.83718	149.62694	157.67997	55.75417	0.34185	 	3282025.52	 	2.01973E-6	 	36120.08379	34.26845	 
1080.0	1.0	0.0	8.46614	7.46562	-4.89907	16.29591	27.77356	1.19366	0.83776	150.00673	157.93653	55.90168	0.3417	 	3592406.142	 	1.83843E-6	 	35949.01636	34.21349	 
1075.0	1.0	0.0	8.46869	7.46338	-4.92765	16.27318	27.6903	1.19282	0.83835	150.38588	158.19195	56.04898	0.34156	 	3934775.859	 	1.67226E-6	 	35778.22324	34.15862	 
1070.0	1.0	0.0	8.47123	7.46114	-4.95616	16.25046	27.60705	1.19198	0.83894	150.7644	158.44624	56.19608	0.34141	 	4312696.619	 	1.52007E-6	 	35607.70394	34.10386	 
