T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1600.0	0.0	1.0	7.88391	8.01704	0.0	27.35392	31.93312	1.43713	0.69583	0.0	127.91587	0.0	0.5	6.63566	6.63566	1.37777	1.37777	1806.31352	70541.572	 	0.0
1595.0	0.0	1.0	7.88824	8.01264	-0.0548865	27.30944	31.85531	1.4368	0.69599	0.0	128.08895	0.0	0.5	6.69614	6.69614	1.36168	1.36168	1808.3334	70327.927	42.729	0.0
1590.0	0.0	1.0	7.89256	8.00826	-0.10963	27.26503	31.7775	1.43646	0.69615	0.0	128.26203	0.0	0.5	6.75751	6.75751	1.3457	1.3457	1810.35527	70114.388	42.7078	0.0
1585.0	0.0	1.0	7.89688	8.00388	-0.16422	27.22069	31.69969	1.43612	0.69632	0.0	128.4351	0.0	0.5	6.81977	6.81977	1.32984	1.32984	1812.37915	69900.957	42.6862	0.0
1580.0	0.0	1.0	7.90119	7.99951	-0.21867	27.17642	31.62188	1.43578	0.69648	0.0	128.60818	0.0	0.5	6.88295	6.88295	1.31408	1.31408	1814.40508	69687.633	42.6648	0.0
1575.0	0.0	1.0	7.90549	7.99516	-0.27296	27.13222	31.54407	1.43544	0.69665	0.0	128.78125	0.0	0.5	6.94705	6.94705	1.29844	1.29844	1816.4331	69474.416	42.6434	0.0
1570.0	0.0	1.0	7.90978	7.99082	-0.32712	27.08809	31.46626	1.4351	0.69682	0.0	128.95433	0.0	0.5	7.01211	7.01211	1.28292	1.28292	1818.46324	69261.307	42.6218	0.0
1565.0	0.0	1.0	7.91407	7.98649	-0.38112	27.04404	31.38845	1.43475	0.69698	0.0	129.1274	0.0	0.5	7.07814	7.07814	1.2675	1.2675	1820.49553	69048.307	42.6	0.0
1560.0	0.0	1.0	7.91835	7.98217	-0.43498	27.00006	31.31064	1.43441	0.69715	0.0	129.30048	0.0	0.5	7.14515	7.14515	1.2522	1.2522	1822.53002	68835.416	42.5782	0.0
1555.0	0.0	1.0	7.92263	7.97787	-0.48869	26.95615	31.23283	1.43406	0.69732	0.0	129.47355	0.0	0.5	7.21317	7.21317	1.23701	1.23701	1824.56673	68622.633	42.5566	0.0
1550.0	0.0	1.0	7.92689	7.97357	-0.54226	26.91231	31.15502	1.43371	0.69749	0.0	129.64663	0.0	0.5	7.28222	7.28222	1.22193	1.22193	1826.60571	68409.96	42.5346	0.0
1545.0	0.0	1.0	7.93115	7.96929	-0.59568	26.86855	31.07721	1.43335	0.69766	0.0	129.81971	0.0	0.5	7.35231	7.35231	1.20696	1.20696	1828.64699	68197.397	42.5126	0.0
1540.0	0.0	1.0	7.93541	7.96502	-0.64895	26.82487	30.9994	1.433	0.69784	0.0	129.99278	0.0	0.5	7.42346	7.42346	1.1921	1.1921	1830.6906	67984.944	42.4906	0.0
