T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.23266	7.83863	0.0	29.15223	28.37319	1.44475	0.69216	0.0	123.6441	0.0	0.5	7.52822	7.52822	1.08475	1.08475	1768.30771	51398.841	 	0.0
1395.0	0.0	1.0	7.23659	7.83437	-0.0543434	29.1105	28.2966	1.44433	0.69236	0.0	123.80117	0.0	0.5	7.60893	7.60893	1.07004	1.07004	1770.6456	51192.706	41.227	0.0
1390.0	0.0	1.0	7.24051	7.83012	-0.10853	29.0689	28.22002	1.44391	0.69256	0.0	123.95823	0.0	0.5	7.69099	7.69099	1.05545	1.05545	1772.99509	50987.06	41.1292	0.0
1385.0	0.0	1.0	7.24443	7.82589	-0.16255	29.02743	28.14344	1.44349	0.69277	0.0	124.1153	0.0	0.5	7.77444	7.77444	1.04098	1.04098	1775.35601	50781.9	41.032	0.0
1380.0	0.0	1.0	7.24834	7.82167	-0.21642	28.98609	28.06685	1.44306	0.69297	0.0	124.27236	0.0	0.5	7.85931	7.85931	1.02663	1.02663	1777.72816	50577.221	40.9358	0.0
1375.0	0.0	1.0	7.25225	7.81746	-0.27013	28.94489	27.99027	1.44263	0.69318	0.0	124.42942	0.0	0.5	7.94562	7.94562	1.01241	1.01241	1780.11131	50373.023	40.8396	0.0
1370.0	0.0	1.0	7.25614	7.81326	-0.32368	28.90381	27.91369	1.4422	0.69338	0.0	124.58649	0.0	0.5	8.03342	8.03342	0.9983	0.9983	1782.50524	50169.301	40.7444	0.0
1366.95	0.0	1.0	7.25851	7.81071	-0.35624	28.87884	27.86701	1.44194	0.69351	0.0	124.68222	0.0	0.5	8.08768	8.08768	0.98977	0.98977	1783.96952	50045.373	40.66573	0.0
1365.0	0.0598002	0.9402	7.27309	7.79497	-0.55697	28.36155	28.06003	1.43031	0.69915	0.00114869	124.62726	3.84946E-4	0.49201	8.12866	9.11149	0.98361	0.87751	1783.51222	49145.36	460.94944	820.692
1360.0	0.19674	0.80326	7.30682	7.75903	-1.01555	27.18507	28.50502	1.40369	0.71241	0.13759	124.53267	0.0466853	0.47356	8.23443	49.33056	0.96801	0.16158	1782.38465	47074.511	414.1698	2688.765
1355.0	0.30815	0.69185	7.33487	7.72939	-1.39363	26.22576	28.86698	1.38184	0.72367	0.84349	124.51809	0.28919	0.45836	8.34158	259.10778	0.95265	0.0306691	1781.34551	45364.606	341.981	4196.362
1350.0	0.39986	0.60014	7.35848	7.70456	-1.71033	25.43219	29.16459	1.36354	0.73338	2.43055	124.56678	0.84061	0.44571	8.45021	755.91635	0.93751	0.0104802	1780.39543	43933.107	286.2998	5426.019
1345.0	0.47616	0.52384	7.3786	7.68351	-1.97887	24.76884	29.41048	1.34798	0.74185	4.95711	124.66745	1.72713	0.43507	8.56039	1598.57698	0.9226	0.00494051	1779.53394	42719.191	242.7832	6438.555
1340.0	0.54023	0.45977	7.39593	7.66548	-2.20897	24.20959	29.61365	1.33459	0.74929	8.31759	124.81091	2.9163	0.42605	8.67222	2801.87284	0.90789	0.00281004	1778.75968	41677.351	208.368	7279.479
1335.0	0.59447	0.40553	7.41101	7.64991	-2.40763	23.73571	29.7808	1.32299	0.75586	12.33464	124.99018	4.34824	0.41835	8.7858	4356.27913	0.89337	0.00180176	1778.07046	40773.067	180.8568	7983.302
1330.0	0.64074	0.35926	7.42426	7.63619	-2.58261	23.32598	29.91714	1.31287	0.76169	16.81884	125.19664	5.9569	0.41171	8.90119	6241.96192	0.87905	0.00125354	1777.46509	39979.827	158.648	8576.537
1325.0	0.68046	0.31954	7.43599	7.62412	-2.73662	22.9733	30.02722	1.30397	0.76689	21.59512	125.42773	7.67983	0.40596	9.01848	8437.01795	0.86491	9.24518E-4	1776.9401	39277.037	140.558	9079.774
1320.0	0.71477	0.28523	7.44647	7.61333	-2.8742	22.66528	30.11471	1.29612	0.77154	26.52174	125.67832	9.46562	0.40095	9.13778	10923.23663	0.85095	7.11856E-4	1776.49332	38648.532	125.701	9509.177
1315.0	0.74456	0.25544	7.4559	7.60365	-2.99772	22.39559	30.18268	1.28914	0.77571	31.48275	125.94544	11.27155	0.39656	9.25924	13685.71296	0.83715	5.66384E-4	1776.12168	38081.501	113.4062	9877.555
1310.0	0.77057	0.22943	7.46446	7.59488	-3.10961	22.15756	30.23393	1.2829	0.77948	36.3943	126.22647	13.06623	0.39269	9.38288	16716.0987	0.82352	4.62247E-4	1775.82249	37565.702	103.1598	10195.144
1305.0	0.79336	0.20664	7.47227	7.58689	-3.2116	21.94658	30.27051	1.27731	0.7829	41.19066	126.51896	14.8247	0.38926	9.50884	20008.98908	0.81004	3.84955E-4	1775.59283	37092.881	94.5642	10470.198
1300.0	0.81343	0.18657	7.47945	7.57956	-3.305	21.75911	30.29453	1.27225	0.78601	45.83341	126.82159	16.53194	0.38621	9.63727	23567.76147	0.79672	3.25791E-4	1775.42954	36656.333	87.3096	10709.419
1295.0	0.83117	0.16883	7.48608	7.5728	-3.39133	21.59092	30.30749	1.26766	0.78885	50.29094	127.13207	18.17548	0.38348	9.76821	27396.06664	0.78354	2.79374E-4	1775.3303	36250.576	81.1514	10918.288
1290.0	0.84692	0.15308	7.49224	7.56651	-3.47152	21.43956	30.31093	1.26348	0.79147	54.55186	127.44948	19.75033	0.38104	9.90184	31506.58422	0.7705	2.42151E-4	1775.29225	35871.095	75.8962	11101.314
