T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.21583	7.71354	0.0	28.55573	29.5775	1.38592	0.72154	0.0	125.13948	0.0	0.5	6.82884	6.82884	1.19584	1.19584	1759.81908	59234.07	 	0.0
1395.0	0.0	1.0	7.21975	7.70936	-0.0542335	28.51245	29.5023	1.3853	0.72186	0.0	125.30335	0.0	0.5	6.90068	6.90068	1.17986	1.17986	1762.056	59027.536	41.3068	0.0
1390.0	0.0	1.0	7.22365	7.70519	-0.10831	28.46928	29.4271	1.38468	0.72219	0.0	125.46721	0.0	0.5	6.97371	6.97371	1.164	1.164	1764.30675	58821.478	41.2116	0.0
1385.0	0.0	1.0	7.22756	7.70103	-0.16222	28.42624	29.3519	1.38406	0.72251	0.0	125.63108	0.0	0.5	7.04796	7.04796	1.14828	1.14828	1766.57123	58615.894	41.1168	0.0
1380.0	0.0	1.0	7.23145	7.69688	-0.21598	28.38331	29.2767	1.38343	0.72284	0.0	125.79494	0.0	0.5	7.12347	7.12347	1.13268	1.13268	1768.84932	58410.781	41.0226	0.0
1375.0	0.0	1.0	7.23534	7.69275	-0.26958	28.34051	29.20151	1.38279	0.72317	0.0	125.95881	0.0	0.5	7.20024	7.20024	1.11721	1.11721	1771.1409	58206.137	40.9288	0.0
1370.0	0.0	1.0	7.23921	7.68863	-0.32301	28.29783	29.12631	1.38216	0.72351	0.0	126.12267	0.0	0.5	7.27832	7.27832	1.10188	1.10188	1773.44581	58001.96	40.8354	0.0
1365.0	0.0	1.0	7.24309	7.68452	-0.37629	28.25527	29.05111	1.38152	0.72384	0.0	126.28654	0.0	0.5	7.35773	7.35773	1.08667	1.08667	1775.7639	57798.247	40.7426	0.0
1364.33	0.0	1.0	7.24361	7.68396	-0.38345	28.24956	29.041	1.38143	0.72389	0.0	126.30858	0.0	0.5	7.36851	7.36851	1.08463	1.08463	1776.07667	57770.882	40.69327	0.0020
1360.0	0.15544	0.84456	7.27696	7.64866	-0.84119	27.06356	29.58981	1.35223	0.73952	0.0553659	125.47331	0.0187316	0.47788	7.43777	29.82155	1.07169	0.26729	1774.42606	55069.598	624.20919	2525.397
1355.0	0.29331	0.70669	7.30721	7.61702	-1.25134	26.01629	30.07851	1.32619	0.75404	0.71641	124.79439	0.24568	0.45801	7.51696	289.92197	1.05715	0.0274094	1772.83023	52638.687	486.1822	4753.518
1350.0	0.39895	0.60105	7.33105	7.59225	-1.57239	25.21165	30.45222	1.30589	0.76576	2.49354	124.35186	0.86425	0.44261	7.5957	1027.4471	1.04298	0.00771056	1771.52817	50741.032	379.531	6448.842
1345.0	0.48182	0.51818	7.35036	7.57235	-1.83045	24.57871	30.74173	1.2896	0.77543	5.37999	124.08458	1.88056	0.43042	7.67418	2309.60818	1.02914	0.00341954	1770.4842	49220.005	304.2054	7767.993
1340.0	0.54813	0.45187	7.36637	7.5559	-2.04375	24.06781	30.96694	1.27627	0.78353	9.12182	123.94915	3.21062	0.42057	7.7526	4105.19672	1.01558	0.00191791	1769.66705	47972.223	249.5564	8814.353
1335.0	0.60209	0.39791	7.37993	7.54201	-2.22383	23.64747	31.14192	1.26517	0.79041	13.42471	123.91508	4.75216	0.41249	7.83107	6352.86566	1.00229	0.0012355	1769.04903	46927.357	208.9732	9658.249
1330.0	0.64665	0.35335	7.39162	7.53008	-2.37842	23.2967	31.27688	1.25579	0.79631	18.03705	123.96073	6.41542	0.40576	7.90982	8993.21672	0.98922	8.70053E-4	1768.60601	46036.283	178.2148	10348.803
1325.0	0.68391	0.31609	7.40186	7.51969	-2.51314	23.00018	31.37975	1.24777	0.80143	22.76854	124.0701	8.13112	0.40009	7.98886	11979.10455	0.97638	6.51148E-4	1768.31714	45263.885	154.4796	10921.128
1320.0	0.71542	0.28458	7.41096	7.5105	-2.63232	22.74606	31.45638	1.24084	0.80591	27.4876	124.2303	9.85039	0.39525	8.0684	15279.07028	0.96373	5.08916E-4	1768.16447	44584.54	135.869	11400.846
1315.0	0.74233	0.25767	7.41914	7.50222	-2.73957	22.52447	31.51152	1.23478	0.80986	32.10852	124.43126	11.54076	0.39109	8.14847	18875.41592	0.95127	4.10659E-4	1768.13277	43979.206	121.0668	11806.996
1310.0	0.76551	0.23449	7.42659	7.49469	-2.83722	22.32895	31.54875	1.22944	0.81338	36.5753	124.6653	13.18053	0.38747	8.22914	22759.93911	0.93898	3.39498E-4	1768.20876	43433.498	109.1416	12153.961
1305.0	0.78564	0.21436	7.43343	7.48781	-2.92644	22.15648	31.57122	1.22468	0.81654	40.85822	124.92748	14.75764	0.38431	8.31052	26935.99958	0.92684	2.85958E-4	1768.38028	42936.387	99.4222	12452.769
1304.79	0.78643	0.21357	7.43371	7.48754	-2.92988	22.15016	31.57183	1.22449	0.81667	41.03388	124.93966	14.82241	0.38418	8.31405	27119.43581	0.92632	2.83985E-4	1768.38907	42916.246	 	12464.435
1300.0	0.81995	0.18005	7.44359	7.47749	-3.06028	21.85224	31.65442	1.21759	0.82129	49.01423	125.26452	17.77386	0.37883	8.45979	34175.99784	0.90761	2.24665E-4	1768.56486	42195.524	148.1726	12995.765
1295.0	0.84671	0.15329	7.45208	7.46884	-3.17238	21.60939	31.70361	1.21184	0.82519	56.26774	125.61455	20.46832	0.37451	8.60874	41571.26725	0.88907	1.84112E-4	1768.82597	41578.89	123.3268	13414.969
1290.0	0.86757	0.13243	7.45927	7.4615	-3.26754	21.41452	31.72563	1.20714	0.82841	62.53789	125.97549	22.80572	0.3711	8.75515	49026.24206	0.87141	1.55618E-4	1769.16276	41058.873	104.0034	13737.989
1285.0	0.88422	0.11578	7.46555	7.45508	-3.35075	21.25342	31.72796	1.20319	0.83113	67.98678	126.3463	24.84269	0.36835	8.89982	56615.7414	0.8545	1.34326E-4	1769.57023	40607.285	90.3176	13993.011
1280.0	0.89779	0.10221	7.47115	7.44931	-3.42556	21.116	31.71557	1.19979	0.83348	72.75512	126.72511	26.62939	0.36607	9.04333	64414.98809	0.83825	1.17683E-4	1770.04317	40205.663	80.3244	14198.497
1275.0	0.90902	0.0909818	7.47626	7.44406	-3.49358	20.99771	31.69197	1.19682	0.83555	76.95732	127.11139	28.20694	0.36416	9.18622	72496.35817	0.82255	1.04228E-4	1770.57527	39841.5	72.8326	14366.951
1270.0	0.91847	0.081532	7.48098	7.4392	-3.55662	20.89338	31.6596	1.19418	0.8374	80.69182	127.50356	29.61118	0.36252	9.32892	80934.45788	0.80735	9.30596E-5	1771.16159	39506.071	67.0858	14507.095
1265.0	0.92651	0.07349	7.48541	7.43463	-3.61589	20.79953	31.62029	1.19179	0.83908	84.03909	127.90062	30.87157	0.36111	9.47186	89803.45928	0.79259	8.35973E-5	1771.7975	39193.132	62.5878	14625.174
1260.0	0.93343	0.0665703	7.4896	7.4303	-3.67201	20.71443	31.57539	1.1896	0.84062	87.06084	128.30187	32.01074	0.35987	9.61544	99174.3399	0.77822	7.54522E-5	1772.47828	38898.109	59.0046	14725.759
1255.0	0.93944	0.0605567	7.4936	7.42617	-3.72559	20.63632	31.52591	1.18758	0.84205	89.80792	128.7065	33.04746	0.35877	9.7599	109118.9663	0.7642	6.83522E-5	1773.2	38617.582	56.1054	14812.267
1250.0	0.94471	0.0552859	7.49745	7.42219	-3.7771	20.56389	31.47263	1.1857	0.84338	92.32146	129.11395	33.99693	0.35779	9.90551	119711.4539	0.7505	6.21003E-5	1773.95916	38348.951	53.7262	14887.296
1245.0	0.94937	0.0506331	7.50116	7.41835	-3.82689	20.49608	31.41617	1.18393	0.84464	94.63581	129.5236	34.87188	0.35691	10.05257	131029.3823	0.7371	5.655E-5	1774.75264	38090.206	51.749	14952.856
1240.0	0.9535	0.0464964	7.50477	7.41463	-3.87516	20.43241	31.35701	1.18226	0.84584	96.77826	129.93513	35.68245	0.3561	10.2014	143153.7656	0.72395	5.159E-5	1775.57736	37839.767	50.0878	15010.523
1235.0	0.9572	0.0427967	7.50828	7.411	-3.92226	20.37181	31.29554	1.18067	0.84698	98.77259	130.34805	36.4375	0.35537	10.3521	156170.9982	0.71105	4.71336E-5	1776.43124	37596.382	48.677	15061.548
1230.0	0.96053	0.0394687	7.51171	7.40745	-3.9683	20.31397	31.23208	1.17915	0.84807	100.63697	130.76202	37.1438	0.35469	10.50491	170171.8481	0.69839	4.31123E-5	1777.31184	37359.041	47.4682	15106.94
1225.0	0.96354	0.0364607	7.51508	7.40397	-4.01338	20.25864	31.16692	1.17768	0.84913	102.3892	131.17683	37.80799	0.35407	10.66004	185258.5958	0.68594	3.94697E-5	1778.21698	37126.923	46.4236	15147.517
1220.0	0.96627	0.0337273	7.51838	7.40056	-4.0576	20.20555	31.10024	1.17627	0.85015	104.04118	131.59229	38.43452	0.35349	10.8177	201535.7063	0.67368	3.61608E-5	1779.14469	36899.355	45.5136	15183.951
1215.0	0.96877	0.0312345	7.52163	7.3972	-4.10116	20.15405	31.03223	1.1749	0.85114	105.60632	132.00798	39.02842	0.35294	10.97811	219122.0868	0.66162	3.31472E-5	1780.0938	36675.778	44.7154	15216.798
1213.1	0.96965	0.0303472	7.52286	7.39593	-4.11754	20.13499	31.00598	1.17439	0.85151	106.17867	132.16651	39.24566	0.35274	11.03993	226186.3996	0.65707	3.20709E-5	1780.45997	36591.623	 	15228.393
1210.0	0.97241	0.027591	7.52529	7.39345	-4.14969	20.08649	30.96373	1.17354	0.85212	107.25641	132.43814	39.65893	0.35224	11.17446	239451.7926	0.64781	3.02311E-5	1781.10255	36428.703	49.415	15273.545
1205.0	0.97641	0.0235907	7.52908	7.38957	-4.2001	20.01243	30.89425	1.17221	0.85309	108.87743	132.8739	40.28083	0.35148	11.39411	262146.5228	0.63318	2.75208E-5	1782.14963	36172.989	51.1428	15339.333
1200.0	0.97989	0.020108	7.53274	7.38582	-4.24866	19.94359	30.82337	1.17094	0.85402	110.39056	133.30632	40.86119	0.3508	11.61672	286512.2658	0.61894	2.50952E-5	1783.20513	35926.15	49.3678	15396.645
1195.0	0.98294	0.017057	7.53628	7.38219	-4.29577	19.8788	30.75129	1.1697	0.85492	111.87022	133.73583	41.42781	0.35018	11.84246	312737.4872	0.60508	2.29127E-5	1784.26861	35686.787	47.8726	15446.878
1190.0	0.98563	0.0143686	7.53972	7.37865	-4.34161	19.81752	30.6782	1.16849	0.85581	113.40491	134.16304	42.01367	0.34962	12.07137	341026.3106	0.59159	2.09405E-5	1785.33827	35453.774	46.6026	15491.156
1189.85	0.98571	0.0142933	7.53983	7.37854	-4.34297	19.8157	30.67599	1.16845	0.85583	113.45264	134.17583	42.03186	0.3496	12.07829	341908.6774	0.59119	2.08843E-5	1785.37052	35446.897	 	15492.373
