T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.9523	0.0477021	7.81917	7.27054	0.0	19.07495	37.04997	1.1064	0.90383	86.74064	126.89134	31.71424	0.36753	6.43958	23961.73299	1.26813	3.40803E-4	1765.11716	46114.421	 	0.0
1395.0	0.96086	0.0391443	7.8242	7.26637	-0.0573813	18.99397	37.00255	1.10451	0.90538	90.42987	127.30732	33.09688	0.36614	6.41879	26348.19324	1.26844	3.09009E-4	1763.26977	45789.568	64.9706	116.96
1390.0	0.96762	0.0323813	7.82877	7.26262	-0.10899	18.92759	36.94647	1.10287	0.90672	93.52503	127.73055	34.25834	0.365	6.39868	28757.83807	1.26861	2.82268E-4	1761.55937	45492.162	59.4812	206.991
1385.0	0.97308	0.026916	7.83301	7.25917	-0.15641	18.87181	36.88408	1.10141	0.90792	96.17239	128.15855	35.25281	0.36404	6.37925	31224.57524	1.26865	2.59187E-4	1759.9691	45214.66	55.5004	277.63
1380.0	0.97758	0.0224207	7.837	7.25595	-0.20069	18.82396	36.81698	1.1001	0.90901	98.47538	128.5896	36.11872	0.36322	6.36066	33775.9818	1.26852	2.38886E-4	1758.48331	44952.038	52.5244	333.9
1375.0	0.98134	0.0186631	7.84081	7.25291	-0.24256	18.78215	36.74626	1.09888	0.91002	100.50836	129.02255	36.88372	0.3625	6.34294	36435.59056	1.26821	2.20779E-4	1757.09027	44700.821	50.2434	379.272
1370.0	0.98452	0.0154808	7.84446	7.25	-0.28258	18.74499	36.67269	1.09774	0.91096	102.32679	129.4565	37.56848	0.36187	6.3261	39224.61717	1.26773	2.04459E-4	1755.78107	44458.539	48.4564	416.213
1365.0	0.98724	0.0127558	7.848	7.24719	-0.32113	18.7115	36.59686	1.09667	0.91185	103.97163	129.89081	38.1883	0.3613	6.31015	42162.64947	1.26707	1.89632E-4	1754.54661	44223.39	47.0298	446.52
1360.0	0.9896	0.0103975	7.85144	7.24448	-0.35847	18.681	36.5192	1.09565	0.9127	105.47463	130.32506	38.75501	0.36079	6.29513	45268.96119	1.26622	1.76081E-4	1753.3771	43994.033	45.8714	471.534
1355.0	0.99166	0.00833893	7.8548	7.24183	-0.39486	18.65286	36.44004	1.09467	0.91352	106.86066	130.75885	39.27793	0.36031	6.28102	48562.81312	1.26518	1.63635E-4	1752.26993	43769.449	44.9168	492.268
1350.0	0.99347	0.00652766	7.8581	7.23925	-0.43042	18.62674	36.35961	1.09372	0.91431	108.14849	131.19194	39.76406	0.35988	6.26791	52063.33945	1.26393	1.52164E-4	1751.21268	43548.852	44.1194	509.507
1345.0	0.99508	0.00492209	7.86134	7.23671	-0.46532	18.60222	36.27814	1.0928	0.91508	109.35334	131.62407	40.21911	0.35947	6.25567	55790.62991	1.2625	1.41561E-4	1750.20607	43331.626	43.4452	523.862
1340.0	0.99651	0.00349125	7.86453	7.23421	-0.49966	18.57907	36.19577	1.0919	0.91583	110.48828	132.0551	40.64797	0.35909	6.24437	59766.01855	1.26088	1.31737E-4	1749.24231	43117.284	42.8684	535.819
1335.0	0.99779	0.00220733	7.86768	7.23175	-0.5335	18.55709	36.11264	1.09102	0.91657	111.56265	132.4849	41.05413	0.35873	6.23395	64011.44075	1.25907	1.22618E-4	1748.31728	42905.431	42.3706	545.768
1330.0	0.99895	0.00104893	7.87079	7.22932	-0.56694	18.53607	36.02884	1.09016	0.9173	112.58477	132.91332	41.44073	0.35838	6.22446	68550.40296	1.25707	1.14143E-4	1747.42763	42695.752	41.9358	554.023
1325.0	1.0	0.0	7.87387	7.22692	-0.6	18.51592	35.94447	1.08931	0.91801	113.56129	133.34033	41.81024	0.35806	 	73408.32985	 	1.06257E-4	 	42487.984	41.5536	560.843
1320.0	1.0	0.0	7.87637	7.22465	-0.63123	18.5007	35.85595	1.08858	0.91863	114.05383	133.75672	41.9969	0.35788	 	78332.8023	 	9.92658E-5	 	42295.83354	38.43009	 
1315.0	1.0	0.0	7.8789	7.22233	-0.6631	18.48357	35.7675	1.08785	0.91924	114.5455	134.17031	42.1833	0.35771	 	83614.51548	 	9.27036E-5	 	42103.50795	38.46512	 
1310.0	1.0	0.0	7.88142	7.22002	-0.69493	18.46642	35.67906	1.08711	0.91987	115.03643	134.58203	42.36949	0.35754	 	89289.15014	 	8.65386E-5	 	41911.48919	38.40375	 
