T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0465001	0.9535	7.13958	7.68871	0.0	30.27205	31.15266	1.31585	0.75997	3.67746E-4	124.70731	1.23061E-4	0.49416	6.6321	7.12029	1.23132	1.1469	1794.36132	48523.099	 	0.0
1395.0	0.48102	0.51898	7.26707	7.55383	-1.7543	25.58116	32.39579	1.26157	0.79266	4.56604	122.31887	1.58738	0.43823	6.67854	832.99664	1.2191	0.00977414	1793.29638	41660.319	1372.556	6656.624
1390.0	0.69945	0.30055	7.3345	7.48456	-2.65522	23.20009	33.05347	1.23277	0.81118	21.31869	121.27768	7.56439	0.40915	6.72464	3863.23339	1.20712	0.0021012	1791.96474	38174.27	697.2098	9937.008
1385.0	0.81868	0.18132	7.37331	7.44538	-3.16482	21.8804	33.4023	1.21622	0.82222	41.10275	120.89734	14.75443	0.39289	6.77064	7613.29717	1.19531	0.00106301	1790.41041	36220.823	390.6894	11685.28
1380.0	0.88783	0.11217	7.39733	7.42144	-3.4762	21.0995	33.58025	1.20613	0.8291	57.89774	120.86485	20.92781	0.38327	6.81682	11093.11459	1.18363	7.27353E-4	1788.67879	35024.774	239.2098	12676.636
1375.0	0.92994	0.0700598	7.41323	7.40575	-3.68024	20.61091	33.66126	1.19959	0.83362	70.62952	121.02439	25.64084	0.37729	6.8634	14093.38077	1.17205	5.70779E-4	1786.81449	34229.78	158.9988	13267.419
1370.0	0.95663	0.0433675	7.42446	7.39478	-3.82293	20.28976	33.68532	1.1951	0.83675	79.9395	121.29456	29.10298	0.37339	6.91057	16683.05208	1.16051	4.80716E-4	1784.85959	33659.644	114.0272	13633.823
1365.0	0.97415	0.025853	7.43288	7.38662	-3.92897	20.06873	33.67472	1.19183	0.83904	86.72415	121.63041	31.63385	0.37075	6.95846	18983.62731	1.14902	4.21174E-4	1782.85263	33221.787	87.5714	13868.423
1360.0	0.98598	0.0140168	7.43954	7.38022	-4.01223	19.91005	33.64229	1.18934	0.8408	91.72663	122.00634	33.50404	0.36889	7.00724	21102.76656	1.13754	3.77723E-4	1780.82772	32865.005	71.3564	14022.42
1355.0	0.99419	0.00581222	7.44507	7.37495	-4.08086	19.79141	33.59569	1.18734	0.84222	95.48695	122.40707	34.91219	0.36753	7.05701	23123.26324	1.12606	3.43662E-4	1778.81456	32559.708	61.0594	14125.4
1350.0	1.0	0.0	7.44984	7.37041	-4.13983	19.69923	33.53966	1.18568	0.8434	98.37929	122.82328	35.99674	0.3665	 	25106.32772	 	3.15546E-4	 	32288.134	54.3148	14195.124
1345.0	1.0	0.0	7.4524	7.36789	-4.17257	19.68083	33.45721	1.18494	0.84393	98.88492	123.26512	36.18718	0.3663	 	26670.50248	 	2.96124E-4	 	32079.28369	41.77006	 
1340.0	1.0	0.0	7.45495	7.36537	-4.20541	19.66204	33.37473	1.18419	0.84446	99.38952	123.70391	36.37731	0.36609	 	28342.68408	 	2.77792E-4	 	31887.39753	38.37723	 
1335.0	1.0	0.0	7.4575	7.36285	-4.23819	19.64325	33.29225	1.18345	0.84499	99.89331	124.14048	36.5672	0.36589	 	30131.09943	 	2.60494E-4	 	31695.8031	38.31889	 
1330.0	1.0	0.0	7.46005	7.36033	-4.27093	19.62446	33.20977	1.1827	0.84552	100.39629	124.57485	36.75685	0.36568	 	32044.59171	 	2.44178E-4	 	31504.5	38.26062	 
