T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	6.81842	8.00506	0.0	35.43615	29.77129	1.3769	0.72627	0.0	118.49523	0.0	0.5	6.49967	6.49967	1.25641	1.25641	1720.57686	40560.24	 	0.0
1395.0	0.0	1.0	6.82238	8.00041	-0.0581164	35.4034	29.69731	1.37621	0.72663	0.0	118.63687	0.0	0.5	6.56876	6.56876	1.23948	1.23948	1722.61311	40360.084	40.0312	0.0
1390.0	0.0	1.0	6.82634	7.99577	-0.11607	35.37088	29.62334	1.37551	0.727	0.0	118.77852	0.0	0.5	6.63902	6.63902	1.22268	1.22268	1724.65297	40160.369	39.943	0.0
1385.0	0.0	1.0	6.83029	7.99114	-0.17386	35.33858	29.54937	1.37481	0.72737	0.0	118.92017	0.0	0.5	6.71045	6.71045	1.20603	1.20603	1726.6963	39961.093	39.8552	0.0
1380.0	0.0	1.0	6.83424	7.98653	-0.23148	35.3065	29.4754	1.3741	0.72775	0.0	119.06181	0.0	0.5	6.78309	6.78309	1.18952	1.18952	1728.74287	39762.252	39.7682	0.0
1375.0	0.0	1.0	6.83818	7.98193	-0.28894	35.27464	29.40143	1.37339	0.72812	0.0	119.20346	0.0	0.5	6.85697	6.85697	1.17314	1.17314	1730.79247	39563.844	39.6816	0.0
1370.0	0.0	1.0	6.84211	7.97735	-0.34624	35.24302	29.32746	1.37268	0.7285	0.0	119.34511	0.0	0.5	6.93211	6.93211	1.15691	1.15691	1732.84486	39365.867	39.5954	0.0
1365.0	0.0	1.0	6.84603	7.97277	-0.40337	35.21163	29.25349	1.37196	0.72888	0.0	119.48675	0.0	0.5	7.00853	7.00853	1.14081	1.14081	1734.89983	39168.316	39.5102	0.0
1360.0	0.0	1.0	6.84995	7.96821	-0.46034	35.18047	29.17951	1.37124	0.72927	0.0	119.6284	0.0	0.5	7.08628	7.08628	1.12485	1.12485	1736.95716	38971.19	39.4252	0.0
1355.0	0.0	1.0	6.85386	7.96366	-0.51715	35.14954	29.10554	1.37052	0.72965	0.0	119.77005	0.0	0.5	7.16537	7.16537	1.10903	1.10903	1739.01662	38774.486	39.3408	0.0
1350.0	0.0	1.0	6.85777	7.95913	-0.57379	35.11886	29.03157	1.36979	0.73004	0.0	119.91169	0.0	0.5	7.24585	7.24585	1.09334	1.09334	1741.07799	38578.202	39.2568	0.0
1345.0	0.0	1.0	6.86167	7.95461	-0.63027	35.08842	28.9576	1.36906	0.73043	0.0	120.05334	0.0	0.5	7.32773	7.32773	1.07779	1.07779	1743.14106	38382.334	39.1736	0.0
1342.04	0.0	1.0	6.86397	7.95194	-0.6636	35.07052	28.91384	1.36862	0.73066	0.0	120.13714	0.0	0.5	7.37685	7.37685	1.06866	1.06866	1744.36243	38266.649	39.10761	0.0
1340.0	1.2E-4	0.99988	6.86573	7.94987	-0.6895	35.04974	28.88157	1.36842	0.73077	9.66926E-14	120.22332	3.22316E-14	0.49996	7.41321	7.41321	1.06207	1.06207	1745.57015	38178.752	43.04709	8.13
1335.0	4.1E-4	0.99959	6.87006	7.94494	-0.75109	35.0039	28.80271	1.36792	0.73104	1.34395E-11	120.43597	4.48017E-12	0.49989	7.5034	7.5034	1.04606	1.04606	1747.44296	37963.45471	43.05946	27.899
1330.0	7.0E-4	0.9993	6.87436	7.93999	-0.81294	34.95693	28.72381	1.36741	0.73131	1.12914E-10	120.6471	3.76426E-11	0.49982	7.5952	7.5952	1.0302	1.0302	1749.30877	37746.50026	43.39089	47.471
1325.0	9.9E-4	0.99901	6.87871	7.93488	-0.8767	34.90399	28.64519	1.36688	0.73159	4.44993E-10	120.85613	1.48357E-10	0.49973	7.68864	7.68864	1.01451	1.01451	1751.17049	37530.21336	43.25738	66.84
1320.0	0.12119	0.87881	6.92052	7.88695	-1.47549	33.27217	28.88871	1.35112	0.74013	0.0160084	121.49914	0.00539182	0.48451	7.81137	12.98827	0.99544	0.59868	1752.81875	35580.77519	389.88763	1819.822
1315.0	0.33554	0.66446	6.99238	7.80585	-2.48852	30.40086	29.41572	1.32275	0.756	1.03875	122.57818	0.3565	0.45686	7.96917	245.54374	0.97267	0.0315682	1754.21482	32297.67191	656.62066	4906.931
1310.0	0.47611	0.52389	7.04094	7.75197	-3.16169	28.51767	29.76191	1.30325	0.76731	4.4404	123.37877	1.54358	0.43834	8.124	1008.71944	0.95113	0.00766017	1755.62479	30103.94469	438.74544	6905.124
1305.0	0.57376	0.42624	7.07567	7.71376	-3.63896	27.2045	29.99511	1.28903	0.77578	9.70593	124.02526	3.40497	0.42526	8.27645	2226.04711	0.93066	0.0034602	1757.0499	28542.31375	312.32619	8271.672
1300.0	0.64476	0.35524	7.10176	7.68528	-3.9948	26.24489	30.15384	1.27818	0.78236	15.88481	124.583	5.6106	0.41561	8.42748	3738.19198	0.91109	0.00205398	1758.48685	27369.93719	234.47531	9249.416
1295.0	0.69833	0.30167	7.12209	7.66316	-4.27105	25.51716	30.26061	1.26963	0.78763	22.29849	125.08563	7.91722	0.40823	8.5776	5432.16639	0.8923	0.00140897	1759.92968	26449.77519	184.0324	9975.393
1290.0	0.73998	0.26002	7.13849	7.64536	-4.49341	24.94645	30.33003	1.26268	0.79197	28.56523	125.55305	10.18432	0.40241	8.72769	7244.13862	0.87415	0.00105318	1761.37973	25700.26595	149.90185	10531.162
1285.0	0.77318	0.22682	7.15208	7.63064	-4.67732	24.48781	30.3721	1.2569	0.79561	34.50345	125.99719	12.34282	0.39771	8.87818	9145.25315	0.85659	8.31573E-4	1762.83196	25070.57262	125.93867	10967.556
1280.0	0.80018	0.19982	7.1636	7.61816	-4.83318	24.11089	30.39331	1.25199	0.79873	40.03889	126.425	14.36282	0.39384	9.02968	11123.84016	0.83951	6.81468E-4	1764.2855	24527.7034	108.57384	11317.562
1275.0	0.82256	0.17744	7.17357	7.60735	-4.9682	23.79464	30.39856	1.24775	0.80145	45.16104	126.8406	16.23821	0.39058	9.18245	13181.46995	0.82289	5.73239E-4	1765.7405	24049.48745	95.64319	11603.351
1270.0	0.8451	0.1549	7.18358	7.59648	-5.10406	23.47328	30.39865	1.24371	0.80404	50.81625	127.27823	18.31522	0.38727	9.3349	15590.46907	0.80684	4.83098E-4	1767.04841	23561.03793	97.6899	11899.804
1265.0	0.8654	0.1346	7.19284	7.58641	-5.22979	23.18053	30.38989	1.24004	0.80643	56.39563	127.71382	20.37049	0.38425	9.4869	18211.04426	0.79134	4.1224E-4	1768.2795	23102.12904	91.78178	12167.145
1260.0	0.882	0.118	7.20086	7.57768	-5.33893	22.93676	30.36932	1.23685	0.80851	61.35125	128.13398	22.20082	0.38173	9.63965	20891.59522	0.77627	3.58179E-4	1769.5052	22695.98494	81.22882	12382.147
1255.0	0.89581	0.10419	7.20795	7.56993	-5.43575	22.72925	30.33962	1.23402	0.81036	65.7809	128.54299	23.84059	0.3796	9.79376	23657.4084	0.76156	3.15272E-4	1770.72591	22329.16081	73.36483	12558.251
1250.0	0.90747	0.0925254	7.21433	7.56296	-5.52281	22.55051	30.30273	1.23148	0.81203	69.76373	128.94339	25.31785	0.37776	9.94927	26532.12366	0.7472	2.80193E-4	1771.93422	21992.39784	67.35259	12704.713
1245.0	0.91746	0.0825413	7.22015	7.55657	-5.60257	22.39313	30.2601	1.22917	0.81356	73.36864	129.33709	26.65729	0.37615	10.10685	29539.58128	0.73314	2.5084E-4	1773.13823	21679.12419	62.65473	12828.101
1240.0	0.9261	0.073903	7.22551	7.55068	-5.67615	22.25392	30.21277	1.22704	0.81497	76.65158	129.72548	27.87899	0.37472	10.26647	32703.34855	0.71936	2.25827E-4	1774.32591	21384.55305	58.91423	12933.201
1235.0	0.93364	0.0663584	7.23051	7.54518	-5.74491	22.12878	30.16153	1.22506	0.81629	79.65845	130.10929	28.99956	0.37344	10.42845	36046.35463	0.70585	2.04207E-4	1775.50321	21105.11763	55.88708	13023.576
1230.0	0.94029	0.0597141	7.23521	7.54	-5.80956	22.01561	30.10701	1.22321	0.81752	82.42665	130.48925	30.03252	0.37229	10.59307	39592.25993	0.69258	1.85301E-4	1776.66455	20838.10415	53.4027	13101.934
1225.0	0.94618	0.0538214	7.23966	7.5351	-5.87083	21.91226	30.04974	1.22146	0.81869	84.98817	130.86555	30.98951	0.37124	10.76015	43365.37851	0.67955	1.68616E-4	1777.81191	20581.4297	51.33489	13170.36
1220.0	0.95144	0.0485595	7.2439	7.53042	-5.92929	21.81703	29.9901	1.21981	0.8198	87.36954	131.23885	31.88022	0.37028	10.93019	47391.55742	0.66675	1.53776E-4	1778.94444	20333.44552	49.59684	13230.497
1215.0	0.95617	0.0438348	7.24795	7.52593	-5.98535	21.72873	29.92841	1.21823	0.82086	89.59294	131.60931	32.71273	0.36939	11.10323	51697.73901	0.65416	1.40495E-4	1780.06163	20092.84682	48.11974	13283.648
1210.0	0.96043	0.0395692	7.25185	7.52161	-6.03927	21.64656	29.86493	1.21672	0.82188	91.67731	131.97707	33.49397	0.36856	11.27941	56312.48749	0.64178	1.28549E-4	1781.15997	19858.58281	46.8528	13330.861
1205.0	0.9643	0.0357025	7.25562	7.51744	-6.09142	21.56945	29.79991	1.21526	0.82287	93.63768	132.34235	34.22945	0.36779	11.45878	61266.03837	0.6296	1.17757E-4	1782.24367	19629.79768	45.75703	13372.987
1200.0	0.96782	0.0321819	7.25927	7.5134	-6.14193	21.497	29.7335	1.21386	0.82382	95.48881	132.70533	34.92458	0.36707	11.64141	66592.02693	0.61763	1.07972E-4	1783.30517	19405.78967	44.8016	13410.727
1195.0	0.97112	0.0288808	7.26283	7.50941	-6.19173	21.42622	29.66676	1.21246	0.82477	97.28179	133.06993	35.59841	0.36638	11.83434	72351.87654	0.6055	9.90392E-5	1784.35602	19184.55652	44.24663	13446.055
1190.0	0.97473	0.0252664	7.26649	7.50514	-6.24512	21.34311	29.60552	1.21083	0.82588	99.27585	133.45678	36.34809	0.36563	12.07538	78763.63264	0.59139	9.06671E-5	1785.45647	18957.23255	45.46479	13487.518
1185.0	0.97797	0.0220304	7.26999	7.50104	-6.29625	21.26669	29.54467	1.20917	0.82701	101.13004	133.83746	37.04587	0.36493	12.32028	85655.27319	0.57765	8.30873E-5	1786.53074	18735.26023	44.39446	13524.031
1180.0	0.98088	0.019123	7.27335	7.49709	-6.34558	21.19558	29.4827	1.20756	0.82812	102.8625	134.21267	37.69845	0.36428	12.56911	93075.75545	0.56428	7.6201E-5	1787.58663	18517.92087	43.46787	13556.309
1175.0	0.9835	0.0164982	7.2766	7.49328	-6.39329	21.12922	29.41907	1.20601	0.82918	104.48653	134.5829	38.31075	0.36367	12.82202	101076.1266	0.55124	6.99281E-5	1788.62053	18304.61981	42.66021	13584.944
1170.0	0.98588	0.0141209	7.27975	7.48957	-6.43958	21.06704	29.35389	1.20451	0.83021	106.01454	134.94863	38.88736	0.3631	13.07884	109712.4614	0.53855	6.42011E-5	1789.63065	18094.86141	41.95168	13610.429
1165.0	0.98804	0.0119599	7.28281	7.48596	-6.48464	21.00843	29.28718	1.20308	0.8312	107.45802	135.31023	39.43254	0.36256	13.33981	119046.674	0.52619	5.89622E-5	1790.61794	17888.22612	41.32706	13633.178
