T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.42438	0.57562	7.53625	7.49501	0.0	23.7194	33.60445	1.21984	0.81978	2.96824	125.41185	1.02799	0.44372	6.94159	874.33078	1.17642	0.00933998	1786.91491	47687.696	 	0.0
1395.0	0.56189	0.43811	7.57377	7.4579	-0.49513	22.48339	34.05286	1.20018	0.83321	9.33917	124.96317	3.27687	0.42502	6.99454	2829.10983	1.16403	0.00287788	1786.13108	45419.348	453.6696	2058.901
1390.0	0.66057	0.33943	7.6016	7.43061	-0.85921	21.58967	34.36414	1.18575	0.84335	18.16688	124.75396	6.43571	0.41141	7.04835	5729.07555	1.15168	0.00141688	1785.35941	43759.774	331.9148	3509.555
1385.0	0.73351	0.26649	7.62295	7.40983	-1.13658	20.92271	34.57919	1.17483	0.85119	28.03352	124.70899	10.00318	0.40123	7.1031	9250.3299	1.13936	8.7489E-4	1784.60052	42499.367	252.0814	4561.562
1380.0	0.78873	0.21127	7.6398	7.39351	-1.35423	20.41211	34.72476	1.16638	0.85736	37.94674	124.78001	13.61629	0.39343	7.15896	13142.49001	1.12707	6.13933E-4	1783.85464	41510.381	197.7972	5342.666
1375.0	0.83138	0.16862	7.65345	7.38037	-1.52952	20.01253	34.81967	1.15968	0.86231	47.34539	124.93508	17.06337	0.38734	7.21593	17248.17261	1.11478	4.6638E-4	1783.12181	40711.67	159.7422	5934.01
1370.0	0.86486	0.13514	7.66474	7.36954	-1.67403	19.69377	34.87692	1.15426	0.86635	55.96911	125.15199	20.24203	0.3825	7.27411	21482.22192	1.10251	3.73323E-4	1782.402	40049.855	132.363	6388.97
1365.0	0.89149	0.10851	7.67427	7.36043	-1.79559	19.43527	34.90563	1.14981	0.86971	63.72827	125.41521	23.11353	0.37859	7.33359	25803.67538	1.09024	3.09855E-4	1781.69528	39488.758	112.2194	6743.719
1360.0	0.91294	0.0870563	7.68245	7.35263	-1.89964	19.22285	34.91248	1.14607	0.87255	70.63034	125.71374	25.67622	0.3754	7.39446	30200.48026	1.07797	2.63936E-4	1781.00187	39003.222	97.1072	7023.413
1355.0	0.93039	0.0696071	7.68961	7.34584	-1.99032	19.0456	34.90245	1.14289	0.87497	76.73582	126.03909	27.94932	0.37277	7.45671	34679.80002	1.0657	2.29142E-4	1780.32233	38575.347	85.575	7245.949
1350.0	0.94471	0.0552906	7.69595	7.33983	-2.07051	18.896	34.87916	1.14014	0.87708	82.12015	126.38528	29.9585	0.37056	7.52044	39257.11773	1.05342	2.01803E-4	1779.65755	38192.143	76.6408	7424.312
1345.0	0.95654	0.0434567	7.70165	7.33444	-2.14236	18.76836	34.84532	1.13773	0.87894	86.86457	126.74763	31.73232	0.36871	7.58573	43954.25468	1.04114	1.79682E-4	1779.0088	37844.011	69.6264	7568.099
1340.0	0.96639	0.0336149	7.70683	7.32956	-2.20754	18.65835	34.80304	1.1356	0.8806	91.04685	127.12251	33.29855	0.36713	7.65259	48796.16209	1.02885	1.61353E-4	1778.37777	37523.743	64.0536	7684.515
1335.0	0.97461	0.0253856	7.7116	7.32507	-2.26736	18.56247	34.75393	1.13368	0.88209	94.73946	127.50719	34.6834	0.36578	7.72112	53810.46793	1.01656	1.45863E-4	1777.76672	37225.846	59.5794	7779.05
1330.0	0.98153	0.0184744	7.71602	7.32092	-2.32278	18.47819	34.69929	1.13193	0.88345	98.00672	127.89951	35.91026	0.36461	7.79131	59026.34159	1.00427	1.32561E-4	1777.17813	36946.079	55.9534	7855.942
