T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.03265	7.85188	0.0	31.45887	28.14958	1.45623	0.68671	0.0	121.80592	0.0	0.5	6.97661	6.97661	1.17051	1.17051	1736.32741	45882.874	 	0.0
1395.0	0.0	1.0	7.03657	7.8475	-0.0558239	31.42024	28.08083	1.45543	0.68708	0.0	121.95575	0.0	0.5	7.05179	7.05179	1.15458	1.15458	1738.5773	45678.782	40.8184	0.0
1390.0	0.0	1.0	7.04049	7.84313	-0.11149	31.38176	28.01208	1.45463	0.68746	0.0	122.10557	0.0	0.5	7.12823	7.12823	1.13877	1.13877	1740.83855	45475.159	40.7246	0.0
1385.0	0.0	1.0	7.04441	7.83877	-0.16699	31.34344	27.94333	1.45382	0.68784	0.0	122.2554	0.0	0.5	7.20597	7.20597	1.1231	1.1231	1743.11097	45272.002	40.6314	0.0
1380.0	0.0	1.0	7.04832	7.83442	-0.22234	31.30528	27.87458	1.45301	0.68822	0.0	122.40522	0.0	0.5	7.28503	7.28503	1.10756	1.10756	1745.39437	45069.309	40.5386	0.0
1375.0	0.0	1.0	7.05222	7.83009	-0.27752	31.26729	27.80583	1.4522	0.68861	0.0	122.55505	0.0	0.5	7.36545	7.36545	1.09215	1.09215	1747.68854	44867.077	40.4464	0.0
1370.0	0.0	1.0	7.05611	7.82577	-0.33255	31.22946	27.73708	1.45138	0.689	0.0	122.70487	0.0	0.5	7.44726	7.44726	1.07688	1.07688	1749.99325	44665.303	40.3548	0.0
1365.0	0.0	1.0	7.06	7.82146	-0.38741	31.1918	27.66833	1.45056	0.68939	0.0	122.85469	0.0	0.5	7.53048	7.53048	1.06174	1.06174	1752.30827	44463.986	40.2634	0.0
1360.0	0.0	1.0	7.06388	7.81717	-0.44211	31.1543	27.59958	1.44974	0.68978	0.0	123.00452	0.0	0.5	7.61515	7.61515	1.04673	1.04673	1754.63337	44263.121	40.173	0.0
1355.0	0.0	1.0	7.06775	7.81288	-0.49666	31.11698	27.53083	1.44891	0.69017	0.0	123.15434	0.0	0.5	7.7013	7.7013	1.03185	1.03185	1756.96828	44062.708	40.0826	0.0
1350.0	0.0	1.0	7.07161	7.80861	-0.55104	31.07983	27.46208	1.44808	0.69057	0.0	123.30417	0.0	0.5	7.78896	7.78896	1.0171	1.0171	1759.31275	43862.743	39.993	0.0
1345.0	0.0	1.0	7.07547	7.80436	-0.60527	31.04286	27.39333	1.44724	0.69097	0.0	123.45399	0.0	0.5	7.87818	7.87818	1.00249	1.00249	1761.66651	43663.224	39.9038	0.0
1340.0	0.0	1.0	7.07932	7.80011	-0.65934	31.00606	27.32458	1.4464	0.69137	0.0	123.60381	0.0	0.5	7.96898	7.96898	0.988	0.988	1764.02928	43464.148	39.8152	0.0
1335.0	0.0	1.0	7.08317	7.79588	-0.71324	30.96944	27.25583	1.44555	0.69178	0.0	123.75364	0.0	0.5	8.06139	8.06139	0.97365	0.97365	1766.40077	43265.513	39.727	0.0
1330.9	0.0	1.0	7.08631	7.79241	-0.75737	30.93951	27.1994	1.44485	0.69211	0.0	123.87662	0.0	0.5	8.1385	8.1385	0.96196	0.96196	1768.35377	43102.791	39.64604	0.0
1330.0	0.02685	0.97315	7.09393	7.78407	-0.86367	30.654	27.26548	1.44055	0.69418	4.35786E-5	123.75305	1.45604E-5	0.49647	8.1558	8.46412	0.95939	0.92444	1767.96837	42695.067	455.2371	372.248
1325.0	0.16326	0.83674	7.13296	7.74147	-1.40616	29.20039	27.60304	1.41849	0.70497	0.0612412	123.15954	0.020712	0.4784	8.2543	29.52162	0.94498	0.26422	1765.86835	40615.317	415.95	2254.237
1320.0	0.2735	0.7265	7.16522	7.70663	-1.84988	28.02279	27.87369	1.40032	0.71412	0.49331	122.75801	0.16853	0.46359	8.35555	172.65368	0.93061	0.0450368	1763.94338	38907.151	341.6332	3765.078
1315.0	0.36386	0.63614	7.19227	7.67764	-2.21906	27.05365	28.09293	1.38503	0.722	1.57585	122.50321	0.54291	0.45131	8.45974	546.5842	0.91627	0.0141815	1762.19981	37481.067	285.2168	4994.267
1310.0	0.43888	0.56112	7.21526	7.65316	-2.53091	26.24499	28.27138	1.37196	0.72888	3.39243	122.36266	1.17712	0.44099	8.56702	1210.36179	0.90194	0.00638401	1760.64177	36272.334	241.7466	6006.535
1305.0	0.50188	0.49812	7.23504	7.63227	-2.79694	25.56482	28.4168	1.36063	0.73496	5.8897	122.31321	2.05612	0.43224	8.67769	2184.16337	0.88763	0.00352655	1759.26863	35233.379	207.791	6849.453
1300.0	0.55533	0.44467	7.25224	7.61418	-3.02732	24.98461	28.53479	1.35071	0.74035	8.94912	122.33531	3.14062	0.42474	8.79192	3466.33024	0.87332	0.00221507	1758.08238	34328.726	180.9306	7558.492
1295.0	0.60111	0.39889	7.26734	7.59839	-3.22844	24.48662	28.62999	1.34194	0.74519	12.43567	122.41606	4.38414	0.41826	8.90992	5046.54114	0.85901	0.00151663	1757.0806	33531.571	159.431	8160.456
1294.87	0.60219	0.39781	7.2677	7.59801	-3.23323	24.47491	28.63206	1.34173	0.74531	12.52804	122.41888	4.41718	0.4181	8.91301	5090.39235	0.85865	0.00150344	1757.05753	33512.491	 	8174.497
1290.0	0.65897	0.34103	7.28618	7.57874	-3.47873	23.83829	28.75819	1.3317	0.75092	18.26436	122.63239	6.47732	0.40987	9.10275	7754.27012	0.83814	9.8389E-4	1757.066	32544.266	197.461	8952.991
1287.79	0.68027	0.31973	7.29329	7.57133	-3.57308	23.59856	28.80164	1.32781	0.75312	20.88202	122.74055	7.42206	0.40675	9.19036	9055.24886	0.82898	8.41344E-4	1757.11678	32168.247	 	9243.228
1285.0	0.73465	0.26535	7.30965	7.55433	-3.78961	23.00371	28.89698	1.32106	0.75697	28.76682	122.97372	10.28322	0.39873	9.31239	12783.06467	0.81665	5.94923E-4	1758.73801	31246.421	259.569	10056.483
1280.0	0.8082	0.1918	7.33188	7.53132	-4.08267	22.21598	29.01158	1.31162	0.76242	42.94678	123.34308	15.4739	0.38772	9.52666	20076.85887	0.79572	3.77576E-4	1761.27402	29963.888	256.5066	11145.078
1276.43	0.84396	0.15604	7.34307	7.51975	-4.23002	21.83586	29.05208	1.30678	0.76524	51.59696	123.5976	18.66366	0.38228	9.67773	25088.76053	0.7815	3.01455E-4	1762.8636	29303.118	 	11667.795
1275.0	0.85562	0.14438	7.34672	7.51595	-4.27834	21.71534	29.06318	1.30508	0.76624	54.71108	123.70175	19.81577	0.38049	9.74197	27040.80578	0.77563	2.79435E-4	1763.53542	29079.608	176.856	11835.835
1270.0	0.89062	0.10938	7.35779	7.50443	-4.42507	21.35872	29.08513	1.29988	0.7693	64.96422	124.0516	23.62224	0.37506	9.96177	34066.29204	0.75606	2.2109E-4	1765.67429	28385.652	138.7912	12336.678
1265.0	0.91575	0.0842549	7.36628	7.49557	-4.53792	21.10211	29.07937	1.29592	0.77165	73.28425	124.40117	26.7248	0.37109	10.17754	40848.85815	0.73764	1.83783E-4	1767.56644	27837.532	109.624	12692.094
1260.0	0.93435	0.0656503	7.37311	7.48841	-4.62907	20.90961	29.05505	1.29279	0.77352	80.04952	124.75265	29.25612	0.36808	10.38922	47486.40748	0.72026	1.5758E-4	1769.26573	27385.003	90.5058	12952.327
1255.0	0.94849	0.0515124	7.37882	7.4824	-4.70559	20.76034	29.01795	1.29022	0.77506	85.59614	125.1068	31.33694	0.36574	10.59677	54084.7266	0.70385	1.37904E-4	1770.81115	26997.613	77.478	13147.825
1250.0	0.95947	0.0405326	7.38377	7.47717	-4.7722	20.6403	28.97173	1.28805	0.77636	90.19508	125.46409	33.06593	0.36387	10.80016	60742.48601	0.68833	1.22387E-4	1773.28183	26655.51258	68.42008	13297.859
1245.0	0.96816	0.0318423	7.38825	7.47266	-4.8297	20.54741	28.91682	1.28626	0.77745	94.05502	125.81498	34.51992	0.36233	10.99929	67599.15779	0.67365	1.09613E-4	1775.74946	26346.09681	61.88315	13415.083
1240.0	0.97515	0.0248542	7.39231	7.4685	-4.88269	20.46771	28.85824	1.28463	0.77843	97.33529	126.17201	35.75734	0.36105	11.19407	74675.2439	0.65975	9.8899E-5	1778.21584	26061.36674	56.94601	13508.07
1235.0	0.98084	0.0191558	7.39607	7.4646	-4.93236	20.39769	28.79706	1.28311	0.77936	100.15713	126.53403	36.82313	0.35998	11.38446	82043.37392	0.64657	8.97197E-5	1780.68108	25795.34945	53.20346	13582.791
1230.0	0.98555	0.0144507	7.3996	7.461	-4.97816	20.33921	28.73268	1.28172	0.7802	102.61475	126.89606	37.75253	0.35904	11.5704	89821.53023	0.63407	8.16787E-5	1783.14638	25542.91722	50.48645	13643.502
1225.0	0.98948	0.0105194	7.40291	7.45763	-5.02106	20.28931	28.6665	1.2804	0.781	104.78236	127.2615	38.57311	0.35823	11.75274	98076.53326	0.62216	7.4555E-5	1785.61028	25300.72492	48.43846	13693.297
1220.0	0.9928	0.00720443	7.40605	7.45429	-5.0636	20.24016	28.60226	1.279	0.78186	106.71223	127.63581	39.30414	0.35752	11.93166	106799.1861	0.61079	6.82374E-5	1788.07384	25067.6344	46.6181	13734.469
1215.0	0.99562	0.00438337	7.40906	7.45098	-5.10581	20.1916	28.53588	1.27768	0.78267	108.44658	128.01696	39.96145	0.35689	12.10721	116054.5788	0.59991	6.25851E-5	1790.53792	24841.91827	45.14323	13768.739
1210.0	0.99804	0.00196445	7.41198	7.44768	-5.14784	20.14324	28.47004	1.27633	0.7835	110.01955	128.40352	40.55786	0.35633	12.27939	125910.0532	0.58952	5.74925E-5	1793.00308	24622.25121	43.93341	13797.429
1205.0	1.0	0.0	7.41485	7.44441	-5.18944	20.09582	28.4041	1.27498	0.78433	111.40109	128.79267	41.08197	0.35584	 	136371.5541	 	5.29031E-5	 	24424.83052	39.48414	 
