T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.00589	0.99411	6.81713	7.92228	0.0	34.59093	30.78598	1.33152	0.75102	1.92516E-6	119.62392	6.4263E-7	0.49788	5.94485	5.94485	1.37366	1.37366	1725.16702	38399.648	 	0.0
1395.0	0.00602	0.99398	6.82128	7.91746	-0.0608931	34.54787	30.69862	1.33132	0.75113	2.09792E-6	119.8003	7.0032E-7	0.49783	6.00987	6.00987	1.35474	1.35474	1727.49057	38188.648	42.2	10.011
1390.0	0.00614	0.99386	6.82536	7.91275	-0.12034	34.50854	30.61137	1.33111	0.75125	2.27952E-6	119.97663	7.60963E-7	0.49779	6.07589	6.07589	1.33601	1.33601	1729.83605	37978.234	42.0828	19.887
1385.0	0.00626	0.99374	6.82948	7.90791	-0.18137	34.46447	30.52398	1.33091	0.75137	2.47118E-6	120.15113	8.2497E-7	0.49774	6.14304	6.14304	1.31743	1.31743	1732.2057	37768.401	41.9666	29.627
1380.0	0.00638	0.99362	6.83354	7.90321	-0.2407	34.42488	30.43669	1.3307	0.75148	2.67072E-6	120.32566	8.91609E-7	0.4977	6.21126	6.21126	1.29903	1.29903	1734.59693	37559.147	41.8508	39.231
1375.0	0.0065	0.9935	6.83765	7.89851	-0.30005	34.38491	30.34964	1.33048	0.75161	2.88037E-6	120.5009	9.61627E-7	0.49765	6.28068	6.28068	1.28079	1.28079	1737.01091	37350.467	41.736	48.702
1370.0	0.00662	0.99338	6.84173	7.8937	-0.36071	34.34096	30.2623	1.33027	0.75172	3.10021E-6	120.67336	1.03506E-6	0.49761	6.35123	6.35123	1.26272	1.26272	1739.44849	37142.357	41.622	58.04
1365.0	0.00673	0.99327	6.84576	7.88909	-0.41892	34.30365	30.17525	1.33005	0.75185	3.32774E-6	120.847	1.11105E-6	0.49757	6.42292	6.42292	1.24482	1.24482	1741.90663	36934.815	41.5084	67.247
1360.0	0.00684	0.99316	6.84983	7.88442	-0.47787	34.26393	30.08825	1.32983	0.75198	3.56535E-6	121.02023	1.19041E-6	0.49752	6.49589	6.49589	1.22708	1.22708	1744.38757	36727.837	41.3956	76.321
1355.0	0.00696	0.99304	6.85388	7.87971	-0.53737	34.22232	30.00116	1.3296	0.7521	3.81198E-6	121.19168	1.2728E-6	0.49748	6.57007	6.57007	1.20951	1.20951	1746.89097	36521.419	41.2836	85.267
