T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.00534	0.99466	6.75294	7.949	0.0	33.79023	28.72721	1.42695	0.7008	1.47726E-6	118.74593	4.9307E-7	0.49802	6.1997	6.1997	1.3172	1.3172	1721.7024	39249.608	 	0.0
1395.0	0.00546	0.99454	6.757	7.94423	-0.0600563	33.74706	28.64958	1.42654	0.701	1.62051E-6	118.93038	5.40902E-7	0.49797	6.26804	6.26804	1.29894	1.29894	1723.81935	39037.535	42.4146	9.674
1390.0	0.00559	0.99441	6.761	7.93959	-0.11844	33.70824	28.57203	1.42612	0.7012	1.77205E-6	119.11501	5.91499E-7	0.49793	6.33746	6.33746	1.28086	1.28086	1725.9574	38826.056	42.2958	19.208
1385.0	0.0057	0.9943	6.76502	7.93481	-0.1785	33.66443	28.49436	1.42571	0.70141	1.93228E-6	119.29758	6.45006E-7	0.49788	6.40808	6.40808	1.26294	1.26294	1728.11874	38615.169	42.1774	28.601
1380.0	0.00582	0.99418	6.76899	7.93017	-0.23691	33.62494	28.41679	1.42529	0.70161	2.10057E-6	119.48036	7.01201E-7	0.49784	6.47981	6.47981	1.24519	1.24519	1730.30142	38404.869	42.06	37.854
1375.0	0.00594	0.99406	6.773	7.92546	-0.29616	33.58279	28.33926	1.42487	0.70182	2.27807E-6	119.6625	7.60475E-7	0.49779	6.55281	6.55281	1.2276	1.2276	1732.50704	38195.154	41.943	46.97
1370.0	0.00605	0.99395	6.77701	7.92077	-0.35512	33.54114	28.26182	1.42444	0.70203	2.46399E-6	119.84434	8.22563E-7	0.49775	6.62705	6.62705	1.21016	1.21016	1734.73498	37986.019	41.827	55.949
1365.0	0.00616	0.99384	6.78095	7.91623	-0.41229	33.50426	28.18442	1.424	0.70225	2.65913E-6	120.02649	8.87732E-7	0.49771	6.70248	6.70248	1.1929	1.1929	1736.98431	37777.46	41.7118	64.792
1360.0	0.00628	0.99372	6.78493	7.91162	-0.47033	33.46462	28.1071	1.42356	0.70246	2.86275E-6	120.20796	9.55734E-7	0.49767	6.77926	6.77926	1.17579	1.17579	1739.25673	37569.475	41.597	73.499
1355.0	0.00638	0.99362	6.78889	7.90698	-0.52869	33.42377	28.02968	1.42312	0.70268	3.07483E-6	120.38785	1.02657E-6	0.49763	6.85733	6.85733	1.15885	1.15885	1741.55189	37362.06	41.483	82.073
1350.0	0.00649	0.99351	6.79285	7.90228	-0.58775	33.38063	27.95249	1.42267	0.7029	3.29652E-6	120.56639	1.10062E-6	0.49758	6.93671	6.93671	1.14207	1.14207	1743.87	37155.211	41.3698	90.516
1345.0	0.0066	0.9934	6.7968	7.89776	-0.6446	33.34351	27.87536	1.42221	0.70313	3.52737E-6	120.74718	1.17772E-6	0.49754	7.01751	7.01751	1.12544	1.12544	1746.20913	36948.924	41.2574	98.827
1340.0	0.00671	0.99329	6.80074	7.8932	-0.70196	33.30462	27.79815	1.42176	0.70336	3.76552E-6	120.92623	1.25727E-6	0.4975	7.09972	7.09972	1.10897	1.10897	1748.57098	36743.197	41.1454	107.008
1335.0	0.00681	0.99319	6.80462	7.88871	-0.75844	33.26797	27.72112	1.42129	0.70359	4.01418E-6	121.10465	1.34033E-6	0.49746	7.18325	7.18325	1.09268	1.09268	1750.95451	36538.025	41.0344	115.06
1330.0	0.00691	0.99309	6.80852	7.88415	-0.81586	33.22833	27.6439	1.42083	0.70382	4.26961E-6	121.28177	1.42565E-6	0.49742	7.26832	7.26832	1.07653	1.07653	1753.3608	36333.405	40.924	122.984
1325.0	0.00701	0.99299	6.81243	7.87969	-0.87193	33.19232	27.56685	1.42035	0.70405	4.5358E-6	121.46042	1.51457E-6	0.49739	7.35494	7.35494	1.06054	1.06054	1755.78817	36129.335	40.814	130.781
1320.0	0.00711	0.99289	6.81632	7.87512	-0.9294	33.15193	27.48987	1.41987	0.70429	4.80848E-6	121.63612	1.60567E-6	0.49734	7.44303	7.44303	1.0447	1.0447	1758.23829	35925.81	40.705	138.451
