T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	6.86043	7.96505	0.0	35.37618	30.1749	1.35849	0.73611	0.0	119.53352	0.0	0.5	6.53204	6.53204	1.25018	1.25018	1725.86376	40304.753	 	0.0
1395.0	0.0	1.0	6.86443	7.96041	-0.0582208	35.34296	30.10081	1.35776	0.73651	0.0	119.67375	0.0	0.5	6.60197	6.60197	1.23324	1.23324	1727.91359	40104.117	40.1272	0.0
1390.0	0.0	1.0	6.86842	7.95579	-0.11628	35.30996	30.02673	1.35703	0.7369	0.0	119.81399	0.0	0.5	6.67309	6.67309	1.21644	1.21644	1729.96545	39903.928	40.0378	0.0
1385.0	0.0	1.0	6.8724	7.95118	-0.17417	35.27718	29.95265	1.3563	0.7373	0.0	119.95422	0.0	0.5	6.7454	6.7454	1.19978	1.19978	1732.01917	39704.183	39.949	0.0
1380.0	0.0	1.0	6.87638	7.94658	-0.2319	35.24462	29.87857	1.35556	0.7377	0.0	120.09446	0.0	0.5	6.81894	6.81894	1.18326	1.18326	1734.07455	39504.879	39.8608	0.0
1375.0	0.0	1.0	6.88035	7.94199	-0.28946	35.21229	29.80448	1.35482	0.73811	0.0	120.23469	0.0	0.5	6.89374	6.89374	1.16689	1.16689	1736.13138	39306.013	39.7732	0.0
1370.0	0.0	1.0	6.88431	7.93742	-0.34686	35.18018	29.7304	1.35407	0.73851	0.0	120.37493	0.0	0.5	6.96982	6.96982	1.15065	1.15065	1738.18947	39107.582	39.6862	0.0
1365.0	0.0	1.0	6.88827	7.93286	-0.40409	35.1483	29.65632	1.35333	0.73892	0.0	120.51517	0.0	0.5	7.04722	7.04722	1.13455	1.13455	1740.2486	38909.583	39.5998	0.0
1360.0	0.0	1.0	6.89222	7.92832	-0.46116	35.11665	29.58224	1.35257	0.73933	0.0	120.6554	0.0	0.5	7.12595	7.12595	1.11859	1.11859	1742.3086	38712.013	39.514	0.0
1355.0	0.0	1.0	6.89616	7.92379	-0.51806	35.08524	29.50815	1.35182	0.73974	0.0	120.79564	0.0	0.5	7.20606	7.20606	1.10277	1.10277	1744.36925	38514.87	39.4286	0.0
1350.0	0.0	1.0	6.9001	7.91927	-0.5748	35.05407	29.43407	1.35106	0.74016	0.0	120.93587	0.0	0.5	7.28757	7.28757	1.08708	1.08708	1746.43036	38318.151	39.3438	0.0
1345.0	0.0	1.0	6.90402	7.91476	-0.63138	35.02313	29.35999	1.3503	0.74058	0.0	121.07611	0.0	0.5	7.37051	7.37051	1.07154	1.07154	1748.49175	38121.853	39.2596	0.0
1340.0	0.0	1.0	6.90795	7.91027	-0.68779	34.99244	29.28591	1.34953	0.741	0.0	121.21634	0.0	0.5	7.45492	7.45492	1.05613	1.05613	1750.55323	37925.974	39.1758	0.0
1335.0	0.0	1.0	6.91186	7.90579	-0.74404	34.96199	29.21182	1.34876	0.74142	0.0	121.35658	0.0	0.5	7.54083	7.54083	1.04086	1.04086	1752.6146	37730.51	39.0928	0.0
1330.0	0.0	1.0	6.91577	7.90132	-0.80012	34.93179	29.13774	1.34798	0.74185	0.0	121.49681	0.0	0.5	7.62827	7.62827	1.02573	1.02573	1754.67568	37535.46	39.01	0.0
1329.75	0.0	1.0	6.91596	7.9011	-0.80288	34.93031	29.13409	1.34794	0.74187	0.0	121.50373	0.0	0.5	7.63263	7.63263	1.02499	1.02499	1754.77734	37525.847	38.97267	0.0020
1325.0	0.11584	0.88416	6.95486	7.85695	-1.35711	33.42955	29.36712	1.33328	0.75003	0.0143797	121.66828	0.00483926	0.48573	7.70618	12.12095	1.0122	0.64353	1756.50482	35745.04501	374.64225	1593.357
1320.0	0.23921	0.76079	6.99734	7.80924	-1.9561	31.79183	29.61218	1.31811	0.75866	0.26768	122.01433	0.0910361	0.4702	7.79775	71.01501	0.99718	0.10949	1758.2887	33826.36518	383.73597	3314.798
1315.0	0.44488	0.55512	7.06966	7.72924	-2.96054	28.94086	30.05124	1.29478	0.77233	3.34961	122.97094	1.16031	0.44341	7.96669	775.17411	0.97297	0.00999952	1759.89258	30649.23503	635.42603	6295.158
1310.0	0.57211	0.42789	7.11581	7.67901	-3.59123	27.17868	30.31597	1.27943	0.7816	9.51921	123.67521	3.33662	0.42648	8.1313	2214.34682	0.95027	0.0034895	1761.51714	28638.49231	402.14854	8109.595
1305.0	0.65717	0.34283	7.14766	7.64461	-4.02304	25.99625	30.47951	1.26855	0.7883	17.03713	124.25256	6.02037	0.41496	8.29285	4064.06181	0.92882	0.00189529	1763.16295	27250.49836	277.59879	9301.747
1300.0	0.71741	0.28259	7.17098	7.61955	-4.33774	25.15541	30.57923	1.2604	0.7934	24.70289	124.76083	8.78062	0.40667	8.45238	6103.12059	0.9084	0.00125807	1764.82284	26224.98437	205.1028	10131.878
1295.0	0.76203	0.23797	7.1889	7.60032	-4.57916	24.52832	30.63651	1.25405	0.79742	31.95809	125.22841	11.40999	0.40044	8.61096	8227.38897	0.88884	9.30277E-4	1766.49532	25425.31754	159.93337	10736.617
1290.0	0.79625	0.20375	7.20321	7.58497	-4.7718	24.04358	30.66444	1.24891	0.8007	38.60548	125.67089	13.8312	0.39559	8.76936	10398.89041	0.87	7.33669E-4	1768.17674	24774.26108	130.21129	11193.199
1285.0	0.82323	0.17677	7.21501	7.57232	-4.9306	23.65759	30.67127	1.24464	0.80345	44.61271	126.09669	16.02804	0.39171	8.92824	12610.49594	0.85179	6.03065E-4	1769.86384	24225.44018	109.76418	11547.994
1280.0	0.8515	0.1485	7.22719	7.55923	-5.095	23.25146	30.67378	1.24054	0.8061	51.64274	126.55806	18.60861	0.3876	9.08731	15323.1849	0.83419	4.9471E-4	1771.36101	23646.71106	115.74582	11933.143
1275.0	0.87591	0.12409	7.23801	7.54756	-5.24146	22.89693	30.66406	1.23694	0.80845	58.41998	127.01175	21.10538	0.38401	9.24418	18229.44328	0.81739	4.14502E-4	1772.77135	23120.92189	105.15783	12265.796
1270.0	0.89473	0.10527	7.24691	7.53793	-5.36239	22.61786	30.63946	1.23394	0.81041	64.17257	127.44353	23.23117	0.38117	9.40019	21108.81677	0.80123	3.56805E-4	1774.18158	22676.20188	88.944	12517.818
