T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	6.87546	7.98351	0.0	35.39014	30.0844	1.36257	0.73391	0.0	120.10166	0.0	0.5	6.62675	6.62675	1.23231	1.23231	1747.1778	39921.862	 	0.0
1395.0	0.0	1.0	6.87946	7.97886	-0.0582312	35.35693	30.00951	1.36189	0.73427	0.0	120.24189	0.0	0.5	6.698	6.698	1.21556	1.21556	1749.36491	39721.303	40.1118	0.0
1390.0	0.0	1.0	6.88346	7.97423	-0.1163	35.32395	29.93461	1.36121	0.73464	0.0	120.38212	0.0	0.5	6.77045	6.77045	1.19895	1.19895	1751.55374	39521.189	40.0228	0.0
1385.0	0.0	1.0	6.88745	7.96961	-0.1742	35.29118	29.85971	1.36052	0.73501	0.0	120.52235	0.0	0.5	6.84412	6.84412	1.18248	1.18248	1753.74412	39321.517	39.9344	0.0
1380.0	0.0	1.0	6.89144	7.965	-0.23194	35.25863	29.78481	1.35983	0.73539	0.0	120.66258	0.0	0.5	6.91905	6.91905	1.16614	1.16614	1755.93582	39122.285	39.8464	0.0
1375.0	0.0	1.0	6.89542	7.9604	-0.28951	35.22631	29.70991	1.35913	0.73576	0.0	120.80281	0.0	0.5	6.99527	6.99527	1.14995	1.14995	1758.12863	38923.49	39.759	0.0
1370.0	0.0	1.0	6.89939	7.95582	-0.34692	35.19422	29.63502	1.35843	0.73614	0.0	120.94304	0.0	0.5	7.07279	7.07279	1.1339	1.1339	1760.32234	38725.128	39.6724	0.0
1365.0	0.0	1.0	6.90336	7.95125	-0.40416	35.16235	29.56012	1.35773	0.73652	0.0	121.08327	0.0	0.5	7.15166	7.15166	1.11798	1.11798	1762.51675	38527.197	39.5862	0.0
1360.0	0.0	1.0	6.90732	7.94669	-0.46124	35.13072	29.48522	1.35702	0.73691	0.0	121.2235	0.0	0.5	7.23189	7.23189	1.1022	1.1022	1764.71164	38329.694	39.5006	0.0
1355.0	0.0	1.0	6.91127	7.94215	-0.51816	35.09932	29.41032	1.35632	0.73729	0.0	121.36373	0.0	0.5	7.31353	7.31353	1.08656	1.08656	1766.90681	38132.616	39.4156	0.0
