T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.00313	0.99687	7.41054	8.02507	0.0	35.56124	31.96197	1.28253	0.77971	2.01032E-8	121.84845	6.7041E-9	0.49932	6.83931	6.83931	1.19401	1.19401	1779.34755	40141.504	 	0.0
1395.0	0.00339	0.99661	7.41518	8.02001	-0.0631288	35.5149	31.86859	1.28244	0.77976	2.75704E-8	122.02852	9.19464E-9	0.49926	6.91599	6.91599	1.17725	1.17725	1783.47485	39930.594	42.182	14.126
1390.0	0.00364	0.99636	7.41981	8.01497	-0.12587	35.4693	31.77534	1.28235	0.77982	3.6816E-8	122.20827	1.22785E-8	0.4992	6.99396	6.99396	1.16063	1.16063	1787.62544	39720.309	42.057	28.048
1385.0	0.00389	0.99611	7.42443	8.01006	-0.18706	35.42772	31.68232	1.28225	0.77988	4.80434E-8	122.38914	1.60235E-8	0.49915	7.07321	7.07321	1.14418	1.14418	1791.79582	39510.643	41.9332	41.768
1380.0	0.00413	0.99587	7.42903	8.00507	-0.24933	35.38281	31.5891	1.28216	0.77994	6.14719E-8	122.56728	2.0503E-8	0.4991	7.15384	7.15384	1.12787	1.12787	1795.99174	39301.595	41.8096	55.287
1375.0	0.00438	0.99562	7.43362	8.00016	-0.31051	35.34062	31.49618	1.28205	0.78	7.73044E-8	122.74613	2.57845E-8	0.49905	7.2358	7.2358	1.11172	1.11172	1800.20727	39093.159	41.6872	68.607
1370.0	0.00461	0.99539	7.43818	7.99522	-0.37198	35.29733	31.40321	1.28194	0.78006	9.57427E-8	122.92342	3.19356E-8	0.49899	7.31915	7.31915	1.09573	1.09573	1804.44512	38885.332	41.5654	81.727
1365.0	0.00485	0.99515	7.44273	7.99033	-0.43291	35.25522	31.31034	1.28183	0.78013	1.16983E-7	123.10045	3.90217E-8	0.49894	7.40394	7.40394	1.07989	1.07989	1808.70262	38678.11	41.4444	94.65
1360.0	0.00508	0.99492	7.44727	7.98541	-0.4942	35.21178	31.21742	1.28173	0.7802	1.41215E-7	123.27599	4.71066E-8	0.49889	7.49019	7.49019	1.06419	1.06419	1812.98137	38471.489	41.3242	107.378
1355.0	0.00531	0.99469	7.4518	7.98061	-0.5541	35.17202	31.12478	1.28161	0.78027	1.68602E-7	123.45251	5.62441E-8	0.49884	7.57792	7.57792	1.04865	1.04865	1817.27628	38265.465	41.2048	119.91
