T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.3192	7.95483	0.0	34.40384	30.83414	1.32944	0.7522	0.0	122.98577	0.0	0.5	6.84343	6.84343	1.1933	1.1933	1843.3781	43174.078	 	0.0
1395.0	0.0	1.0	7.32346	7.9502	-0.0581958	34.36771	30.74985	1.3291	0.75239	0.0	123.122	0.0	0.5	6.91701	6.91701	1.17707	1.17707	1847.35166	42974.411	39.9334	0.0
1390.0	0.0	1.0	7.32771	7.94558	-0.11623	34.33177	30.66555	1.32876	0.75258	0.0	123.25822	0.0	0.5	6.99183	6.99183	1.16099	1.16099	1851.34916	42775.183	39.8456	0.0
1385.0	0.0	1.0	7.33196	7.94098	-0.1741	34.29602	30.58126	1.32842	0.75278	0.0	123.39445	0.0	0.5	7.06793	7.06793	1.14503	1.14503	1855.37019	42576.39	39.7586	0.0
1380.0	0.0	1.0	7.3362	7.93639	-0.2318	34.26047	30.49696	1.32807	0.75297	0.0	123.53067	0.0	0.5	7.14531	7.14531	1.12922	1.12922	1859.41431	42378.03	39.672	0.0
1375.0	0.0	1.0	7.34044	7.93181	-0.28935	34.22512	30.41266	1.32773	0.75317	0.0	123.6669	0.0	0.5	7.22403	7.22403	1.11354	1.11354	1863.48111	42180.101	39.5858	0.0
1371.79	0.0	1.0	7.34315	7.92888	-0.32624	34.2025	30.35849	1.3275	0.75329	0.0	123.75445	0.0	0.5	7.27533	7.27533	1.10353	1.10353	1866.10651	42053.13	39.51322	0.0
1370.0	0.0684404	0.93156	7.36642	7.90385	-0.64085	33.35759	30.56564	1.31707	0.75926	0.00204715	125.75008	6.86125E-4	0.49182	7.29485	8.20626	1.09938	0.97728	1865.84649	40949.772	617.56725	1032.824
1365.0	0.23767	0.76233	7.42492	7.84162	-1.42311	31.25997	31.09075	1.29089	0.77466	0.30936	130.70922	0.10513	0.47128	7.35057	44.71785	1.08773	0.1788	1864.88142	38211.436	547.6672	3574.084
1360.0	0.36882	0.63118	7.4715	7.79274	-2.03755	29.62514	31.5058	1.26999	0.78741	1.84877	134.61829	0.6353	0.45504	7.4075	222.12618	1.07607	0.035885	1863.70088	36060.736	430.14	5528.128
1355.0	0.47194	0.52806	7.50921	7.75366	-2.52883	28.3305	31.83653	1.25295	0.79811	5.08195	137.75092	1.76208	0.44203	7.46592	603.55221	1.06438	0.0131664	1862.31987	34342.325	343.6822	7050.303
1350.0	0.55411	0.44589	7.54013	7.72198	-2.92708	27.29336	32.09991	1.23886	0.8072	9.86057	140.29847	3.44412	0.43151	7.52572	1190.31177	1.05268	0.00665556	1860.75014	32946.451	279.1748	8250.357
1345.0	0.62035	0.37965	7.56583	7.69589	-3.25513	26.45075	32.30826	1.22708	0.81495	15.76746	142.3999	5.54064	0.42289	7.58703	1954.46013	1.04096	0.00404091	1859.00878	31794.391	230.412	9207.01
1340.0	0.6743	0.3257	7.58745	7.6741	-3.52907	25.75838	32.47109	1.21715	0.82159	22.35015	144.15542	7.89327	0.41577	7.64987	2861.26694	1.02922	0.00275171	1857.11056	30828.893	193.0996	9977.513
1335.0	0.71866	0.28134	7.60586	7.65569	-3.76043	25.18446	32.59621	1.20872	0.82732	29.22774	145.64191	10.36568	0.40983	7.71437	3880.02075	1.01745	0.00202292	1855.06969	30007.774	164.2238	10604.045
1330.0	0.75545	0.24455	7.6217	7.63999	-3.95785	24.70512	32.69001	1.2015	0.83229	36.11405	146.91595	12.85347	0.40484	7.78061	4986.95806	1.00565	0.00156901	1852.90011	29299.583	141.6382	11118.055
1325.0	0.78622	0.21378	7.63548	7.62637	-4.12903	24.29892	32.75784	1.19528	0.83663	42.81772	148.01942	15.28556	0.40059	7.8486	6165.81298	0.99383	0.00126507	1850.62292	28680.603	123.796	11543.26
1320.0	0.81214	0.18786	7.6476	7.61447	-4.27866	23.95294	32.80396	1.18986	0.84043	49.22044	148.98697	17.61694	0.39696	7.91851	7407.24441	0.98197	0.00104975	1848.25063	28132.763	109.568	11897.724
1315.0	0.83414	0.16586	7.65835	7.60397	-4.4106	23.65645	32.83195	1.18512	0.8438	55.25075	149.84321	19.8197	0.39383	7.9903	8705.39506	0.9701	8.90409E-4	1845.79722	27642.154	98.1218	12195.354
1314.43	0.83637	0.16363	7.65949	7.60286	-4.42457	23.62571	32.8338	1.18462	0.84415	55.89821	149.93357	20.0566	0.39351	7.99862	8855.32475	0.96874	8.75019E-4	1845.52331	27590.139	 	12225.343
1310.0	0.86233	0.13767	7.67078	7.59183	-4.56319	23.29651	32.89006	1.1793	0.84796	63.7944	150.9282	22.95086	0.3898	8.05564	10494.40445	0.9592	7.36294E-4	1848.94457	27055.733	117.2842	12589.194
1305.0	0.88575	0.11425	7.68165	7.58129	-4.69573	22.99338	32.92613	1.17429	0.85158	71.69764	151.8692	25.85751	0.3864	8.11969	12341.39812	0.94863	6.24124E-4	1852.71878	26539.372	103.2722	12913.366
1300.0	0.90432	0.0956754	7.69097	7.5723	-4.80876	22.7461	32.93903	1.17011	0.85462	78.56883	152.66256	28.39221	0.38363	8.18358	14186.45994	0.93824	5.41231E-4	1856.42187	26093.541	89.1662	13167.399
1295.0	0.91931	0.0806944	7.69911	7.56447	-4.90718	22.54068	32.93403	1.16656	0.85722	84.53477	153.34555	30.59858	0.38135	8.24753	16043.29634	0.928	4.77068E-4	1860.07703	25700.105	78.6872	13369.426
1290.0	0.93153	0.0684692	7.70635	7.55754	-4.99427	22.36771	32.9151	1.16351	0.85947	89.72782	153.94488	32.52333	0.37944	8.31153	17928.71147	0.91792	4.25538E-4	1863.69396	25346.332	70.7546	13532.176
1285.0	0.94163	0.0583722	7.71287	7.55132	-5.07251	22.22013	32.88515	1.16085	0.86144	94.26522	154.47944	34.20831	0.37781	8.37566	19858.80245	0.90798	3.82951E-4	1867.28523	25023.092	64.648	13664.777
1280.0	0.95005	0.0499453	7.71885	7.54564	-5.14392	22.09204	32.8464	1.15849	0.86319	98.24936	154.96322	35.69041	0.37641	8.44009	21849.9937	0.89816	3.46936E-4	1870.86655	24723.718	59.8748	13773.893
1275.0	0.95715	0.0428455	7.72437	7.5404	-5.20973	21.98004	32.80048	1.15638	0.86477	101.76664	155.40654	37.00092	0.37519	8.50494	23917.69713	0.88844	3.15922E-4	1874.44173	24443.255	56.0926	13864.477
1270.0	0.96319	0.0368122	7.72954	7.53553	-5.27102	21.88093	32.74872	1.15446	0.8662	104.89006	155.81732	38.16639	0.37412	8.57031	26077.80648	0.87882	2.88818E-4	1878.01821	24177.967	53.0576	13940.263
1265.0	0.96835	0.031646	7.73441	7.53095	-5.32862	21.79233	32.69213	1.15271	0.86752	107.67943	156.20135	39.20865	0.37316	8.63624	28345.3535	0.86928	2.64852E-4	1881.6029	23924.994	50.5946	14004.108
1260.0	0.97281	0.0271902	7.73903	7.52661	-5.38317	21.71243	32.6315	1.1511	0.86873	110.18509	156.56324	40.14615	0.3723	8.70286	30735.76879	0.85982	2.4346E-4	1885.2005	23682.123	48.5742	14058.224
1255.0	0.97668	0.0233224	7.74344	7.52247	-5.43518	21.63973	32.56752	1.1496	0.86987	112.44899	156.90682	40.99426	0.37152	8.77017	33265.1944	0.85044	2.24214E-4	1888.81383	23447.625	46.8996	14104.337
1250.0	0.98005	0.0199454	7.74768	7.5185	-5.48502	21.5732	32.50064	1.1482	0.87093	114.50507	157.2346	41.76548	0.37081	8.83848	35949.01316	0.84111	2.06796E-4	1892.44769	23220.126	45.4998	14143.819
