T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.40004	8.02795	0.0	34.22308	30.15357	1.35945	0.73559	0.0	123.09255	0.0	0.5	7.15443	7.15443	1.14142	1.14142	1838.50902	42720.39	 	0.0
1395.0	0.0	1.0	7.40429	8.02333	-0.0574698	34.18841	30.0702	1.35914	0.73576	0.0	123.2309	0.0	0.5	7.23192	7.23192	1.12582	1.12582	1842.59749	42521.782	39.7216	0.0
1390.0	0.0	1.0	7.40854	8.01873	-0.11478	34.15394	29.98683	1.35884	0.73592	0.0	123.36925	0.0	0.5	7.31073	7.31073	1.11034	1.11034	1846.71684	42323.604	39.6356	0.0
1385.0	0.0	1.0	7.41278	8.01415	-0.17193	34.11966	29.90346	1.35853	0.73609	0.0	123.5076	0.0	0.5	7.39087	7.39087	1.095	1.095	1850.86674	42125.853	39.5502	0.0
1380.0	0.0	1.0	7.41702	8.00957	-0.22891	34.08558	29.82008	1.35822	0.73626	0.0	123.64595	0.0	0.5	7.47239	7.47239	1.07979	1.07979	1855.04674	41928.526	39.4654	0.0
1375.0	0.0	1.0	7.42124	8.00501	-0.28574	34.0517	29.73671	1.35791	0.73643	0.0	123.7843	0.0	0.5	7.55531	7.55531	1.06471	1.06471	1859.25638	41731.621	39.381	0.0
1370.0	0.0	1.0	7.42546	8.00046	-0.34241	34.01803	29.65334	1.35759	0.7366	0.0	123.92265	0.0	0.5	7.63966	7.63966	1.04976	1.04976	1863.49521	41535.135	39.2972	0.0
1365.0	0.0	1.0	7.42967	7.99592	-0.39891	33.98455	29.56997	1.35728	0.73677	0.0	124.061	0.0	0.5	7.72547	7.72547	1.03494	1.03494	1867.76274	41339.064	39.2142	0.0
1360.0	0.0	1.0	7.43388	7.9914	-0.45526	33.95129	29.48659	1.35696	0.73694	0.0	124.19935	0.0	0.5	7.81279	7.81279	1.02025	1.02025	1872.05849	41143.407	39.1314	0.0
1355.0	0.0	1.0	7.43808	7.98689	-0.51144	33.91824	29.40322	1.35664	0.73711	0.0	124.3377	0.0	0.5	7.90163	7.90163	1.00569	1.00569	1876.38194	40948.162	39.049	0.0
1350.0	0.0	1.0	7.44227	7.98239	-0.56747	33.88539	29.31985	1.35632	0.73729	0.0	124.47605	0.0	0.5	7.99205	7.99205	0.99126	0.99126	1880.7326	40753.324	38.9676	0.0
