T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.8152	7.97916	0.0	34.31161	33.18239	1.23536	0.80948	0.0	126.40132	0.0	0.5	7.45833	7.45833	1.09491	1.09491	1879.28812	40551.471	 	0.0
1395.0	0.0	1.0	7.81974	7.97452	-0.0581173	34.27542	33.09316	1.23499	0.80972	0.0	126.53601	0.0	0.5	7.54071	7.54071	1.07972	1.07972	1882.08509	40353.656	39.563	0.0
1390.0	0.0	1.0	7.82428	7.9699	-0.11607	34.23942	33.00394	1.23462	0.80997	0.0	126.6707	0.0	0.5	7.6245	7.6245	1.06465	1.06465	1884.89061	40156.274	39.4764	0.0
1385.0	0.0	1.0	7.82881	7.96529	-0.17386	34.20361	32.91471	1.23424	0.81021	0.0	126.80539	0.0	0.5	7.70973	7.70973	1.04971	1.04971	1887.70483	39959.323	39.3902	0.0
1380.0	0.0	1.0	7.83333	7.96069	-0.23149	34.168	32.82549	1.23386	0.81046	0.0	126.94008	0.0	0.5	7.79644	7.79644	1.03491	1.03491	1890.52791	39762.799	39.3048	0.0
1379.88	0.0	1.0	7.83344	7.96057	-0.2329	34.16713	32.8233	1.23385	0.81047	0.0	126.94338	0.0	0.5	7.79859	7.79859	1.03455	1.03455	1890.59722	39757.997	39.18081	0.0
1375.0	0.11859	0.88141	7.88158	7.91198	-0.84196	32.57385	33.10561	1.21972	0.81986	0.0197902	130.93498	0.00665839	0.48611	7.88882	11.2968	1.0197	0.71208	1893.69176	37747.88	412.12542	1818.816
1370.0	0.22213	0.77787	7.92428	7.86927	-1.37717	31.1808	33.34692	1.20722	0.82835	0.2496	134.45458	0.0846794	0.47378	7.98557	37.47302	1.00429	0.21402	1896.83813	35975.831	354.4098	3395.186
1365.0	0.31054	0.68946	7.9614	7.83263	-1.83635	29.99325	33.54742	1.19636	0.83587	0.97399	137.49445	0.33285	0.46309	8.08659	119.65997	0.98872	0.0668177	1899.95443	34445.515	306.0632	4730.241
1360.0	0.38652	0.61348	7.99381	7.80084	-2.23473	28.97007	33.71336	1.18683	0.84258	2.38164	140.13504	0.81912	0.45378	8.19176	284.87841	0.97305	0.0279804	1903.04012	33114.109	266.2812	5866.801
1355.0	0.45221	0.54779	8.02229	7.77311	-2.58229	28.08461	33.84985	1.17843	0.84859	4.53555	142.44441	1.56871	0.44563	8.30103	549.62169	0.9573	0.0144583	1906.09276	31947.29	233.3638	6839.188
1350.0	0.50932	0.49068	8.04744	7.74872	-2.888	27.31268	33.9608	1.17097	0.85399	7.40377	144.47589	2.5735	0.43846	8.41438	921.64485	0.94151	0.00859571	1909.11129	30917.404	205.9772	7675.05
1345.0	0.55921	0.44079	8.06975	7.72722	-3.15747	26.63935	34.04971	1.16432	0.85887	10.89776	146.27516	3.80474	0.43213	8.53171	1402.88981	0.9257	0.00562966	1912.09244	30002.049	183.071	8396.786
1340.0	0.60301	0.39699	8.08966	7.70807	-3.39745	26.04622	34.11926	1.15835	0.86329	14.90431	147.87753	5.22405	0.42651	8.65302	1992.05524	0.9099	0.00395239	1915.03641	29182.987	163.8124	9022.635
1335.0	0.64163	0.35837	8.10748	7.69098	-3.61168	25.52336	34.1718	1.15299	0.86731	19.30124	149.31242	6.78903	0.4215	8.77829	2685.97217	0.89414	0.00292221	1917.94074	28445.29	147.5394	9567.518
1330.0	0.67581	0.32419	8.1235	7.67562	-3.80413	25.06002	34.20944	1.14814	0.87098	23.97633	150.60488	8.4601	0.41702	8.90748	3481.48972	0.87843	0.00224748	1920.80442	27776.675	133.723	10043.717
1325.0	0.70618	0.29382	8.13798	7.66173	-3.97817	24.64696	34.23393	1.14374	0.87433	28.82978	151.77448	10.20161	0.413	9.04064	4375.87794	0.86279	0.00178254	1923.62671	27166.988	121.9374	10461.382
1320.0	0.73326	0.26674	8.15112	7.64915	-4.13589	24.27869	34.2469	1.13973	0.8774	33.77416	152.83898	11.98192	0.40938	9.17778	5366.87787	0.84724	0.00144884	1926.4064	26607.792	111.8392	10828.948
1315.0	0.75747	0.24253	8.1631	7.63766	-4.2799	23.94802	34.24959	1.13606	0.88023	38.73889	153.81167	13.77525	0.4061	9.3189	6453.35615	0.83179	0.00120114	1929.14166	26092.047	103.149	11153.453
1310.0	0.7792	0.2208	8.17405	7.62713	-4.41186	23.65045	34.24327	1.13269	0.88285	43.66948	154.70533	15.56141	0.40313	9.46404	7635.67707	0.81645	0.00101196	1931.83199	25613.847	95.64	11440.8
1307.61	0.78863	0.21137	8.1789	7.62246	-4.47042	23.52088	34.23667	1.1312	0.88402	45.96105	155.10347	16.39322	0.40183	9.53485	8229.3059	0.80917	9.37536E-4	1933.1007	25399.055	 	11564.314
1305.0	0.80181	0.19819	8.18641	7.61521	-4.56117	23.29896	34.12899	1.1329	0.88269	49.38816	155.61645	17.64091	0.39982	9.6366	9063.65743	0.7993	8.49829E-4	1935.29513	25092.325	104.3044	11771.852
1300.0	0.82442	0.17558	8.19943	7.60261	-4.7192	22.9187	33.93697	1.1357	0.88052	55.74981	156.51958	19.96288	0.39634	9.83562	10739.82212	0.78065	7.14924E-4	1939.48234	24549.409	108.5832	12124.68
1295.0	0.84359	0.15641	8.21071	7.59163	-4.85681	22.59664	33.76374	1.1379	0.87881	61.66229	157.32109	22.12739	0.39335	10.03927	12491.88283	0.76238	6.12698E-4	1943.62865	24064.045	97.0728	12420.336
1290.0	0.86	0.14	8.2206	7.58193	-4.97828	22.32056	33.6057	1.1396	0.8775	67.13098	158.04063	24.13476	0.39075	10.24761	14324.22925	0.7445	5.32618E-4	1947.7343	23624.687	87.8716	12670.361
1285.0	0.87416	0.12584	8.22936	7.57332	-5.08627	22.08303	33.4601	1.1409	0.8765	72.16985	158.69315	25.98868	0.38849	10.46077	16242.3744	0.727	4.68216E-4	1951.79625	23222.554	80.4266	12883.535
1280.0	0.88648	0.11352	8.2372	7.56553	-5.18385	21.87515	33.3247	1.14186	0.87576	76.81497	159.29048	27.70139	0.38648	10.67894	18256.31396	0.70986	4.15228E-4	1955.81814	22850.87	74.3368	13066.632
1275.0	0.89725	0.10275	8.24427	7.55847	-5.27229	21.69344	33.1978	1.14254	0.87525	81.09498	159.8423	29.28246	0.3847	10.90209	20376.01688	0.69309	3.70835E-4	1959.79474	22504.338	69.3064	13224.944
1270.0	0.90673	0.0932694	8.2507	7.552	-5.3534	21.53264	33.07788	1.14297	0.87491	85.04114	160.35511	30.74277	0.38311	11.13056	22611.92906	0.67667	3.33087E-4	1963.72905	22178.776	65.1124	13362.654
