T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.16671	7.93382	0.0	34.17935	30.50509	1.34378	0.74417	0.0	122.25278	0.0	0.5	6.43375	6.43375	1.26928	1.26928	1783.59715	42402.086	 	0.0
1395.0	0.0	1.0	7.17084	7.92925	-0.0576396	34.14407	30.41855	1.34358	0.74428	0.0	122.38919	0.0	0.5	6.50202	6.50202	1.2522	1.2522	1786.76718	42201.91	40.0352	0.0
1390.0	0.0	1.0	7.17497	7.92469	-0.11512	34.109	30.33201	1.34337	0.7444	0.0	122.5256	0.0	0.5	6.57143	6.57143	1.23526	1.23526	1789.9672	42002.177	39.9466	0.0
1385.0	0.0	1.0	7.17909	7.92014	-0.17243	34.07411	30.24547	1.34317	0.74451	0.0	122.66201	0.0	0.5	6.64201	6.64201	1.21846	1.21846	1793.19715	41802.884	39.8586	0.0
1380.0	0.0	1.0	7.1832	7.91561	-0.22958	34.03943	30.15893	1.34296	0.74462	0.0	122.79842	0.0	0.5	6.71378	6.71378	1.2018	1.2018	1796.45689	41604.028	39.7712	0.0
1375.0	0.0	1.0	7.1873	7.91109	-0.28657	34.00495	30.07239	1.34275	0.74474	0.0	122.93482	0.0	0.5	6.78677	6.78677	1.18528	1.18528	1799.74625	41405.607	39.6842	0.0
1370.0	0.0	1.0	7.1914	7.90658	-0.3434	33.97067	29.98585	1.34254	0.74486	0.0	123.07123	0.0	0.5	6.86101	6.86101	1.1689	1.1689	1803.06507	41207.617	39.598	0.0
1365.0	0.0	1.0	7.19549	7.90208	-0.40007	33.93659	29.89931	1.34233	0.74497	0.0	123.20764	0.0	0.5	6.93652	6.93652	1.15265	1.15265	1806.41314	41010.056	39.5122	0.0
1362.87	0.0	1.0	7.19724	7.90017	-0.42421	33.92211	29.86237	1.34224	0.74502	0.0	123.26587	0.0	0.5	6.96914	6.96914	1.14576	1.14576	1807.85121	40925.855	39.45005	0.0
1360.0	0.10726	0.89274	7.23327	7.86075	-0.921	32.57961	30.18372	1.32562	0.75436	0.0118518	125.49815	0.00398485	0.4871	7.00959	9.69704	1.13716	0.822	1806.54308	39288.143	571.50155	1524.779
1355.0	0.26725	0.73275	7.288	7.80177	-1.66448	30.576	30.67602	1.30035	0.76902	0.47356	128.85829	0.16135	0.46752	7.08218	75.94798	1.12205	0.10463	1804.20556	36833.629	490.9028	3782.583
1350.0	0.39308	0.60692	7.33204	7.75487	-2.25556	28.99475	31.0723	1.27983	0.78136	2.28243	131.5612	0.78606	0.45181	7.1569	335.97618	1.10693	0.0235796	1801.8514	34879.008	390.9242	5540.914
1345.0	0.49324	0.50676	7.36799	7.71713	-2.73131	27.7338	31.39398	1.26281	0.79188	5.79835	133.77202	2.01459	0.43909	7.23399	858.68236	1.09176	0.00919757	1799.49164	33299.831	315.8354	6924.221
1340.0	0.57381	0.42619	7.3976	7.68629	-3.11994	26.71524	31.6544	1.24855	0.80093	10.841	135.60593	3.79406	0.42868	7.31342	1644.87815	1.07657	0.00478661	1797.13898	32005.797	258.8068	8022.8
1335.0	0.63921	0.36079	7.42226	7.66084	-3.44075	25.88579	31.86365	1.23651	0.80873	16.99389	137.14987	5.98331	0.42011	7.39535	2662.133	1.06134	0.00294838	1794.80277	30930.582	215.043	8902.975
1330.0	0.69276	0.30724	7.44305	7.6395	-3.70976	25.20099	32.02984	1.22627	0.81548	23.80811	138.46682	8.42478	0.41298	7.48003	3868.66554	1.04606	0.00202255	1792.49694	30024.915	181.1334	9614.012
1325.0	0.73694	0.26306	7.46072	7.62154	-3.93614	24.63559	32.15973	1.21751	0.82135	30.90298	139.6071	10.98172	0.40702	7.56745	5226.76234	1.03075	0.00149235	1790.22643	29251.814	154.6202	10192.892
1320.0	0.77365	0.22635	7.4759	7.60615	-4.13013	24.16099	32.25896	1.20996	0.82647	37.99017	140.60529	13.54867	0.40199	7.65795	6705.98883	1.01538	0.00115953	1788.00666	28583.249	133.713	10667.642
1315.0	0.80437	0.19563	7.48905	7.5929	-4.29706	23.76249	32.33246	1.20342	0.83096	44.87344	141.49119	16.05239	0.39772	7.75152	8285.40887	0.99998	9.35544E-4	1785.84264	27997.777	117.0944	11059.703
1310.0	0.83022	0.16978	7.50055	7.58138	-4.44228	23.42513	32.38422	1.19772	0.83492	51.42659	142.28585	18.44479	0.39407	7.84837	9951.22643	0.98453	7.76483E-4	1783.74425	27478.858	103.7838	11385.612
