T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.04398	7.90882	0.0	31.43999	28.59956	1.43332	0.69768	0.0	121.9343	0.0	0.5	6.6675	6.6675	1.22478	1.22478	1744.28971	51607.799	 	0.0
1395.0	0.0	1.0	7.04788	7.90445	-0.0552863	31.40277	28.52032	1.433	0.69784	0.0	122.09007	0.0	0.5	6.73702	6.73702	1.20852	1.20852	1746.38619	51404.687	40.6224	0.0
1390.0	0.0	1.0	7.05177	7.90009	-0.11041	31.36572	28.44108	1.43269	0.69799	0.0	122.24584	0.0	0.5	6.80769	6.80769	1.19239	1.19239	1748.49947	51202.026	40.5322	0.0
1385.0	0.0	1.0	7.05565	7.89575	-0.16538	31.32883	28.36185	1.43237	0.69814	0.0	122.40161	0.0	0.5	6.87954	6.87954	1.17639	1.17639	1750.62971	50999.817	40.4418	0.0
1380.0	0.0	1.0	7.05953	7.89141	-0.22019	31.29212	28.28261	1.43205	0.6983	0.0	122.55738	0.0	0.5	6.95258	6.95258	1.16052	1.16052	1752.77702	50798.054	40.3526	0.0
1375.0	0.0	1.0	7.0634	7.88709	-0.27484	31.25557	28.20337	1.43173	0.69845	0.0	122.71315	0.0	0.5	7.02685	7.02685	1.14478	1.14478	1754.94149	50596.738	40.2632	0.0
1370.0	0.0	1.0	7.06726	7.88278	-0.32934	31.2192	28.12414	1.43141	0.69861	0.0	122.86891	0.0	0.5	7.10238	7.10238	1.12917	1.12917	1757.12321	50395.864	40.1748	0.0
1365.0	0.0	1.0	7.07111	7.87848	-0.38367	31.183	28.0449	1.43109	0.69877	0.0	123.02468	0.0	0.5	7.17918	7.17918	1.11369	1.11369	1759.32226	50195.432	40.0864	0.0
1360.0	0.0	1.0	7.07496	7.8742	-0.43785	31.14698	27.96567	1.43076	0.69893	0.0	123.18045	0.0	0.5	7.25729	7.25729	1.09834	1.09834	1761.53871	49995.438	39.9988	0.0
1355.0	0.0	1.0	7.0788	7.86992	-0.49186	31.11113	27.88643	1.43043	0.69909	0.0	123.33622	0.0	0.5	7.33674	7.33674	1.08312	1.08312	1763.77261	49795.881	39.9114	0.0
1350.0	0.0	1.0	7.08264	7.86566	-0.54572	31.07547	27.80719	1.4301	0.69925	0.0	123.49199	0.0	0.5	7.41756	7.41756	1.06803	1.06803	1766.024	49596.758	39.8246	0.0
1345.0	0.0	1.0	7.08646	7.86142	-0.59942	31.03999	27.72796	1.42977	0.69941	0.0	123.64776	0.0	0.5	7.49977	7.49977	1.05307	1.05307	1768.29292	49398.067	39.7382	0.0
1340.0	0.0	1.0	7.09028	7.85718	-0.65296	31.00469	27.64872	1.42944	0.69957	0.0	123.80353	0.0	0.5	7.58341	7.58341	1.03824	1.03824	1770.57938	49199.806	39.6522	0.0
1337.62	0.0	1.0	7.09209	7.85517	-0.67836	30.98798	27.61105	1.42928	0.69965	0.0	123.87759	0.0	0.5	7.62369	7.62369	1.03123	1.03123	1771.67263	49105.691	39.58953	0.0010
1335.0	0.0758507	0.92415	7.11136	7.83389	-0.94743	30.27657	27.88068	1.41315	0.70764	0.00302755	124.10078	0.00101608	0.48983	7.67662	9.21166	1.02245	0.85207	1771.05898	47898.689	460.20826	1103.282
1330.0	0.20319	0.79681	7.14415	7.79791	-1.40246	29.07958	28.33916	1.38597	0.72152	0.15953	124.51784	0.0541667	0.47256	7.77868	49.49678	1.0059	0.15808	1770.00607	45860.372	407.6634	2944.191
1325.0	0.30794	0.69206	7.1717	7.768	-1.78055	28.09621	28.71973	1.36334	0.73349	0.8579	124.9327	0.29417	0.45819	7.88254	230.79277	0.98955	0.0337973	1769.10437	44161.109	339.8526	4446.47
1320.0	0.39502	0.60498	7.19512	7.74275	-2.09984	27.27627	29.03892	1.34413	0.74397	2.36279	125.34584	0.81695	0.44611	7.9882	640.00553	0.97341	0.0121495	1768.34299	42726.79	286.8638	5684.225
1315.0	0.46811	0.53189	7.21526	7.72107	-2.37398	26.58174	29.30777	1.32762	0.75323	4.73023	125.75735	1.64718	0.43586	8.09574	1321.91365	0.95746	0.00586375	1767.71185	41501.925	244.973	6712.945
1310.0	0.52999	0.47001	7.23275	7.7024	-2.61012	25.99319	29.53462	1.31328	0.76145	7.87762	126.17072	2.76001	0.4271	8.20524	2289.76528	0.94171	0.00337457	1767.20016	40444.411	211.5028	7574.733
1305.0	0.58278	0.41722	7.24808	7.68608	-2.81642	25.48778	29.72526	1.30073	0.7688	11.65705	126.58458	4.10589	0.41955	8.31678	3538.6811	0.92615	0.00217667	1766.79907	39521.914	184.4994	8301.917
1300.0	0.62812	0.37188	7.26164	7.6717	-2.99821	25.05085	29.88481	1.28969	0.77538	15.90698	126.99975	5.62875	0.41301	8.43053	5056.75842	0.91076	0.00151839	1766.49987	38709.325	162.5178	8919.606
