T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.54606	7.84244	0.0	28.84529	28.91834	1.41751	0.70546	0.0	124.82418	0.0	0.5	7.83838	7.83838	1.04183	1.04183	1804.4736	53007.485	 	0.0
1395.0	0.0	1.0	7.55012	7.83822	-0.0537835	28.80413	28.83804	1.41721	0.70561	0.0	124.97823	0.0	0.5	7.92308	7.92308	1.02761	1.02761	1807.90032	52802.027	41.0916	0.0
1390.0	0.0	1.0	7.55418	7.83402	-0.10741	28.7631	28.75774	1.41691	0.70576	0.0	125.13229	0.0	0.5	8.00921	8.00921	1.01351	1.01351	1811.36567	52597.051	40.9952	0.0
1385.0	0.0	1.0	7.55822	7.82982	-0.16088	28.7222	28.67744	1.41661	0.70591	0.0	125.28634	0.0	0.5	8.09681	8.09681	0.99953	0.99953	1814.86976	52392.554	40.8994	0.0
1380.0	0.0	1.0	7.56226	7.82564	-0.2142	28.68142	28.59714	1.4163	0.70606	0.0	125.44039	0.0	0.5	8.1859	8.1859	0.98567	0.98567	1818.41267	52188.535	40.8038	0.0
1375.0	0.0	1.0	7.56629	7.82147	-0.26736	28.64077	28.51684	1.41599	0.70622	0.0	125.59445	0.0	0.5	8.27652	8.27652	0.97193	0.97193	1821.99447	51984.99	40.709	0.0
1370.0	0.0	1.0	7.57031	7.81732	-0.32036	28.60025	28.43654	1.41568	0.70637	0.0	125.7485	0.0	0.5	8.3687	8.3687	0.95831	0.95831	1825.61519	51781.917	40.6146	0.0
1365.0	0.0	1.0	7.57433	7.81317	-0.37321	28.55987	28.35625	1.41537	0.70653	0.0	125.90255	0.0	0.5	8.46249	8.46249	0.94481	0.94481	1829.27485	51579.313	40.5208	0.0
1364.52	0.0	1.0	7.57472	7.81277	-0.37828	28.55599	28.34852	1.41534	0.70654	0.0	125.91737	0.0	0.5	8.47159	8.47159	0.94351	0.94351	1829.62895	51559.846	40.47277	0.0010
1360.0	0.14084	0.85916	7.60966	7.77686	-0.83628	27.37302	28.82862	1.38793	0.7205	0.040094	127.71771	0.0135353	0.48109	8.56107	20.97916	0.93108	0.37995	1828.18616	49302.988	499.41425	2074.184
1355.0	0.26802	0.73198	7.64177	7.7442	-1.2527	26.3081	29.26434	1.36308	0.73363	0.53624	129.39776	0.18317	0.4638	8.65998	160.58011	0.91762	0.0494868	1826.65458	47240.663	412.465	3934.834
1350.0	0.37128	0.62872	7.66836	7.71733	-1.59531	25.44289	29.61997	1.34258	0.74483	2.00759	130.81505	0.69246	0.4496	8.75893	592.77496	0.90447	0.0133646	1825.20575	45540.834	339.9658	5433.45
1345.0	0.45607	0.54393	7.69069	7.69494	-1.88082	24.73249	29.91245	1.32536	0.75451	4.63674	132.02916	1.61243	0.43781	8.85807	1412.83395	0.89159	0.00559003	1823.8451	44120.406	284.0856	6653.122
1340.0	0.52642	0.47358	7.70967	7.67601	-2.1222	24.14186	30.15337	1.31071	0.76295	8.33216	133.08384	2.91757	0.42793	8.95741	2647.96379	0.87898	0.00297337	1822.57673	42918.096	240.462	7655.135
1335.0	0.58528	0.41472	7.72599	7.6598	-2.32883	23.64569	30.35121	1.29813	0.77034	12.87404	134.01195	4.53446	0.41958	9.05699	4286.65579	0.86662	0.00183103	1821.40267	41888.039	206.0114	8485.347
1330.0	0.63495	0.36505	7.74017	7.6458	-2.50733	23.22608	30.51239	1.28725	0.77685	18.0076	134.83803	6.37452	0.41247	9.15703	6299.55239	0.85449	0.00124208	1820.32318	40995.448	178.5182	9178.543
1325.0	0.67715	0.32285	7.75262	7.63359	-2.66312	22.86843	30.64255	1.27779	0.7826	23.50244	135.58225	8.35572	0.40637	9.2575	8655.32498	0.84258	9.01199E-4	1819.33784	40213.618	156.366	9761.428
1320.0	0.71325	0.28675	7.76365	7.62276	-2.80115	22.55915	30.74608	1.2695	0.78771	29.16531	136.2582	10.40801	0.4011	9.35855	11324.80094	0.83087	6.86614E-4	1818.44679	39521.819	138.3598	10254.728
1315.0	0.7443	0.2557	7.77351	7.61314	-2.92388	22.29172	30.82689	1.2622	0.79227	34.84671	136.87871	12.47625	0.39652	9.46026	14285.74208	0.81936	5.42595E-4	1817.64709	38903.798	123.6042	10674.692
1310.0	0.77116	0.22884	7.7824	7.60452	-3.03374	22.05956	30.88815	1.25573	0.79635	40.43429	137.45315	14.51832	0.39253	9.56268	17521.80301	0.80803	4.40991E-4	1816.93629	38346.69	111.4216	11034.185
1305.0	0.7945	0.2055	7.79049	7.59669	-3.13357	21.85483	30.93264	1.24996	0.80002	45.85697	137.98846	16.50703	0.38901	9.66592	21026.3773	0.79688	3.66328E-4	1816.31333	37840.225	101.293	11343.474
1300.0	0.8149	0.1851	7.79789	7.58955	-3.22465	21.6741	30.96264	1.2448	0.80334	51.06284	138.491	18.42213	0.38591	9.7701	24797.0602	0.78588	3.0964E-4	1815.77482	37376.138	92.8174	11610.821
1295.0	0.83279	0.16721	7.80471	7.58299	-3.30823	21.51396	30.98013	1.24014	0.80636	56.02107	138.96589	20.25114	0.38316	9.87525	28837.62423	0.77504	2.65409E-4	1815.31787	36947.73	85.6816	11842.922
1290.0	0.84855	0.15145	7.81104	7.57694	-3.38549	21.37119	30.98672	1.23592	0.80911	60.71621	139.417	21.98738	0.38071	9.98151	33156.98872	0.76435	2.30098E-4	1814.93981	36549.532	79.6396	12045.245
1285.0	0.86249	0.13751	7.81696	7.5713	-3.45738	21.24317	30.9839	1.23208	0.81164	65.14493	139.84781	23.62876	0.37851	10.08898	37769.53694	0.75379	2.01351E-4	1814.63786	36177.052	74.496	12222.28
1280.0	0.87485	0.12515	7.82251	7.56602	-3.52473	21.12765	30.97288	1.22856	0.81396	69.31246	140.26097	25.17646	0.37653	10.19768	42694.60791	0.74336	1.77553E-4	1814.40927	35826.576	70.0952	12377.737
1275.0	0.88586	0.11414	7.82775	7.56105	-3.5881	21.02304	30.9547	1.22533	0.81611	73.22648	140.65898	26.63269	0.37475	10.30773	47954.25489	0.73305	1.5757E-4	1814.25121	35495.018	66.3116	12514.701
1270.0	0.8957	0.1043	7.83272	7.55636	-3.64786	20.92844	30.9301	1.22234	0.8181	76.89152	141.04363	27.99859	0.37313	10.41933	53570.26178	0.72286	1.40595E-4	1814.16039	35179.799	63.0438	12635.749
